科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"206,930,792.62","226,812,320.25","226,771,441.08","240,183,237.11","1,009,154,607.78","908,217,532.19","994,748,872.45","979,039,503.71","1,034,394,098.36","967,010,835.44","1,206,151,025.66","1,213,542,821.99","551,745,431.54","451,420,004.97","661,663,068.63","545,140,655.92","397,793,959.89","431,517,422.24","508,297,584.47","447,157,453.57","246,646,010.36","523,635,152.69","767,219,795.30","666,566,133.29","663,898,990.85","770,840,705.53","421,517,693.38"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,"12,568,242.58","216,105,502.17","9,039,059.49"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"1,755,000.00","2,772,212.69","3,420,800.70","6,804,000.00","9,889,000.00","13,471,227.00","19,473,600.00","4,610,000.00","2,300,000.00","1,880,000.00","5,895,415.00","1,228,949.70","3,950,000.00","2,050,000.00","481,900.00","24,038,272.27","30,307,619.38","1,100,000.00","13,148,676.12","1,210,000.00","100,000.00",,"565,200.00","640,000.00"
应付票据,"33,734,877.00","31,726,158.00","37,996,000.00","28,517,520.00","30,364,220.00","25,249,887.31","14,921,086.61","10,503,835.50","11,916,236.20","7,502,920.00","2,916,200.00","2,842,719.10","7,416,893.32","11,257,148.57","12,621,439.15","11,159,007.61","7,291,150.46","16,033,917.65","37,278,534.15","30,734,212.31","27,767,833.16","43,763,350.00","44,356,110.00","32,283,496.94","35,948,125.48","72,855,085.14","77,271,071.73"
应收账款,"2,268,609.10","7,234,014.27","7,472,252.72","20,886,235.97","30,147,599.35","26,358,658.98","35,838,746.75","47,137,383.13","55,981,943.61","67,328,120.54","70,066,439.58","93,231,569.28","128,465,141.87","131,135,647.73","124,595,694.11","169,564,042.62","230,063,464.94","293,871,893.83","275,219,976.75","266,808,132.69","281,613,451.82","207,988,412.06","199,386,207.40","195,034,733.99","225,513,163.67","197,318,448.47","186,453,960.68"
应付账款,"28,172,142.64","23,688,553.68","30,317,325.93","37,942,285.23","41,306,463.25","72,495,392.64","56,267,068.30","67,554,698.11","63,083,997.75","52,764,482.54","43,740,095.19","46,312,557.11","57,115,314.74","56,597,414.41","42,669,439.23","55,494,599.92","100,673,010.40","117,958,541.42","72,067,509.16","83,998,478.56","93,203,401.36","116,958,245.33","72,310,458.08","119,186,913.76","117,256,914.12","105,817,097.52","88,178,243.46"
预付款项,"1,006,123.33","11,427,093.74","46,601,529.53","55,181,408.38","47,653,864.16","8,617,243.67","15,617,676.35","14,533,018.76","15,619,875.04","1,880,181.94","3,743,111.14","2,028,353.26","1,844,328.73","3,400,044.14","3,020,478.29","4,987,850.31","6,382,930.46","4,552,777.33","3,177,611.12","5,064,752.80","3,513,805.47","2,079,292.84","2,950,277.01","3,530,778.97","3,630,211.32","4,316,865.50","4,659,492.64"
预收款项,"6,791,312.34","26,332,337.74","28,055,270.00","11,440,982.25","10,312,090.38","11,205,986.23","10,989,296.69","12,691,542.76","15,013,236.52","17,893,793.10","22,814,245.67","16,450,901.98","14,523,281.95","20,513,558.67","17,669,040.69","19,557,726.32","14,763,053.45","16,812,136.24","29,462,198.35","29,640,075.51","29,716,077.33","24,683,072.37","41,548,016.47","36,662,621.48","43,558,620.77","22,929,635.03","30,853,561.13"
其他应收款,"2,406,720.95","3,266,392.26","2,467,262.09","3,143,509.47","3,063,559.62","2,925,375.32","3,784,652.36","3,118,164.85","3,619,845.88","2,802,410.75","3,733,836.25","3,718,824.56","3,500,027.45","3,948,066.31","4,578,794.73","4,349,305.64","3,749,681.49","3,113,159.71","5,922,846.80","4,480,832.84","7,567,651.05","4,907,384.44","4,960,399.42","5,003,033.16","5,577,826.46","3,240,465.68","3,471,202.36"
应付职工薪酬,"659,784.29","262,254.03","204,515.10","174,626.06","185,395.38","181,282.08","172,460.46","1,220,640.19","4,497,339.28","7,439,870.31","7,810,450.11","7,422,965.55","8,240,300.34","7,554,002.89","1,529,202.71","1,651,370.90","1,770,433.19","11,114,238.93","2,143,003.10","1,738,544.74","1,840,640.76","18,856,042.41","1,617,572.77","2,231,873.81","2,297,276.18","27,406,595.45","1,974,707.07"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"9,085,361.23","39,331,786.40","2,635,362.53","14,325,174.62","18,000,296.02","8,971,524.23","9,700,843.33","17,904,861.81","16,591,497.54","26,755,611.33","19,568,298.13","18,855,241.64","20,962,964.47","31,088,427.97","14,589,294.90","28,516,548.48","26,351,613.19","23,503,303.11","3,348,032.42","17,034,319.79","21,037,093.23","29,485,337.51","30,639,501.35","25,888,883.85","25,910,998.33","36,807,554.13","18,763,463.63"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,"80,932.26","91,091.56"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00",,,
应付股利,,"170,870,616.12",,,,,,,,,,,,,,,,,,,,,,,,,
存货,"54,480,031.46","74,878,073.46","76,973,932.93","86,912,818.07","80,664,401.53","67,449,587.44","72,341,665.68","77,227,181.79","81,853,586.49","80,702,109.32","94,589,273.69","84,903,676.09","86,051,651.93","89,136,952.09","113,757,309.66","94,201,046.27","103,199,300.75","110,150,629.46","150,376,599.26","146,033,546.19","138,857,962.69","154,476,012.40","158,106,693.66","153,464,764.33","137,158,261.45","102,053,639.48","116,997,582.91"
其他应付款,"165,061.96","1,240,175.86","822,298.78","3,854,592.12","2,654,507.21","10,434,291.55","1,726,907.62","7,778,707.87","1,295,045.15","1,705,425.01","1,373,668.13","2,358,729.87","1,593,804.90","6,496,994.88","3,766,565.05","3,636,434.04","3,932,972.39","3,901,539.01","4,408,983.93","1,926,726.09","2,165,377.12","3,015,083.54","8,816,430.39","9,004,582.82","2,924,869.43","5,052,948.15","2,305,670.63"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
