科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"21,020,574.52","37,033,066.35","44,462,313.33","59,038,426.57","13,877,189.78","28,397,739.72","85,645,798.09","66,385,166.82","62,424,478.85","85,153,451.04","109,144,132.77","79,280,455.78","13,807,642.34","33,972,609.85","64,142,644.63","99,634,771.89","11,846,528.68","43,192,102.24","70,606,478.62","121,718,756.23","17,509,784.57","41,302,729.54","62,136,914.98","105,284,598.93","8,564,921.96","17,017,167.48","25,762,541.63","98,059,830.93","17,522,809.85","39,425,243.97","64,261,367.81","101,129,041.11","19,070,614.36","33,317,215.29","58,405,615.94","92,733,548.86","10,237,840.80","23,016,661.90","61,448,928.12","95,901,492.78","19,794,937.96","41,367,222.22","61,670,333.79","97,448,056.67","14,493,459.58"
取得借款收到的现金,"30,000,000.00","100,000,000.00","720,000,000.00","781,000,000.00","110,000,000.00","110,000,000.00","587,962,000.00","787,962,000.00","259,500,000.00","291,500,000.00","933,500,000.00","1,497,000,000.00","168,000,000.00","234,000,000.00","798,000,000.00","1,548,000,000.00","730,540,000.00","938,490,000.00","1,428,490,000.00","2,224,200,000.00","256,000,000.00","377,000,000.00","551,000,000.00","1,139,000,000.00","125,000,000.00","240,000,000.00","720,700,000.00","1,344,380,000.00","76,000,000.00","182,000,000.00","644,630,000.00","1,063,600,000.00","180,000,000.00","180,000,000.00","218,215,200.00","767,600,000.00","172,800,000.00","185,000,000.00","515,000,000.00","782,000,000.00","80,000,000.00","218,000,000.00","321,500,000.00","580,100,000.00","209,000,000.00"
支付的各项税费,"1,892,036.26","2,621,497.16","6,296,735.99","8,235,091.53","1,739,362.41","6,696,013.58","10,939,603.37","9,622,637.73","2,049,208.77","6,259,825.35","8,853,356.47","12,133,907.35","3,322,940.46","8,837,152.07","14,427,901.16","28,705,734.60","10,769,209.31","17,632,336.15","18,785,201.03","16,767,906.41","397,871.74","804,102.95","1,128,929.28","7,392,314.35","6,055,847.05","11,782,839.33","12,220,507.79","16,039,596.88","2,942,175.16","7,528,531.73","10,442,922.33","14,126,051.26","4,655,777.70","9,947,649.93","13,289,819.61","15,529,441.52","3,295,296.09","5,492,786.58","10,299,640.44","14,800,314.78","1,451,767.66","4,969,420.39","5,586,903.09","8,499,832.52","1,517,528.62"
收到其他与筹资活动有关的现金,,,"56,500.00",,"1,000.00","1,000.00","1,000.00","5,531,000.00",784.50,784.50,,"12,568,200.02",,"4,380,100.00","7,231,900.00","16,255,046.50",,"9,047,926.00","25,839,735.10","32,787,922.50","5,604,770.30","23,454,220.88","26,912,506.29",,,,"2,000,000.00",,,"11,699,000.00","30,571,560.00","58,558,434.54",,"7,088,720.00","13,440,053.28","43,357,495.68",,"593,000.00","612,600.00","57,974,915.10",,,,"47,079,158.62",
支付其他与经营活动有关的现金,"21,850,471.57","47,539,747.42","80,702,425.35","79,021,333.57","25,560,832.81","53,696,401.08","261,309,013.98","68,723,250.52","80,765,471.49","87,654,514.38","399,002,498.02","34,549,257.96","49,163,753.65","74,295,249.47","175,765,414.43","39,584,385.97","44,896,401.43","16,504,685.01","21,794,300.16","82,129,678.95","273,550,433.09","7,837,840.01","39,954,639.27","61,087,144.86","540,085,908.63","54,957,990.13","63,462,012.79","104,645,467.70","18,098,598.28","26,281,061.74","41,886,929.68","181,603,584.66","13,606,157.86","253,578,790.85","38,857,656.86","166,164,299.09","13,927,991.62","73,967,344.51","118,657,320.10","62,905,442.65","16,396,351.31","34,367,555.06","38,852,446.73","18,725,390.04","15,547,725.13"
筹资活动现金流入小计,"30,000,000.00","100,000,000.00","720,056,500.00","781,000,000.00","408,474,837.53","408,474,837.53","886,436,837.53","1,098,176,984.86","260,000,784.50","291,500,784.50","934,000,000.00","1,510,068,200.02","174,760,000.00","245,140,100.00","820,591,900.00","1,584,850,922.50","730,540,000.00","947,757,926.00","1,454,549,735.10","2,268,867,922.50","261,604,770.30","454,454,220.88","645,848,106.29","1,206,935,600.00","125,000,000.00","249,500,000.00","832,200,000.00","1,424,380,000.00","76,000,000.00","223,699,000.00","705,201,560.00","1,649,658,426.84","180,000,000.00","187,088,720.00","231,655,253.28","810,957,495.68","172,800,000.00","185,593,000.00","515,612,600.00","839,974,915.10","80,000,000.00","218,000,000.00","321,500,000.00","627,179,158.62","209,000,000.00"
经营活动现金流出小计,"174,023,145.60","194,193,867.27","446,263,955.40","775,539,704.60","277,127,762.02","419,142,710.08","929,844,699.33","1,449,402,368.75","276,976,815.55","425,772,196.22","773,847,409.62","1,686,811,959.58","302,205,908.76","435,088,859.56","940,600,662.07","2,080,049,603.90","618,403,871.12","546,122,554.96","817,512,884.38","2,013,948,725.70","717,041,782.96","751,765,048.07","1,291,031,274.11","2,163,241,698.48","750,207,541.25","463,633,566.97","573,649,555.82","1,518,216,269.51","286,253,948.29","428,871,036.72","562,887,854.89","1,467,823,154.08","213,022,996.70","383,594,796.04","378,617,793.08","1,260,629,447.42","147,118,840.93","161,259,446.39","299,679,205.96","1,059,148,772.33","287,449,817.80","928,982,603.79","1,387,276,851.28","1,677,428,133.84","436,548,068.93"
偿还债务支付的现金,"65,000,000.00","75,000,000.00","243,222,100.00","493,000,000.00","138,700,000.00","213,000,000.00","363,000,000.00","743,000,000.00","270,462,000.00","606,461,999.99","694,461,999.99","1,162,962,000.00","388,000,000.00","650,000,000.00","870,000,000.00","1,367,000,000.00","632,000,000.00","774,000,000.00","1,453,000,000.00","1,785,000,000.00","161,300,000.00","529,800,000.00","905,300,000.00","1,513,310,000.00","279,000,000.00","339,400,000.00","433,400,000.00","1,204,500,000.00","129,300,000.00","239,250,000.00","524,880,000.00","1,147,290,000.00","553,583,472.24","629,920,000.00","659,101,158.35","964,735,000.00","203,450,000.00","287,265,000.00","562,265,000.00","919,125,000.00","110,000,000.00","159,751,200.00","429,751,200.00","674,740,000.00","222,600,000.00"
经营活动产生的现金流量净额,"-63,277,940.08","24,553,940.65","2,493,692.97","-59,810,185.50","-87,782,809.86","63,919,334.11","-59,372,447.96","-232,311,803.68","20,097,625.75","389,116,414.06","149,394,531.18","-95,010,288.39","100,955,692.33","247,034,333.24","309,606,843.41","-210,588,771.61","-48,200,072.81","-17,577,494.58","176,616,275.41","-17,517,368.69","-128,761,286.26","-12,510,019.85","452,628,014.19","735,590,405.94","-90,034,603.54","-99,088,318.71","26,365,224.16","47,151,550.60","-27,500,378.46","-43,466,212.14","84,174,949.64","54,694,882.21","-56,742,984.35","-26,296,336.98","31,030,887.86","-19,817,689.83","-68,199,552.27","51,404,415.17","15,088,996.16","51,518,682.23","-88,676,751.79","-63,307,065.78","36,718,205.51","-166,648,406.51","79,885,020.28"
分配股利、利润或偿还利息支付的现金,"865,500.00","12,064,353.97","14,240,282.53","19,581,572.56","3,669,835.50","14,155,690.29","23,090,254.70","40,638,817.83","5,198,670.90","8,273,049.23","18,771,236.80","33,158,475.01","7,786,842.43","15,998,733.16","26,290,710.63","39,119,887.24","13,923,365.01","31,419,693.61","54,992,642.69","70,630,660.25","23,618,574.23","43,247,381.53","62,152,830.41","87,961,691.29","13,800,996.25","29,880,453.56","46,396,952.84","73,970,703.99","17,356,430.94","33,944,335.07","49,436,335.88","68,859,730.40","19,779,682.01","17,487,241.45","40,999,798.98","41,713,847.37","12,251,826.17","19,525,936.58","28,522,675.69","47,113,542.71","8,090,700.08","16,493,896.92","26,162,790.41","36,796,319.59","7,154,943.95"
