科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"549,151,420.00","542,362,935.00","533,922,130.00","282,352,841.00","419,576,826.00","533,243,752.00","180,478,742.00","302,310,253.00","453,863,079.00","557,155,750.00","174,246,205.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"3,823,478.00"
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"6,000,000.00",,,,,"990,000,000.00","1,485,000,000.00","1,785,000,000.00",
收到其他与经营活动有关的现金,"1,360,945.00","1,675,207.00","2,850,168.00","2,678,630.00","9,295,379.00","12,682,841.00","2,581,521.00","761,519.00","1,361,542.00","6,343,566.00","291,838.00"
投资活动现金流出小计,"48,854,220.00","108,658,990.00","58,873,936.00","23,214,826.00","46,452,810.00","58,887,851.00","520,279,914.00","1,021,372,321.00","1,524,479,030.00","1,876,876,960.00","453,960,605.00"
经营活动现金流入小计,"550,512,365.00","544,038,142.00","536,772,298.00","285,031,471.00","428,872,204.00","545,926,593.00","183,060,263.00","303,071,772.00","455,224,621.00","563,499,316.00","174,538,043.00"
投资活动产生的现金流量净额,"-48,549,872.00","-88,249,456.00","-58,867,705.00","-16,876,125.00","-40,106,097.00","-49,501,955.00","-520,279,914.00","-521,960,842.00","-524,891,883.00","-71,510,462.00","-453,960,605.00"
购买商品、接受劳务支付的现金,"192,380,381.00","197,159,582.00","192,408,011.00","94,112,729.00","138,423,349.00","194,280,283.00","65,334,993.00","118,189,130.00","179,520,226.00","225,477,830.00","69,116,054.00"
吸收投资收到的现金,,,,,,"494,020,000.00",,,,,
支付给职工以及为职工支付的现金,"99,711,860.00","103,869,962.00","105,923,605.00","49,852,526.00","76,250,781.00","111,915,653.00","32,004,454.00","61,430,647.00","90,314,364.00","121,520,837.00","35,058,400.00"
取得借款收到的现金,,,,"100,000,000.00","100,000,000.00","118,000,000.00",,,,,
支付的各项税费,"89,521,774.00","87,055,653.00","91,378,059.00","45,086,445.00","64,359,907.00","85,607,651.00","27,288,316.00","45,236,439.00","65,855,367.00","87,762,428.00","29,719,045.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"55,775,683.00","47,915,700.00","54,649,781.00","25,144,873.00","44,553,147.00","56,263,045.00","18,191,704.00","26,442,622.00","37,655,105.00","47,814,654.00","12,862,822.00"
筹资活动现金流入小计,,,,"100,000,000.00","100,000,000.00","612,020,000.00",,,,,
经营活动现金流出小计,"437,389,698.00","436,000,897.00","444,359,456.00","214,196,573.00","323,587,183.00","448,066,632.00","142,819,467.00","251,298,838.00","373,345,062.00","482,575,749.00","146,756,321.00"
偿还债务支付的现金,"20,000,000.00",,,,,"118,000,000.00",,,,,
经营活动产生的现金流量净额,"113,122,667.00","108,037,245.00","92,412,842.00","70,834,898.00","105,285,021.00","97,859,961.00","40,240,796.00","51,772,934.00","81,879,559.00","80,923,567.00","27,781,722.00"
分配股利、利润或偿还利息支付的现金,"18,314,637.00","31,415,734.00","21,505,272.00","28,960,000.00","28,960,000.00","30,932,483.00",,"32,000,000.00","32,000,000.00","32,000,000.00",
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"961,500.00","900,000.00","900,000.00","8,629,000.00",,,,,
取得投资收益收到的现金,"5,786.00","6,677.00","6,231.00","257,425.00","265,437.00","265,436.00",,"4,411,479.00","9,587,147.00","17,122,563.00",
筹资活动现金流出小计,"38,314,637.00","31,415,734.00","22,466,772.00","29,860,000.00","29,860,000.00","157,561,483.00",,"32,000,000.00","32,000,000.00","32,000,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"113,364.00","11,983.00",,"81,276.00","81,276.00","120,460.00",,,,,
筹资活动产生的现金流量净额,"-38,314,637.00","-31,415,734.00","-22,466,772.00","70,140,000.00","70,140,000.00","454,458,517.00",,"-32,000,000.00","-32,000,000.00","-32,000,000.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,"3,243,935.00",
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,"185,198.00","20,390,874.00",,"6,000,000.00","6,000,000.00","9,000,000.00",,"495,000,000.00","990,000,000.00","1,785,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"304,348.00","20,409,534.00","6,231.00","6,338,701.00","6,346,713.00","9,385,896.00",,"499,411,479.00","999,587,147.00","1,805,366,498.00",
五、现金及现金等价物净增加额,"26,258,158.00","-11,627,945.00","11,078,365.00","124,098,773.00","135,318,924.00","502,816,523.00","-480,039,118.00","-502,187,908.00","-475,012,324.00","-22,586,895.00","-426,178,883.00"
购建固定资产、无形资产和其他长期资产支付的现金,"48,728,850.00","108,658,990.00","52,873,936.00","23,214,826.00","46,452,810.00","58,887,851.00","25,279,914.00","31,372,321.00","37,489,030.00","45,908,074.00","5,137,127.00"
期初现金及现金等价物余额,"106,818,473.00","133,076,631.00","121,448,686.00","132,527,051.00","132,527,051.00","132,527,051.00","635,343,574.00","635,343,574.00","635,343,574.00","635,343,574.00","612,756,679.00"
投资支付的现金,"125,370.00",,,,,,"495,000,000.00",,"1,990,000.00","45,968,886.00","445,000,000.00"
期末现金及现金等价物余额,"133,076,631.00","121,448,686.00","132,527,051.00","256,625,824.00","267,845,975.00","635,343,574.00","155,304,456.00","133,155,666.00","160,331,250.00","612,756,679.00","186,577,796.00"
