科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"288,125,721.97","357,111,831.75","277,857,214.40","128,358,548.41","196,201,313.82","279,139,074.58","61,616,057.39","153,004,569.52","231,674,101.16","337,480,398.53","97,053,487.00","193,288,827.76"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"1,496,422.06","2,459,520.73"
收到其他与经营活动有关的现金,"3,864,168.08","2,561,562.29","5,964,029.98","1,106,371.10","1,325,871.85","2,421,175.04","1,117,104.44","4,282,010.57","4,986,466.65","9,568,515.46","2,519,078.00","2,336,571.50"
投资活动现金流出小计,"21,316,665.41","42,016,418.57","15,484,297.06","4,744,324.52","6,319,091.53","9,239,116.65","71,409,209.13","236,436,981.85","432,280,790.19","610,771,082.67","136,554,918.19","343,801,273.97"
经营活动现金流入小计,"291,989,890.05","359,673,394.04","283,821,244.38","129,464,919.51","197,527,185.67","281,560,249.62","62,733,161.83","157,286,580.09","236,660,567.81","347,048,913.99","99,572,565.00","195,625,399.26"
投资活动产生的现金流量净额,"-20,431,182.52","-41,518,048.64","-15,460,562.02","-4,714,907.05","-6,272,875.68","-7,980,934.99","-70,754,813.58","-167,163,671.02","-201,345,405.74","-228,184,820.93","75,512,592.89","-40,361,027.92"
购买商品、接受劳务支付的现金,"128,846,996.32","152,541,339.76","104,538,089.87","37,166,449.45","71,482,807.87","106,208,523.68","24,782,071.51","64,012,894.75","101,865,831.03","150,510,733.85","54,249,741.78","99,808,640.24"
吸收投资收到的现金,"18,050,000.00",,,,,,"191,600,000.00","191,600,000.00","191,600,000.00","213,126,500.00",,
支付给职工以及为职工支付的现金,"28,171,227.19","39,077,208.06","34,009,869.77","17,143,988.44","24,936,498.11","31,482,742.82","14,046,402.29","23,366,509.27","31,812,106.26","39,296,501.69","16,104,971.36","24,340,505.60"
取得借款收到的现金,"187,509,076.29","240,339,775.55","144,154,473.45","28,501,652.67","34,021,961.64","39,186,413.12","3,004,333.46","6,846,255.37","14,540,832.62","19,503,088.93","10,199,197.37","12,978,407.53"
支付的各项税费,"33,285,183.40","37,587,509.55","27,551,539.43","16,271,678.58","21,790,894.13","28,788,795.91","8,334,944.82","14,785,671.92","23,673,991.81","31,324,094.50","6,493,036.68","14,499,667.31"
收到其他与筹资活动有关的现金,"13,090,626.49","10,451,148.95","30,608,662.11","19,965,301.32","19,965,301.32","19,965,301.32","5,224,372.89","5,224,372.89","5,224,372.89","5,224,372.89","2,776,125.52","2,776,125.52"
支付其他与经营活动有关的现金,"37,395,052.17","33,817,416.30","27,699,909.59","13,828,846.54","22,143,725.70","29,755,497.66","5,361,203.01","15,662,034.73","23,951,747.84","35,039,313.97","6,131,653.70","15,887,693.37"
筹资活动现金流入小计,"218,649,702.78","250,790,924.50","174,763,135.56","48,466,953.99","53,987,262.96","59,151,714.44","199,828,706.35","203,670,628.26","211,365,205.51","237,853,961.82","12,975,322.89","15,754,533.05"
经营活动现金流出小计,"227,698,459.08","263,023,473.67","193,799,408.66","84,410,963.01","140,353,925.81","196,235,560.07","52,524,621.63","117,827,110.67","181,303,676.94","256,170,644.01","82,979,403.52","154,536,506.52"
偿还债务支付的现金,"220,334,043.35","237,959,395.73","203,755,845.75","83,178,145.80","92,260,696.47","99,147,485.70","20,793,877.73","26,964,548.84","31,657,532.79","39,322,594.59","4,893,039.68","11,589,291.21"
经营活动产生的现金流量净额,"64,291,430.97","96,649,920.37","90,021,835.72","45,053,956.50","57,173,259.86","85,324,689.55","10,208,540.20","39,459,469.42","55,356,890.87","90,878,269.98","16,593,161.48","41,088,892.74"
分配股利、利润或偿还利息支付的现金,"39,383,412.09","37,981,696.68","25,292,046.75","2,002,326.83","12,420,476.99","22,424,141.95","125,865.42","21,176,992.90","21,214,590.50","21,267,209.25","37,580.10","8,894,091.18"
收回投资收到的现金,,,,,,,,"68,000,000.00","228,000,000.00","378,000,000.00","210,000,000.00","300,000,000.00"
支付其他与筹资活动有关的现金,"10,451,148.95","30,608,662.11","19,965,301.32","3,906,164.09","6,991,316.64","5,224,372.89","21,159,107.30","20,606,713.86","21,373,551.43","20,370,087.78","1,932,879.51","11,522,752.14"
取得投资收益收到的现金,,,,,,,,"618,015.28","2,268,088.90","3,878,966.19","2,058,380.08","3,431,115.05"
筹资活动现金流出小计,"270,168,604.39","306,549,754.52","249,013,193.82","89,086,636.72","111,672,490.10","126,796,000.54","42,078,850.45","68,748,255.60","74,245,674.72","80,959,891.62","6,863,499.29","32,006,134.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"885,482.89","498,369.93","23,735.04","29,417.47","46,215.85","58,181.66","654,395.55","655,295.55","667,295.55","707,295.55","9,131.00","9,131.00"
筹资活动产生的现金流量净额,"-51,518,901.61","-55,758,830.02","-74,250,058.26","-40,619,682.73","-57,685,227.14","-67,644,286.10","157,749,855.90","134,922,372.66","137,119,530.79","156,894,070.20","6,111,823.60","-16,251,601.48"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-10,355.52","-347,399.22","-1,802.31","240,963.19","311,654.22","355,228.82","4,564.76","137,952.03","195,809.80","-56,849.29","-219,036.62","-53,024.44"
收到其他与投资活动有关的现金,,,,,,"1,200,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"885,482.89","498,369.93","23,735.04","29,417.47","46,215.85","1,258,181.66","654,395.55","69,273,310.83","230,935,384.45","382,586,261.74","212,067,511.08","303,440,246.05"
五、现金及现金等价物净增加额,"-7,669,008.68","-974,357.51","309,413.13","-39,670.09","-6,473,188.74","10,054,697.28","97,208,147.28","7,356,123.09","-8,673,174.28","19,530,669.96","97,998,541.35","-15,576,761.10"
购建固定资产、无形资产和其他长期资产支付的现金,"21,316,665.41","41,816,418.57","15,484,297.06","4,744,324.52","6,319,091.53","9,239,116.65","3,409,209.13","8,436,981.85","44,280,790.19","52,771,082.67","25,058,496.13","41,341,753.24"
期初现金及现金等价物余额,"28,025,609.71","20,356,601.03","19,382,243.52","19,691,656.65","19,691,656.65","19,691,656.65","29,746,353.93","29,746,353.93","29,746,353.93","29,746,353.93","49,277,023.89","49,277,023.89"
投资支付的现金,,"200,000.00",,,,,"68,000,000.00","228,000,000.00","388,000,000.00","558,000,000.00","110,000,000.00","300,000,000.00"
期末现金及现金等价物余额,"20,356,601.03","19,382,243.52","19,691,656.65","19,651,986.56","13,218,467.91","29,746,353.93","126,954,501.21","37,102,477.02","21,073,179.65","49,277,023.89","147,275,565.24","33,700,262.79"
