科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"16,614,729.61","64,000,125.63","122,553,966.64","85,438,346.61","953,958,918.21","896,303,081.04","929,421,868.11","801,569,757.16","836,758,069.35","797,874,486.44","807,912,832.52","759,413,013.42","617,195,329.38","599,291,232.96","573,337,648.80","553,871,229.24","554,545,976.04","444,536,962.82","387,053,691.59","298,985,046.79","291,924,418.55","293,688,266.79","177,898,830.31","196,963,851.34","115,452,243.02","109,299,358.52","146,566,498.59","91,655,588.20","153,889,464.41","145,590,423.07","68,279,665.67","208,514,856.47","168,516,877.69","99,667,351.57","167,025,722.16","47,097,533.25","57,675,751.07","119,611,178.48","96,251,034.14","131,523,884.34"
短期借款,"40,000,000.00","40,000,000.00","50,000,000.00","15,000,000.00",,,,,,,,,,"143,000,000.00","223,000,000.00","313,000,000.00","298,900,000.00","285,847,536.00","255,847,536.00","278,027,088.55","315,007,979.62","355,000,000.00","320,000,000.00","370,000,000.00","320,000,000.00","280,000,000.00","310,000,000.00","250,000,000.00","200,000,000.00","150,000,000.00","50,000,000.00","200,000,000.00","200,000,000.00","170,000,000.00","220,000,000.00","70,000,000.00","99,286,000.00","119,286,000.00","156,426,000.00","181,726,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,520,000.00",,"4,920,000.00","3,320,000.00","1,000,000.00","665,500.00","1,200,000.00","3,283,760.00","1,833,760.00","2,540,000.00","5,330,000.00","1,815,000.00","1,144,440.00","2,432,045.90","11,126,591.00","8,927,353.15","15,230,000.00","24,578,404.02","22,760,897.02","6,226,899.50","21,587,181.50","16,671,706.02","24,244,259.83","20,051,080.80","15,375,947.53","7,471,237.16","20,314,508.30","10,520,166.69","14,889,901.20","16,318,009.75","18,184,320.59","12,467,024.80","17,344,286.24","23,488,433.48","31,377,463.34","20,176,199.30","16,558,197.40","16,451,337.53","23,195,941.89","14,357,648.48"
应付票据,,"377,000.00","810,845.00","120,000.00","1,632,546.10","2,015,722.50","2,780,697.00","3,431,001.79","3,517,051.01","4,884,524.86","3,925,199.75","5,579,820.00","5,913,895.00","7,849,610.00","22,998,428.85","21,458,017.25","8,767,071.40","12,361,327.36","19,659,584.65","16,037,245.29","7,214,450.00","6,718,950.00","6,288,450.45","4,488,950.45","1,080,000.00","1,016,820.00","2,084,820.00","1,068,000.00",,,,,,,,"72,900.00",,,,
应收账款,"14,234,709.40","12,213,520.31","26,123,878.59","38,996,623.14","48,375,298.38","30,020,948.09","19,549,269.53","36,955,690.98","27,892,139.88","44,335,774.32","16,643,885.66","35,671,297.94","38,864,388.08","94,399,164.71","59,832,683.69","218,713,624.35","101,680,137.56","130,058,119.98","87,069,550.39","143,481,572.73","120,473,467.76","91,502,498.62","120,786,926.33","164,918,826.83","173,153,236.74","147,849,105.74","126,155,803.15","135,346,035.34","114,139,504.55","106,504,170.83","80,728,155.35","85,668,545.57","93,196,797.32","77,473,295.65","54,988,048.65","90,735,988.00","104,460,576.43","133,552,637.97","96,968,085.25","95,831,467.93"
应付账款,"6,842,459.35","12,646,265.89","6,161,049.30","3,532,436.34","5,031,417.65","3,407,981.64","5,002,763.58","6,096,802.87","8,201,646.67","8,055,777.54","8,774,036.36","10,470,077.22","19,268,040.43","18,691,114.17","21,502,566.84","22,953,819.30","46,103,613.94","46,506,778.02","126,372,402.67","99,634,019.31","118,517,978.86","90,320,533.58","85,904,146.97","109,345,811.29","152,334,818.51","121,067,137.54","109,397,939.57","104,802,378.18","80,465,893.12","70,575,581.56","57,766,989.22","68,169,412.02","61,613,815.69","88,358,747.85","64,239,945.17","65,895,139.31","74,239,080.92",,"62,046,099.60",
预付款项,"9,331,419.34","14,830,093.63","9,571,253.49","9,442,531.39","9,108,184.17","9,022,492.84","11,420,453.36","96,073,828.64","19,432,822.40","37,416,270.18","45,831,798.71","38,751,436.57","147,340,381.60","142,414,464.67","130,922,798.73","182,325,110.68","208,549,760.55","157,088,710.35","109,590,732.74","80,245,258.17","75,986,692.20","70,414,824.59","55,982,960.44","47,279,096.79","54,382,708.53","50,179,738.75","42,149,460.23","50,523,110.89","24,803,817.06","29,462,288.00","24,979,855.24","31,014,026.63","26,840,923.03","27,751,997.97","21,302,053.12","33,479,070.17","31,384,020.81","31,774,656.32","22,949,806.31","31,353,263.16"
预收款项,"153,428.77","437,581.00","8,200.00","5,000.00","71,411.40","516,562.33","499,325.41","54,041.44","140,006.45","1,008,153.20","44,791.78","312,539.60","265,009.82","240,545.11","267,715.54","154,946.47","5,569,502.91","2,877,303.98","2,116,413.62","1,387,235.50","1,110,447.34","2,223,350.68","614,974.19","917,748.41","816,663.21","798,034.52","352,737.42","596,761.53","1,234,360.79","1,032,823.45","1,056,756.43","3,769,533.14","2,452,950.65","547,237.89","10,821,439.86","6,876,200.26","4,010,998.01","3,068,468.19","5,658,468.96","726,229.31"
