科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"767,647,455.62","861,790,873.10","1,043,465,573.98","867,014,122.65","1,175,140,144.14","262,672,586.53","604,940,348.00","889,101,616.54","1,188,889,336.67","267,535,160.44","641,895,411.49","1,023,598,581.41","1,442,715,067.04","412,039,162.73","929,257,893.78","1,464,432,262.41","2,008,314,566.36","472,047,686.27","1,113,965,634.91","1,526,923,482.18","2,014,969,813.68","484,533,447.85"
二、营业利润,"74,103,257.22","74,199,631.52","89,061,849.05","63,407,770.81","81,839,838.99","12,244,105.87","46,644,561.24","53,304,176.43","66,867,827.70","14,810,732.15","56,059,757.25","85,782,454.26","125,720,304.76","57,231,065.63","156,906,231.29","247,420,994.08","323,024,297.93","62,266,133.02","150,097,038.95","193,768,754.68","207,864,107.65","57,835,734.16"
减:营业成本,"519,617,323.40","590,947,185.78","713,056,576.33","589,507,803.06","798,286,029.44","170,982,065.87","394,158,350.03","584,056,878.98","784,381,011.53","170,776,325.60","407,756,087.72","652,818,678.72","903,340,359.23","262,053,115.11","584,653,035.42","923,812,626.12","1,267,836,479.38","300,166,319.82","720,370,602.11","985,479,481.87","1,313,366,085.66","317,949,171.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,552,110.51","6,106,781.92","6,657,514.08","5,019,565.63","6,854,932.84","983,481.05","3,750,295.36","5,398,880.16","7,135,694.26","2,218,866.77","6,014,476.97","8,237,190.45","14,208,507.84","3,758,150.37","8,422,113.48","13,046,027.50","18,713,090.11","4,468,846.55","9,321,580.12","14,074,631.19","19,671,285.60","4,015,539.64"
营业外收入,"7,088,086.76","16,429,780.93","10,924,242.28","7,172,196.54","9,137,155.61","1,232,444.00","6,028,945.30","14,144,837.38","19,995,085.23","1,501,115.33","5,905,262.08","8,448,403.94","11,068,591.55","7,438,391.61","5,406,052.53","5,544,910.58","3,519,165.50","6,342.85","1,941,873.56","3,167,313.10","1,981,563.97","566,827.43"
销售费用,"80,744,564.20","91,562,645.41","119,041,054.37","94,607,107.73","121,637,119.84","32,961,578.97","73,640,898.55","113,879,489.50","145,517,526.08","32,303,632.58","78,444,343.67","123,729,209.44","185,880,668.88","43,625,072.29","96,094,073.85","149,179,329.42","203,279,531.28","54,944,471.97","129,131,276.60","183,356,345.87","239,316,543.18","56,894,875.90"
减:营业外支出,"408,744.15","365,557.61","687,665.04","287,427.11","408,369.90","74,637.96","96,132.92","724,313.02","1,126,100.25","228,499.52","1,173,411.78","2,650,872.20","3,128,711.44","313,568.97","850,866.27","1,534,722.95","2,582,898.88","314,934.04","507,156.49","1,439,271.68","2,654,261.36","89,298.32"
管理费用,"73,885,892.82","81,939,074.57","106,208,657.07","91,788,672.58","137,352,900.82","38,958,052.63","77,503,528.83","118,140,292.92","168,229,011.14","42,589,752.27","78,412,660.40","128,380,725.64","187,664,170.21","43,065,912.31","88,320,392.49","135,967,909.86","212,265,452.00","49,821,471.35","104,432,615.99","86,830,825.83","149,186,991.67","32,832,646.20"
其中:非流动资产处置净损失,"279,545.65","129,819.70","547,968.92","86,547.04","94,416.59","11,208.54","17,853.90","19,008.49","182,543.46","158,498.72","170,797.67","251,395.79","588,335.10","293,895.40","620,494.73","1,039,278.90",,,,,,
