科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"95,828,405.13","120,828,941.79","116,889,367.11","121,585,281.60","270,999,048.07","96,027,192.01","202,809,034.40","30,006,368.12","70,077,541.29","125,728,740.87","68,950,664.12","73,189,061.45","367,530,274.60",,"192,783,072.49","191,174,780.96","292,456,042.12"
短期借款,,,,,,,,,,,,,"529,570,614.75","78,000,000.00","53,000,000.00",,"14,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"15,134,302.05","11,470,500.00","17,091,000.00","9,880,000.00","3,000,000.00","4,710,000.00","2,281,542.00","4,000,000.00","8,304,513.50","5,974,700.00","7,770,000.00","2,717,355.60","61,799,942.65","88,697,312.43","298,987,022.85","256,465,485.59","78,483,057.57"
应付票据,,,,,,,,,,,,,,,,,
应收账款,"9,453,025.79","11,407,279.36","12,801,915.63","13,265,452.80","11,719,129.78","10,452,376.23","10,576,776.35","10,874,975.84","15,113,772.65","23,245,731.26","22,384,006.36","18,970,849.68","55,002,394.44","55,176,378.03","40,486,735.48","43,936,433.33","40,972,501.77"
应付账款,"18,320,252.97","12,840,084.84","13,189,741.21","12,520,155.46","12,735,953.47","9,921,267.98","12,079,294.61","8,858,515.81","13,995,000.81","18,906,097.46","22,072,581.29","22,610,850.31","85,638,469.15","72,653,233.52","70,703,919.32","67,095,459.58","60,120,009.30"
预付款项,"29,294,742.93","22,965,048.40","19,673,802.39","11,677,680.90","12,900,090.97","17,709,481.24","11,797,192.64","21,123,667.14","14,679,291.27","21,081,925.14","17,942,156.77","27,927,113.22","32,187,438.26","25,534,845.31","14,887,904.80","35,554,989.15","30,021,274.62"
预收款项,"100,931,596.01","60,534,465.91","48,820,788.18","34,096,612.69","35,183,525.54","27,846,493.82","34,224,133.52","41,987,412.99","39,695,712.35","50,453,012.15","41,527,793.71","45,661,891.95","80,957,248.54","100,119,964.02","153,335,917.58","87,551,489.18","101,751,889.17"
其他应收款,"1,397,825.69","1,872,345.07","2,633,253.82","2,645,646.76","1,394,145.03","3,026,546.26","1,166,501.81","2,304,426.35","4,115,789.44","7,981,355.82","879,248.25","1,755,269.88","11,792,680.82","8,912,597.33","8,618,393.94","9,924,500.27","10,259,855.17"
应付职工薪酬,"1,567,327.63","499,585.22","97,151.58","197,715.65","114,386.00","107,511.30","66,840.52","87,663.70","104,405.15","98,989.68","100,836.66","149,767.15","12,003,926.79","8,187,781.40","53,844,719.38","32,560,421.14","36,046,969.99"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"2,316,381.84","3,406,004.05","2,864,789.23","5,585,863.85","2,746,849.48","1,222,076.60","1,094,703.91","769,217.54","6,276,773.75","3,121,532.48","2,164,965.91","1,365,083.58","19,327,740.82","28,792,097.79","72,632,509.98","35,731,606.19","13,125,302.98"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,"187,478.25",,"45,188.57","45,188.57","46,717.77"
应收股利,,,,,,,,,,,,,,,,"1,054,663.40",
应付股利,,,,,,,,,,,,,"1,353,974.28","1,470,213.74","1,353,974.28","2,408,637.68","25,904,988.68"
存货,"94,574,624.73","68,220,840.43","57,899,979.23","50,300,825.33","56,694,913.83","49,861,536.22","54,397,031.52","52,648,005.86","50,275,819.66","50,439,995.37","52,615,155.46","49,202,062.74","107,607,483.55","122,892,690.29","117,060,029.17","122,811,985.49","136,676,450.32"
其他应付款,"69,449.52","449,173.54","177,046.30","203,939.54","244,270.14","279,804.14","188,146.01","199,801.80","179,055.38","11,374,020.29","14,376,102.93","14,373,502.98","483,402,192.97","39,439,956.06","52,731,908.82","82,784,814.76","43,183,997.83"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,"21,452,079.78","21,452,079.78","5,000,000.00","5,000,000.00","7,500,000.00"
其他流动资产,,,"1,690,828.12","1,441,439.38","1,687,840.69","163,040,774.25","67,121,840.64","227,068,731.90","191,882,681.26","141,807,582.17","146,928,201.70","132,795,865.12","17,015,726.29","103,802,006.99","103,395,794.78","79,305,873.82","71,658,563.63"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"245,682,926.32","236,764,955.05","228,680,146.30","210,796,326.77","358,395,168.37","344,827,906.21","350,149,919.36","348,026,175.21","354,449,409.07","376,260,030.63","317,469,432.66","306,557,577.69","652,935,940.61","575,998,069.61","776,218,953.51","740,228,712.01","660,527,745.20"
流动负债合计,"123,205,007.97","77,729,313.56","65,149,516.50","52,604,287.19","51,024,984.63","39,377,153.84","47,653,118.57","51,902,611.84","60,250,947.44","83,953,652.06","80,242,280.50","84,161,095.97","1,233,893,725.33","350,115,326.31","462,648,137.93","366,177,617.10","301,679,875.72"
可供出售金融资产,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","15,000,000.00","15,000,000.00","11,100,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,"712,773,869.49","708,010,385.67","703,282,134.05","698,418,635.03","693,733,704.80"
预计负债,"792,542.96","715,764.46","518,490.15","484,590.43","424,715.30","376,431.43","351,336.26","310,907.73","372,618.74","390,649.67","487,244.04","508,904.99","515,622.13","516,693.21","509,582.51","509,582.51","503,910.28"
固定资产,"21,418,794.35","21,609,762.13","21,930,317.20","21,415,702.63","21,080,580.04","20,623,242.72","20,569,838.93","20,151,516.59","19,649,067.29","19,171,995.89","19,624,986.77","76,335,617.67","490,236,613.16","526,202,022.92","519,170,414.82","509,859,840.25","515,301,910.46"
递延所得税负债,,,,,,,,,,,,,,,"93,707,925.23","92,352,409.19","90,996,893.15"
在建工程,,,"7,103,422.20","13,486,505.85","17,418,938.35","24,517,596.51","27,952,763.52","36,764,929.09","42,977,464.17","49,000,974.93","62,624,109.40","10,466,283.07","11,796,915.28","12,862,949.87","12,937,090.77","15,273,019.30","10,438,913.84"
其他非流动负债,,,,,,,,,,,,"210,665.80",,,,,
