科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"359,243,867.79","395,260,081.70","207,443,301.92","291,332,212.46","140,055,614.81","200,928,604.81","245,368,700.19","146,391,883.38","206,509,023.20","313,609,268.76","83,249,669.61","172,362,584.53","260,093,252.97","322,227,460.53","86,009,677.35","179,626,420.16","378,824,808.64","97,611,612.87","191,787,353.00","302,679,608.58"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"2,792,489.65",,,,,"100,967.61","211,974.37",,,553.04,,697.47,"7,902.06",697.47,,,,"47,538.85","166,578.09","166,578.09"
支付其他与投资活动有关的现金,,,,,,,,,,,,"2,000,000.00","5,000,000.00","80,000,000.00",,,,,,
收到其他与经营活动有关的现金,"21,739,942.89","4,689,127.68","10,997,009.39","15,991,887.50","2,983,662.31","3,977,434.09","7,710,433.82","6,804,771.27","7,607,723.55","12,046,980.93","3,360,501.61","6,613,796.31","5,065,548.98","8,591,881.28","520,836.88","552,490.29","2,287,751.03","1,180,506.56","3,178,800.16","7,238,622.82"
投资活动现金流出小计,"43,549,780.43","119,399,466.35","53,286,992.08","60,170,180.55","7,123,786.30","15,833,081.57","31,705,724.39","30,960,146.92","37,700,154.39","45,176,430.86","11,099,896.42","107,143,695.01","112,201,398.37","1,290,356,027.27","476,198,579.22","589,638,678.40","1,287,383,631.53","254,499,508.11","465,995,599.50","749,233,757.41"
经营活动现金流入小计,"383,776,300.33","399,949,209.38","218,440,311.31","307,324,099.96","143,039,277.12","205,007,006.51","253,291,108.38","153,196,654.65","214,116,746.75","325,656,802.73","86,610,171.22","178,977,078.31","265,166,704.01","330,820,039.28","86,530,514.23","180,178,910.45","381,112,559.67","98,839,658.28","195,132,731.25","310,084,809.49"
投资活动产生的现金流量净额,"33,698,397.85","-119,368,426.35","-53,286,992.08","-60,170,180.55","-7,110,786.30","-15,820,081.57","-31,674,724.39","-30,910,323.39","-37,623,154.39","-44,847,630.86","-11,099,896.42","-107,088,434.33","-111,571,137.69","-379,648,004.56","-11,562,758.79","149,447,553.80","-35,468,504.87","22,531,770.78","64,927,464.23","44,365,236.83"
购买商品、接受劳务支付的现金,"122,904,378.19","171,852,883.92","110,388,969.92","138,384,051.48","69,527,313.49","93,810,913.56","81,149,821.46","88,442,471.64","101,241,236.67","153,896,917.57","50,376,597.86","104,169,057.68","132,113,595.57","152,521,553.02","34,838,871.32","70,824,896.93","179,181,133.55","46,550,721.36","87,609,828.14","136,079,529.73"
吸收投资收到的现金,"123,483,182.02",,,,,,,,,"339,224,850.00",,,,,,,"9,555,000.00",,,
支付给职工以及为职工支付的现金,"34,474,767.61","52,381,744.04","38,967,872.36","50,724,047.36","26,827,670.15","41,323,223.26","55,775,474.98","31,837,160.48","47,421,529.98","64,634,318.82","18,004,942.60","35,514,036.93","52,947,141.53","74,967,585.56","20,039,013.42","40,906,757.24","82,822,802.52","23,005,323.96","46,023,276.10","68,042,470.48"
取得借款收到的现金,"60,000,000.00",,,,,,"3,000,000.00",,,,,,,,,,,,,
支付的各项税费,"43,289,459.43","54,467,750.40","28,763,802.28","33,479,889.89","13,743,916.08","26,539,085.42","34,036,565.55","16,146,090.68","26,256,532.06","33,048,390.09","8,347,826.39","16,599,277.23","22,936,930.84","32,583,833.39","7,796,909.90","15,217,627.37","35,257,862.40","8,080,283.08","21,476,035.23","28,807,088.10"
收到其他与筹资活动有关的现金,,,"10,987,250.00","9,365,000.00",,,,,,"17,050,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"14,728,534.67","20,197,324.51","13,324,273.76","18,416,494.39","8,666,086.07","14,578,910.16","20,559,279.56","6,783,551.95","8,548,611.32","25,527,546.46","9,237,845.54","11,466,202.41","20,654,326.50","21,557,924.83","12,042,604.49","18,925,369.35","20,245,456.52","10,785,207.44","21,568,132.90","30,236,448.24"
筹资活动现金流入小计,"183,483,182.02",,"10,987,250.00","9,365,000.00",,,"3,000,000.00",,,"356,274,850.00",,,,,,,"9,555,000.00",,,
经营活动现金流出小计,"215,397,139.90","298,899,702.87","191,444,918.32","241,004,483.12","118,764,985.79","176,252,132.40","191,521,141.55","143,209,274.75","183,467,910.03","277,107,172.94","85,967,212.39","167,748,574.25","228,651,994.44","281,630,896.80","74,717,399.13","145,874,650.89","317,507,254.99","88,421,535.84","176,677,272.37","263,165,536.55"
偿还债务支付的现金,"87,000,000.00","18,000,000.00",,,,,,,,,,,,,,,"3,000,000.00",,,
经营活动产生的现金流量净额,"168,379,160.43","101,049,506.51","26,995,392.99","66,319,616.84","24,274,291.33","28,754,874.11","61,769,966.83","9,987,379.90","30,648,836.72","48,549,629.79","642,958.83","11,228,504.06","36,514,709.57","49,189,142.48","11,813,115.10","34,304,259.56","63,605,304.68","10,418,122.44","18,455,458.88","46,919,272.94"
分配股利、利润或偿还利息支付的现金,"92,624,943.14","12,510,363.99",,,,,,,,,,"82,336,665.59","111,900,000.00","111,900,000.00",,"9,222,450.00","22,380,000.00",,"17,569,800.00","17,569,800.00"
收回投资收到的现金,"66,954,504.29",,,,,,,,,,,,,"870,413,224.38","461,865,298.24","734,308,415.67","1,193,440,700.00","275,521,617.98","526,575,947.72","785,838,478.12"
支付其他与筹资活动有关的现金,,"9,365,000.00","3,012,250.00","1,390,000.00","350,000.00","1,350,000.00","1,950,000.00","350,000.00","500,000.00","2,767,177.24","600,000.00","600,000.00","1,200,000.00","1,200,000.00",,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,"8,366,705.19","2,118,022.19","3,426,155.11","5,670,362.93","1,499,660.91","4,215,295.77","7,160,252.46"
筹资活动现金流出小计,"179,624,943.14","39,875,363.99","3,012,250.00","1,390,000.00","350,000.00","1,350,000.00","1,950,000.00","350,000.00","500,000.00","2,767,177.24","600,000.00","82,936,665.59","113,100,000.00","113,100,000.00",,"9,222,450.00","25,380,000.00",,"17,569,800.00","17,569,800.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"555,000.00","31,040.00",,,"13,000.00","13,000.00","31,000.00","49,823.53","77,000.00","328,800.00",,"55,260.68","630,260.68","606,426.47",,,"16,081.56","10,000.00","131,820.24","600,263.66"
筹资活动产生的现金流量净额,"3,858,238.88","-39,875,363.99","7,975,000.00","7,975,000.00","-350,000.00","-1,350,000.00","1,050,000.00","-350,000.00","-500,000.00","353,507,672.76","-600,000.00","-82,936,665.59","-113,100,000.00","-113,100,000.00",,"-9,222,450.00","-15,825,000.00",,"-17,569,800.00","-17,569,800.00"
处置子公司及其他营业单位收到的现金净额,"5,198,976.48",,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,158,736.38","-1,332,604.28","349,443.31","-311,218.40","-1,128,761.21","-1,166,953.37","-1,430,102.48","538,742.08","608,495.08","-1,315,959.08","-805,428.03","313,364.80","3,237,964.41","2,545,649.54","209,864.38","1,518,973.49","2,897,838.93","-40,116.64","-1,101,994.28","-2,682,723.18"
收到其他与投资活动有关的现金,"4,539,697.51",,,,,,,,,,,,,"31,321,666.67","652,500.00","1,351,661.42","52,787,982.17",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"77,248,178.28","31,040.00",,,"13,000.00","13,000.00","31,000.00","49,823.53","77,000.00","328,800.00",,"55,260.68","630,260.68","910,708,022.71","464,635,820.43","739,086,232.20","1,251,915,126.66","277,031,278.89","530,923,063.73","793,598,994.24"
五、现金及现金等价物净增加额,"204,777,060.78","-59,526,888.11","-17,967,155.78","13,813,217.89","15,684,743.82","10,417,839.17","29,715,139.96","-20,734,201.41","-6,865,822.59","355,893,712.61","-11,862,365.62","-178,483,231.06","-184,918,463.71","-441,013,212.54","460,220.69","176,048,336.85","15,209,638.74","32,909,776.58","64,711,128.83","71,031,986.59"
购建固定资产、无形资产和其他长期资产支付的现金,"41,487,526.25","114,974,900.53","53,286,992.08","60,170,180.55","7,123,786.30","15,833,081.57","31,705,724.39","30,960,146.92","37,700,154.39","45,176,430.86","11,099,896.42","65,779,384.01","67,837,087.37","88,323,265.78","2,497,229.22","13,937,328.40","13,176,266.11","23,599,508.11","35,095,599.50","46,333,757.41"
期初现金及现金等价物余额,"15,357,401.02","220,134,461.80","160,607,573.69","160,607,573.69","174,420,791.58","174,420,791.58","174,420,791.58","204,135,931.54","204,135,931.54","204,135,931.54","560,029,644.15","560,029,644.15","560,029,644.15","560,029,644.15","119,016,431.61","119,016,431.61","119,016,431.61","134,226,070.35","134,226,070.35","134,226,070.35"
投资支付的现金,"2,062,254.18","4,424,565.82",,,,,,,,,,"39,364,311.00","39,364,311.00","1,122,032,761.49","473,701,350.00","575,701,350.00","1,274,207,365.42","230,900,000.00","430,900,000.00","702,900,000.00"
