科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"446,730,750.76","954,525,339.90","751,072,129.72","434,185,613.96","648,147,668.51","909,441,833.56","221,561,820.54","448,677,063.46","875,924,984.64","1,159,732,480.20","242,578,173.27","591,925,040.30","900,197,222.70","1,247,650,321.84","307,627,417.34","670,295,943.75","1,031,996,260.73","1,523,864,154.30","318,642,242.41","782,803,050.08","1,334,489,782.83","1,753,353,848.46","464,084,012.78","720,705,064.34","1,326,281,794.97","1,685,670,245.14","492,748,444.69","953,814,461.24","1,669,445,819.39","2,068,324,791.88","406,468,034.45","681,554,444.83","1,038,574,473.12","1,401,027,282.27","373,356,061.05","757,680,733.92","1,122,085,636.27","1,648,537,124.07","754,937,631.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,826,893.96","163,826,893.96",,,,,,,"115,919,303.09",,
收到的税费返还,"21,400,983.46","45,060,881.03","27,089,229.48","13,806,386.62","23,452,440.00","38,183,297.36","14,324,329.32","37,645,792.98","49,182,693.05","54,196,277.64","14,859,024.69","30,271,320.28","53,902,250.76","69,039,585.40","31,762,590.93","45,068,374.31","52,039,877.54","74,973,393.13","16,354,135.83","34,588,282.00","61,089,854.43","93,879,915.30","17,045,624.24","32,694,123.34","47,374,396.10","84,015,293.22","30,314,969.47","42,086,755.75","73,810,631.65","107,220,245.64","15,584,375.47","24,117,955.68","42,003,649.11","77,153,136.11","14,360,806.03","30,649,026.70","48,116,419.39","59,660,941.31","15,339,078.19"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"2,296,281.25",,,,"12,519.63",,,,,,,,,,"1,116,600.00","8,000.00","9,814.60",,,,,,"54,330.00",,"5,000,000.00","50,000,000.00","31,000,000.00"
收到其他与经营活动有关的现金,"8,378,690.54","147,713,831.67","71,330,397.68","17,512,664.15","26,991,234.32","52,712,002.31","31,479,743.56","15,696,391.37","36,432,441.27","61,154,498.55","20,827,031.71","38,126,918.93","49,503,750.20","64,112,601.44","8,145,408.41","27,056,424.41","35,430,475.22","39,054,221.30","15,015,666.59","97,056,304.31","110,441,213.56","121,754,158.98","13,639,856.02","58,094,058.35","71,045,757.65","130,588,809.96","15,780,116.15","32,291,849.26","88,588,537.35","134,442,370.04","9,705,226.19","52,828,482.19","80,897,055.17","82,192,781.29","17,253,047.99","32,924,482.33","51,360,579.34","62,285,990.74","21,550,498.35"
投资活动现金流出小计,"74,684,949.01","66,945,139.54","140,895,729.46","19,602,321.08","63,984,569.85","85,638,316.96","50,524,150.38","90,277,957.45","219,173,010.39","314,657,183.04","68,329,030.93","129,986,065.70","523,373,291.24","661,879,678.81","53,250,774.44","74,406,610.78","107,756,660.13","123,400,812.86","47,796,011.01","59,886,243.76","83,348,692.18","147,734,119.23","33,033,321.18","40,735,539.86","651,089,651.62","1,802,356,110.82","846,018,384.72","1,071,582,366.69","1,634,935,387.95","1,905,396,904.81","383,881,833.76","815,067,058.25","1,132,054,993.54","1,370,467,157.02","215,090,121.69","383,643,881.63","618,341,403.46","946,389,253.62","278,472,771.29"
经营活动现金流入小计,"476,510,424.76","1,147,300,052.60","849,491,756.88","465,504,664.73","698,591,342.83","1,000,337,133.23","267,365,893.42","502,019,247.81","961,540,118.96","1,275,083,256.39","278,264,229.67","660,323,279.51","1,003,603,223.66","1,380,802,508.68","347,535,416.68","742,420,742.47","1,119,466,613.49","1,637,891,768.73","350,012,044.83","914,447,636.39","1,506,020,850.82","1,968,987,922.74","494,769,493.04","811,493,246.03","1,444,701,948.72","1,900,274,348.32","538,843,530.31","1,028,193,066.25","1,831,844,988.39","2,309,987,407.56","431,757,636.11","758,500,882.70","1,161,475,177.40","1,560,373,199.67","404,969,915.07","821,254,242.95","1,221,562,635.00","1,770,484,056.12","791,827,207.78"
投资活动产生的现金流量净额,"-74,684,949.01","-66,885,139.54","-140,586,559.90","-19,518,480.78","-63,900,329.55","-85,498,676.66","-50,524,150.38","-90,277,957.45","-219,172,210.39","-314,349,664.35","-68,321,985.93","-120,383,417.50","-522,396,241.34","-661,784,795.31","-53,246,795.72","-74,402,132.06","-107,403,406.89","-122,994,999.62","-47,675,011.01","-59,586,456.58","-80,793,606.00","-144,214,377.36","-32,999,322.04","-40,700,398.53","-399,839,185.20","-536,084,892.67","37,280,043.32","305,591,728.95","-7,280,819.52","-138,563,198.17","162,318,413.58","55,936,834.99","-166,898,590.10","-115,732,361.74","8,986,746.60","-74,826,175.86","-209,680,549.49","-284,120,578.30","-21,039,403.03"
购买商品、接受劳务支付的现金,"364,368,459.47","759,127,352.99","341,568,642.05","278,895,461.04","448,761,691.84","621,767,482.95","202,297,417.56","411,269,517.80","650,910,357.66","908,911,371.55","236,360,249.09","462,125,161.25","690,898,612.55","931,530,744.43","243,194,815.34","442,455,688.32","677,402,171.99","993,069,768.26","302,213,974.10","757,316,403.20","1,276,743,369.04","1,682,930,919.43","359,407,520.73","674,697,500.64","977,769,180.96","1,336,349,458.68","454,825,045.12","862,253,094.00","1,200,816,009.13","1,487,954,395.36","293,916,089.56","534,084,267.04","774,392,435.92","1,026,486,047.70","308,684,246.47","623,751,473.20","963,777,889.63","1,255,530,104.20","335,064,354.94"
吸收投资收到的现金,"40,000,000.00","30,000,000.00","200,437,588.08",,"1,387,280,210.40","1,387,280,210.40",,"2,450,000.00","2,450,000.00","2,450,000.00",,"145,000,017.60","253,835,289.60","253,835,289.60",,,,,"200,000.00","200,000.00","200,000.00","200,000.00",,"139,106,533.00","751,151,533.00","751,151,533.00",,,,,,,,,,"1,000,000.00","1,000,000.00","2,500,000.00",
