科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"565,253,865.01","564,080,752.66","646,794,512.65","169,397,084.32","267,275,737.96","369,147,947.70","496,751,608.85","185,995,735.18","336,929,631.65","515,901,515.30","625,353,350.44","102,752,301.07","180,083,032.25","289,083,360.69","623,514,556.99","198,543,439.18","276,902,990.64","475,801,002.67","797,229,451.12","201,535,927.32","326,645,743.78","379,548,029.01","485,068,909.00","260,054,376.76","371,742,407.13","590,165,392.50"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"600,000.00","111,708,194.99","114,814,150.76","139,904,172.56"
收到的税费返还,,,,,,,"102,821.62",,,,,,,"5,289,839.96",,"2,362,774.13",,,,,,,,,,"26,618.86"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,000,000.00",,,,,"42,236.86",,,
收到其他与经营活动有关的现金,"14,046,330.78","5,699,620.00","14,578,712.51","492,096.00","14,158,798.77","10,459,653.87","4,175,835.00","21,187.00","189,539.20","801,703.72","1,072,463.40","2,167,467.17","1,764,352.49","3,310,698.03","1,762,225.00","11,201,117.83","10,098,196.85","29,369,536.44","48,936,138.30","1,834,891.49","7,514,597.62","11,534,877.13","1,919,273.20","9,724,754.12","11,242,565.22","19,154,905.54"
投资活动现金流出小计,"13,694,764.66","16,247,085.74","41,803,370.83","14,915,490.97","37,344,970.03","67,025,426.80","78,529,047.67","49,796,020.75","68,959,511.94","80,361,099.30","110,353,632.33","15,826,881.65","26,440,134.23","35,239,502.88","49,689,714.79","10,669,457.18","13,074,263.06","18,320,820.81","1,105,347.63","26,766,870.48","52,409,172.58","678,448,782.12","1,305,944,108.34","627,454,165.50","847,043,411.88","1,072,582,371.13"
经营活动现金流入小计,"579,300,195.79","569,780,372.66","661,373,225.16","169,889,180.32","281,434,536.73","379,607,601.57","501,030,265.47","186,016,922.18","337,119,170.85","516,703,219.02","626,425,813.84","104,919,768.24","181,847,384.74","297,683,898.68","625,276,781.99","212,107,331.14","287,001,187.49","505,170,539.11","846,165,589.42","203,370,818.81","334,160,341.40","391,082,906.14","486,988,182.20","269,779,130.88","382,984,972.35","609,346,916.90"
投资活动产生的现金流量净额,"-11,160,899.48","-14,487,452.30","-39,525,743.46","-14,062,366.85","-33,155,357.08","-59,670,054.57","-67,296,497.29","-47,210,106.80","-64,506,988.53","-73,820,688.60","-100,479,947.87","-13,216,788.71","-18,625,904.22","-31,770,802.02","-31,621,687.59","-4,327,926.26","-1,539,717.24","2,866,040.35","24,032,507.76","-23,627,947.37","-46,626,954.99","-668,078,520.12","-1,281,537,222.11","-130,831,962.23","-403,155,182.81","-617,545,622.19"
购买商品、接受劳务支付的现金,"455,960,330.68","417,409,375.95","617,648,046.33","195,180,903.10","291,249,307.94","499,535,883.88","848,171,829.31","262,292,044.15","274,246,316.62","608,348,640.69","623,733,516.31","145,288,861.89","185,028,748.29","237,976,944.15","464,327,717.75","183,921,032.94","155,793,964.74","224,318,531.00","600,475,806.35","249,140,322.21","283,067,479.73","459,958,822.66","711,926,498.76","149,459,387.78","224,646,550.23","369,609,095.96"
吸收投资收到的现金,,"3,264,097.88",,"361,861,328.90","361,861,328.90","361,861,328.90","361,861,328.90",,,,,,,,,,,,,,,"1,726,647,613.67","1,726,647,613.67",,,
支付给职工以及为职工支付的现金,"13,524,727.28","14,582,678.81","16,481,451.81","6,423,661.62","12,501,767.65","15,392,608.13","20,983,867.09","6,850,587.78","10,658,800.22","21,297,137.80","26,498,761.22","8,981,142.30","16,767,303.11","26,343,017.35","32,171,477.62","8,273,871.50","15,856,485.82","23,990,475.68","30,819,702.00","8,636,844.54","14,455,529.33","21,873,094.93","29,594,734.99","12,951,309.95","31,931,530.90","63,509,442.54"
取得借款收到的现金,"53,500,000.00","149,500,000.00","273,956,985.00","81,500,000.00","189,500,000.00","326,500,000.00","463,500,000.00","135,000,000.00","180,000,000.00","572,500,000.00","710,960,700.00","97,000,000.00","271,195,508.42","336,195,508.42","490,195,508.42","34,000,000.00","84,000,000.00","386,301,861.17","955,310,149.29","95,500,000.00","248,000,000.00","348,000,000.00","438,000,000.00","794,000,000.00","1,002,000,000.00","1,243,000,000.00"
支付的各项税费,"31,125,353.20","38,031,592.20","50,813,592.06","14,356,568.33","23,426,253.08","16,198,982.39","25,550,127.68","3,765,595.68","9,480,630.65","14,067,290.71","19,384,950.49","2,915,589.86","-217,136.38","6,480,932.10","8,332,495.14","1,434,780.91","8,205,767.30","10,352,205.20","21,531,025.87","7,316,327.76","13,220,000.71","22,963,409.41","16,869,487.01","2,165,003.62","4,495,582.90","6,915,948.51"
收到其他与筹资活动有关的现金,,,"20,083,273.11",,,,,,,,"971,288.03",,"7,455,818.62",,,,,,,"8,493,351.65","5,784,700.95","1,020,019.87","53,424,562.84",,,"7,312,638.32"
支付其他与经营活动有关的现金,"8,285,853.95","21,304,046.18","12,031,402.50","6,657,971.54","8,378,249.23","4,158,271.45","34,886,144.66","7,764,921.11","35,759,652.43","34,246,144.40","56,956,073.10","11,693,339.42","13,943,669.15","16,438,462.58","27,827,119.85","3,957,052.82","8,134,579.36","21,781,017.97","18,978,968.86","4,801,610.47","9,907,532.72","41,844,252.34","43,457,462.18","149,654,669.27","104,181,389.98","101,145,598.01"
筹资活动现金流入小计,"53,500,000.00","152,764,097.88","294,040,258.11","443,361,328.90","551,361,328.90","688,361,328.90","1,072,161,328.90","135,000,000.00","180,000,000.00","572,500,000.00","711,931,988.03","97,000,000.00","278,651,327.04","336,195,508.42","490,195,508.42","34,000,000.00","84,000,000.00","386,301,861.17","955,310,149.29","103,993,351.65","253,784,700.95","2,075,667,633.54","2,218,072,176.51","794,000,000.00","1,002,000,000.00","1,250,312,638.32"
经营活动现金流出小计,"508,896,265.11","491,327,693.14","696,974,492.70","222,619,104.59","335,555,577.90","535,285,745.85","929,591,968.74","280,673,148.72","330,145,399.92","677,959,213.60","726,573,301.12","168,878,933.47","215,522,584.17","287,239,356.18","532,658,810.36","197,586,738.17","187,990,797.22","280,442,229.85","671,805,503.08","269,895,104.98","320,650,542.49","546,639,579.34","801,848,182.94","314,230,370.62","365,255,054.01","541,180,085.02"
偿还债务支付的现金,"73,500,000.00","115,500,000.00","124,500,000.00","73,956,985.00","199,956,985.00","288,956,985.00","365,956,985.00","90,000,000.00","167,000,000.00","439,000,000.00","680,500,000.00","61,000,000.00","228,656,208.42","308,656,208.42","486,656,208.42","19,000,000.00","148,000,000.00","361,000,000.00","955,078,127.84","133,502,946.86","260,931,834.55","563,336,782.31","606,959,036.24","438,525,367.12","521,799,820.80","552,799,820.80"
经营活动产生的现金流量净额,"70,403,930.68","78,452,679.52","-35,601,267.54","-52,729,924.27","-54,121,041.17","-155,678,144.28","-428,561,703.27","-94,656,226.54","6,973,770.93","-161,255,994.58","-100,147,487.28","-63,959,165.23","-33,675,199.43","10,444,542.50","92,617,971.63","14,520,592.97","99,010,390.27","224,728,309.26","174,360,086.34","-66,524,286.17","13,509,798.91","-155,556,673.20","-314,860,000.74","-44,451,239.74","17,729,918.34","68,166,831.88"
分配股利、利润或偿还利息支付的现金,"15,657,698.10","21,932,418.50","32,016,290.08","3,953,586.41","20,270,494.65","27,429,857.71","32,978,285.61","5,039,366.87","14,608,167.83","27,729,934.91","49,642,899.88","6,369,995.67","11,963,331.76","16,900,115.22","41,602,640.68","4,587,121.09","11,269,856.95","20,532,978.62","45,311,563.30","3,682,522.30","6,826,024.96","10,293,089.14","21,059,708.48","1,131,782.54","4,646,195.66","7,295,215.66"
收回投资收到的现金,"546,435.48","419,587.85",,,,,,,,,,,,,,,,,,,,,,"492,019,909.56","435,971,392.29","442,382,431.64"
支付其他与筹资活动有关的现金,"3,801,454.76","63,607,511.38","761,712.29","39,701,595.98","37,013,005.61","37,429,223.41","12,047,041.80","12,388,908.98","43,272,923.02","14,153,544.87","666,253.81","6,940,908.89","268,890.43","11,607,452.15","59,711,158.56","33,301,008.81","55,334,817.84","91,086,606.37","65,263,800.61","239,540.76","18,155,931.94","18,659,980.29","18,829,205.09","11,027,850.24","54,992,535.31",
取得投资收益收到的现金,"7,422.00","42,550.90",,,,,,,,,,,,,,,,,,,,,"3,830,075.06","1,689,589.04","2,146,981.75","2,433,545.54"
筹资活动现金流出小计,"92,959,152.86","201,039,929.88","157,278,002.37","117,612,167.39","257,240,485.26","353,816,066.12","410,982,312.41","107,428,275.85","224,881,090.85","480,883,479.78","730,809,153.69","74,310,904.56","240,888,430.61","337,163,775.79","587,970,007.66","56,888,129.90","214,604,674.79","472,619,584.99","1,065,653,491.75","137,425,009.92","285,913,791.45","592,289,851.74","646,847,949.81","450,684,999.90","581,438,551.77","560,095,036.46"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"30,000.00","59,613.28","142,211.53","142,211.53","202,211.53",,"167,416.75","274,125.01","498,248.09","94,153.85","374,457.70","691,177.50","691,177.50","4,903.85","4,903.85","4,903.85","5,004,903.85",360.00,"16,360.00","28,360.00","3,872,772.00",,,"75,900.00"
筹资活动产生的现金流量净额,"-39,459,152.86","-48,275,832.00","136,762,255.74","325,749,161.51","294,120,843.64","334,545,262.78","661,179,016.49","27,571,724.15","-44,881,090.85","91,616,520.22","-18,877,165.66","22,689,095.44","37,762,896.43","-968,267.37","-97,774,499.24","-22,888,129.90","-130,604,674.79","-86,317,723.82","-110,343,342.46","-33,431,658.27","-32,129,090.50","1,483,377,781.80","1,571,224,226.70","343,315,000.10","420,561,448.23","690,217,601.86"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-66,533.26",,"322,520.26","327,960.46","380,636.97","-1,541.69","-8,612.26","-1,281.26","-100,261.09",,"-223,399.63","-272,738.52","-320,170.20",,"-219,107.01","-105,072.44","136,177.63","-27,617.59","320,183.02","410,607.84","836,300.28",,"-708,507.48","-1,341,797.68"
收到其他与投资活动有关的现金,"1,980,007.70","1,297,494.69","2,247,627.37","793,510.84","4,047,401.42","7,213,160.70","11,030,338.85","2,585,913.95","4,285,106.66","6,266,285.69","9,375,436.37","2,515,939.09","7,439,772.31","2,777,523.36","17,376,849.70","6,336,627.07","11,529,641.97","21,181,957.31","20,132,951.54","3,138,563.11","5,765,857.59","10,341,902.00","16,704,039.17","2,912,704.67","5,769,855.03","10,144,871.76"
四(2)、其他原因对现金的影响,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,533,865.18","1,759,633.44","2,277,627.37","853,124.12","4,189,612.95","7,355,372.23","11,232,550.38","2,585,913.95","4,452,523.41","6,540,410.70","9,873,684.46","2,610,092.94","7,814,230.01","3,468,700.86","18,068,027.20","6,341,530.92","11,534,545.82","21,186,861.16","25,137,855.39","3,138,923.11","5,782,217.59","10,370,262.00","24,406,886.23","496,622,203.27","443,888,229.07","455,036,748.94"
五、现金及现金等价物净增加额,"19,783,878.33","15,689,395.22","61,568,711.48","258,956,870.39","207,166,965.65","119,525,024.39","165,701,452.90","-114,296,150.88","-102,422,920.71","-143,461,444.22","-219,604,861.90","-54,486,858.50","-14,761,606.85","-22,567,265.41","-37,098,385.40","-12,695,463.19","-33,353,108.77","141,171,553.35","88,185,429.27","-123,611,509.40","-64,926,063.56","660,153,196.32","-24,336,695.87","168,031,798.13","34,427,676.28","139,497,013.87"
购建固定资产、无形资产和其他长期资产支付的现金,"13,494,764.66","16,247,085.74","41,803,370.83","14,915,490.97","37,344,970.03","66,725,923.96","78,499,295.73","49,796,020.75","68,959,511.94","80,361,099.30","110,353,632.33","15,826,881.65","26,440,134.23","35,239,502.88","49,689,714.79","10,669,457.18","13,074,263.06","17,320,820.81","1,105,347.63","26,766,870.48","52,409,172.58","564,448,782.12","829,281,961.92","255,745,970.51","542,229,261.12","742,678,198.57"
期初现金及现金等价物余额,"45,194,905.58","64,978,783.91","80,668,179.13","99,209,021.47","142,236,890.61","142,236,890.61","142,236,890.61","308,005,323.43","307,938,343.51","307,938,343.51","307,938,343.51","88,333,481.61","88,333,481.61","88,333,481.61","88,333,481.61","51,235,096.21","51,235,096.21","51,235,096.21","51,235,096.21","139,421,461.97","139,420,525.48","139,420,524.77","139,420,525.48","115,083,829.61","115,083,829.61","115,083,829.61"
投资支付的现金,"200,000.00",,,,,"299,502.84","29,751.94",,,,,,,,,,,,,,,"114,000,000.00","476,019,909.56","260,000,000.00","190,000,000.00","190,000,000.00"
期末现金及现金等价物余额,"64,978,783.91","80,668,179.13","142,236,890.61","358,165,891.86","349,403,856.26","261,761,915.00","307,938,343.51","193,709,172.55","205,515,422.80","164,476,899.29","88,333,481.61","33,846,623.11","73,571,874.76","65,766,216.20","51,235,096.21","38,539,633.02","17,881,987.44","192,406,649.56","139,420,525.48","15,809,952.57","74,494,461.92","799,573,721.09","115,083,829.61","283,115,627.74","149,511,505.89","254,580,843.48"
