科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"849,884,428.14","1,346,754,319.55","1,929,934,694.42","1,309,187,224.31","1,871,540,097.01","2,556,879,166.48","676,163,818.88","1,407,135,719.90","2,157,922,672.49","2,998,260,900.21","982,858,603.07","2,120,015,596.80","3,108,945,426.23","3,951,033,033.08","1,061,814,170.05","2,317,937,920.07","3,533,108,056.75","4,549,915,314.66","1,145,076,016.76","2,614,078,509.23","4,021,054,047.04","5,126,627,132.09","1,153,642,371.36","2,551,438,380.23","3,739,442,080.44","5,157,369,192.01","1,356,074,573.94","2,851,773,914.89","4,925,145,278.03","5,626,440,546.85","1,407,476,119.35","2,701,739,794.97","4,119,304,171.18","7,612,185,740.64","1,831,347,903.17"
二、营业利润,"219,721,332.79","249,598,537.22","377,169,380.47","265,801,806.99","414,572,134.81","495,383,757.15","153,215,993.61","345,610,257.07","494,991,277.32","622,852,660.35","200,355,657.39","485,307,301.55","681,219,238.14","921,929,592.15","259,221,426.13","647,645,609.97","930,452,435.61","1,247,592,282.63","322,835,553.93","741,574,168.67","1,094,468,414.17","1,487,589,985.79","336,951,328.89","799,467,270.75","1,161,282,719.99","1,595,982,077.96","352,669,012.40","816,699,879.42","1,204,441,456.25","1,667,077,601.97","428,214,758.19","926,008,386.05","1,366,959,205.10","1,817,938,210.93","467,629,374.57"
减:营业成本,"480,295,054.30","805,813,758.71","1,192,328,599.25","879,224,697.69","1,214,422,310.70","1,703,040,650.46","437,392,783.66","892,480,862.08","1,406,528,880.26","1,982,149,196.23","648,965,655.29","1,367,465,539.52","2,012,811,234.68","2,407,146,272.42","649,294,642.06","1,367,792,511.03","2,141,284,241.39","2,715,074,804.86","696,090,652.02","1,621,234,075.60","2,529,443,878.55","3,079,522,015.64","673,000,782.15","1,506,939,893.45","2,221,990,559.96","3,061,530,652.31","889,266,043.80","1,834,806,637.40","3,415,349,586.06","3,532,992,928.34","899,649,507.38","1,659,751,825.75","2,585,753,367.82","5,539,294,257.52","1,328,273,875.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"27,648,473.58","44,024,672.20","61,036,313.36","34,733,641.14","52,155,121.06","70,901,453.47","20,878,601.23","42,210,720.66","63,094,674.27","86,650,054.83","27,409,553.21","61,953,113.82","91,401,949.04","129,927,048.01","32,189,827.46","69,761,316.84","88,065,256.23","91,264,472.36","3,181,292.91","7,092,136.57","10,778,552.89","14,979,528.00","2,639,789.94","6,021,235.07","8,468,329.87","12,316,517.62","4,170,836.68","10,616,115.13","15,656,232.05","48,122,479.00","19,784,678.83","33,060,258.99","48,143,719.22","75,270,284.83","22,236,401.39"
营业外收入,"9,213,878.30","9,991,607.59","6,674,807.75","5,022,939.62","6,386,853.13","8,478,489.85","1,321,063.37","28,208,076.20","30,225,130.10","33,686,703.53","3,686,116.00","9,521,710.67","10,964,667.41","13,846,548.58","4,932,292.40","9,625,558.20","12,429,658.16","13,753,154.59","1,076,899.94","3,811,163.01","5,174,292.67","20,328,373.99","3,635,164.15","6,234,082.43","7,924,680.53","23,781,791.00","6,210,720.68","32,424,666.95","53,873,125.42","48,658,460.54","2,635,079.19","9,716,759.81","12,833,795.84","22,960,345.35","5,261,838.01"
销售费用,"1,191,724.14","3,120,371.34","5,313,286.46","2,651,620.43","3,252,449.07","4,811,172.44","1,370,907.57","3,159,142.40","5,171,226.88","8,613,995.45","2,390,992.71","3,776,571.61","5,388,193.67","10,385,906.33","1,381,201.98","4,959,952.78","5,990,008.92","7,988,981.85","594,162.08","2,035,568.52","3,485,980.22","4,668,589.44","533,490.23","1,031,052.25","1,455,419.31","1,876,396.21","815,122.11","535,496.44","787,550.19","1,903,185.31","471,006.47","1,015,020.34","1,606,181.25","27,887,920.58","6,649,733.57"
减:营业外支出,"2,449,414.73","6,075,872.98","2,378,721.40","1,798,702.14","3,742,773.14","4,678,070.45","138,727.95","197,413.32","369,219.92","2,786,888.76","78,405.86","290,470.19","430,285.31","788,345.60","64,905.50","426,608.90","594,213.85","2,397,122.38","1,689.00","2,689.00","288,886.58","878,268.16","55,000.00","19,560,174.68","20,324,544.70","25,274,201.79",,"49,216,698.47","49,748,413.06","57,594,507.89","2,127,867.64","2,995,283.29","4,355,001.48","6,942,200.29","747,116.22"
管理费用,"118,632,586.25","169,811,727.42","220,890,818.06","94,467,413.92","144,158,948.72","234,435,485.50","55,640,352.07","107,974,052.30","163,595,803.88","271,602,506.81","69,081,678.81","128,544,051.99","198,345,489.12","321,650,707.87","71,243,170.75","134,269,351.21","222,337,042.53","339,621,086.77","67,911,665.39","145,778,752.12","230,880,801.87","334,459,711.78","79,033,045.25","159,299,705.98","236,251,747.28","331,786,908.01","76,819,550.18","159,019,699.21","248,801,120.63","327,715,583.54","71,494,179.32","167,814,983.58","251,572,792.87","407,831,879.53","88,046,392.67"
其中:非流动资产处置净损失,"1,495,537.88","3,829,651.21","1,324,052.55",,"16,009.00","1,001,562.95","3,681.48","4,514.85","7,889.45","2,081,677.53",,"4,525.89","8,278.16","263,966.86","2,479.10","3,964.60","23,913.63","1,759,318.86",189.00,189.00,"1,081.50","192,258.44",,,"494,370.02","503,827.11",,,"15,411.78","46,427.92",-0.73,-0.73,"21,906.25",,
