科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"179,873,837.17","160,848,391.56","255,253,711.62","153,546,084.76","231,762,896.94","290,026,000.48","54,258,028.39","134,161,164.37","214,300,689.07","309,319,256.70","71,110,384.73","175,547,093.84","278,701,994.00","395,981,515.13","91,640,148.23","204,358,006.52","301,886,006.70","409,395,641.61","99,326,472.90","184,245,146.63","324,819,141.32","343,381,320.03","84,870,355.62","196,158,699.30","331,784,913.47","432,192,132.20","124,663,930.49","237,640,489.96","381,614,076.08","582,381,178.77"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"23,497,569.97",,,,
收到的税费返还,"655,931.43","1,866,573.32","2,438,889.64","2,015,448.65","2,015,448.65","3,230,642.38","2,053,416.54","3,853,448.38","4,448,195.42","6,333,378.11","1,753,192.92","4,350,934.33","6,043,976.27","7,828,482.00","1,680,610.63","2,384,458.74","6,452,159.02","7,403,640.82","2,950,388.69","4,093,570.66","5,923,617.46","8,899,917.80","807,507.78","1,849,425.40","2,242,642.00","3,244,024.59","2,553,950.63","5,754,495.86","6,929,571.44","7,697,074.12"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"1,507,710.78","1,532,575.72","1,525,659.72",,,,131.95,,,,,
收到其他与经营活动有关的现金,"20,613,961.19","5,592,614.06","14,079,599.84","9,103,215.78","9,203,215.78","10,208,576.55",,"1,723,368.95","7,583,877.89","9,844,380.51","777,031.78","1,722,591.62","3,629,436.78","6,242,429.93","586,028.06","4,777,298.87","5,813,790.13","4,925,648.17","2,226,104.65","2,846,730.92","4,805,427.09","7,307,417.11","3,304,574.82","4,308,573.25","5,162,461.94","2,303,525.10","1,061,937.32","2,596,851.78","4,713,340.70","2,926,220.03"
投资活动现金流出小计,"23,820,226.60","18,545,513.45","27,769,902.77","16,122,878.37","46,234,711.44","63,278,647.04","16,663,693.85","12,887,808.35","24,594,919.46","82,841,086.84","13,144,582.64","27,505,934.10","40,542,864.84","84,743,264.55","3,421,279.84","19,881,184.65","29,290,190.73","32,863,614.74","4,031,488.54","9,829,294.84","20,995,021.50","40,680,965.40","4,413,871.62","15,411,293.03","58,844,734.90","42,797,471.53","2,735,610.40","5,011,455.27","6,089,803.86","55,101,399.10"
经营活动现金流入小计,"201,143,729.79","168,307,578.94","271,772,201.10","164,664,749.19","242,981,561.37","303,465,219.41","56,311,444.93","139,737,981.70","226,332,762.38","325,497,015.32","73,640,609.43","181,620,619.79","288,375,407.05","410,052,427.06","93,906,786.92","211,519,764.13","314,151,955.85","421,724,930.60","104,502,966.24","191,185,448.21","335,548,185.87","359,588,654.94","88,982,438.22","202,316,697.95","339,190,017.41","437,739,681.89","128,279,818.44","245,991,837.60","393,256,988.22","593,004,472.92"
投资活动产生的现金流量净额,"-3,316,426.60","-18,545,513.45","-27,769,902.77","-15,968,724.52","-46,080,557.59","-63,124,493.19","-16,663,693.85","-26,852,439.07","-26,998,504.85","-82,735,317.61","-13,144,582.64","-27,505,934.10","-40,540,154.84","-80,206,530.86","-3,421,279.84","-19,881,184.65","-29,261,690.73","-32,823,714.74","-4,015,638.54","-9,813,444.84","-19,040,971.50","-40,554,965.40","-4,320,493.62","-15,317,915.03","-58,678,989.68","-40,577,429.44","-2,735,610.40","-1,889,455.27","-2,967,803.86","-54,979,399.10"
购买商品、接受劳务支付的现金,"138,588,118.75","113,804,994.16","178,215,843.12","139,666,370.02","197,032,508.46","268,158,439.78","67,621,754.91","107,703,799.42","196,247,709.59","219,511,855.15","71,147,761.44","154,167,621.38","243,306,838.97","311,235,633.57","73,677,165.92","145,192,140.97","233,057,605.93","300,960,359.07","66,518,388.72","110,120,019.61","228,186,479.41","273,234,778.80","57,592,020.20","102,594,453.90","148,210,351.44","199,686,221.40","103,956,414.58","177,053,281.89","273,761,449.22","333,610,349.73"
吸收投资收到的现金,"2,000,000.00",,,,"415,737,000.00","415,737,000.00",,,,,,,,,,"12,068,700.00","12,068,700.00","12,068,700.00",,,,,,,"13,431,535.27",,"15,584,800.00","15,584,800.00","15,584,800.00","15,584,800.00"
