科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"223,355,667.18","212,988,430.89","173,481,318.30","264,745,652.70","200,496,418.59","596,772,270.63","452,838,416.94","312,648,480.79","488,723,776.56","457,397,039.78","335,754,791.17","306,226,269.40","1,075,851,774.91","810,399,317.72","821,368,706.41","1,121,061,942.30","1,435,673,131.11","684,914,614.71","935,149,450.17","1,078,985,818.52","1,162,261,133.37","1,022,106,810.12","1,064,028,673.27"
短期借款,"258,950,986.60","347,301,509.24","334,395,155.96","436,507,792.69","370,087,011.58","422,752,944.51","259,021,215.16","321,945,330.60","449,044,509.33","573,988,026.09","512,378,922.86","592,692,598.60","461,296,828.20","348,731,233.50","359,763,188.82","645,778,502.72","1,082,413,815.80","707,044,874.73","774,432,448.63","879,726,735.59","913,790,144.02","799,985,389.55","838,578,657.19"
交易性金融资产,,,,,,,,,,"1,654,374.47",,,,,,,,,,,,"201,718.74","81,420,650.52"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"50,806,093.61","56,938,692.38","111,932,652.02","70,015,494.50","26,073,977.83","30,440,003.64","69,722,419.14","105,165,872.47","63,862,013.79","35,974,612.45","88,718,484.68","47,939,625.43","39,326,303.36","49,389,078.28","58,153,106.41","80,086,619.52","109,166,330.07","141,569,553.39","92,050,316.01","159,470,748.57","146,081,271.23","172,279,748.27","258,797,903.37"
应付票据,"99,679,241.78","68,161,475.00","2,889,600.00","76,940,745.36","87,599,334.80","80,770,056.72","88,898,039.01","227,147,316.07","226,825,866.95","120,563,716.60","106,000,000.00","186,240,669.46","160,000,000.00","221,906,588.30","300,000,000.00","335,720,915.52","345,264,026.35","260,210,394.45","400,000,000.00","647,888,101.29",,"331,538,690.07",
应收账款,"303,395,826.91","304,125,249.23","313,475,226.73","384,942,770.45","409,316,519.26","428,361,297.06","419,581,635.89","512,288,536.42","513,328,372.80","700,250,074.33","645,420,192.60","717,449,194.41","778,928,789.46","793,310,442.88","770,727,489.64","827,340,768.64","758,241,785.91","769,633,034.33","952,681,200.03","1,116,648,681.13","961,649,979.69","912,767,398.53","706,348,823.05"
应付账款,"141,821,201.49","137,475,132.80","128,499,780.77","158,285,128.70","152,197,272.21","166,359,639.34","135,722,158.91","160,458,487.79","136,449,612.43","167,938,604.64","229,167,715.76","185,624,628.93","259,240,434.31","224,494,865.83","224,558,062.92","268,697,229.15","242,763,263.04","220,993,875.13","378,601,335.93","402,487,334.68",,"419,330,161.04",
预付款项,"25,181,397.13","35,748,207.50","41,059,714.87","57,124,800.36","47,123,115.80","40,728,692.91","40,498,036.85","126,786,784.07","139,019,734.62","70,007,086.65","60,157,486.84","111,514,157.70","94,175,861.21","130,064,890.72","167,198,031.42","177,739,833.80","206,605,885.03","194,369,163.39","145,089,505.44","160,797,040.89","216,712,328.19","164,799,017.65","94,952,448.32"
预收款项,"35,756,885.70","22,614,707.78","21,503,230.73","21,098,656.36","24,779,922.73","22,923,081.23","6,065,536.86","21,859,837.68","7,974,674.22","20,224,121.72","16,500,979.23","23,331,854.74","24,381,159.55","26,016,834.49","10,277,155.91","24,177,200.26","30,537,146.48","24,433,707.09","27,872,188.81","40,320,160.35","48,051,061.70","33,353,051.55","23,953,727.92"
其他应收款,"8,286,791.00","10,851,573.60","9,643,294.57","11,537,747.97","10,757,987.55","12,080,633.74","13,184,342.25","12,798,256.11","18,982,336.21","17,153,797.39","15,510,717.51","10,009,950.62","14,514,486.59","8,228,949.91","11,613,394.01","13,259,144.67","17,638,587.48","21,441,591.72","24,184,051.40","18,975,092.04","26,336,278.84","39,861,709.11","34,566,692.64"
应付职工薪酬,"14,138,906.10","13,937,014.28","15,360,303.64","18,187,165.54","17,450,107.11","19,815,859.73","17,268,638.18","19,000,762.23","23,891,713.45","24,660,245.07","19,810,123.61","21,156,411.74","16,892,201.86","26,585,705.54","22,379,135.08","20,666,718.37","20,397,647.97","22,933,261.31","18,154,714.87","20,705,608.43","20,294,915.68","29,225,539.71","21,102,102.97"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
