科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"114,452,963.77","65,790,152.04","69,639,993.69","46,981,420.67","901,200,434.38","791,642,809.63","691,494,302.39","658,417,169.60","619,850,974.42","559,133,240.65","327,244,404.97","326,183,606.46","287,806,846.86","390,093,531.79","723,892,346.44","290,680,518.99","281,680,286.19","169,048,691.76","137,801,010.75","110,354,507.24","82,087,899.19","92,885,611.30","104,708,765.00","98,666,404.16","101,573,518.48","46,844,580.47","34,244,799.98","40,867,193.39","19,778,866.49","19,594,530.88","25,831,769.50","17,530,787.85","20,389,992.58","8,677,009.61","9,931,069.74","6,237,846.68"
短期借款,,"10,000,000.00","20,000,000.00","20,000,000.00",,,,,,,"10,000,000.00","74,000,000.00","104,000,000.00","244,000,000.00","234,000,000.00","50,000,000.00","87,739,553.72","167,739,553.72","267,076,313.12","254,602,735.52","220,000,000.00","70,000,000.00","110,000,000.00","110,000,000.00","40,000,000.00","40,000,000.00","30,499,903.03","29,999,903.03",,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"6,000,000.00",,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,"150,000.00",,"200,000.00",,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"19,013,562.15","17,711,032.93","22,977,015.36","22,974,508.08","13,796,962.16","22,046,809.20","25,100,760.02","31,520,770.27","21,180,127.99","31,453,978.08","31,088,620.25","41,148,288.39","33,672,842.09","47,202,439.32","45,663,839.46","64,818,852.80","55,286,034.45","64,011,245.01","59,670,285.68","86,211,463.73","43,821,801.58","111,917,518.28","97,803,626.67","89,577,659.48","73,022,952.97","72,485,650.17","69,610,546.00","66,306,380.78","13,867,930.95","16,826,323.79","16,221,367.55","20,067,209.87","13,907,219.10","15,622,651.66","12,548,643.76","14,704,244.46"
应付账款,"33,786,743.46","57,034,593.13","89,103,238.36","83,807,037.32","57,592,392.22","63,294,465.55","66,064,590.50","69,536,926.35","89,989,331.63","88,531,396.01","76,109,185.47","83,630,587.61","103,099,155.75","115,078,949.09","119,621,602.16","124,246,711.56","101,231,952.05","134,585,443.71","107,973,499.62","105,737,614.87","97,074,111.80","140,653,773.79","121,763,739.44","110,542,385.12","116,615,994.51","122,529,550.40","118,315,294.70","110,470,470.70","14,802,097.63","17,724,529.34","14,802,132.61","14,848,340.69","11,743,398.70","12,745,700.71","14,152,342.33","13,235,774.69"
预付款项,"24,424,016.79","84,851,349.41","57,194,718.04","79,338,322.37","86,934,957.56","186,758,093.87","209,180,832.01","217,979,360.77","174,982,415.28","183,924,457.28","283,859,696.49","305,557,066.28","326,653,718.27","370,988,167.95","290,643,070.46","253,196,821.53","255,903,883.68","262,115,130.27","320,729,810.68","369,848,807.74","335,007,851.35","245,874,546.33","226,601,312.38","234,148,764.64","97,651,326.54","66,138,450.64","53,481,556.16","50,277,270.44","15,575,151.34","14,205,609.77","13,767,176.31","12,648,924.47","11,089,297.60","10,783,405.46","7,949,248.40","7,772,425.73"
预收款项,"41,117,707.97","58,058,953.64","58,204,392.63","61,475,531.53","74,538,874.87","80,849,391.13","83,694,787.13","87,186,288.49","106,342,110.87","112,983,064.57","116,314,811.15","119,006,091.15","137,108,188.15","157,755,069.88","135,734,005.54","140,529,263.74","161,026,048.59","161,750,468.23","155,922,728.08","146,092,140.53","148,016,225.06","183,381,041.19","153,396,187.34","149,669,583.01","212,005,962.90","190,158,497.36","200,266,283.51","196,667,173.02","27,778,113.25","26,846,043.45","27,559,329.69","27,165,077.40","26,481,378.65","24,832,920.02","22,595,370.90","23,333,368.52"
其他应收款,"25,671,674.35","28,628,587.78","36,251,056.58","45,453,594.52","27,495,738.92","43,911,256.91","40,460,594.80","54,493,603.92","26,722,430.17","113,648,821.99","111,264,682.58","174,538,809.64","144,928,648.97","189,372,083.95","252,488,305.65","272,262,881.77","176,149,101.33","223,239,809.33","207,103,801.80","195,658,033.69","147,157,377.56","283,653,109.23","277,379,223.65","249,554,246.20","161,425,107.11","149,488,719.64","151,436,538.68","140,417,698.32","97,284,985.75","95,704,016.79","48,132,231.04","48,211,988.34","36,897,426.74","39,199,391.02","38,725,373.81","35,376,451.76"
应付职工薪酬,"3,678,620.59","5,875,294.35","7,154,753.87","6,850,542.94","7,213,750.10","9,164,047.04","7,526,555.22","8,011,650.10","2,039,830.13","6,161,586.34","7,027,870.86","7,664,300.39","5,800,702.67","9,397,397.25","6,362,312.15","7,739,846.08","1,914,623.64","2,453,753.76","2,800,620.25","2,931,769.09","3,564,360.05","3,408,848.50","4,077,987.06","5,235,787.31","6,395,319.81","8,879,049.87","10,042,108.02","10,802,680.34","1,319,965.71","1,397,834.62","1,337,636.95","1,205,991.26","1,171,277.81","917,839.73","933,907.35","969,487.75"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"12,789,980.50","10,464,388.51","10,200,660.03","7,876,287.94","9,282,152.70","15,966,643.67","9,231,778.95","11,551,917.03","12,267,779.10","16,379,152.01","15,415,903.95","17,698,364.14","25,077,300.01","24,626,486.83","20,534,459.74","18,707,034.40","18,734,839.79","11,109,171.59","6,224,483.20","7,717,009.97","7,383,161.39","18,039,557.32","-1,650,885.34","-3,017,767.42","12,875,041.84","9,277,397.53","15,151,616.75","16,132,398.14","14,763,736.40","14,668,640.34","13,827,301.51","13,815,107.71","13,970,555.04","13,196,924.15","14,001,350.65","14,133,413.81"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"156,444.44","370,860.22","380,859.12","302,502.22","7,222,093.15","7,222,093.15","24,073,643.84","32,098,191.78","8,281,033.88","16,483,905.12","24,964,833.29","32,989,381.24","11,278,002.81","19,480,874.05","27,750,411.96","34,629,349.18","14,090,721.68","57,790,334.03",,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"2,523,990.56",,,,"2,160,000.00","2,160,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"29,632,900.77","42,747,044.36","36,585,577.72","38,175,350.51","38,668,820.24","40,195,947.14","44,522,045.29","39,527,847.25","49,955,553.84","56,942,405.87","53,624,583.65","53,699,904.23","68,465,686.61","69,833,273.77","70,785,467.09","65,956,671.21","66,335,243.49","62,942,299.56","57,962,820.77","57,497,782.58","58,018,857.82","83,296,106.04","87,177,318.98","83,700,922.59","67,746,644.91","66,874,565.91","66,939,641.97","65,472,952.92","508,577.06","498,370.29","493,474.85","982,645.79","864,715.13","595,883.73","382,335.23","707,397.43"
其他应付款,"18,273,986.61","8,286,607.39","22,067,125.50","18,477,480.86","8,874,408.44","10,810,818.10","17,197,853.46","18,574,083.03","14,061,717.53","24,191,468.48","34,111,850.14","31,013,713.37","37,173,356.77","35,072,625.90","64,898,962.75","82,291,888.90","76,901,945.86","87,619,842.35","72,054,698.28","94,420,664.24","99,312,118.12","203,642,266.55","72,870,596.66","75,459,727.24","97,920,448.88","111,236,474.39","265,974,187.84","237,103,613.28","101,374,763.84","107,123,694.39","72,257,521.12","71,899,838.14","71,567,789.57","67,807,830.76","37,803,208.26","36,813,457.29"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","20,000,000.00","10,000,000.00","110,000,000.00","110,000,000.00",,,,,,,,
其他流动资产,,,,,,,,,,,,,,"-119,794.17",,"5,003.29",,,,"35,329.55",,,,,"20,360,971.19","19,286,826.83","15,982,135.00","14,995,328.00","4,343,767.64","4,707,767.64","4,343,767.64","4,343,767.64","4,078,191.34","4,027,517.92","5,266,033.65","5,582,595.17"
其他流动负债,,,,,,,,,,,"6,486,781.82","6,023,440.28","7,339,040.08","6,796,583.47","6,236,626.81","5,691,670.18","5,146,713.55","4,683,372.01","4,220,030.47","3,756,688.93","1,279,983.08","1,279,983.08","1,199,984.13","1,159,984.64",,,,,,,,,,,,
流动资产合计,"213,195,117.83","239,728,166.52","222,648,361.39","232,923,196.15","1,068,096,913.26","1,084,554,916.75","1,010,758,534.51","1,001,938,751.81","892,691,501.70","945,102,903.87","807,081,987.94","901,127,675.00","861,527,742.80","1,067,369,702.61","1,383,473,029.10","946,920,749.59","835,354,549.14","781,357,175.93","783,267,729.68","819,605,924.53","666,093,787.50","823,626,891.18","793,820,246.68","755,647,997.07","521,980,521.20","421,118,793.66","391,695,217.79","378,336,823.85","151,359,279.23","151,536,619.16","108,789,786.89","103,785,323.96","87,226,842.49","78,905,859.40","74,802,704.59","70,380,961.23"
流动负债合计,"112,171,029.69","149,719,837.02","206,730,170.39","198,486,880.59","159,661,578.33","182,245,365.49","183,715,565.26","194,860,865.00","224,700,769.26","248,246,667.41","265,622,847.83","339,407,357.16","419,978,602.55","593,029,614.64","594,610,062.30","436,428,508.01","476,769,321.04","602,039,797.15","624,553,406.90","631,742,528.27","601,594,792.79","653,394,851.67","482,935,612.10","478,530,573.95","533,563,179.90","526,710,318.73","764,340,115.53","768,966,572.54","160,038,676.83","167,760,742.14","129,783,921.88","128,934,355.20","124,934,399.77","119,501,215.37","89,486,179.49","88,485,502.06"
可供出售金融资产,"6,368,000.00","1,448,000.00",,,,,,,,,,,,,,,,,,,,,,,"16,594,488.71","16,594,488.71","16,594,488.71","14,694,488.71",,,,,,,,
长期借款,,,,,,,,,,,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,,,,,,,,"120,000,000.00","110,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,"473,760,000.00","474,351,517.81","474,683,178.08","474,990,904.28","475,302,049.66","475,616,614.22","475,931,178.78","476,238,904.98","476,550,050.36","476,864,614.92","477,179,179.48","419,616,084.30","291,545,706.67","291,577,577.14",,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"198,849,649.53","199,586,090.31","201,119,882.96","201,135,023.86","201,637,622.50","317,213,516.01","362,968,532.08","466,904,203.06","335,281,516.16","158,661,999.49","157,108,567.32","51,813,156.91","43,993,868.92","49,774,774.88","15,394,785.28","14,980,154.32","14,445,306.33","14,858,912.07",,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,"700,000.00","700,000.00","700,000.00","700,000.00",,,,,,,,,,"352,800,000.00","352,800,000.00",,"1,500,000.00","1,500,000.00","1,500,000.00",,,,,,"19,229,715.49","19,229,715.49","19,229,715.49","19,229,715.49"
固定资产,"25,366,989.88","50,704,551.28","54,484,768.74","58,564,180.69","62,224,819.30","67,260,465.03","71,638,201.73","74,481,992.22","85,808,840.33","82,212,633.54","199,845,040.60","199,678,401.16","285,692,868.28","287,324,026.52","303,296,089.54","331,119,384.92","345,992,053.51","342,189,362.29","365,906,323.15","380,555,867.92","413,714,470.85","434,025,145.63","393,323,918.93","378,375,120.45","356,183,322.05","343,097,199.47","335,801,378.16","319,788,348.15","9,721,911.60","8,995,477.94","8,166,426.24","7,553,307.11","6,734,496.45","6,067,206.26","5,377,879.67","4,832,514.48"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"2,618,780.54","9,686,939.39","47,405,283.02","56,289,229.72","86,175,850.32","93,328,912.79","100,832,624.24","119,388,394.91","154,653,592.23","159,039,442.11","21,966,282.89","31,430,802.18","56,378,084.44","23,331,935.55","29,878,703.80","29,948,765.51","95,198,023.03","108,679,235.05","87,977,310.11","75,600,479.02","11,817,911.29","9,951,729.71","11,003,855.36","11,243,136.36","1,716,617.40","1,751,617.40","28,000.00",,,,,,,,,"223,089.34"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,197.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,"700,000.00","700,000.00","80,700,000.00","80,700,000.00","80,000,000.00","80,000,000.00","473,760,000.00","474,351,517.81","474,683,178.08","474,990,904.28","475,302,049.66","475,616,614.22","475,931,178.78","829,038,904.98","949,350,050.36","586,864,614.92","578,679,179.48","521,116,084.30","293,045,706.67","291,577,577.14",,,,,"19,229,715.49","19,229,715.49","19,229,715.49","19,229,715.49"
固定资产清理,,,,"59,943.18",,,,,,,,,,,"7,111.70","7,111.70",,,,"430,305.94",,,,"604,320.75",,"14,555.13",,,,,,,,,,
