科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"175,560,794.49","233,702,988.86","307,937,759.05","81,123,071.64","294,905,633.82","164,338,119.66","350,552,875.05","250,988,222.83","257,612,949.53","189,044,692.41","234,836,915.16","130,522,892.60","164,888,880.75","67,411,370.27","191,067,484.09","76,174,149.59","262,522,765.54","162,909,477.49","210,872,827.67","96,517,370.74"
短期借款,"73,000,000.00","120,000,000.00","149,050,000.00","114,050,000.00","94,520,000.00","49,800,000.00","89,700,000.00","89,700,000.00","146,676,590.00","131,576,590.00","103,209,795.00","143,109,795.00","234,263,054.93","199,563,054.93","361,249,849.93","340,253,500.00","329,886,500.00","322,886,500.00","278,466,500.00","291,766,500.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,"6,317,236.57"
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"4,850,000.00",,,,,,,,,,,"137,790.00",,"1,081,221.30","7,796,768.00","400,000.00",,"1,000,000.00",,"214,330.88"
应付票据,,"30,000,000.00","70,000,000.00","10,000,000.00","18,000,000.00",,"48,427,407.00","32,000,000.00",,,,"6,766,500.00","19,483,115.00","12,716,615.00",,,,,,
应收账款,"142,830,430.46","211,906,214.95","263,909,479.13","281,698,237.65","415,590,033.37","435,528,288.49","358,094,294.58","386,374,417.13","466,010,166.11","450,252,499.23","440,400,123.50","445,590,664.04","501,253,530.89","546,114,415.27","700,914,628.79","675,132,471.10","684,667,748.37","742,990,557.63","729,699,133.00","689,725,637.48"
应付账款,"103,319,217.91","116,080,535.21","109,125,827.43","65,209,283.69","82,027,988.43","63,238,179.95","54,195,212.26","36,918,619.33","52,353,910.51","47,662,263.41","78,129,647.93","52,400,949.64","75,057,882.81","67,886,879.69","70,403,924.84","63,484,730.62","100,267,325.64",,"140,013,944.20",
预付款项,"3,109,968.25","4,360,431.07","11,786,045.03","14,475,963.50","11,662,471.39","11,977,414.96","18,157,759.09","25,508,635.89","26,926,670.96","46,881,356.47","36,865,372.66","70,343,197.58","108,315,752.68","130,700,942.64","93,987,827.20","124,970,343.31","134,737,479.79","154,612,383.39","143,146,006.15","185,640,022.52"
预收款项,"18,490,155.68","11,914,781.78","2,364,228.60","2,970,168.15","2,093,687.48","2,740,197.06","1,008,344.59","2,961,456.25","4,362,594.12","3,563,900.01","8,927,803.98","19,877,692.67","14,245,441.84","16,365,866.71","16,984,391.88","20,937,798.52","29,766,518.72","44,816,536.47","59,438,687.06","50,186,868.30"
其他应收款,"9,926,383.92","14,958,248.94","19,687,668.90","24,465,075.76","18,326,503.43","19,651,344.93","18,480,798.88","18,268,328.12","16,820,138.65","22,432,832.53","19,683,007.55","20,734,192.91","20,252,896.60","61,215,440.41","24,297,720.61","45,519,578.56","32,847,501.90","36,617,754.24","29,162,999.59","34,023,285.65"
应付职工薪酬,"8,900,620.88","9,949,389.78","11,338,521.45","4,945,658.15","4,674,587.29","4,867,208.57","8,187,163.09","4,790,526.27","4,808,100.93","5,027,525.82","5,382,285.64","4,187,698.89","3,643,047.14","4,109,251.50","4,286,221.69","3,313,263.08","4,623,295.93","3,605,880.75","5,806,831.43","2,912,615.07"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"14,097,231.40","18,865,719.24","22,839,358.30","9,606,341.80","16,347,284.49","4,886,902.06","24,282,794.16","11,948,953.41","12,400,132.59","4,176,563.66","16,954,945.60","10,005,776.62","9,711,141.41","4,358,621.31","23,115,430.06","10,956,825.97","11,426,786.57","17,020,528.84","45,106,973.66","28,559,011.14"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,"328,508.09","362,464.91","346,211.44",,"307,176.17","477,412.29"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,"7,070,000.00",,,,,,,,"41,747.65","41,747.65","41,747.65","41,747.65","19,003.17",,"19,003.17","19,003.17"
存货,"69,963,273.36","82,576,995.19","61,832,195.13","98,500,042.02","78,565,044.56","81,885,545.41","83,755,826.85","83,236,473.11","97,403,613.18","103,717,237.21","114,448,591.24","161,748,951.51","167,160,470.10","185,388,273.84","95,117,785.23","117,067,695.74","140,453,631.70","170,962,242.13","119,961,182.89","170,142,840.97"
其他应付款,"950,970.08","1,265,784.56","2,146,062.36","1,219,381.29","597,198.94","462,414.64","508,351.36","317,517.89","60,783,933.84","60,706,829.15","61,722,733.40","43,054,252.38","44,063,398.43","152,864,393.02","83,047,536.75","62,806,206.24","356,872,486.80","322,016,775.74","20,891,431.31","86,081,387.64"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,"11,726.27","2,144,154.23",,"125,243.52",,"470,954.22",,"1,145,434.19","510,078.83","3,791,349.73","10,778,834.50","16,052,018.13","16,523,821.68","20,356,824.12","16,135,504.84","20,045,137.79","20,257,130.53","22,458,537.67"
其他流动负债,,,,,,,,,,,,,"3,752,076.01","4,185,699.00","20,718,748.63","20,872,881.08","13,551,734.27","13,265,280.47","164,125,000.00","56,875,865.39"
流动资产合计,"406,240,850.48","547,504,879.01","665,164,873.51","502,406,544.80","819,049,686.57","713,505,956.97","829,041,554.45","764,847,031.30","864,773,538.43","813,474,052.04","846,744,088.94","832,869,038.37","972,650,365.52","1,007,963,681.86","1,129,706,035.60","1,059,621,062.42","1,271,364,632.14","1,289,137,552.67","1,253,099,279.83","1,205,039,262.48"
流动负债合计,"218,758,195.95","308,076,210.57","366,863,998.14","208,000,833.08","225,330,746.63","125,994,902.28","226,309,272.46","178,637,073.15","281,385,261.99","252,713,672.05","274,327,211.55","279,402,665.20","404,260,905.22","462,092,128.81","580,176,359.52","523,029,418.07","846,759,862.54","843,539,387.96","713,849,367.66","670,516,082.87"
可供出售金融资产,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,008,016.57","10,008,016.57","10,008,016.57","10,008,016.57","10,008,016.57","10,008,016.57",
长期借款,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,"20,466,618.04","19,689,704.18","33,008,472.48","47,046,672.83","30,775,667.94","30,128,430.50","27,884,733.14","28,204,387.01","26,728,718.22","25,235,488.96","22,724,490.28","20,405,510.71"
长期应付款,,,,,,,,,,,,,,,,,,"252,220.90",,
长期股权投资,,,,,,,,,"7,500,000.00","7,500,000.00","7,332,143.25",,"14,832,143.25","14,832,143.25","14,463,386.54","14,463,386.54","14,355,317.96","14,355,317.96","14,532,669.22","14,532,669.22"
专项应付款,,,,,,,,,,,,,,,,,"92,220.90",,,
投资性房地产,,,,,,,,,,,,"3,068,170.47","3,944,707.79","4,014,024.09",,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"11,217,208.20","11,731,681.93","9,683,073.20","9,674,062.74","9,262,073.08","8,690,635.30","8,195,137.46","7,848,026.23","7,410,082.02","7,135,823.16","7,249,910.52","6,789,049.23","6,303,004.39","6,139,999.52","5,892,984.21","5,451,668.13","8,723,038.56","8,738,844.76","8,154,531.81","7,780,438.78"
递延所得税负债,,,,,,,,,,,,,,,,,,,,
在建工程,,,,,,,,,,"10,826,354.36",,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,"111,375,000.00","111,375,000.00"
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,,,"92,220.90","252,220.90","111,375,000.00","111,375,000.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,
负债合计,"218,758,195.95","308,076,210.57","366,863,998.14","208,000,833.08","225,330,746.63","125,994,902.28","226,309,272.46","178,637,073.15","281,385,261.99","252,713,672.05","274,327,211.55","279,402,665.20","404,260,905.22","462,092,128.81","580,176,359.52","523,029,418.07","846,852,083.44","843,791,608.86","825,224,367.66","781,891,082.87"
生产性生物资产,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"53,000,000.00","53,000,000.00","53,000,000.00","53,000,000.00","70,700,000.00","70,700,000.00","70,700,000.00","70,700,000.00","144,184,000.00","144,184,000.00","144,184,000.00","143,348,800.00","143,285,800.00","155,496,668.00","155,496,668.00","155,496,668.00","169,302,599.00","169,302,599.00","169,246,599.00","169,246,599.00"
油气资产,,,,,,,,,,,,,,,,,,,,
资本公积,"68,080,286.18","68,080,286.18","68,080,286.18","68,080,286.18","327,151,342.08","327,151,342.08","327,151,342.08","327,151,342.08","315,288,582.08","317,005,181.80","316,401,096.02","299,971,980.44","299,416,880.24","776,345,661.47","774,609,992.77","775,000,192.98","995,547,452.46","995,865,352.46","994,803,284.72","995,093,942.28"
无形资产,"4,464,971.28","4,516,896.45","3,383,464.84","2,930,289.28","2,477,113.72","2,023,938.16","1,570,762.60","1,317,920.62","1,065,078.64","812,236.64","648,712.24","529,846.45","410,980.66","3,778,526.75","3,553,293.11","3,385,078.82","12,343,316.16","11,970,815.24","11,590,900.53","11,233,256.74"
盈余公积,"5,316,480.29","9,215,579.72","12,867,904.13","12,867,904.13","12,867,904.13","12,867,904.13","18,054,129.86","18,054,129.86","18,054,129.86","18,054,129.86","20,348,589.68","20,348,589.68","20,348,589.68","20,348,589.68","21,540,715.34","21,540,715.34","21,540,715.34","21,540,715.34","21,828,666.34","21,828,666.34"
开发支出,"1,709,180.95","668,135.05",,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,"60,371,040.00","60,371,040.00","60,371,040.00","42,259,728.00","40,893,573.00","40,893,573.00","40,893,573.00","40,893,573.00","18,614,404.00","18,614,404.00","17,400,044.00","17,400,044.00"
商誉,,,,,,,,,,,,,,"508,492,132.44","508,492,132.44","508,492,132.44","889,848,657.04","889,848,657.04","865,004,392.22","865,004,392.22"
未分配利润,"84,565,153.74","133,278,329.39","186,340,365.94","181,729,698.43","203,276,007.69","196,280,971.65","219,535,879.33","207,096,556.02","230,228,608.22","224,543,603.47","242,080,681.00","226,763,189.93","239,625,466.25","240,497,560.82","285,255,186.89","271,569,215.10","298,198,097.51","316,782,616.27","295,976,498.93","277,108,414.98"
长期待摊费用,"3,260,161.73","2,727,252.91","1,817,545.44","1,564,227.60","1,433,529.76","1,245,097.99","976,672.72","961,713.19","890,642.92","858,034.89","936,174.08","808,815.92","664,741.10","1,005,446.32","36,651,148.25","36,587,795.90","39,429,140.10","39,348,087.73","31,841,699.78","31,563,674.59"
少数股东权益,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"2,827,743.52","4,501,560.51","7,103,597.40","7,103,597.40","7,103,597.40","7,529,491.72","11,363,492.50","11,364,962.77","11,364,135.10","11,371,057.91","19,249,952.74","19,251,398.98","19,249,952.74","20,312,129.48","24,559,688.01","24,559,688.01","25,056,286.35","25,056,286.35","35,498,971.45","34,985,035.77"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"10,603,004.00","15,299,447.00","15,299,447.00","14,462,284.00","11,801,084.00","7,212,505.00","7,212,505.00","7,212,505.00","14,973,931.65","14,969,420.65","14,969,420.65","14,969,420.65","37,224,420.96","37,224,420.96"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"23,479,265.68","24,145,526.85","21,987,680.88","21,272,177.02","20,276,313.96","19,489,163.17","32,709,069.28","36,792,069.81","63,996,003.72","82,655,495.14","90,226,449.31","94,706,458.88","93,393,702.87","605,923,353.92","646,479,313.92","646,121,574.07","1,041,461,911.61","1,039,530,935.26","1,036,580,092.82","1,022,729,398.99"
所有者权益(或股东权益)合计,"210,961,920.21","263,574,195.29","320,288,556.25","315,677,888.74","613,995,253.90","607,000,217.86","635,441,351.27","623,002,027.96","647,384,280.16","643,415,875.13","662,643,326.70","648,172,832.05","661,783,163.17","1,151,794,906.97","1,196,008,990.00","1,182,713,218.42","1,465,974,460.31","1,484,876,879.07","1,464,455,004.99","1,445,877,578.60"
