科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"616,014,997.84","641,959,097.24","898,513,293.04","455,330,797.53","689,030,469.73","956,869,762.54","205,648,845.23","495,324,014.94","848,808,170.33","1,146,202,217.28","308,682,177.61","655,062,648.11","1,091,595,766.44","1,541,086,690.93","373,677,625.56","786,726,651.91","1,268,311,234.47","1,836,787,549.89","449,946,241.55","982,786,847.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"42,793,801.33"
收到的税费返还,,"61,267.27","12,779.96",,"1,250,900.00","1,250,900.00",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"37,042.23",
收到其他与经营活动有关的现金,"5,800,335.74","5,620,987.16","10,028,421.62","7,789,734.08","9,360,030.54","14,910,335.30","3,940,951.57","6,541,856.10","9,327,396.98","19,519,800.16","5,710,224.98","7,324,253.29","8,378,805.92","8,377,473.36","3,622,087.14","4,845,745.08","6,983,723.26","18,079,607.01","1,741,644.55","11,114,016.24"
投资活动现金流出小计,"14,637,713.91","72,577,739.40","71,330,679.29","8,100,818.47","39,684,151.45","111,633,961.55","124,170,783.58","452,171,356.37","782,649,511.24","1,051,685,309.18","181,063,708.83","252,648,202.79","877,639,231.43","1,424,105,216.44","452,200,824.44","731,450,505.65","1,539,232,359.19","2,006,066,697.11","702,300,835.12","920,172,564.86"
经营活动现金流入小计,"621,815,333.58","647,641,351.67","908,554,494.62","463,120,531.61","699,641,400.27","973,030,997.84","209,589,796.80","501,865,871.04","858,135,567.31","1,165,722,017.44","314,392,402.59","662,386,901.40","1,099,974,572.36","1,549,464,164.29","377,299,712.70","791,572,396.99","1,275,294,957.73","1,854,867,156.90","451,687,886.10","993,900,864.17"
投资活动产生的现金流量净额,"-8,979,737.44","-55,019,486.25","-71,250,179.29","-8,100,818.47","-20,656,688.51","-49,522,515.13","-14,961,539.42","-240,676,212.64","-395,735,935.58","-339,581,576.74","46,547,653.96","-25,036,840.00","-650,027,868.64","-816,902,812.79","-89,141,299.44","-92,958,234.61","-83,506,397.44","-212,186,445.45","-37,205,973.97","-131,523,748.08"
购买商品、接受劳务支付的现金,"444,972,661.52","435,749,256.28","683,604,890.41","373,527,501.75","563,637,138.77","747,937,025.43","157,599,430.45","411,461,275.48","701,470,235.65","900,498,524.17","235,478,217.10","503,117,801.15","882,541,691.95","1,167,319,203.81","291,612,985.71","632,940,275.18","1,040,241,123.88","1,485,845,120.86","378,428,754.27","716,362,017.37"
吸收投资收到的现金,,,,,,,"391,808,000.00","391,808,000.00","391,808,000.00","391,808,000.00",,,"1,012,999,936.20","1,012,999,936.20","925,960.97","917,906.48","1,806,193.34","1,789,470.80",,
支付给职工以及为职工支付的现金,"24,730,022.22","33,423,299.03","40,537,513.96","25,708,262.01","37,311,701.45","48,173,204.78","17,839,002.40","30,640,528.44","44,688,564.33","58,833,672.21","23,079,097.46","39,631,567.17","56,965,784.27","76,160,171.86","32,268,100.44","54,594,599.19","78,372,708.84","104,379,265.34","48,619,907.21","82,242,205.93"
取得借款收到的现金,"131,200,000.00","103,551,411.05","178,027,600.33","108,206,504.65","158,558,738.95","231,027,158.38","57,777,221.22","176,298,439.28","370,966,237.83","453,797,230.05","75,724,489.24","163,465,035.65","263,286,214.23","328,739,169.78","76,791,522.67","152,292,740.59","267,156,042.92","484,565,061.11","168,578,944.65","269,635,993.06"
支付的各项税费,"45,192,943.24","62,700,699.23","76,714,023.37","41,206,446.76","60,858,035.18","80,298,779.56","14,840,390.65","33,200,971.22","52,810,359.52","78,109,469.47","14,407,528.70","43,389,979.84","68,392,915.34","98,536,413.16","16,292,673.98","37,474,877.50","79,307,962.06","103,128,681.27","43,411,252.82","90,610,026.19"
收到其他与筹资活动有关的现金,"4,000,000.00",,,,"4,000,000.00","4,000,000.00","6,195,233.33","8,945,233.33","16,663,967.55","22,779,967.55","8,628,200.00","13,590,773.67","24,385,753.75","32,252,491.25","6,517,269.92","20,425,668.42","23,900,449.67","26,985,584.92","1,015,126.88","13,533,943.65"
支付其他与经营活动有关的现金,"24,267,314.15","32,554,592.40","34,823,087.30","13,907,376.58","32,646,600.90","45,340,565.49","9,905,727.73","20,122,764.20","34,185,872.75","47,778,737.22","16,799,304.69","25,317,467.33","37,531,114.82","50,740,035.51","16,571,398.53","41,465,977.46","60,630,824.57","75,295,322.55","36,881,480.89","58,339,985.42"
筹资活动现金流入小计,"135,200,000.00","103,551,411.05","178,027,600.33","108,206,504.65","162,558,738.95","235,027,158.38","455,780,454.55","577,051,672.61","779,438,205.38","868,385,197.60","84,352,689.24","177,055,809.32","1,300,671,904.18","1,373,991,597.23","84,234,753.56","173,636,315.49","292,862,685.93","513,340,116.83","169,594,071.53","283,169,936.71"
经营活动现金流出小计,"539,162,941.13","564,427,846.94","835,679,515.04","454,349,587.10","694,453,476.30","921,749,575.26","200,184,551.23","495,425,539.34","833,155,032.25","1,085,220,403.07","289,764,147.95","611,456,815.49","1,045,431,506.38","1,392,755,824.34","356,745,158.66","766,475,729.33","1,258,552,619.35","1,768,648,390.02","507,341,395.19","947,554,234.91"
偿还债务支付的现金,"118,530,000.00","122,200,000.00","160,108,771.32","68,595,653.43","125,946,994.21","192,076,879.49","51,337,323.14","169,796,884.47","321,403,981.61","426,155,678.03","110,759,571.31","148,327,298.70","262,194,337.79","405,263,099.77","131,610,965.35","238,457,441.92","399,547,236.29","505,257,056.93","48,680,640.82","136,021,236.56"
