科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"297,052,172.35","405,557,449.95","485,805,714.34","70,577,883.68","170,797,455.38","300,399,385.21","451,679,066.78","114,985,673.15","236,516,279.58","401,491,335.57","540,458,764.40","106,787,060.53","264,240,395.02","442,857,412.76","603,949,946.24","138,268,904.05","305,961,959.45","460,010,348.51","641,914,595.99","167,949,019.24","380,770,327.20","589,036,181.99","828,928,176.14","227,961,292.80","434,878,705.48","737,213,251.58","990,517,330.05","251,699,868.98","559,430,926.89"
取得子公司及其他营业单位支付的现金净额,"9,225,000.00",,,,,,"15,841,429.30","17,340,000.00","17,340,000.00","17,340,000.00","17,340,000.00",,,"56,100,000.00","45,721,854.27",,,"6,861,827.58","50,638,441.07",,,,,"243,739,149.27","237,939,149.27","237,939,149.27","314,778,056.56","138,193,117.84","138,193,117.84"
收到的税费返还,"224,000.00","465,246.13","150,451.63",,,,,,,"3,754.34","421,997.86",,,,"339,970.32",,"572,766.13","6,576,483.88","7,957,006.82","2,724,792.83","3,778,779.33","5,596,327.83","6,268,522.80","979,805.21","2,619,466.54","7,600,459.48","3,558,810.51","828,863.92","3,068,750.97"
支付其他与投资活动有关的现金,,,"775,140.00",,,,,,,,"13,700,000.00",,,,"86,420,000.00",,,,,,"3,000,000.00","9,000,000.00","18,000,200.00","5,000,000.00",,"31,635,000.00","67,500,000.00",,"25,911,672.49"
收到其他与经营活动有关的现金,"1,843,003.05","1,770,215.11","2,297,189.93","603,538.88","780,984.66","1,893,974.24","12,554,537.78","3,622,174.73","4,373,074.95","10,250,685.48","14,966,435.51","2,449,643.75","3,053,298.20","5,130,288.56","6,894,286.65","3,376,523.48","3,367,246.10","7,701,047.03","12,397,066.96","9,005,832.08","11,467,597.91","17,155,291.11","16,263,800.66","6,554,143.95","12,589,471.77","29,900,184.58","18,986,287.34","6,682,083.82","25,344,275.99"
投资活动现金流出小计,"23,171,090.67","63,810,220.34","34,604,754.01","5,875,409.83","11,857,986.44","30,717,409.55","57,634,015.61","31,026,844.13","53,752,472.90","77,917,318.67","125,150,804.01","21,614,846.48","48,958,653.98","124,258,420.84","219,324,988.29","37,355,184.22","54,482,698.74","87,424,452.84","185,771,244.03","31,748,483.51","34,580,702.39","77,269,061.89","92,888,006.19","269,535,817.78","277,819,527.66","386,129,657.21","481,710,280.09","151,156,528.31","186,481,282.69"
经营活动现金流入小计,"299,119,175.40","407,792,911.19","488,253,355.90","71,181,422.56","171,578,440.04","302,293,359.45","464,233,604.56","118,607,847.88","240,889,354.53","411,745,775.39","555,847,197.77","109,236,704.28","267,293,693.22","447,987,701.32","611,184,203.21","141,645,427.53","309,901,971.68","474,287,879.42","662,268,669.77","179,679,644.15","396,016,704.44","611,787,800.93","851,460,499.60","235,495,241.96","450,087,643.79","774,713,895.64","1,013,062,427.90","259,210,816.72","587,843,953.85"
投资活动产生的现金流量净额,"-21,480,837.21","-63,460,831.34","-31,509,419.09","-2,705,403.31","-8,652,979.92","-27,402,003.03","-54,231,998.09","-31,012,786.13","-53,720,914.90","-77,860,760.67","-125,075,246.01","-21,614,846.48","-48,920,153.98","-124,219,920.84","-205,580,488.29","-37,314,184.22","-54,441,698.74","-87,373,552.84","-96,458,976.35","-27,246,976.66","-21,711,476.88","-64,398,836.38","-78,991,416.00","-242,624,503.66","-253,412,957.76","-364,146,473.84","-397,826,437.85","-135,389,852.59","-162,130,015.26"
购买商品、接受劳务支付的现金,"158,396,297.62","263,122,730.11","257,920,029.49","34,966,788.84","94,094,559.36","166,248,789.88","240,586,212.59","60,487,733.03","123,310,704.66","192,044,756.56","252,082,720.03","64,708,726.65","124,453,830.76","192,577,994.04","262,618,964.37","63,061,846.80","140,203,206.52","241,524,028.66","315,856,840.40","67,078,128.37","154,001,764.86","234,556,582.22","366,148,620.21","134,858,882.97","268,037,163.24","425,442,116.56","603,112,285.83","158,235,017.64","374,737,518.79"
吸收投资收到的现金,,,,,"334,427,840.00","334,427,840.00","325,287,199.75",,,,,,,,"1,549,150.00","4,900,000.00","4,900,000.00","4,900,000.00","31,313,800.00",,,,"3,126,200.00","205,433,570.51","205,916,570.33","206,378,630.37","205,483,954.56",,
支付给职工以及为职工支付的现金,"27,778,731.21","38,579,072.82","61,443,649.24","17,198,814.72","32,567,853.64","49,737,906.25","66,859,124.95","20,024,783.16","42,383,063.63","68,040,444.71","93,286,108.71","26,145,907.91","47,360,314.47","78,357,032.58","104,755,611.42","30,936,662.62","55,681,150.87","91,199,649.76","124,427,130.56","33,550,364.20","66,815,656.18","102,981,353.86","136,277,264.89","41,073,095.70","86,205,379.19","132,313,715.63","178,027,012.15","56,252,729.63","113,156,463.86"
取得借款收到的现金,"95,477,175.19","157,033,467.10","160,000,000.00","20,000,000.00","80,000,000.00","110,000,000.00","130,000,000.00","23,000,000.00","53,000,000.00","53,000,000.00","103,000,000.00","30,000,000.00","59,900,000.00","89,900,000.00","130,060,000.00","60,000,000.00","114,920,000.00","209,920,000.00","269,200,000.00","40,000,000.00","115,550,000.00","186,750,000.00","293,830,000.00","87,000,000.00","229,050,000.00","311,150,000.00","395,230,000.00","341,979,263.00","480,050,263.00"
支付的各项税费,"29,204,384.87","34,889,167.58","47,385,818.30","9,616,778.72","20,658,666.99","33,041,322.69","45,615,817.39","15,225,173.35","32,389,380.77","54,646,003.16","67,588,618.37","11,016,903.49","24,581,530.97","46,906,570.99","67,633,227.30","15,417,262.81","29,543,173.36","46,024,833.65","64,529,294.49","18,392,340.85","40,947,803.05","63,012,036.68","85,047,484.43","23,150,951.89","50,122,106.93","76,738,603.39","97,310,189.00","22,822,011.60","46,815,744.88"
收到其他与筹资活动有关的现金,"11,200,000.00",,,,,,"1,314,167.00",,,,,,,,,,,,"4,069,476.86",,"154,111.92","208,223.84","7,130,000.00",,"6,813,805.30","8,907,266.80","28,320,617.58","44,856,549.04","102,882,950.37"
支付其他与经营活动有关的现金,"30,843,482.78","34,234,903.94","64,317,679.53","10,352,827.25","21,397,999.43","44,046,137.35","55,457,514.49","16,979,414.00","29,599,423.25","42,001,349.85","61,708,358.24","15,610,433.55","36,500,200.61","49,389,985.83","64,780,031.30","19,893,891.60","40,205,948.63","57,249,857.81","67,394,673.02","26,029,476.81","55,492,216.95","75,639,225.39","80,692,529.70","27,198,575.69","61,568,301.43","99,179,727.91","104,433,405.80","49,395,929.29","59,363,874.67"
筹资活动现金流入小计,"106,677,175.19","157,033,467.10","160,000,000.00","20,000,000.00","414,427,840.00","444,427,840.00","456,601,366.75","23,000,000.00","53,000,000.00","53,000,000.00","103,000,000.00","30,000,000.00","59,900,000.00","89,900,000.00","131,609,150.00","64,900,000.00","119,820,000.00","214,820,000.00","304,583,276.86","40,000,000.00","115,704,111.92","186,958,223.84","304,086,200.00","292,433,570.51","441,780,375.63","526,435,897.17","629,034,572.14","386,835,812.04","582,933,213.37"
经营活动现金流出小计,"246,222,896.48","370,825,874.45","431,067,176.56","72,135,209.53","168,719,079.42","293,074,156.17","408,518,669.42","112,717,103.54","227,682,572.31","356,732,554.28","474,665,805.35","117,481,971.60","232,895,876.81","367,231,583.44","499,787,834.39","129,309,663.83","265,633,479.38","435,998,369.88","572,207,938.47","145,050,310.23","317,257,441.04","476,189,198.15","668,165,899.23","226,281,506.25","465,932,950.79","733,674,163.49","982,882,892.78","286,705,688.16","594,073,602.20"
偿还债务支付的现金,"95,550,028.50","94,477,175.19","156,533,467.10","10,000,000.00","80,000,000.00","155,517,200.00","170,000,000.00","23,000,000.00","53,000,000.00","98,500,000.00","126,500,000.00","30,000,000.00","50,000,000.00","57,200,000.00","122,750,000.00","70,913,689.43","115,240,000.00","115,240,000.00","206,100,000.00","25,000,000.00","69,720,000.00","192,420,000.00","318,500,000.00","37,274,374.00","129,550,000.00","172,150,000.00","226,830,000.00","90,792,555.19","219,792,555.19"
经营活动产生的现金流量净额,"52,896,278.92","36,967,036.74","57,186,179.34","-953,786.97","2,859,360.62","9,219,203.28","55,714,935.14","5,890,744.34","13,206,782.22","55,013,221.11","81,181,392.42","-8,245,267.32","34,397,816.41","80,756,117.88","111,396,368.82","12,335,763.70","44,268,492.30","38,289,509.54","90,060,731.30","34,629,333.92","78,759,263.40","135,598,602.78","183,294,600.37","9,213,735.71","-15,845,307.00","41,039,732.15","30,179,535.12","-27,494,871.44","-6,229,648.35"
分配股利、利润或偿还利息支付的现金,"45,235,679.45","6,053,624.28","36,563,984.48","11,196,128.90","16,560,675.38","18,973,134.64","20,618,543.48","1,866,679.37","17,993,991.17","19,255,717.69","21,742,012.85","1,207,197.93","10,576,873.57","25,153,848.57","27,476,021.96","1,815,185.49","6,162,006.63","29,615,859.15","34,710,641.70","2,747,176.17","27,872,784.14","33,292,280.95","36,153,593.86","4,849,304.36","40,873,317.39","45,400,047.20","49,816,417.95","12,158,450.74","34,082,098.44"
收回投资收到的现金,"510,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"3,402,000.00","960,000.00","350,000.00",,"150,000.00",,,,,,,,,,"6,833,334.79",,,,"2,796,568.06","200,000.00","1,720,132.40","4,128,132.40","12,239,322.52","18,289,875.09","16,679,357.01","42,621,185.96","43,938,250.39","67,022,725.06","158,703,702.39"
取得投资收益收到的现金,"423,803.46","92,565.00",,,,,,,,,,,,,,,,,,"1,506.85",,,,"228,835.60","494,104.89","108,718.36","2,189,642.24","264,850.72","459,922.43"
筹资活动现金流出小计,"144,187,707.95","101,490,799.47","193,447,451.58","21,196,128.90","96,710,675.38","174,490,334.64","190,618,543.48","24,866,679.37","70,993,991.17","117,755,717.69","148,242,012.85","31,207,197.93","60,576,873.57","82,353,848.57","157,059,356.75","72,728,874.92","121,402,006.63","144,855,859.15","243,607,209.76","27,947,176.17","99,312,916.54","229,840,413.35","366,892,916.38","60,413,553.45","187,102,674.40","260,171,233.16","320,584,668.34","169,973,730.99","412,578,356.02"
