科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
销售商品、提供劳务收到的现金,"2,741,994,791.91","8,536,619,258.37","16,078,285,287.82","20,984,066,993.95","7,222,284,670.93","15,704,527,926.35","23,018,328,178.33","23,584,205,322.45","2,666,256,277.29","6,761,479,025.36","13,635,859,499.83","19,668,963,538.07","5,276,137,726.29","9,524,715,872.92","16,439,598,254.27","24,613,960,409.35","5,588,349,745.65","9,899,654,419.29","16,996,787,580.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"54,584.00","237,541.00","383,138.00","25,444.00","127,102.00","254,986.00","364,989.00","121,439.00","177,799.00","223,601.00","33,005,856.00",,"135,090.00","350,690.00","168,516,543.71",,"109,000.00","109,000.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,718,900.00","51,272,090.94","44,548,880.58","80,376,827.28","2,125,380.43","4,446,178.62","8,590,724.10","130,461,588.15","46,142,626.56","74,276,156.42","113,822,297.98","387,489,576.17","26,770,600.97","188,244,307.84","115,398,642.53","443,088,984.87","30,276,307.64","182,912,394.62","278,170,971.04"
投资活动现金流出小计,"314,321,378.37","565,148,635.66","977,046,313.96","1,328,996,377.96","289,717,577.60","592,786,817.04","792,456,390.38","1,284,750,028.12","204,753,574.67","284,733,140.73","916,788,566.85","1,120,100,007.32","190,282,418.90","303,270,793.36","418,438,653.44","643,852,857.00","160,991,734.69","302,084,211.32","521,193,706.77"
经营活动现金流入小计,"2,746,713,691.91","8,587,945,933.31","16,123,071,709.40","21,064,826,959.23","7,224,435,495.36","15,709,101,206.97","23,027,173,888.43","23,715,031,899.60","2,712,520,342.85","6,835,932,980.78","13,749,905,398.81","20,089,458,970.24","5,302,908,327.26","9,713,095,270.76","16,555,347,586.80","25,225,565,937.93","5,618,626,053.29","10,082,675,813.91","17,275,067,552.02"
投资活动产生的现金流量净额,"-308,862,498.37","-559,394,645.62","-968,388,460.96","-1,318,821,088.46","-289,406,791.45","-545,995,883.24","-741,499,197.04","-1,281,618,950.65","-204,725,174.67","-283,651,334.33","-914,611,820.45","-1,117,314,482.21","-190,282,418.90","-303,270,793.36","-418,438,653.44","-643,852,857.00","-160,991,734.69","-301,321,756.49","-520,427,597.94"
购买商品、接受劳务支付的现金,"1,862,600,238.26","6,394,522,804.75","12,761,528,187.61","16,376,587,510.83","5,996,446,713.76","13,319,275,986.12","19,674,837,853.29","19,645,603,376.77","1,550,275,122.66","4,026,011,708.21","10,200,555,225.69","14,848,311,375.35","4,322,603,857.36","8,155,111,851.71","13,753,192,169.69","20,384,901,426.96","4,822,829,213.49","8,148,322,129.51","13,935,993,956.43"
吸收投资收到的现金,,,,,,"2,000,000,000.00",,"2,500,000.00",,,,,,,,,,,
