科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"198,529,949.87","362,351,127.32","359,042,139.43","270,434,890.22","166,854,646.23","864,214,926.68","590,118,585.24","542,932,137.18","336,787,646.50","270,614,650.04","533,913,813.30","461,914,025.16","268,047,361.39","392,957,467.09","745,960,583.09","464,721,635.10","363,154,879.32","236,507,377.65","897,209,451.26"
短期借款,"105,000,000.00","140,000,000.00","150,000,000.00","150,000,000.00","180,000,000.00","175,000,000.00","10,000,000.00","105,000,000.00","260,000,000.00","262,000,000.00","212,000,000.00","162,000,000.00","157,000,000.00","200,000,000.00","210,000,000.00","210,000,000.00","220,000,000.00","227,000,000.00","218,300,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"2,980,000.00","800,000.00","2,650,200.00","8,170,000.00","2,970,000.00","2,510,000.00","3,329,400.00","12,570,000.00","17,765,000.00","9,745,500.00","8,146,000.00","18,260,000.00","17,910,000.00","5,004,700.00","2,341,000.00","45,838,702.10","43,328,229.70","2,298,103.00","16,609,976.00"
应付票据,,"5,000,000.00",,,,,,,,,,,,,,,,,
应收账款,"703,072,534.45","960,097,470.84","1,191,025,648.33","1,118,617,025.36","1,287,142,520.02","1,341,083,416.19","1,381,710,419.06","1,318,354,276.47","1,557,449,172.81","1,617,318,408.92","1,704,262,329.03","1,640,206,171.42","1,757,329,960.99","1,924,818,859.97","2,026,618,596.13","1,917,566,476.31","2,152,527,125.28","2,369,144,395.16","2,498,258,187.55"
应付账款,"401,970,230.32","510,933,687.39","498,384,094.51","482,053,061.31","567,570,477.53","597,385,045.30","570,082,356.36","500,664,901.53","601,951,565.92","575,241,729.53","654,465,593.11","630,022,435.89","636,885,368.86","676,596,731.94","756,622,084.52","677,135,301.12","776,095,765.56","848,176,293.50","1,055,511,539.89"
预付款项,"37,745,290.04","37,583,189.41","42,553,983.89","53,920,704.38","47,578,635.11","80,130,747.40","54,612,624.93","54,421,019.91","66,151,581.72","57,812,655.37","58,947,209.92","71,199,435.44","74,489,675.02","76,686,528.61","80,944,321.71","125,943,766.77","112,672,389.48","123,049,609.63","90,116,725.03"
预收款项,"246,878,025.36","272,255,599.11","344,742,404.63","366,546,056.14","320,908,639.64","367,248,101.89","414,962,965.65","420,500,762.44","396,237,718.62","436,504,122.39","510,188,336.86","540,454,033.15","543,959,878.62","625,276,862.08","639,715,314.61","702,748,564.02","702,806,716.38","745,193,196.13","761,903,689.94"
其他应收款,"31,126,308.15","37,127,658.30","45,990,811.01","51,848,476.58","56,295,948.10","56,978,201.04","45,025,760.29","60,585,480.15","62,173,806.18","59,874,001.70","61,618,201.93","80,862,829.10","88,299,240.59","118,788,487.92","108,853,760.22","137,938,247.93","149,572,755.59","155,194,659.76","132,683,928.29"
