科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"20,433,918.04","151,861,281.85","328,322,099.10","39,820,116.99","72,217,701.18","99,377,377.55","30,495,511.73","51,541,373.14","76,298,784.95","97,854,841.87","21,117,178.04","46,487,542.19","75,155,149.94","111,907,939.31","35,104,658.82","54,896,143.26","84,904,543.26","105,605,620.74","27,737,948.25","53,241,517.78","79,550,821.53","110,900,853.86","24,887,558.60","67,771,659.59","101,965,495.25","136,773,474.78","31,212,118.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"11,579.14","1,863,112.26","755,202.92",,,,,,,,,,,,,,"598,053.19","909,971.37","417,728.98","417,728.98","522,018.57","687,174.77",,"1,272,381.32","1,272,381.32","134,549.80","762,895.02"
支付其他与投资活动有关的现金,,,,,,"590,000,000.00",,,,"120,000,000.00",,"80,000,000.00","530,000,000.00","530,000,000.00",,,"457,100,000.00","645,330,000.00","309,910,000.00","384,710,000.00","927,610,000.00","1,347,052,500.00","118,554,900.00","281,180,290.00","892,180,429.00","946,000,000.00","152,500,000.00"
收到其他与经营活动有关的现金,"354,016.60","1,027,570.67","6,823,720.20","5,040,889.85","7,606,618.67","12,931,232.17","1,518,932.55","4,646,989.29","3,235,495.34","8,135,799.42","1,179,049.02","3,211,264.38","3,771,373.35","26,555,231.30","3,176,432.88","4,722,072.89","17,966,370.95","20,200,943.30","2,401,136.26","4,105,945.82","5,418,686.77","19,078,695.14","473,748.22","2,561,108.79","3,408,327.39","19,168,647.57","6,704,583.44"
投资活动现金流出小计,"5,041,172.43","20,350,944.02","45,158,651.58","7,027,453.34","9,833,656.43","603,624,712.66","9,440,362.22","15,450,312.63","23,873,019.15","161,866,853.08","10,658,048.72","101,211,553.20","568,501,645.79","586,498,466.43","15,979,347.03","22,645,967.79","486,406,768.24","807,774,965.87","323,834,303.17","408,091,344.17","963,732,338.82","1,382,671,986.17","127,572,543.22","296,528,383.42","915,651,072.26","973,547,299.63","160,862,232.84"
经营活动现金流入小计,"20,799,513.78","154,751,964.78","335,901,022.22","44,861,006.84","79,824,319.85","112,308,609.72","32,014,444.28","56,188,362.43","79,534,280.29","105,990,641.29","22,296,227.06","49,698,806.57","78,926,523.29","138,463,170.61","38,281,091.70","59,618,216.15","103,468,967.40","126,716,535.41","30,556,813.49","57,765,192.58","85,491,526.87","130,666,723.77","25,361,306.82","71,605,149.70","106,646,203.96","156,076,672.15","38,679,596.75"
投资活动产生的现金流量净额,"-5,041,172.43","-20,350,944.02","-45,158,651.58","-6,987,953.34","-9,689,056.43","-603,429,912.66","-9,440,362.22","-15,450,312.63","-23,873,019.15","-161,866,853.08","-10,658,048.72","22,088,446.80","197,584,519.19","178,600,261.14","-13,683,662.10","66,089,306.17","66,329,966.91","-242,434,388.87","-25,300,637.42","110,798,979.12","-34,089,237.75","5,279,447.32","-45,382,519.97","-28,009,882.62","-62,709,298.24","-34,069,185.54","-26,215,336.10"
购买商品、接受劳务支付的现金,"7,012,335.99","42,149,478.71","116,962,951.35","27,496,828.57","33,345,121.99","35,365,190.24","4,004,573.68","11,300,525.61","15,728,494.27","18,034,038.64","3,906,659.97","11,794,519.18","22,118,382.61","21,078,669.46","4,103,896.70","11,104,057.42","21,000,938.86","14,124,965.66","7,367,020.83","15,436,754.29","23,550,260.86","22,320,329.06","8,579,203.72","23,798,429.17","40,583,094.40","43,924,984.19","16,377,806.83"
吸收投资收到的现金,,,,,"789,007,600.00","789,007,600.00",,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"5,266,811.99","11,664,788.97","27,104,786.36","20,798,471.03","26,572,970.04","31,476,424.91","16,409,707.57","22,012,553.74","27,561,609.45","34,700,809.46","12,328,285.06","18,698,078.75","25,295,318.93","31,435,166.19","13,824,305.62","20,777,047.50","27,519,397.92","35,266,735.24","15,397,379.09","23,824,371.26","30,903,028.91","38,788,769.48","14,457,905.56","22,126,920.06","30,643,427.45","40,539,788.55","19,627,938.13"
取得借款收到的现金,"2,000,000.00","3,000,000.00",,,,"7,000,000.00",,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"2,461,139.74","11,087,655.53","61,980,498.46","23,644,011.04","32,637,539.81","38,675,140.53","6,276,347.74","9,423,715.68","16,138,763.64","21,192,981.69","4,812,060.58","11,090,672.58","15,836,573.93","22,155,011.43","5,285,052.67","13,013,753.23","15,915,209.56","21,002,360.28","2,823,467.79","2,834,429.57","6,165,155.95","9,793,122.22","2,569,950.40","5,546,728.58","11,881,665.03","14,918,393.29","5,655,134.27"
收到其他与筹资活动有关的现金,,,"7,854,000.00",,"1,042,800.00","1,701,000.00",,"636,000.00","636,000.00","16,462,800.00","1,000,000.00","1,000,000.00","1,000,000.00","20,567,200.00","700,000.00","700,000.00","3,700,000.00","3,700,000.00","300,000.00","300,000.00","600,000.00","600,000.00",,,,"6,360,000.00",
支付其他与经营活动有关的现金,"3,902,216.54","7,840,318.71","11,546,326.89","5,441,508.95","11,877,778.24","15,445,053.91","4,827,371.34","7,649,273.39","13,878,925.02","17,346,960.78","3,563,040.99","7,014,392.48","11,680,232.43","19,073,989.64","2,848,779.98","7,421,970.80","10,503,021.44","28,834,162.10","4,070,025.04","7,087,621.22","10,227,174.18","26,701,025.25","2,064,603.82","6,807,476.67","10,608,392.79","34,170,650.89","3,957,310.01"
筹资活动现金流入小计,"2,000,000.00","3,000,000.00","7,854,000.00",,"790,050,400.00","797,708,600.00",,"636,000.00","636,000.00","16,462,800.00","1,000,000.00","1,000,000.00","1,000,000.00","20,567,200.00","700,000.00","700,000.00","3,700,000.00","3,700,000.00","300,000.00","300,000.00","600,000.00","600,000.00",,,,"6,360,000.00",
经营活动现金流出小计,"18,642,504.26","72,742,241.92","217,594,563.06","77,380,819.59","104,433,410.08","120,961,809.59","31,518,000.33","50,386,068.42","73,307,792.38","91,274,790.57","24,610,046.60","48,597,662.99","74,930,507.90","93,742,836.72","26,062,034.97","52,316,828.95","74,938,567.78","99,228,223.28","29,657,892.75","49,183,176.34","70,845,619.90","97,603,246.01","27,671,663.50","58,279,554.48","93,716,579.67","133,553,816.92","45,618,189.24"
偿还债务支付的现金,"1,200,000.00","3,800,000.00","5,000,000.00",,,,,,,,,,,,,,,"7,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"2,157,009.52","82,009,722.86","118,306,459.16","-32,519,812.75","-24,609,090.23","-8,653,199.87","496,443.95","5,802,294.01","6,226,487.91","14,715,850.72","-2,313,819.54","1,101,143.58","3,996,015.39","44,720,333.89","12,219,056.73","7,301,387.20","28,530,399.62","27,488,312.13","898,920.74","8,582,016.24","14,645,906.97","33,063,477.76","-2,310,356.68","13,325,595.22","12,929,624.29","22,522,855.23","-6,938,592.49"
