科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"3,892,929.93","19,128,750.87","9,218,042.14","7,245,618.89","13,206,950.80","321,551,175.52","296,123,578.29","286,426,911.03","229,935,471.34","166,144,585.45","111,662,844.88","87,734,489.51","65,028,846.40","74,249,035.94","64,739,273.84","50,942,291.96","20,414,497.14","25,620,935.16","30,746,583.91","25,277,798.98","13,839,318.89","14,331,372.29","22,125,699.21","21,175,949.57","7,916,006.81","23,625,945.22","16,228,766.65","25,225,123.74","46,871,955.70","65,842,292.81","20,634,192.70","7,748,385.91","13,846,576.58","21,353,968.57","28,237,125.63","14,224,360.80","21,058,941.36"
短期借款,"18,000,000.00","24,500,000.00","18,000,000.00","18,000,000.00","23,000,000.00",,,,,,,,,,,,,"4,000,000.00","6,000,000.00","15,000,000.00","15,000,000.00","5,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","9,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,112,315.90","1,977,000.00","20,177,190.00","2,857,207.65","11,497,884.96","2,707,948.76","11,449,225.00","9,494,370.92","10,810,952.29","8,800,524.68","30,466,510.48","18,374,763.39","17,574,653.00","23,643,667.92","34,273,528.80","19,642,819.72","19,320,039.29","23,016,828.85","23,475,723.45","9,064,464.64","19,521,862.20","9,852,529.40","15,875,297.00","17,388,896.60","20,300,000.00","8,303,334.77","11,670,000.00","12,922,680.00","2,724,022.00","15,327,039.50","48,400,482.80","36,599,000.00","8,605,250.00","9,264,201.20","17,727,100.34","7,914,221.60","300,000.00"
应付票据,,,"9,217,626.44","6,118,716.50","5,513,180.50","2,400,000.00","8,100,000.00","12,100,000.00","5,400,000.00","10,009,492.34","16,234,590.64","9,505,897.83","11,259,579.17","18,373,178.82","21,010,019.18","12,827,278.28","7,761,658.28","8,240,440.00","10,622,461.14","20,375,227.69","16,365,299.47","4,016,000.00","9,538,000.00","12,964,500.00","6,416,500.00",,"5,920,000.00","5,920,000.00",,"9,030,380.52","9,030,380.52",,,"8,176,569.26","12,693,769.47","7,466,342.47","8,020,000.00"
应收账款,"17,795,360.83","45,734,808.34","65,656,774.24","77,165,537.49","88,768,669.79","92,812,496.43","113,839,895.98","108,290,341.00","121,486,213.11","126,035,880.83","117,528,799.19","131,590,278.33","139,525,624.22","136,996,624.65","106,294,617.24","99,615,947.10","112,442,613.97","125,305,456.84","130,246,946.81","148,440,997.18","179,341,801.55","173,107,718.18","170,618,522.02","171,714,537.09","191,318,707.75","149,490,461.41","125,810,775.08","144,782,035.34","159,097,466.01","225,339,047.50","220,633,324.72","232,579,827.07","263,174,442.45","254,254,491.86","225,925,711.19","211,186,227.56","275,112,135.13"
应付账款,"11,187,145.98","20,690,708.50","25,540,461.25","25,561,561.41","27,053,253.23","29,378,012.18","28,359,587.85","29,436,107.82","37,311,583.53","34,021,148.65","27,551,187.37","21,893,232.38","20,727,747.36","24,720,371.11","28,939,243.48","33,691,109.49","38,636,387.84","36,761,604.37","45,831,377.81","46,170,469.14","47,872,717.17","45,335,012.63","52,424,807.33","46,104,867.55","52,277,463.95","49,485,302.34","53,887,578.98","48,947,921.92","40,892,844.46","65,049,954.95","66,165,266.00","48,247,419.20","45,609,474.00","54,723,276.28","54,884,310.72","51,517,477.36","56,967,535.07"
预付款项,"19,681,051.77","15,282,042.76","4,822,355.20","9,680,882.34","7,137,829.10","12,441,830.48","31,629,350.44","50,412,380.22","68,840,876.93","95,994,967.16","95,027,658.60","81,425,639.72","77,561,666.71","49,482,963.22","9,731,279.07","9,839,657.50","4,439,618.85","12,684,685.38","14,686,415.81","18,275,667.43","13,565,757.44","7,961,483.15","7,373,552.61","18,981,660.38","10,342,758.94","18,226,205.94","13,884,569.90","10,420,561.64","19,271,384.95","16,705,557.81","16,899,369.96","22,317,555.04","27,340,355.71","53,516,808.97","42,656,136.68","33,326,028.13","20,617,952.89"
预收款项,"12,912,358.00","37,852,879.89","24,460,750.00","16,239,286.30","19,095,243.00","13,979,848.65","28,398,762.20","20,140,279.72","26,050,780.88","27,875,379.91","20,137,980.00","23,799,169.00","27,919,553.63","27,414,867.83","23,504,777.96","27,243,595.82","27,335,404.01","51,034,503.50","52,632,836.01","53,208,651.01","27,860,284.43","42,470,378.89","39,714,326.36","55,109,464.66","47,395,502.84","62,922,053.76","45,147,206.53","31,760,494.48","30,687,649.23","40,697,344.27","37,568,724.90","42,914,542.71","60,212,919.15","82,387,688.96","26,629,147.48","27,243,975.40","65,666,609.96"
其他应收款,"4,171,454.65","5,276,023.54","6,023,799.15","6,787,958.90","9,815,508.05","3,286,381.09","1,992,412.66","3,319,803.83","2,926,667.39","4,410,994.33","1,128,892.50","2,657,919.28","3,165,555.12","4,408,791.25","3,029,917.66","2,003,044.01","3,417,216.19","4,336,264.07","1,797,680.61","4,419,367.96","6,208,421.31","5,779,273.81","4,039,707.77","4,492,224.59","4,840,886.97","4,200,801.99","3,556,165.02","30,482,337.04","4,635,237.81","14,565,636.54","11,617,952.36","14,005,213.87","14,644,640.73","16,973,272.01","13,530,006.17","18,245,908.23","20,494,573.21"
