科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"723,706,704.15","1,054,330,347.21","1,048,742,388.78","485,922,940.69","812,239,243.33","1,058,488,199.94","243,173,782.08","552,404,772.97","932,716,133.37","1,217,658,261.54","257,109,719.40","556,079,333.45","951,840,809.49","1,245,161,121.16","280,372,002.39","593,411,075.02","963,616,740.22","1,297,761,002.50","234,397,757.58","529,457,646.99","906,988,388.73","1,269,651,288.35","357,773,669.17","734,680,699.01","1,180,501,733.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"700,300.00",,,,,,,
收到其他与经营活动有关的现金,"2,757,464.08","24,433,852.34","122,888,618.45","98,640,465.93","99,216,958.61","139,650,220.73","26,758,502.90","42,656,493.08","96,149,421.93","80,704,757.17","54,036,956.80","96,020,851.25","544,084,269.71","116,302,321.73","52,145,791.72","57,017,084.16","69,927,499.97","69,193,511.91","122,299,856.97","131,442,097.14","134,074,994.32","142,477,647.93","110,310,502.97","128,402,934.77","139,601,055.84"
投资活动现金流出小计,"516,992,631.02","269,458,383.04","156,396,159.25","262,708,531.90","441,386,684.14","557,597,726.45","618,313.70","28,259,748.70","174,834,698.96","250,996,387.82","419,139,880.45","503,557,669.00","604,403,852.62","651,223,701.92","84,600,482.88","162,642,937.50","216,379,387.77","199,638,210.77","62,673,952.42","63,016,359.54","123,598,785.10","184,336,296.56","203,374,693.40","270,429,776.35","271,884,159.41"
经营活动现金流入小计,"726,464,168.23","1,078,764,199.55","1,171,631,007.23","584,563,406.62","911,456,201.94","1,198,138,420.67","269,932,284.98","595,061,266.05","1,028,865,555.30","1,298,363,018.71","311,146,676.20","652,100,184.70","1,495,925,079.20","1,361,463,442.89","332,517,794.11","650,428,159.18","1,033,544,240.19","1,366,954,514.41","356,697,614.55","660,899,744.13","1,041,063,383.05","1,412,128,936.28","468,084,172.14","863,083,633.78","1,320,102,789.12"
投资活动产生的现金流量净额,"-516,971,631.02","-243,330,116.04","-156,396,159.25","-262,708,131.90","-441,386,284.14","-557,597,326.45","-618,313.70","-28,229,248.70","-174,804,198.96","-250,965,887.82","-419,011,727.17","-503,377,207.45","-604,151,808.54","-651,223,701.92","-84,592,042.88","-162,626,997.50","-216,363,447.77","-199,622,270.77","-62,673,952.42","-63,014,559.54","-123,596,985.10","-184,334,496.56","-203,374,693.40","-270,429,776.35","-271,873,159.41"
购买商品、接受劳务支付的现金,"339,657,247.26","538,470,100.59","559,372,702.19","261,155,694.51","426,879,108.48","623,218,760.51","150,260,167.03","348,716,797.91","532,176,436.21","705,738,828.36","150,495,338.90","323,534,977.60","547,141,120.23","791,100,206.80","135,023,576.54","310,656,160.74","505,721,434.53","730,584,133.56","104,650,362.26","228,508,149.78","382,288,889.71","553,209,823.95","165,393,929.28","340,059,882.20","530,125,891.75"
吸收投资收到的现金,,,,,"1,076,129,200.00","1,076,129,200.00",,"66,715.81","66,715.81","66,715.81",,,,,,,"24,806,730.00","31,167,430.00",,,"12,000,000.00","25,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00"
