科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
应付职工薪酬,"2,698,895.91","2,394,202.50","2,732,778.33","1,832,379.93","2,202,146.25","2,846,967.42","2,594,427.82","2,176,079.55","2,580,009.93","3,677,515.82","2,713,105.98","2,468,605.03","2,786,166.90","3,706,818.64","2,886,318.92","3,439,805.51","3,419,970.24","4,915,273.01","4,073,724.65","3,828,194.25","4,127,380.90","5,349,011.15","4,083,478.22","4,247,693.84","4,559,144.54","6,500,521.45","4,835,970.87","5,214,744.47","5,764,798.76","9,479,932.36","8,816,705.19","10,438,942.11","12,704,941.39","17,616,651.22","8,903,054.73","11,176,858.88","14,725,417.62","22,755,732.56","13,398,166.40"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"21,014,141.65","4,561,967.60","6,802,946.87","2,869,962.88","7,048,363.00","3,266,115.35","6,164,703.02","3,964,489.08","8,034,926.52","4,808,454.44","5,818,066.70","4,507,130.77","6,163,962.12","8,200,884.21","7,216,628.78","3,423,692.15","3,400,154.94","2,614,481.54","2,694,905.29","3,072,140.50","3,018,064.60","4,705,540.19","1,892,158.66","6,233,585.32","8,101,775.80","12,598,453.36","7,817,002.07","9,167,450.68","6,032,681.65","10,288,274.00","7,724,819.29","9,133,691.28","8,903,574.72","10,208,817.98","6,321,232.38","6,953,254.52","9,120,008.11","9,603,023.20","7,881,869.48"
应收利息,,,,,,,"4,471,790.57","7,485,819.69","5,016,240.93","4,244,706.88","3,942,985.12","3,636,967.49","5,032,333.66","2,556,579.59","1,329,040.95","1,206,628.75","806,950.55","603,683.26","1,138,467.02","697,838.08","683,399.35","246,328.36","740,252.69","667,231.22","1,117,404.75","1,406,854.64","200,916.04","97,509.40",,,"193,458.30","211,022.56","138,135.13","355,043.08","223,242.26",,,"102,727.45","91,837.78"
应付利息,"278,915.17","411,987.83","185,442.38","112,765.71","165,777.59","97,684.10","25,722.79","58,291.51","47,066.64","110,489.87","163,016.71","142,936.48","88,493.16","115,588.96","98,737.03","284,278.83","158,433.63","94,470.49","166,228.63","319,505.98","585,662.44","254,900.36","295,622.96","238,391.83","445,898.91","278,881.47","181,443.63","419,958.21","1,397,960.89","342,211.10","493,307.12","460,793.36","725,461.60","890,983.83",,"711,074.24",,"845,819.21","927,488.69"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"55,780,084.65","61,375,183.68","47,436,446.53","64,397,362.66","67,381,255.93","78,819,332.94","82,744,838.41","116,061,478.24","84,409,680.83","87,658,193.40","84,294,757.77","87,585,836.99","75,282,890.43","85,415,112.08","91,849,520.64","98,898,426.67","111,700,524.62","110,014,873.59","111,069,287.66","124,324,267.89","123,840,056.01","141,445,465.21","134,073,806.82","121,870,608.87","115,117,085.45","127,211,116.29","105,112,430.08","98,892,034.83","109,232,320.08","111,896,137.31","129,384,105.54","131,244,302.97","366,562,106.49","406,728,500.92","424,152,705.93","450,427,323.28","430,947,786.96","472,694,085.52","479,035,486.52"
其他应付款,"2,858,437.80","4,018,795.41","2,383,482.42","2,143,089.95","2,581,285.90","3,369,698.95","2,517,561.76","5,607,457.13","14,044,021.80","12,521,200.00","12,535,640.00","14,346,530.00","14,675,951.13","14,637,050.00","8,656,301.47","53,075,889.00","48,743,240.00","54,142,368.00","53,503,334.54","53,213,743.59","52,203,547.70","54,131,629.67","54,373,675.42","54,438,195.17","54,459,532.70","56,247,610.64","62,732,322.70","62,844,082.29","62,343,257.33","64,710,299.29","66,093,472.96","63,094,765.29","63,291,998.28","75,143,188.04","63,158,814.43","61,169,155.33","62,202,185.44","62,245,149.71","62,775,018.58"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,092,575.27","59,456,559.22"
