科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"72,505,628.57","213,574,529.06","308,877,709.71","197,144,834.99","718,154,530.46","299,625,882.66","429,664,117.37","280,574,920.11","398,138,326.47","181,342,522.96","234,068,396.10","322,465,990.73","344,337,513.68","236,755,227.63","199,544,580.52","203,878,657.80","267,937,284.35","423,167,020.76","372,812,068.67","187,212,335.16","141,651,383.18","188,046,544.59","110,055,117.84","390,381,139.67","205,060,974.18"
短期借款,"397,290,282.00","418,480,987.51","518,919,378.92","398,887,728.98","715,439,349.70","401,879,299.94","846,948,808.82","830,960,200.89","881,820,887.27","1,023,028,007.51","1,038,696,187.30","916,852,128.00","696,690,724.40","627,914,479.40","614,264,468.00","547,304,160.00","771,441,737.00","814,800,592.00","692,157,516.00","616,127,544.00","545,281,992.24","588,693,350.00","544,600,000.00","572,171,808.00","638,110,668.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,810,000.00","101,909,207.88","16,108,916.00","24,758,109.57","104,458,663.69","124,280,833.41","147,391,819.24","265,013,420.55","330,851,348.02","258,140,709.40","183,640,543.65","159,694,129.25","215,210,328.97","226,089,117.29","187,753,964.62","149,662,594.42","120,528,251.00","109,108,937.05","99,322,725.36","152,442,638.50","137,828,620.05","173,957,488.21","158,871,500.63","272,080,950.05","204,937,581.22"
应付票据,,,,,"43,438,433.50","43,438,433.50",,"134,400,000.00","187,400,000.00","53,000,000.00","16,600,000.00","31,680,000.00","28,730,000.00","31,650,000.00","70,270,000.00","81,890,000.00","80,700,000.00","120,500,000.00","105,340,000.00","54,800,000.00","43,180,000.00","22,850,000.00","37,900,000.00","55,800,000.00","11,000,000.00"
应收账款,"76,888,154.40","150,646,056.10","163,232,230.83","152,464,740.29","160,420,939.84","148,236,977.37","270,969,261.08","235,404,634.32","205,044,468.90","223,060,774.31","377,772,308.75","339,019,079.17","271,128,204.58","389,123,034.47","496,389,555.23","368,625,506.16","322,330,072.05","272,082,964.41","300,841,496.35","259,153,479.69","258,442,757.07","222,980,429.59","211,835,826.34","219,818,235.25","191,920,256.85"
应付账款,"102,833,568.22","196,158,677.79","170,660,089.78","149,157,328.35","195,823,194.17","90,282,724.74","133,185,279.11","54,510,184.45","113,482,293.78","45,502,010.55","68,097,196.34","86,303,349.45","140,117,662.04","132,459,882.57","168,421,665.55","148,087,446.43","90,684,781.99","100,613,986.03","152,463,049.03","142,505,167.38","155,605,114.85","84,811,298.80","214,453,210.29","306,549,725.99","260,649,759.95"
预付款项,"187,695,984.19","139,974,887.69","129,567,431.06","104,877,950.40","175,258,361.51","167,414,479.26","305,112,991.05","263,589,290.78","153,212,140.65","402,685,955.00","296,751,839.24","295,739,026.41","194,741,859.99","123,284,462.48","171,621,139.96","90,483,893.04","126,680,979.62","96,062,762.08","116,869,940.55","102,363,672.78","103,626,340.55","409,726,087.58","225,194,944.31","76,708,853.03","99,883,073.80"
预收款项,"76,041,901.81","81,355,007.14","128,850,410.44","99,003,289.36","38,475,320.63","71,650,178.32","45,639,809.28","35,615,427.93","44,672,581.47","24,788,161.71","25,295,604.90","20,219,160.91","18,743,295.47","15,692,394.65","19,081,691.92","44,016,041.36","23,604,037.30","24,686,066.96","43,907,943.34","11,976,224.50","10,517,407.17","8,342,776.78","95,726,226.40","30,547,287.41","9,798,126.05"
其他应收款,"15,719,964.01","3,993,255.93","2,428,286.76","2,227,000.39","3,244,928.97","2,486,461.45","2,346,902.59","3,137,273.65","6,818,188.40","4,195,827.19","6,251,859.22","34,061,914.06","39,086,589.49","33,820,593.14","37,833,941.59","37,740,634.86","13,222,048.41","15,444,524.29","9,161,748.17","6,943,659.01","6,873,025.38","6,701,768.22","4,666,708.34","6,404,107.40","90,167,777.90"
应付职工薪酬,"177,824.88","144,790.15","212,278.87","162,100.27","1,041,707.11","165,602.80","213,347.78","126,317.69","116,944.12","145,006.17","104,617.17","126,037.16","103,180.98","97,128.29","88,549.90","63,547.63","952,128.55","1,232,986.34","525,097.36","1,801,790.89","821,971.98","4,918,399.06","1,173,452.66","390,259.12","313,963.12"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-26,404,015.09","-8,887,758.77","-8,256,831.73","-14,231,551.18","-24,721,210.94","-29,354,487.05","-18,192,421.85","-31,579,044.58","-29,420,413.30","-38,759,738.07","-25,746,529.47","-24,105,732.28","-32,237,972.58","4,109,723.44","1,729,689.25","2,124,435.83","3,906,546.08","5,621,317.80","5,462,689.80","5,032,917.63","5,095,862.42","14,949,563.59","25,411,844.63","5,679,778.85","7,008,585.37"
应收利息,,,,,,"318,675.07","623,297.67",,,,,,,,,,,,,,,,,,
应付利息,"412,244.20","1,873,452.91","1,950,860.26","1,961,442.95","884,841.40","1,581,593.02","20,000.00","1,978,669.27","1,251,538.24","2,629,575.20","98,272.79","3,931,499.80","5,417,430.56","14,048,017.09","20,463,902.77","14,933,645.62","934,049.79","1,102,734.84","964,306.42","869,063.24","743,966.83","1,090,080.65","5,615,788.20","11,548,736.80","16,358,768.31"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"409,047,405.32","254,260,949.55","249,078,437.78","233,312,709.39","387,597,876.73","367,498,037.71","387,460,873.26","498,418,787.12","623,565,786.72","553,859,391.00","558,778,472.37","565,152,839.84","720,188,785.74","681,689,233.43","647,522,072.04","590,062,019.12","568,524,800.40","490,593,908.79","389,973,110.26","419,607,636.05","389,378,113.25","424,924,040.34","702,099,186.47","910,975,546.69","1,160,090,355.77"
其他应付款,"21,562,675.58","3,464,680.58","287,094.34","201,737.02","4,561,493.37","777,530.61","445,394.59","538,313.95","313,268.24","300,223.94","190,055.03","647,159.70","194,803.24","257,544.50","358,113.00","369,813.69","60,662,178.91","2,204,606.10","2,183,591.27","930,368.18","679,152.35","1,514,056.28","1,469,809.56","466,194,807.46","467,067,474.01"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"55,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,"37,959,764.00","30,558,388.44","24,417,676.72","38,645,768.09","38,821,670.21","30,843,066.18","33,604,115.45","28,997,869.72","28,580,864.85","53,650,753.12","53,794,078.61","48,462,252.44"
其他流动负债,,,,,,,,,,,,"150,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","250,000,000.00",,,,,,,,,
流动资产合计,"768,667,136.49","864,358,886.21","869,293,012.14","714,785,345.03","1,549,135,301.20","1,109,861,346.93","1,543,569,262.26","1,546,138,326.53","1,717,630,259.16","1,623,285,179.86","1,657,263,419.33","1,716,132,979.46","1,784,693,282.45","1,728,721,432.44","1,771,223,642.40","1,464,870,982.12","1,457,869,203.92","1,445,281,787.59","1,319,824,155.54","1,161,327,536.64","1,066,798,109.20","1,454,917,223.38","1,466,374,037.05","1,930,162,910.70","2,000,522,272.16"
