科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"776,316,752.23","822,132,450.65","721,942,211.17","328,139,370.30","478,910,191.72","636,119,714.81","128,663,246.15","271,263,812.76","441,041,853.34","626,744,434.47","161,176,832.74","293,397,457.23","458,385,438.80","704,549,781.61","190,681,610.10","367,447,965.98","621,419,645.57","563,392,991.24","138,926,229.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"42,000,000.00","28,718,716.11","8,521,550.00","3,461,270.60","45,521,550.00","42,263,287.76",,"58,280,000.00","58,280,000.00","118,857,400.66",
收到的税费返还,,"54,452.11","726,647.38","714,899.83","948,756.29","2,964,892.22",,,"54,520.17","1,916,777.11",,"226,364.33","772,938.36","1,615,494.17",,"92,819.34","1,089,019.34","1,381,688.76","1,056,900.00"
支付其他与投资活动有关的现金,,,,,,,,,,"36,000,000.00",,"38,247,035.64","58,411,189.15","67,500,000.00","18,000,000.00","16,650,000.00","26,650,000.00","818,200,000.00","133,000,000.00"
收到其他与经营活动有关的现金,"14,684,258.92","30,867,116.62","18,471,944.09","14,430,570.85","21,416,727.86","20,576,133.60","4,143,772.25","15,947,696.97","74,882,163.49","38,769,587.67","10,524,974.14","22,015,184.17","49,518,081.86","54,980,334.96","16,198,887.65","46,006,395.97","77,248,322.14","106,248,247.35","22,559,418.18"
投资活动现金流出小计,"70,936,059.02","68,375,239.53","28,308,519.28","16,774,923.22","18,632,834.07","70,501,527.01","22,658,644.35","28,186,524.36","77,296,113.67","115,782,325.41","21,354,668.21","73,199,187.98","145,909,367.53","174,099,703.03","59,988,471.21","125,261,956.27","156,743,411.01","958,775,453.05","137,294,458.06"
经营活动现金流入小计,"791,001,011.15","853,054,019.38","741,140,802.64","343,284,840.98","501,275,675.87","659,660,740.63","132,807,018.40","287,211,509.73","515,978,537.00","667,430,799.25","171,701,806.88","315,639,005.73","508,676,459.02","761,145,610.74","206,880,497.75","413,547,181.29","699,756,987.05","671,022,927.35","162,542,547.56"
投资活动产生的现金流量净额,"-44,648,477.64","-61,400,992.56","-27,412,596.20","-16,672,380.45","-18,331,262.17","-70,203,284.54","-22,653,230.65","-25,116,620.01","-48,494,260.20","-49,016,114.84","-17,154,174.10","-42,377,008.47","-104,978,008.01","-112,222,453.15","-45,029,617.79","-64,594,604.36","-77,132,438.49","-97,326,025.32","7,853,727.71"
购买商品、接受劳务支付的现金,"586,818,370.28","500,361,982.02","482,273,162.44","180,583,915.70","288,559,843.36","426,149,079.20","64,213,775.95","158,438,151.81","292,293,532.07","389,279,094.77","66,354,567.40","144,064,440.46","258,304,224.94","416,973,987.60","109,657,504.60","238,239,565.72","388,120,075.86","270,313,519.64","51,732,897.35"
吸收投资收到的现金,,,,,"274,726,900.00","274,726,900.00",,,,,,,,,,,,,
