科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"55,246,672.32","60,997,683.87","68,296,011.51","445,047,313.75","458,958,039.73","407,249,395.41","340,510,881.25","317,671,791.04","393,267,608.28","328,840,557.00","271,942,266.05","241,555,208.60","234,188,340.70","156,923,569.37","174,890,140.36","85,950,093.21","267,800,304.04","123,691,644.93","128,697,536.64","142,800,284.99","877,898,165.66","912,245,857.37","844,394,476.41","941,466,684.83","841,165,681.50","912,564,994.36","907,629,333.22","833,203,194.41","819,070,867.20","763,928,455.06","771,677,918.43","789,495,721.71","832,087,230.65","714,072,616.06","734,625,308.98","667,755,886.66"
短期借款,"6,000,000.00","16,000,000.00","41,000,000.00","35,000,000.00","30,000,000.00","20,000,000.00",,,,,,,"6,000,000.00","50,000,000.00","60,000,000.00","10,000,000.00","150,762,027.00","61,312,027.00","57,428,297.50","51,748,297.50",,,"100,000,000.00","150,000,000.00",,,,,"50,000,000.00","121,230,139.94","155,211,600.63","174,872,866.10","142,413,508.96","152,648,020.85","190,276,730.38","117,900,243.56"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"30,000.00","2,146,000.00","3,550,000.00","1,250,000.00","2,421,368.70","2,610,160.00","1,270,000.00","300,000.00","4,149,250.00","18,000,000.00","1,273,615.00","5,521,492.20","91,012,753.20","68,936,486.00","1,250,000.00","10,909,967.60","47,136,115.00","43,632,084.60","3,418,000.00","1,884,000.00","6,963,413.56","7,009,271.00","14,989,672.10","21,908,495.90","16,620,123.63","23,446,902.00","27,259,062.00","21,440,329.43","29,787,277.43","17,875,932.00","8,714,724.84","25,754,210.00","29,432,253.60","13,644,999.60","19,623,195.60","13,098,520.03"
应付票据,"11,099,434.00","9,484,674.79","9,199,185.00","6,180,575.00","14,710,034.96","7,451,533.10","4,400,000.00","5,850,000.00","12,081,178.24","14,797,639.31","16,060,403.29","14,091,191.58","12,350,000.00","6,250,000.00","1,500,000.00","8,018,819.60","11,889,244.88","4,927,580.28","4,492,095.38","6,605,509.38","7,662,482.00","4,095,977.60","2,420,909.60","3,000,000.00","2,000,000.00",,"1,046,618.00","5,791,995.69","4,705,611.49","242,364.80","471,700.00","2,093,815.10","933,692.00","133,692.00",,
应收账款,"52,841,102.31","67,591,670.41","58,386,406.32","59,410,686.58","95,335,455.28","81,150,688.05","110,463,625.64","118,492,343.79","157,782,043.91","143,831,680.21","186,186,874.43","241,791,636.36","327,721,703.24","335,702,437.95","353,711,709.23","375,763,465.99","346,457,670.74","337,887,380.70","381,477,549.85","381,861,551.21","410,971,445.95","402,795,789.41","382,424,641.02","376,837,024.50","457,857,558.72","389,521,543.72","426,697,092.44","449,649,553.27","476,050,907.59","439,133,471.73","469,157,251.91","455,752,294.76","465,789,583.70","483,609,431.12","538,061,893.36","516,733,074.62"
应付账款,"24,380,183.24","29,135,941.05","27,199,689.44","30,636,666.19","37,389,401.87","47,068,928.39","43,361,649.77","37,374,518.49","46,351,797.17","53,808,768.20","52,306,956.85","46,587,460.02","121,859,893.97","97,142,949.49","119,012,920.95","137,784,297.74","163,788,025.99","154,524,522.08","153,262,463.35","199,254,489.34","205,224,920.70","191,354,045.69","188,187,260.99","176,122,342.27","194,145,399.63","190,764,645.68","183,542,370.42","160,930,590.41","216,683,033.97","175,721,933.75","174,540,121.40","166,854,876.83","204,386,328.83","157,474,146.15","174,934,649.01","186,207,283.29"
预付款项,"10,149,420.32","14,298,613.50","8,334,717.96","5,087,741.59","9,992,934.69","15,825,283.74","17,153,482.03","22,497,827.63","12,589,008.78","16,331,612.67","36,589,004.15","29,712,914.90","12,393,998.18","19,118,509.97","15,786,578.36","22,740,552.66","23,072,583.00","30,409,757.65","34,633,458.00","32,690,033.89","18,247,751.18","29,258,595.41","33,410,353.90","30,668,069.09","22,069,101.93","29,849,816.55","50,363,027.68","35,798,362.41","14,297,707.14","12,291,871.97","28,682,272.64","32,583,260.38","11,139,952.91","22,210,722.36","25,134,059.37","37,120,180.22"
预收款项,"9,727,007.08","8,188,531.43","8,324,099.68","2,050,667.50","12,019,335.08","7,815,124.54","18,801,464.18","11,595,097.41","10,861,592.20","11,294,312.20","3,153,841.83","7,839,572.62","1,963,140.01","12,159,854.30","2,642,399.00","8,649,366.10","23,868,851.98","4,540,003.38","19,319,374.38","29,113,262.54","40,575,106.64","32,833,106.40","43,072,517.83","47,243,920.03","68,595,440.40","40,815,684.27","61,887,462.76","87,223,539.39","73,126,268.07","94,591,353.85","91,926,092.77","82,493,347.17","22,523,223.73","22,877,602.98","21,996,466.37","22,015,462.71"
其他应收款,"1,156,273.86","3,463,728.64","4,357,296.84","4,885,711.84","3,205,548.68","16,203,330.18","12,317,389.28","12,598,608.18","3,522,368.57","14,568,646.55","4,103,714.66","4,677,142.69","9,972,780.55","11,050,218.54","9,109,224.21","10,558,629.82","10,327,997.70","14,672,649.88","16,856,323.92","15,827,193.36","17,657,869.18","16,549,640.69","12,016,324.24","12,548,225.16","47,709,888.88","8,868,736.32","10,056,947.58","10,279,608.99","8,205,798.65","11,121,870.05","12,881,172.02","12,443,380.82","18,569,968.54","19,870,102.05","23,334,793.31","20,108,202.80"
应付职工薪酬,"2,442,805.19","2,647,729.69","1,062,521.13","1,161,268.48","3,203,905.67","1,457,760.63","1,556,214.35","1,628,250.68","4,775,377.48","4,099,863.42","2,680,750.04","2,023,948.20","5,494,198.97","2,303,990.25","2,943,083.82","3,708,238.13","8,975,220.30","3,205,595.18","3,751,238.50","3,000,105.39","10,593,906.55","3,357,911.69","3,121,650.83","3,552,723.17","13,028,901.38","4,070,532.14","4,217,069.09","4,329,418.29","20,491,147.51","3,988,412.50","4,056,175.00","4,046,652.45","9,069,648.74","2,964,478.53","3,158,624.31","3,083,826.83"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"9,485,486.51","5,284,285.26","1,615,970.01","894,553.04","6,484,083.77","2,209,406.38","2,393,488.98","1,162,030.88","19,208,492.96","2,617,859.30","3,243,214.10","4,903,929.28","25,364,997.11","5,430,074.83","5,089,249.27","2,452,612.48","14,188,289.65","1,830,196.82","7,875,816.14","6,833,682.75","15,594,747.21","6,552,669.21","4,940,119.40","7,877,375.30","18,824,695.12","6,482,418.18","5,709,207.15","11,350,024.15","15,120,363.01","4,337,518.60","3,978,752.76","7,142,457.69","23,950,927.98","2,514,297.74","5,373,989.54","4,779,351.34"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"43,548.33","55,911.00","55,782.00",,"39,825.00",,,,,,,,,,,,,,,,,,,,,,"7,500,000.00","13,125,000.00","18,562,500.00","1,687,500.00","7,312,500.00","12,937,500.00","18,562,500.00","1,417,500.00","6,420,000.00","11,235,000.00"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"43,050,000.00",,,,,,,,,,,,,,,,,,,,,"11,299,692.60",,,"11,299,692.60",,,,,,
存货,"45,263,333.98","55,533,337.94","66,401,430.49","73,771,431.12","60,767,871.94","84,713,868.89","83,398,202.72","84,536,880.16","72,097,829.34","94,467,499.10","88,179,917.59","76,744,616.98","64,461,902.91","78,114,414.48","107,973,611.89","128,311,627.47","148,093,972.46","156,432,504.69","173,997,448.91","222,628,982.76","180,413,534.93","207,020,567.28","236,165,915.78","255,635,990.57","180,134,125.77","187,335,656.77","185,883,137.30","203,187,156.34","219,703,790.08","224,925,399.53","205,651,632.47","204,722,263.41","176,173,316.80","172,682,206.01","167,084,578.04","210,490,714.45"
其他应付款,"3,358,797.70","3,697,187.71","2,016,149.09","8,561,449.11","2,566,786.94","686,063.22","4,148,552.51","461,975.40","2,574,984.47","454,728.74","907,275.57","1,115,666.92","69,169,018.77","3,426,354.14","4,132,083.97","6,212,611.82","4,422,958.85","2,344,728.44","2,493,669.56","2,978,064.98","5,601,701.67","106,974,044.29","3,070,262.07","1,503,998.87","4,745,348.61","2,636,194.43","1,494,163.33","2,035,927.63","3,000,387.37","3,360,777.23","2,010,596.73","2,183,994.33","3,046,902.10","22,356,509.42","1,833,412.18","3,828,658.83"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"14,500,000.00","14,500,000.00",,,,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","27,000,000.00","27,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,"5,907,030.77","14,913,571.20","15,817,737.92","17,146,141.74","5,303,599.72","16,254,249.96","4,967,822.85","5,082,954.84","7,579,077.81","12,326,663.56","15,516,349.83","12,765,563.84"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"164,686,802.79","204,031,034.36","209,325,863.12","589,452,884.88","630,681,219.02","607,752,726.27","565,113,580.92","556,097,450.80","643,408,108.88","616,039,995.53","588,275,391.88","600,003,011.73","739,751,478.78","669,845,636.31","662,721,264.05","634,234,336.75","842,888,642.94","706,726,022.45","739,080,317.32","797,692,046.21","1,512,152,180.46","1,574,879,721.16","1,523,401,383.45","1,639,064,490.05","1,571,463,511.20","1,566,501,220.92","1,623,706,338.14","1,570,704,346.59","1,572,419,947.81","1,485,531,250.30","1,501,732,795.16","1,525,834,085.92","1,540,771,384.01","1,438,416,740.76","1,523,380,178.49","1,478,072,142.62"
流动负债合计,"81,037,262.05","88,994,260.93","90,473,396.35","84,485,179.32","106,413,373.29","129,738,816.26","74,661,369.79","58,071,872.86","95,853,422.52","87,073,171.17","78,352,441.68","76,561,768.62","242,201,248.83","176,713,223.01","195,319,737.01","176,825,945.87","377,894,618.65","232,684,653.18","248,622,954.81","299,533,411.88","285,252,864.77","345,167,754.88","346,812,720.72","391,300,359.64","328,339,785.14","271,769,474.70","301,696,583.35","309,786,495.56","401,689,311.42","416,459,693.27","439,507,539.29","452,625,509.67","424,886,732.34","362,386,247.67","403,993,871.79","349,049,826.56"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","2,250,000.00","4,500,000.00",,"50,000,000.00","120,000,000.00","130,000,000.00","130,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","148,000,000.00","222,000,000.00","187,000,000.00","35,500,000.00","37,500,000.00","25,000,000.00","20,000,000.00","5,000,000.00",,,,,"27,000,000.00","27,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,"248,500,000.00","247,960,000.00","248,147,222.22","248,284,920.55","248,475,870.66","248,666,820.79","248,857,770.91","249,048,721.03","213,254,637.79","213,466,404.56","213,257,562.79"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00",,"44,473,684.00","43,940,312.85","77,361,133.99","132,485,818.96","138,640,828.23","166,562,427.37","169,511,243.27","164,283,266.37","160,978,825.14","158,599,394.85","156,678,471.87"
