科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"420,427,624.79","468,651,149.44","270,771,077.97","422,750,830.40","185,612,778.90","299,088,659.38","434,906,301.94","99,137,408.72","222,840,205.82","328,414,801.22","451,768,434.10","96,765,013.42","221,219,187.65","341,310,963.37","592,378,154.64","406,311,761.75","914,216,529.22","1,484,149,915.61","2,002,706,574.33","560,687,082.90","1,247,764,594.42","2,189,810,897.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"377,200,000.00","377,200,000.00","377,200,000.00",,,
收到的税费返还,,,"237,778.02","237,778.02",,,,"247,872.79","247,872.79","247,872.79","247,872.79",,"78,853.74","174,835.95","78,853.74","545,162.57","545,162.57","2,036,574.38","2,036,574.38","71,771.78","71,771.78","186,210.67"
支付其他与投资活动有关的现金,,,,,,,,,,"50,000,000.00","50,000,000.00",,,"3,000,000.00","60,000,000.00","240,694,300.00","94,000,000.00","90,250,000.00","108,000,000.00","52,450,000.00","53,374,661.26","89,066,239.04"
收到其他与经营活动有关的现金,"3,581,057.28","2,873,845.70","1,064,105.96","3,019,430.96","2,701,576.16","2,845,126.06","3,747,143.51","1,057,178.41","2,358,768.59","5,568,912.83","7,771,412.06","1,382,794.73","2,721,205.88","3,604,847.91","25,990,270.97","26,535,263.05","26,460,709.29","34,785,740.49","15,445,509.16","3,380,621.03","4,498,020.05","7,021,330.07"
投资活动现金流出小计,"58,726,381.22","64,649,371.72","11,718,205.82","32,947,866.94","7,312,650.39","16,161,364.94","21,000,323.49","6,544,726.54","6,313,625.86","65,714,083.92","73,493,015.28","3,387,764.88","4,129,754.25","10,384,109.23","81,119,773.89","267,389,976.90","515,074,987.53","578,910,782.83","616,002,192.20","88,813,558.02","113,946,664.71","188,473,100.41"
经营活动现金流入小计,"424,008,682.07","471,524,995.14","272,072,961.95","426,008,039.38","188,314,355.06","301,933,785.44","438,653,445.45","100,442,459.92","225,446,847.20","334,231,586.84","459,787,718.95","98,147,808.15","224,019,247.27","345,090,647.23","618,447,279.35","433,392,187.37","941,222,401.08","1,520,972,230.48","2,020,188,657.87","564,139,475.71","1,252,334,386.25","2,197,018,437.82"
投资活动产生的现金流量净额,"-58,577,016.11","-64,321,563.89","-11,569,382.28","-32,799,043.40","-7,312,650.39","-16,034,270.52","-20,826,316.07","-6,541,293.85","-6,291,562.10","-65,686,626.96","-73,454,384.97","-3,387,764.88","45,888,095.32","-10,253,490.67","73,632,167.65","-111,368,990.26","-358,946,864.60","-422,455,452.45","-459,509,353.77","-31,214,541.33","-5,946,664.71","-80,473,100.41"
购买商品、接受劳务支付的现金,"212,096,068.48","231,058,767.39","153,771,079.98","193,604,024.01","83,601,100.64","149,648,268.99","197,433,267.52","50,838,304.94","104,463,862.87","152,491,650.28","195,986,397.63","43,171,816.46","77,181,868.87","140,780,232.61","315,192,201.20","323,860,829.77","730,992,627.94","1,272,416,273.56","1,690,225,721.77","489,976,487.58","1,073,982,998.03","1,981,571,750.09"
吸收投资收到的现金,,,,,,"70,000.00","300,000.00","181,882,060.00","181,882,060.00","181,882,060.00","181,882,060.00",,"20,000.00","20,000.00","20,000.00",,"380,049,995.25","380,049,995.25","380,449,995.25","500,000.00","745,000.00","3,745,000.00"
支付给职工以及为职工支付的现金,"76,174,656.98","87,641,861.43","74,394,894.98","93,068,178.36","54,566,460.78","76,206,321.78","99,649,492.44","36,646,681.94","59,911,407.42","81,819,928.37","103,787,095.73","33,273,298.71","57,456,149.47","82,950,930.05","112,082,025.96","56,162,004.67","92,176,656.64","128,759,807.93","167,187,222.50","63,711,593.53","105,183,528.25","148,125,583.76"
取得借款收到的现金,"254,040,880.92","298,309,136.99","324,655,605.43","393,654,122.92","149,008,879.26","230,296,645.65","322,230,819.90","40,494,898.83","40,494,898.83","77,446,559.79","138,496,339.09","104,272,366.83","91,000,000.00","168,272,366.83","212,000,000.00","104,500,000.00","173,300,000.00","424,471,762.56","578,300,000.00","120,000,000.00","170,080,900.00","484,711,583.22"
支付的各项税费,"37,134,116.92","43,814,368.86","38,265,694.37","52,503,691.71","23,553,650.60","37,764,513.46","50,735,248.30","9,844,201.04","24,104,394.50","38,333,027.70","55,824,350.10","16,321,755.56","24,556,597.51","40,108,782.37","62,501,103.93","18,605,446.76","65,610,995.66","98,040,502.31","127,114,840.54","27,296,573.48","61,413,118.00","95,783,532.52"
收到其他与筹资活动有关的现金,,,"1,400,000.00","1,900,000.00","860,000.00","860,000.00","860,000.00","4,749,936.58",,,"400,000.00",,,,,"382,849,995.25","2,800,000.00","3,090,000.00","660,000.00","420,000.00","420,000.00","420,000.00"
支付其他与经营活动有关的现金,"47,101,014.86","48,833,726.42","31,925,929.85","44,443,818.19","22,331,014.96","32,882,634.77","43,836,776.55","14,096,243.32","27,413,220.46","37,147,830.77","50,399,387.63","8,344,797.47","23,358,574.69","32,334,988.46","61,048,219.03","37,089,180.97","58,113,162.76","76,911,227.56","93,180,284.59","17,266,757.20","37,569,385.11","62,006,518.30"
筹资活动现金流入小计,"254,040,880.92","298,309,136.99","326,055,605.43","395,554,122.92","149,868,879.26","231,226,645.65","323,390,819.90","227,126,895.41","222,376,958.83","259,328,619.79","320,778,399.09","104,272,366.83","91,020,000.00","168,292,366.83","212,020,000.00","487,349,995.25","556,149,995.25","807,611,757.81","959,409,995.25","120,920,000.00","171,245,900.00","488,876,583.22"
经营活动现金流出小计,"372,505,857.24","411,348,724.10","298,357,599.18","383,619,712.27","184,052,226.98","296,501,739.00","391,654,784.81","111,425,431.24","215,892,885.25","309,792,437.12","405,997,231.09","101,111,668.20","182,553,190.54","296,174,933.49","550,823,550.12","435,717,462.17","946,893,443.00","1,576,127,811.36","2,077,708,069.40","598,251,411.79","1,278,149,029.39","2,287,487,384.67"
偿还债务支付的现金,"225,740,880.92","254,309,376.45","304,965,026.77","378,953,883.46","150,024,916.72","225,457,232.47","333,230,819.90","145,494,898.83","145,494,898.83","182,446,559.79","252,843,892.43","102,924,813.49","89,652,446.66","166,924,813.49","224,652,446.66","184,500,000.00","218,900,000.00","359,090,014.83","428,400,000.00","90,000,000.00","124,403,460.00","370,417,210.00"
经营活动产生的现金流量净额,"51,502,824.83","60,176,271.04","-26,284,637.23","42,388,327.11","4,262,128.08","5,432,046.44","46,998,660.64","-10,982,971.32","9,553,961.95","24,439,149.72","53,790,487.86","-2,963,860.05","41,466,056.73","48,915,713.74","67,623,729.23","-2,325,274.80","-5,671,041.92","-55,155,580.88","-57,519,411.53","-34,111,936.08","-25,814,643.14","-90,468,946.85"
分配股利、利润或偿还利息支付的现金,"10,790,418.62","29,466,259.09","23,372,682.78","27,717,666.49","18,462,298.57","22,410,276.11","26,526,797.90","3,394,034.68","16,348,434.68","18,540,904.94","20,667,221.60","2,087,359.52","12,181,586.20","14,033,571.22","17,983,611.51","3,880,716.28","20,783,860.90","26,418,849.38","30,768,732.22","5,471,454.19","34,054,989.66","40,383,966.81"
收回投资收到的现金,,,,,,,,,,,,,,,,"52,657,652.66","52,657,652.66","52,657,652.66","52,657,652.66",,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,"1,025,169.04",,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,"3,960,000.00","3,960,000.00","3,960,000.00","3,960,000.00",,,
筹资活动现金流出小计,"236,531,299.54","283,775,635.54","328,337,709.55","406,671,549.95","168,487,215.29","247,867,508.58","359,757,617.80","148,888,933.51","161,843,333.51","200,987,464.73","273,511,114.03","105,012,173.01","101,834,032.86","180,958,384.71","243,661,227.21","188,380,716.28","239,683,860.90","385,508,864.21","459,168,732.22","95,471,454.19","158,458,449.66","410,801,176.81"
处置固定资产、无形资产和其他长期资产收回的现金净额,"149,365.11","327,807.83","148,823.54","148,823.54",,"127,094.42","174,007.42","3,432.69","22,063.76","27,456.96","38,630.31",,"17,849.57","130,618.56","322,306.77","3,333.98","110,470.27","187,677.72","225,185.77","-400,983.31",,
筹资活动产生的现金流量净额,"17,509,581.38","14,533,501.45","-2,282,104.12","-11,117,427.03","-18,618,336.03","-16,640,862.93","-36,366,797.90","78,237,961.90","60,533,625.32","58,341,155.06","47,267,285.06","-739,806.18","-10,814,032.86","-12,666,017.88","-31,641,227.21","298,969,278.97","316,466,134.35","422,102,893.60","500,241,263.03","25,448,545.81","12,787,450.34","78,075,406.41"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-179,047.95","-410,683.40","38,224.36","-106,943.32","-203,108.40","-254,445.75","-381,463.90","7,037.95","54,233.42","40,374.69","44,597.17","93,331.22","138,659.27","180,670.88","755,424.40","-47,780.87","242,512.30","272,724.62","846,502.44","-89,758.99","-446,059.21","-725,107.38"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"50,000,000.00",,"154,429,634.77","99,400,000.00","99,400,000.00","99,650,000.00","99,650,000.00","58,000,000.00","108,000,000.00","108,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,
