科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"358,554,488.84","340,952,555.60","499,291,157.34","98,831,358.25","202,180,588.99","342,273,988.49","476,646,312.66","90,420,782.02","241,990,604.31"
取得子公司及其他营业单位支付的现金净额,"2,083,980.38",,,,,,"50,099,448.71",,
收到的税费返还,,,"25,301.95",,,,,,
支付其他与投资活动有关的现金,"10,000,000.00",,,,,,,,
收到其他与经营活动有关的现金,"1,510,926.99","4,327,742.81","871,289.64","12,457,772.10","1,116,762.35","76,862,132.24","2,499,364.10","31,663,959.68","11,936,828.07"
投资活动现金流出小计,"16,882,165.05","19,514,763.57","22,167,428.06","5,097,727.82","98,290,605.84","171,821,153.88","138,355,148.19","19,385,347.27","112,188,088.00"
经营活动现金流入小计,"360,065,415.83","345,280,298.41","500,187,748.93","111,289,130.35","203,297,351.34","419,136,120.73","479,145,676.76","122,084,741.70","253,927,432.38"
投资活动产生的现金流量净额,"-14,550,009.69","-19,424,899.49","-12,136,210.23","-5,097,727.82","-68,096,927.76","-81,050,441.55","-137,589,321.84","-19,385,347.27","-112,188,088.00"
购买商品、接受劳务支付的现金,"341,412,612.58","249,420,831.76","385,396,358.31","143,189,097.83","276,719,720.69","404,425,778.75","559,461,981.95","154,541,796.78","286,075,811.46"
吸收投资收到的现金,,,,"267,150,000.00","278,500,000.00","267,150,000.00","360,910,779.96",,"15,000,000.00"
支付给职工以及为职工支付的现金,"31,134,861.62","39,889,231.53","40,456,629.50","19,974,922.97","32,040,793.97","40,992,393.28","53,489,238.98","27,355,070.02","40,792,523.19"
取得借款收到的现金,"91,000,000.00","109,000,000.00","134,000,000.00","86,000,000.00","86,000,000.00","179,000,000.00","288,560,800.00","348,058,000.00","420,970,000.00"
支付的各项税费,"23,846,619.91","20,805,772.28","25,044,874.75","4,134,469.39","10,557,739.79","12,421,442.21","23,019,670.23","5,499,287.57","17,678,599.31"
收到其他与筹资活动有关的现金,"15,900,000.00","19,500,000.00",,"11,350,000.00",,"37,350,000.00",,,
支付其他与经营活动有关的现金,"25,536,010.88","24,457,163.22","38,685,610.81","17,507,846.04","12,974,373.79","106,960,755.86","42,276,576.77","101,151,974.46","34,562,265.71"
筹资活动现金流入小计,"106,900,000.00","128,500,000.00","134,000,000.00","364,500,000.00","364,500,000.00","483,500,000.00","649,471,579.96","348,058,000.00","435,970,000.00"
经营活动现金流出小计,"421,930,104.99","334,572,998.79","489,583,473.37","184,806,336.23","332,292,628.24","564,800,370.10","678,247,467.93","288,548,128.83","379,109,199.67"
偿还债务支付的现金,"67,500,000.00","84,000,000.00","116,000,000.00","54,000,000.00","79,000,000.00","109,000,000.00","179,000,000.00","61,000,000.00","93,665,000.00"
经营活动产生的现金流量净额,"-61,864,689.16","10,707,299.62","10,604,275.56","-73,517,205.88","-128,995,276.90","-145,664,249.37","-199,101,791.17","-166,463,387.13","-125,181,767.29"
分配股利、利润或偿还利息支付的现金,"5,313,000.23","7,247,204.85","6,638,311.74","1,964,769.51","4,147,185.74","6,286,862.54","9,080,977.98","5,107,941.12","12,457,664.31"
收回投资收到的现金,,,,,"30,000,000.00","90,000,000.00",,,
支付其他与筹资活动有关的现金,"15,900,000.00","19,500,000.00",,,"9,200,000.00","25,550,000.00","33,349,056.60",,
取得投资收益收到的现金,"274,908.37",,,,"100,602.74","512,712.33","512,712.33",,
筹资活动现金流出小计,"88,713,000.23","110,747,204.85","122,638,311.74","55,964,769.51","92,347,185.74","140,836,862.54","221,430,034.58","66,107,941.12","106,122,664.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"57,246.99","89,864.08","31,217.83",,"93,075.34","258,000.00","253,114.02",,
筹资活动产生的现金流量净额,"18,186,999.77","17,752,795.15","11,361,688.26","308,535,230.49","272,152,814.26","342,663,137.46","428,041,545.38","281,950,058.88","329,847,335.69"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,
收到其他与投资活动有关的现金,"2,000,000.00",,"10,000,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"2,332,155.36","89,864.08","10,031,217.83",,"30,193,678.08","90,770,712.33","765,826.35",,
五、现金及现金等价物净增加额,"-58,227,699.08","9,035,195.28","9,829,753.59","229,920,296.79","75,060,609.60","115,948,446.54","91,350,432.37","96,101,324.48","92,477,480.40"
购建固定资产、无形资产和其他长期资产支付的现金,"4,798,184.67","13,574,763.57","2,607,428.06","5,097,727.82","8,290,605.84","18,071,153.88","21,255,699.48","1,685,347.27","7,803,940.36"
期初现金及现金等价物余额,"99,068,485.26","40,840,786.18","49,875,981.46",,"59,705,735.05","59,705,735.05","59,705,735.05","152,247,653.34","151,056,167.42"
投资支付的现金,,"5,940,000.00","19,560,000.00",,"90,000,000.00","153,750,000.00","67,000,000.00","17,700,000.00","104,384,147.64"
期末现金及现金等价物余额,"40,840,786.18","49,875,981.46","59,705,735.05","229,920,296.79","134,766,344.65","175,654,181.59","151,056,167.42","248,348,977.82","243,533,647.82"
