科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,222,491,853.64","1,559,478,027.06","1,987,999,780.36","602,478,630.69","1,060,902,267.67","1,305,133,775.57","443,651,936.80","967,367,185.33","1,321,150,141.34","1,561,125,242.59","185,277,767.64","538,456,113.53","965,976,550.89","1,307,389,010.21","429,961,550.00","808,212,070.11","1,308,508,856.27","1,802,706,127.70","315,909,259.63","781,298,909.53","1,107,335,291.12","1,287,791,478.57","325,048,431.47","565,660,192.26","888,654,799.09","1,246,481,701.12","395,928,867.63","586,717,481.57","634,778,999.90"
取得子公司及其他营业单位支付的现金净额,"747,474.80","790,161.11",,,,"-3,059,278.08",,,,,,,,,,,,,,,,,,,,"5,074,748.93","1,530,000.00",,
收到的税费返还,"19,398,134.87","24,444,135.27","26,508,898.70","10,179,139.57","13,016,906.96","53,055,809.17","23,375,706.61","49,868,830.58","53,982,631.59","61,699,093.60","3,462,169.83","10,803,018.75","19,232,388.01","19,232,388.01","41,897,291.44","54,349,015.59","54,638,394.02","59,411,365.06","13,457,344.77","19,483,520.80","62,502,286.91","41,236,521.74","25,428,201.08","33,657,033.85","47,472,334.11","56,130,462.40","33,598,979.84","47,094,495.22","74,198,306.48"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"280,000.00",,,,"50,279,524.00","140,279,524.00",,,"49,924,256.86","100,220,000.00","50,000,000.00","140,120,000.00","460,120,000.00"
收到其他与经营活动有关的现金,"12,099,061.00","23,258,563.47","59,206,105.79","43,470,224.36","60,431,510.67","16,180,130.48","4,545,921.96","10,436,783.28","24,710,604.85","33,528,601.55","7,401,917.00","10,004,957.73","17,551,186.28","21,813,036.14",,"15,635,726.24","20,059,536.25","27,981,902.38","10,365,982.14","16,774,342.76","25,205,428.20","19,790,607.90","6,666,843.86","8,557,575.97","19,117,146.29","26,627,373.55","4,934,488.55","13,982,781.24","19,704,529.85"
投资活动现金流出小计,"123,324,078.39","251,830,661.15","262,065,660.44","133,193,351.80","176,324,091.10","252,260,370.95","54,662,928.87","130,929,073.62","173,235,812.09","148,096,322.08","9,476,358.74","25,384,497.45","68,725,211.81","86,529,250.73","26,823,635.49","30,214,730.05","45,339,177.71","141,497,020.96","29,134,985.64","49,047,672.17","106,036,746.64","209,122,787.14","9,710,753.89","48,584,078.66","128,507,358.85","198,453,839.58","79,762,615.58","250,507,807.87","685,411,090.47"
经营活动现金流入小计,"1,253,989,049.51","1,607,180,725.80","2,073,714,784.85","656,127,994.62","1,134,350,685.30","1,374,369,715.22","471,573,565.37","1,027,672,799.19","1,399,843,377.78","1,656,352,937.74","196,141,854.47","559,264,090.01","1,002,760,125.18","1,348,434,434.36","471,858,841.44","878,196,811.94","1,383,206,786.54","1,890,099,395.14","339,732,586.54","817,556,773.09","1,195,043,006.23","1,348,818,608.21","357,143,476.41","607,874,802.08","955,244,279.49","1,329,239,537.07","434,462,336.02","647,794,758.03","728,681,836.23"
投资活动产生的现金流量净额,"-123,299,078.39","-251,830,661.15","-268,629,619.46","-101,393,351.80","-138,324,091.10","-170,458,621.96","-54,662,928.87","-130,709,073.62","-173,015,812.09","-104,876,322.08","-9,476,358.74","-25,194,497.45","-68,360,211.81","-50,299,250.73","-26,823,635.49","-30,214,730.05","-42,475,331.54","-128,440,561.19","-29,080,359.24","-48,913,231.77","-105,886,455.24","-209,021,878.74","40,292,346.11","-18,236,145.39","-128,413,300.54","25,794,528.24","-59,762,615.58","-119,080,055.52","-315,062,639.70"
购买商品、接受劳务支付的现金,"801,427,533.13","911,664,790.48","1,454,158,348.95","939,790,135.70","1,338,601,205.88","1,639,170,855.52","385,835,835.35","767,690,704.79","1,237,526,024.95","1,522,737,513.56","341,472,441.10","596,876,714.85","935,861,055.03","1,001,982,391.57","482,071,551.16","765,154,501.48","1,186,008,383.48","1,267,498,462.42","420,533,392.16","709,259,628.61","1,037,107,592.44","842,950,883.36","422,281,415.51","352,104,428.19","591,672,969.36","657,882,508.16","297,070,434.13","371,305,718.44","465,041,034.23"
吸收投资收到的现金,,,,"1,106,776,000.00","1,134,276,000.00","1,086,776,000.00",,,,,,,,,,,,,,,,,,,,,,"1,470,000.00","1,480,000.00"
