科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"9,024,350,000.00","17,621,495,000.00","40,926,731,000.00","12,130,248,000.00","28,663,200,000.00","45,789,528,000.00","64,669,997,000.00","10,558,790,000.00","30,493,028,000.00","44,367,597,000.00","64,175,393,000.00","15,820,122,000.00","38,905,336,000.00","57,540,815,000.00","81,520,605,000.00","22,149,416,000.00","48,557,602,000.00","76,747,679,000.00","107,092,908,000.00","25,674,814,000.00","50,380,010,000.00","73,029,787,000.00","98,717,065,000.00","21,311,395,000.00","45,194,432,000.00","66,394,011,000.00","96,891,760,000.00","16,161,725,000.00","40,122,504,000.00","58,790,331,000.00","86,873,147,000.00","11,982,113,000.00","33,437,132,000.00","49,709,541,000.00","75,663,814,000.00","12,370,865,000.00","30,150,833,000.00","47,337,941,000.00","71,465,219,000.00","18,894,732,000.00","50,492,665,000.00","68,487,170,000.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,"1,180,908,000.00",,,,"1,368,372,000.00",,"594,938,000.00",,"580,151,000.00",,"309,986,000.00",,"3,893,178,000.00",,"206,582,000.00",,"4,316,289,000.00",,"195,736,000.00","206,682,000.00","495,336,000.00",,"110,174,000.00","110,174,000.00","173,144,000.00",,"25,000,000.00","25,000,000.00","38,000,000.00",,"19,037,000.00","19,037,000.00","64,815,000.00","59,096,000.00",,
收到的税费返还,"1,219,000.00",,,"12,507,000.00",,"2,861,000.00",,"1,241,000.00",,"5,290,000.00",,"5,533,000.00",,"11,299,000.00",,"576,000.00",,"36,292,000.00",,"4,410,000.00",,"29,752,000.00",,"5,032,000.00",,"21,823,000.00",,"105,000.00",,"36,790,000.00",,"26,000.00",,"4,831,000.00",,"1,409,000.00",,"6,642,000.00",,"4,460,000.00",,"43,553,000.00"
支付其他与投资活动有关的现金,"9,800,306,000.00","9,638,287,000.00","5,909,557,000.00","21,299,105,000.00","21,145,217,000.00","21,145,217,000.00","21,488,102,000.00","408,000.00","769,247,000.00","25,000,000.00","385,000,000.00","871,472,000.00","30,000,000.00","259,465,000.00","176,182,000.00","8,774,275,000.00","8,029,165,000.00","7,290,947,000.00","8,748,054,000.00",,,,"233,325,000.00","53,405,000.00","100,000,000.00","300,000,000.00","900,000,000.00","210,163,000.00",,,"1,602,000,000.00",,"6,182,594,000.00","8,571,550,000.00","14,770,738,000.00","1,550,000,000.00","4,385,685,000.00","6,280,000,000.00","7,846,368,000.00","1,124,318,000.00","2,549,744,000.00","5,190,847,000.00"
收到其他与经营活动有关的现金,"34,014,000.00","56,509,000.00","235,912,000.00","105,159,000.00","126,250,000.00","183,868,000.00","372,985,000.00","121,573,000.00","193,958,000.00","237,862,000.00","801,254,000.00","321,546,000.00","139,167,000.00","525,984,000.00","551,550,000.00","142,945,000.00","120,478,000.00","256,300,000.00","279,889,000.00","19,008,000.00","220,198,000.00","571,600,000.00","1,666,333,000.00","758,454,000.00","605,719,000.00","860,999,000.00","1,116,523,000.00","39,857,000.00","613,338,000.00","1,221,525,000.00","2,756,006,000.00","469,986,000.00","380,535,000.00","510,873,000.00","3,386,924,000.00","247,927,000.00","566,755,000.00","973,116,000.00","1,791,211,000.00","187,047,000.00","441,096,000.00","1,388,863,000.00"
投资活动现金流出小计,"10,715,702,000.00","13,604,197,000.00","14,367,498,000.00","22,860,351,000.00","24,796,138,000.00","27,545,760,000.00","31,735,185,000.00","1,063,651,000.00","5,025,210,000.00","6,289,769,000.00","11,940,446,000.00","3,944,974,000.00","5,632,581,000.00","11,223,737,000.00","16,930,196,000.00","12,651,508,000.00","17,604,428,000.00","23,987,784,000.00","35,488,850,000.00","4,770,963,000.00","14,475,485,000.00","22,236,067,000.00","34,708,084,000.00","6,003,214,000.00","12,302,203,000.00","20,403,455,000.00","31,424,249,000.00","6,106,631,000.00","12,415,177,000.00","15,802,738,000.00","25,259,407,000.00","3,809,661,000.00","13,925,097,000.00","18,898,319,000.00","28,621,659,000.00","3,805,266,000.00","10,396,968,000.00","12,927,372,000.00","17,844,710,000.00","3,172,056,000.00","5,671,187,000.00","11,555,281,000.00"
经营活动现金流入小计,"9,059,583,000.00","17,678,004,000.00","41,162,643,000.00","12,247,914,000.00","28,789,450,000.00","45,976,257,000.00","65,042,982,000.00","10,681,604,000.00","30,686,986,000.00","44,610,749,000.00","64,976,647,000.00","16,147,201,000.00","39,044,503,000.00","58,078,098,000.00","82,072,155,000.00","22,292,937,000.00","48,678,080,000.00","77,040,271,000.00","107,372,797,000.00","25,698,232,000.00","50,600,208,000.00","73,631,139,000.00","100,383,398,000.00","22,074,881,000.00","45,800,151,000.00","67,276,833,000.00","98,008,283,000.00","16,201,687,000.00","40,735,842,000.00","60,048,646,000.00","89,629,153,000.00","12,452,125,000.00","33,817,667,000.00","50,225,245,000.00","79,050,738,000.00","12,620,201,000.00","30,717,588,000.00","48,317,699,000.00","73,256,430,000.00","19,086,239,000.00","50,933,761,000.00","69,919,586,000.00"
投资活动产生的现金流量净额,"-10,707,512,000.00","-12,931,953,000.00","-13,689,568,000.00","-22,275,151,000.00","-24,031,095,000.00","-26,776,801,000.00","-30,964,738,000.00","4,342,219,000.00","-2,722,723,000.00","764,701,000.00","-4,793,953,000.00","-2,026,618,000.00","-4,534,937,000.00","9,285,999,000.00","2,068,719,000.00","-12,595,088,000.00","-17,370,130,000.00","-23,620,148,000.00","-35,025,529,000.00","-1,014,937,000.00","-11,733,144,000.00","-19,348,969,000.00","-31,276,038,000.00","-5,749,700,000.00","-10,950,478,000.00","-18,562,984,000.00","-28,735,517,000.00","-3,107,738,000.00","-8,469,553,000.00","-11,747,812,000.00","-17,766,523,000.00","-3,060,588,000.00","-13,227,815,000.00","-18,044,093,000.00","-26,322,204,000.00","-940,643,000.00","4,261,258,000.00","12,467,159,000.00","10,575,474,000.00","-32,512,000.00","607,271,000.00","-5,213,073,000.00"
购买商品、接受劳务支付的现金,"6,154,171,000.00","12,073,236,000.00","26,796,106,000.00","8,932,524,000.00","16,615,252,000.00","28,344,296,000.00","41,314,536,000.00","6,272,331,000.00","20,640,367,000.00","28,483,493,000.00","40,271,820,000.00","11,118,154,000.00","25,155,730,000.00","38,431,501,000.00","55,393,172,000.00","15,444,703,000.00","31,117,163,000.00","50,793,939,000.00","71,227,832,000.00","16,630,493,000.00","34,515,476,000.00","49,156,092,000.00","65,923,547,000.00","15,065,085,000.00","30,863,414,000.00","46,415,109,000.00","67,485,937,000.00","14,817,319,000.00","30,664,678,000.00","44,308,861,000.00","64,349,555,000.00","12,269,597,000.00","26,443,687,000.00","39,332,097,000.00","58,385,830,000.00","9,351,069,000.00","19,628,241,000.00","32,349,929,000.00","47,083,240,000.00","12,310,378,000.00","36,375,235,000.00","45,753,283,000.00"
吸收投资收到的现金,,,"206,700,000.00","25,350,469,000.00","25,319,910,000.00","25,319,910,000.00","25,901,361,000.00",,"320,000,000.00","320,000,000.00","439,645,000.00",,"398,560,000.00","398,560,000.00","950,565,000.00",,"190,000,000.00","190,000,000.00","361,980,000.00","24,500,000.00","89,024,000.00","89,024,000.00","253,038,000.00",,"19,690,000.00","170,937,000.00","210,867,000.00","270,000,000.00","270,200,000.00","270,200,000.00","314,596,000.00",,"20,510,000.00","20,510,000.00","514,116,000.00",,"68,460,000.00","68,460,000.00","248,989,000.00",,,
