科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
应付职工薪酬,"76,360.05","1,650,000.00","329,419.46","900,000.00","1,045.72",536.00,"1,376.00","141,524.00",35.38,35.38,,,"257,062.00","533,123.55","696,832.86","957,720.45","870,939.75","654,865.64","667,456.04","724,660.10","1,179,168.87","1,669,678.47","1,596,493.87","1,699,916.85","839,222.90","301,587.44","192,121.37","516,364.86","475,288.69","786,714.63","994,100.43","1,260,313.52","14,443,152.57","20,193,959.16","17,547,299.80","20,123,020.53","18,131,044.62","28,180,994.25"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"335,474.61","4,523,873.05","16,736,537.56","19,949,767.93","21,047,592.61","29,469,416.05","36,699,406.82","18,738,259.84","16,999,274.07","23,137,005.47","24,423,785.40","21,620,803.39","24,830,764.51","46,140,052.99","50,698,823.94","34,948,372.08","37,533,432.96","52,997,790.47","51,188,171.88","76,115,177.58","77,831,060.89","71,627,639.70","80,886,475.62","93,958,217.76","88,226,163.54","87,625,494.99","100,205,537.92","95,389,193.37","91,821,170.26","80,588,779.38","94,151,833.24","109,684,454.22","95,972,093.19","86,965,768.62","76,083,281.43","126,052,784.32","88,889,070.92","87,012,677.73"
应收利息,,,,,,,,"3,255,762.27","89,490.05",,,"401,795.16",,"470,647.54","208,808.29","190,758.74","151,875.50","37,615.36","37,615.36","37,615.36","38,883.29",,"35,625.00",,,,,,,,,,,,,"10,345,000.00","4,200,000.00","4,885,416.68"
应付利息,"10,698.00","12,669.12","97,446.58","94,194.79","66,662.72","375,993.62","114,398.04","172,500.90","534,437.86","1,638,910.78","782,547.59","215,671.24","708,272.85","875,671.23","606,862.48","255,608.34","410,509.54","449,212.96","555,156.41","526,878.88","655,425.46","479,126.85","357,309.45","540,802.64","497,567.96","556,205.04","965,451.90","1,442,801.37","1,626,757.99","1,861,202.30","2,183,894.59","3,003,840.17","3,824,194.88","5,073,822.82","5,247,832.32","1,548,980.04","10,683,833.61","6,275,848.57"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"6,298,340.00",,,,"6,350,898.96",,,,,,,,"2,115,000.00","2,115,000.00","2,115,000.00","2,115,000.00","2,115,000.00","2,115,000.00","2,115,000.00","2,115,000.00","3,755,271.29","3,755,271.29","3,755,271.29","3,755,271.29","3,755,271.29","5,234,481.29","3,119,481.29","3,180,981.29","3,119,481.29","3,119,481.29","3,119,481.29","3,119,481.29","3,119,481.29"
存货,"3,464,971.86","58,419,210.30","47,837,257.11","43,280,177.41","24,969,559.77","30,877,737.13","51,630,170.49","55,407,509.73","76,559,659.20","98,097,653.27","129,110,734.54","189,752,870.22","175,659,001.12","195,623,736.68","238,227,625.54","261,030,217.12","257,000,222.98","253,478,918.98","275,700,646.04","255,599,992.58","243,356,941.50","275,915,306.00","320,677,650.43","358,562,649.33","393,951,339.67","409,912,873.81","410,902,928.41","430,500,501.36","426,982,353.35","468,576,850.02","441,752,719.22","455,849,547.28","472,703,345.25","565,028,756.77","560,275,729.87","562,536,933.37","702,852,318.49","632,488,654.37"
其他应付款,"3,883,179.54","3,017,587.93","5,463,979.70","19,883,909.18","12,529,659.44","10,176,213.88","10,140,176.76","60,672,660.20","12,338,016.44","2,767,515.11","4,570,785.42","11,187,194.69","11,619,855.12","18,202,541.92","27,804,108.56","22,427,988.72","24,713,002.74","23,377,070.46","28,835,969.33","22,301,863.32","24,367,905.46","6,775,657.48","48,252,055.67","63,596,877.98","236,403,828.24","170,139,862.27","195,994,635.68","161,070,695.55","196,616,155.19","69,279,271.23","84,428,992.98","102,777,131.60","2,197,734,409.97","2,075,022,346.82","56,742,285.26","43,306,787.52","53,680,265.78","56,038,123.96"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436,389.70","409,765.27","440,691.13"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,435,382.28","2,316,453.62","2,682,330.80","2,992,997.44","11,124,043.95","11,564,684.65","21,686,331.51","21,830,260.66","36,346,373.45","28,058,127.79","43,273,025.90"
其他流动负债,"227,500.00",,,,,,,,,,,,,,,"1,312,753.00","1,312,753.00","1,312,753.00","1,312,753.00","1,312,753.00","1,312,753.00","1,312,753.00",,,,,,,,,,,,,,,,
流动资产合计,"35,829,708.83","182,615,262.55","282,265,798.29","874,745,927.46","847,302,247.19","817,407,997.69","908,903,837.55","937,118,408.53","837,059,346.45","888,668,362.38","949,263,411.85","871,988,652.19","895,457,779.76","950,104,628.28","864,495,928.64","900,766,356.28","954,253,379.29","1,111,063,349.77","1,193,831,068.19","1,236,855,422.09","1,233,794,280.36","1,305,721,424.58","1,412,934,722.92","1,477,832,852.39","1,614,448,323.38","1,671,536,754.64","1,728,335,339.18","1,733,245,031.26","1,651,098,606.18","1,641,134,629.61","1,867,495,760.30","2,452,295,910.77","3,377,664,262.33","3,221,608,645.27","4,552,365,467.64","4,342,398,323.96","4,499,259,451.65","4,531,435,350.80"
流动负债合计,"24,986,038.71","92,944,694.26","165,614,854.13","194,735,667.12","169,463,263.07","179,441,551.84","262,182,645.27","323,000,569.98","233,424,133.07","324,143,594.79","386,508,636.85","290,368,698.04","312,523,632.97","404,464,013.15","335,107,682.53","354,255,199.74","339,871,508.67","472,514,952.24","540,451,302.71","557,195,558.74","547,370,267.75","628,474,543.24","725,265,283.49","754,374,796.49","927,094,197.56","879,324,646.49","969,342,204.31","848,092,963.22","814,549,445.80","807,946,937.30","996,863,583.50","1,532,497,614.92","3,805,926,553.92","3,738,476,404.38","1,675,230,031.50","1,615,199,348.13","1,723,045,751.69","1,674,329,470.13"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,"21,739,148.42","29,239,148.42","160,239,148.42","160,239,148.42","166,145,019.18","166,145,019.18","183,025,869.18","186,025,869.18","186,761,188.42","186,761,188.42","279,761,188.42","294,761,188.42","328,869,955.82","338,535,004.20","403,768,051.42"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","49,400,049.26","134,474,548.20","176,543,141.87","314,705,094.26","328,773,915.54","321,134,018.83","352,920,366.61","332,935,692.72"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,"2,400,000.00","2,400,000.00",,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,498,314.00","60,892,916.00","73,195,104.00","66,963,657.00","111,533,040.33","109,065,824.39","102,433,623.19","118,553,883.64","138,684,350.64","125,922,549.71","117,116,768.37"
长期股权投资,"750,000.00",,,,,,,,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,"28,212,002.95","30,219,394.80","28,500,271.19","25,949,410.29","30,017,887.51","34,742,912.69","35,239,585.97","49,697,706.71","49,659,213.21","31,537,858.20","30,943,826.17","30,145,234.13","29,502,452.62","50,224,533.87","50,440,483.61","52,552,135.69","52,833,706.00","13,046,642.13","35,957,314.25","35,528,800.15","35,448,910.78","11,764,512.13","11,494,391.27","11,402,999.94"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"5,217,146.77","5,598,647.26","23,572,881.78","26,911,416.37","30,148,816.97","31,369,880.13","31,523,056.21","94,445,164.79","95,711,302.35","117,068,984.86","116,369,261.57","101,934,035.80","100,943,097.10","100,362,930.86","99,000,559.83","125,863,378.36","136,593,692.09","134,509,580.76","134,653,438.80","134,336,099.58","131,763,405.40","130,203,173.65","133,066,246.30","131,718,956.57","131,254,159.17","128,443,205.28","125,811,882.88","180,584,580.22","212,638,498.93","214,732,372.55","214,344,980.04","467,284,925.77","478,560,699.66","511,680,705.30","509,716,083.33","643,210,175.99","643,384,523.96","668,008,236.56"
递延所得税负债,,,,,,,,"464,062.50",,,,"100,448.79",,"96,781.05","31,321.24",,,,,,,,,,,,,,,,,,"12,503,215.33","12,130,289.93","11,757,364.54","11,384,439.17",,"10,638,588.40"
在建工程,,,"470,378.28","905,198.48","2,365,682.02","39,849,789.22","41,413,163.72","17,069,277.27","21,161,494.27","28,842,966.60","32,817,021.76","37,882,572.62","43,191,923.37","35,466,648.95","35,807,796.71","7,612,422.36","2,453,179.72","2,453,179.72","2,453,179.72","2,664,217.46","2,733,653.19","5,344,580.20","8,121,345.11","7,907,452.84","7,907,452.84","7,918,107.84","8,709,408.27","35,107,573.66","23,646,157.35","21,628,327.14","18,411,866.38","34,968,950.95","31,705,910.28","34,427,683.70","44,442,758.46","92,761,930.24","105,701,082.05","103,474,443.98"
其他非流动负债,,,,,,,,,,,,,,,"1,312,753.00",,,,,,,,,,,,,,,,,,,,,,"11,011,513.78",
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,853.61","165,853.61","165,853.61","255,862.15","1,591,085.83","1,591,085.83","974,154.37"
非流动负债合计,,,,,,,,"464,062.50",,,,"100,448.79",,"96,781.05","1,344,074.24",,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","96,498,314.00","90,892,916.00","103,195,104.00","116,363,706.26","246,007,588.53","298,112,181.59","429,269,007.38","459,085,163.72","471,202,808.64","489,854,430.10","460,691,049.49"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"24,986,038.71","92,944,694.26","165,614,854.13","194,735,667.12","169,463,263.07","179,441,551.84","262,182,645.27","323,464,632.48","233,424,133.07","324,143,594.79","386,508,636.85","290,469,146.83","312,523,632.97","404,560,794.20","336,451,756.77","354,255,199.74","339,871,508.67","472,514,952.24","540,451,302.71","557,195,558.74","547,370,267.75","628,474,543.24","725,265,283.49","784,374,796.49","957,094,197.56","909,324,646.49","999,342,204.31","944,591,277.22","905,442,361.80","911,142,041.30","1,113,227,289.76","1,778,505,203.45","4,104,038,735.51","4,167,745,411.76","2,134,315,195.22","2,086,402,156.77","2,212,900,181.79","2,135,020,519.62"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"13,000,000.00","16,701,400.00","68,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","91,570,000.00","137,355,000.00","137,355,000.00","137,355,000.00","157,309,389.00","157,309,389.00","160,669,389.00","160,809,389.00","160,809,389.00","160,809,389.00","160,729,389.00","160,729,389.00","160,729,389.00","160,649,389.00","160,649,389.00","190,430,995.00","190,430,995.00","190,430,995.00","190,430,995.00","190,430,995.00","317,319,212.00","317,319,212.00","418,509,687.00","418,509,687.00","418,509,687.00","1,171,827,123.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"66,666.67","36,365,266.67","52,588,526.07","580,888,526.07","580,888,526.07","580,888,526.07","581,908,252.42","582,256,971.07","582,256,971.07","582,256,971.07","582,256,971.07","582,256,971.07","582,788,571.07","536,923,831.07","536,923,831.07","536,923,831.07","683,010,804.57","683,010,804.57","694,602,804.57","698,788,304.57","698,788,304.57","698,788,304.57","698,512,304.57","704,993,804.57","704,993,804.57","770,296,041.76","770,296,041.76","1,444,147,300.66","1,444,147,300.66","1,444,147,300.66","1,444,147,300.66","1,423,493,121.72","5,496,604,904.72","5,436,262,340.11","8,659,321,700.19","8,719,664,264.81","8,719,664,264.81","7,966,346,828.81"
无形资产,"6,720,000.00","5,760,000.00","13,519,303.00","13,185,230.00","12,899,327.00","12,613,424.00","13,300,209.99","12,405,163.99","12,444,271.32","12,244,991.46","11,937,404.96","12,324,502.91","11,999,989.97","26,531,883.28","26,929,202.13","26,523,218.71","25,783,186.97","25,018,002.08","24,478,804.51","25,337,481.62","24,553,556.87","23,769,632.12","23,031,863.99","24,811,674.71","24,204,123.62","23,638,796.15","23,089,836.27","24,464,547.35","24,016,595.10","23,421,083.45","38,463,754.22","37,361,993.69","74,624,038.87","73,970,167.30","83,783,761.77","130,719,311.62","132,845,514.90","137,096,019.20"
盈余公积,"847,632.08","4,533,419.67",,"4,486,838.00","4,486,838.00","4,486,838.00","4,486,838.00","7,566,806.26","7,566,806.26","7,566,806.26","7,566,806.26","11,024,441.29","11,024,441.29","11,024,441.29","11,024,441.29","15,002,959.55","15,002,959.55","15,002,959.55","15,002,959.55","16,244,108.70","16,244,108.70","16,244,108.70","16,244,108.70","17,003,717.56","17,003,717.56","17,003,717.56","17,003,717.56","21,319,383.75","21,319,383.75","21,319,383.75","21,319,383.75","23,666,238.64","23,666,238.64","23,666,238.64","23,666,238.64","32,669,182.72","32,669,182.72","32,669,182.72"
开发支出,,,,,"1,442,584.72","1,608,334.72","2,138,587.02","5,920,950.56","10,061,383.89","12,548,489.02","15,860,589.32","13,803,308.35","14,646,917.41","5,593,642.89","6,303,632.62","5,011,077.46","5,957,797.35","6,585,895.97","6,613,244.14","9,799,220.53","10,622,446.98","15,667,959.89","17,415,250.10","17,140,552.22","21,295,647.25","24,346,327.10","28,352,857.80","34,306,740.36","37,958,865.14","41,081,263.86","33,831,590.52","40,848,289.46","44,058,821.91","45,897,133.14","37,974,342.65","66,978,691.38","108,252,107.61","135,341,085.77"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
