科目,2007年1-6月,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"110,660,369.38","284,015,981.35","99,558,309.13","276,345,954.23","102,877,917.01","389,842,216.50","108,472,481.65","405,466,060.17","120,424,840.77","216,760,654.87","424,697,552.87","78,315,879.95","184,344,825.90","278,999,932.86","595,187,070.39","63,923,878.83","153,216,957.37","323,302,795.48","688,712,292.87","82,980,878.78","410,412,174.50","686,860,709.44","1,317,359,113.47","131,752,844.63","365,091,801.39","721,773,866.22","1,661,913,601.92","175,805,198.58","490,412,237.11","858,416,863.81","1,866,488,168.82","208,163,980.70","571,053,935.31","942,217,047.12","2,539,151,002.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"3,087,113.08","3,087,113.08","3,087,113.08",,,,,,,,,"31,472,250.00","116,076,666.32","120,076,666.32","136,051,943.82","77,467,750.00","77,467,750.00","77,467,750.00","77,467,750.00","63,940,000.00","73,940,000.00","432,239,107.38","511,227,028.02"
收到的税费返还,"714,180.65","1,451,947.29","902,080.45","2,475,337.05","3,340,949.08","6,880,715.82","4,580,655.56","11,482,295.17","1,603,219.19","1,679,526.32","15,733,572.37","2,096,182.51","5,092,222.50","9,749,686.17","10,055,036.82","6,040,596.09","7,655,342.06","20,703,756.22","38,844,947.30","5,702,973.13","10,563,510.49","16,634,420.89","28,160,880.81","17,291,588.66","30,442,991.69","32,672,221.44","65,022,519.50","18,830,783.30","29,059,620.19","31,917,368.00","67,977,728.71","13,899,516.39","16,096,721.53","44,178,368.02","76,886,561.10"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,978,979.89","11,227,696.59","2,284,499.72","4,442,000.25","5,908,614.75","13,942,934.98","7,099,083.50","18,051,750.70","5,432,666.90","12,976,855.97","25,964,950.81","8,570,769.46","15,578,365.93","24,891,199.15","57,834,979.84","5,397,668.60","20,042,106.12","37,742,163.96","62,356,149.95","12,491,472.87","26,402,121.36","35,310,823.78","89,889,193.51","21,628,954.19","51,587,325.58","114,863,504.85","156,231,442.13","31,411,838.03","51,720,252.42","78,801,801.71","174,943,626.83","33,033,184.05","58,414,316.30","93,972,945.27","175,503,704.45"
投资活动现金流出小计,"5,715,205.30","20,909,036.58","9,665,589.92","12,190,158.76","4,132,441.99","13,701,808.01","8,898,168.10","18,646,598.58","11,723,181.45","18,576,684.22","30,878,127.42","15,714,700.10","36,766,855.87","57,586,737.71","90,506,617.01","14,496,336.61","43,137,497.18","60,810,266.36","92,383,416.91","27,382,737.32","81,772,514.60","119,455,407.71","179,580,098.22","53,076,317.06","170,075,553.81","219,969,122.44","278,379,271.11","117,073,810.36","150,093,814.65","190,310,122.81","224,551,818.68","96,923,033.12","139,970,647.82","569,725,856.19","697,298,681.01"
经营活动现金流入小计,"115,353,529.92","296,695,625.23","102,744,889.30","283,263,291.53","112,127,480.84","410,665,867.30","120,152,220.71","435,000,106.04","127,460,726.86","231,417,037.16","466,396,076.05","88,982,831.92","205,015,414.33","313,640,818.18","663,077,087.05","75,362,143.52","180,914,405.55","381,748,715.66","789,913,390.12","101,175,324.78","447,377,806.35","738,805,954.11","1,435,409,187.79","170,673,387.48","447,122,118.66","869,309,592.51","1,883,167,563.55","226,047,819.91","571,192,109.72","969,136,033.52","2,109,409,524.36","255,096,681.14","645,564,973.14","1,080,368,360.41","2,791,541,267.95"
投资活动产生的现金流量净额,"-5,715,205.30","-20,909,036.58","-9,653,589.92","-11,774,155.94","-4,132,441.99","-13,701,808.01","-8,878,168.10","-18,626,598.58","-11,670,681.45","-18,524,184.22","-30,825,627.42","-15,714,700.10","-36,744,855.87","-57,564,737.71","-90,484,617.01","-14,496,336.61","-43,137,497.18","-60,810,266.36","-92,383,416.91","-27,320,546.91","-81,755,841.53","-119,357,534.64","-179,402,225.15","-53,074,447.45","-170,073,684.20","-219,911,002.83","-261,352,350.28","-117,045,810.36","-149,869,814.65","-190,077,122.81","-224,234,564.68","-96,900,233.12","-139,947,847.82","-569,643,056.19","-694,719,994.48"
购买商品、接受劳务支付的现金,"57,075,921.94","193,859,601.27","109,076,501.03","167,075,684.05","94,760,317.69","190,613,408.19","98,900,879.51","192,505,289.35","113,738,751.21","171,829,685.76","251,917,968.74","53,768,558.36","118,581,354.94","168,238,008.85","257,126,128.12","89,270,606.16","186,125,961.04","270,264,925.07","383,383,502.15","129,680,784.41","249,431,184.17","402,139,824.75","565,830,201.13","163,516,535.50","303,121,261.56","432,350,590.06","645,838,177.71","156,631,006.08","307,571,023.44","495,545,052.06","820,867,411.81","234,453,691.09","389,864,133.86","608,782,866.41","1,010,278,599.62"
吸收投资收到的现金,,"4,900,000.00",,,,,,,,,"528,800,000.00",,,,,,,"7,750,000.00","18,992,340.98","1,804,964.95","9,357,032.19","11,562,071.19","22,531,458.95","8,197,041.26","97,924,852.76","127,479,239.39","224,111,607.40","9,234,312.06","13,288,679.61","30,443,155.21","36,138,144.51","220,292,209.15","227,935,740.45","722,834,365.85","728,471,612.85"
