科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"136,052,229.32","94,557,793.34","87,692,270.50","67,009,368.88","612,584,849.90","569,501,539.65","603,126,189.35","510,884,278.88","599,528,139.48","587,263,701.46","1,034,164,272.68","992,901,443.96","859,143,972.94","921,621,593.02","948,710,067.32","1,038,690,571.74","1,101,347,097.90","1,221,652,171.58","1,671,585,234.26","1,770,413,539.62"
短期借款,"104,000,000.00","252,000,000.00","398,000,000.00","398,000,000.00","613,000,000.00","623,000,000.00","690,000,000.00","720,000,000.00","824,240,000.00","747,808,000.00","776,420,727.83","815,920,727.83","752,500,000.00","806,500,000.00","806,500,000.00","823,000,000.00","899,500,000.00","906,500,000.00","1,191,500,000.00","1,187,800,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,"50,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,,,"500,000.00",,"200,000.00",,"106,888.84","6,888.84",,,,,,,,,"19,320,000.00",,"990,000.00",
应付票据,,,,,,,,,,,"1,000,402.75","1,000,402.75",,,,,,,,
应收账款,"47,039,422.88","37,287,876.38","51,238,255.05","57,679,001.06","60,718,438.69","61,041,421.49","46,410,409.51","67,362,416.14","61,751,090.85","63,559,262.18","73,429,296.06","53,695,737.00","67,868,918.41","58,945,754.56","54,405,274.48","31,645,659.60","62,820,242.81","17,194,951.25","6,793,999.63","22,504,150.89"
应付账款,"24,517,999.39","28,567,043.93","53,372,760.54","31,253,647.88","22,857,578.44","28,790,747.92","33,927,610.43","36,025,361.78","91,888,706.25","124,123,904.70","61,229,583.25","82,078,788.01","98,021,863.13","106,365,686.12","149,348,049.40","187,797,938.70","259,554,263.73",,"175,436,674.83",
预付款项,"47,549,629.79","122,161,171.38","64,072,753.97","38,045,792.94","43,366,742.46","70,561,578.38","75,913,871.61","88,318,568.85","41,857,974.18","26,627,609.35","19,479,787.41","27,343,887.77","23,361,273.02","32,191,210.61","24,681,714.37","36,434,372.48","28,789,055.34","23,495,004.60","28,665,819.21","20,371,569.50"
预收款项,"8,127,949.41","26,616,127.80","6,763,981.06","2,712,852.44","1,956,280.86","11,758,837.45","10,808,740.73","3,305,155.39","7,515,504.34","4,991,592.64","13,314,621.32","6,667,594.14","7,968,813.43","30,664,877.87","25,032,478.20","16,242,365.72","45,172,203.87","44,699,817.52","70,565,050.42","29,570,163.24"
其他应收款,"1,056,281.78","3,608,523.32","12,212,870.01","13,948,171.63","21,068,830.57","19,639,356.19","20,834,527.97","34,766,472.16","20,310,644.17","20,386,555.60","12,910,320.15","11,368,831.30","7,216,521.92","6,784,496.98","9,017,364.09","9,982,268.14","102,971,584.25","104,713,832.34","2,804,780.93","4,641,160.08"
应付职工薪酬,"2,566,370.26","3,010,422.68","4,976,338.83","5,024,124.25","5,519,813.81","5,709,703.25","5,143,271.70","4,222,857.77","6,287,631.76","6,627,431.33","6,656,897.05","6,852,021.73","8,220,946.96","9,622,472.48","10,205,931.93","12,772,873.03","9,442,641.95","15,454,471.92","15,458,932.97","20,507,451.98"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"14,905,982.61","6,020,607.02","13,628,110.36","6,982,728.05","10,070,988.45","10,087,204.07","11,044,362.41","9,118,586.19","19,736,333.08","26,632,248.25","31,869,445.22","40,208,836.89","28,681,444.80","39,809,407.86","31,357,925.07","39,600,793.43","30,245,214.34","58,257,139.56","77,108,273.26","108,236,262.79"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"200,000.00",,"20,000.00","150,000.00","200,000.00","101,321.80","176,321.80","144,131.11",,"749,635.77","225,951.32"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"15,700,000.00",,,,,,,,,,,,,,,,
