科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"32,631,176.07","28,284,288.21","20,930,688.84","29,071,959.73","16,647,171.57","46,321,645.78","289,873,536.21","277,392,161.25","207,543,160.56","120,415,394.58"
短期借款,"70,000,000.00","75,000,000.00","58,000,000.00","20,000,000.00","30,000,000.00","70,000,000.00","50,000,000.00","80,000,000.00","100,000,000.00","110,000,000.00"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,"1,907,814.02","1,739,349.65","2,991,790.67",,,,,,
应付票据,,"16,842,000.00","21,789,222.40","8,713,248.00","14,230,899.00","21,082,811.00","16,986,850.00","11,484,280.00","21,176,579.00","29,340,976.00"
应收账款,"34,677,831.44","52,439,444.52","43,232,034.09","32,993,125.03","39,954,270.68","35,047,674.39","53,542,308.82","40,234,249.69","51,925,732.41","68,539,548.39"
应付账款,"51,631,078.06","49,297,738.11","43,369,901.28","45,929,617.17","58,827,552.07","75,680,074.10","49,242,227.33","57,186,212.46","66,029,190.63","114,102,019.61"
预付款项,"12,629,127.49","11,847,156.13","8,256,980.17","7,109,848.60","10,065,844.27","6,887,933.83","7,065,199.13","9,861,519.77","23,798,608.98","26,208,710.01"
预收款项,"14,429,946.54","26,228,334.26","26,866,990.56","16,717,536.02","19,951,822.37","33,667,653.03","31,359,809.20","16,564,306.67","26,076,686.74","43,246,786.79"
其他应收款,"2,093,508.02","2,086,972.79","1,958,552.78","3,013,761.35","2,335,015.77","2,406,243.92","1,370,828.30","2,080,287.81","3,120,572.51","5,206,371.69"
应付职工薪酬,"14,439,194.12","16,286,290.38","19,619,411.85","15,581,138.43","17,301,991.83","22,391,720.94","16,829,022.18","10,450,480.47","12,183,124.13","27,304,969.41"
应收关联公司款,,,,,,,,,,
应交税费,"17,625,612.44","9,635,338.14","2,492,789.93","6,915,715.50","9,801,613.68","5,355,858.36","11,345,217.29","13,609,221.15","11,914,950.92","11,780,972.17"
应收利息,,,,,,,,,,
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,"1,109,826.58","1,109,826.58","1,109,826.58",,,
存货,"97,453,726.73","90,879,601.84","107,946,793.19","84,561,021.37","93,816,637.48","128,495,552.89","91,827,711.09","91,807,394.40","130,786,318.73","202,401,103.90"
其他应付款,"17,710,713.84","21,458,363.91","14,629,307.46","21,364,794.15","19,772,116.23","20,951,723.38","17,892,034.96","14,131,038.71","22,627,716.75","13,531,103.24"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"843,487.84","196,148.97","146,819.33","402,529.46","19,712.35","6,302,197.91","2,450,080.66","4,282,102.87","4,351,968.29","13,978,995.42"
其他流动负债,,,,,,,,,,
流动资产合计,"180,328,857.59","187,641,426.48","184,211,218.05","160,144,036.21","162,838,652.12","225,461,248.72","446,129,664.21","425,657,715.79","421,526,361.48","436,750,123.99"
流动负债合计,"185,836,545.00","214,748,064.80","186,767,623.48","135,222,049.27","170,995,821.76","250,239,667.39","194,764,987.54","203,425,539.46","260,008,248.17","349,306,827.22"
可供出售金融资产,,,,,,,,,,
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"119,061,921.11","143,386,224.62","200,307,204.80","227,692,740.30","228,217,772.52","286,148,439.58","283,340,551.16","285,558,520.26","285,402,717.94","370,610,355.49"
递延所得税负债,,,"297,609.86","564,396.61","564,396.61","723,624.10","723,624.10","723,624.10","723,624.10","1,160,093.31"
在建工程,"13,609,931.69","21,165,855.03","12,489,282.95","3,025,405.59","24,360,084.56","3,709,499.55","6,821,105.07","13,250,716.35","62,972,520.04","61,125,837.25"
其他非流动负债,,,,,,,,,,
工程物资,"28,141.61","9,077.22","12,788.87","15,060.02","25,785.96","22,544.47","30,156.71","98,108.25","301,161.32","56,178.44"
