科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"192,170,762.04","320,454,183.09","134,095,632.86","253,774,001.53","437,662,365.50","132,709,506.82","259,774,285.27","421,142,967.43","600,025,351.08","150,241,035.07","269,848,988.23","474,568,952.39","785,678,205.71","269,306,525.87","430,504,367.81","1,009,544,638.56","1,539,646,171.29","279,990,159.13","543,991,513.82","932,572,732.01","1,663,308,533.42","419,695,051.66","583,563,959.81","1,082,563,248.50","1,739,621,994.64","506,268,784.94","695,770,194.60","1,051,996,795.13","1,953,907,514.93","353,377,484.91","585,982,287.00","852,563,914.85","1,568,519,901.42","390,820,492.76","776,347,794.56","1,159,397,224.82","2,036,455,042.08","553,807,776.12","916,960,440.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"4,904,532.74","9,207,765.99",,,,,,,,,,,,"100,000,000.00","36,328,290.37",,,"8,500,000.00",,,,,"21,236,507.58",,,,,,
收到的税费返还,,,,,"492,831.45",,,"76,783.86","236,767.24","390,905.78","513,005.78","697,692.57","592,032.34",,"60,882.36","190,963.55","322,649.54","459,809.61","7,503,134.14","7,522,388.60","1,165,095.66",,"268,499.01","369,231.08","1,027,822.40",,"333,870.09","1,506,785.71","2,114,946.60","121,033.37","712,303.09","1,368,239.71","1,194,358.25","33,375.41","173,891.37","238,072.55","200,654.90","94,615.84","71,461.79"
支付其他与投资活动有关的现金,"405,575.86","1,717,930.79",,,,,,,,,"440,872.92","300,000.00",,,,,,,,,,,,"7,265,090.73","686,946.76",,,121.00,"8,677,716.86",,,,"28,000,000.00",,,,,,
收到其他与经营活动有关的现金,"3,310,124.03","2,197,330.57","22,378,850.65","28,378,850.65","52,094,278.27","3,358,281.33","48,048,086.45","73,525,036.34","84,919,938.46","2,668,700.54","204,403,100.72","213,977,682.39","85,630,240.00","35,043,900.21","183,466,017.55","395,560,216.84","175,206,983.07","49,046,120.05","172,645,078.56","305,678,579.57","197,527,045.16","66,886,615.08","196,928,077.20","355,770,243.28","200,727,861.33","82,888,918.29","285,179,162.84","264,876,293.07","216,002,275.32","108,851,600.66","252,809,062.35","198,214,909.86","230,390,707.56","89,689,357.57","326,984,688.80","500,958,699.31","329,025,574.56","64,485,467.29","236,554,268.30"
投资活动现金流出小计,"4,901,960.25","10,739,587.97","293,058.49","1,626,535.03","4,054,115.79","10,060,407.54","12,536,843.52","12,684,755.01","22,749,229.08","8,983,014.42","16,156,491.24","26,515,936.19","39,697,576.72","1,581,859.18","10,860,597.77","15,775,307.13","20,177,116.15","4,587,075.82","40,435,573.04","25,484,639.85","60,173,210.54","18,519,029.66","102,880,977.70","156,074,833.31","143,904,366.78","10,388,794.02","33,466,862.78","219,352,998.99","315,995,532.21","134,039,507.00","170,194,710.66","282,123,334.86","413,801,456.67","77,802,453.44","219,865,746.02","215,530,629.56","158,903,302.75","211,511,618.47","212,454,046.22"
经营活动现金流入小计,"195,480,886.07","322,651,513.66","156,474,483.51","282,152,852.18","490,249,475.22","136,067,788.15","307,822,371.72","494,744,787.63","685,182,056.78","153,300,641.39","474,765,094.73","689,244,327.35","871,900,478.05","304,350,426.08","614,031,267.72","1,405,295,818.95","1,715,175,803.90","329,496,088.79","724,139,726.52","1,245,773,700.18","1,862,000,674.24","486,581,666.74","780,760,536.02","1,438,702,722.86","1,941,377,678.37","589,157,703.23","981,283,227.53","1,318,379,873.91","2,172,024,736.85","462,350,118.94","839,503,652.44","1,052,147,064.42","1,800,104,967.23","480,543,225.74","1,103,506,374.73","1,660,593,996.68","2,365,681,271.54","618,387,859.25","1,153,586,170.48"
投资活动产生的现金流量净额,"-4,051,960.25","-10,739,587.97","-290,956.62","-1,624,433.16","-4,054,115.79","-10,060,407.54","-12,536,843.52","-12,684,755.01","-22,749,229.08","-8,983,014.42","-16,156,491.24","-26,515,936.19","-39,697,576.72","-1,581,859.18","-10,570,597.50","-15,475,307.13","-20,027,116.15","-4,576,075.82","-40,424,573.04","-25,473,639.85","-60,158,523.04","-18,519,029.66","-89,996,994.29","-139,398,693.65","-137,617,292.83","-6,388,794.02","-9,562,472.78","-195,452,998.99","-298,156,064.00","-134,039,507.00","-170,064,549.05","-149,753,173.25","-345,417,880.76","-77,802,453.44","-216,385,746.02","-77,102,679.56","63,573,336.29","-211,511,618.47","-211,867,430.30"
购买商品、接受劳务支付的现金,"154,901,397.47","295,047,037.46","103,101,927.82","233,278,698.48","352,078,239.74","162,230,992.21","280,246,238.31","448,424,374.03","527,773,744.16","166,074,407.82","321,788,440.37","476,454,353.49","700,574,514.91","260,845,512.84","434,022,731.40","867,853,739.98","1,285,068,040.18","291,028,529.47","568,837,783.87","1,003,959,138.34","1,422,844,765.90","499,701,507.89","694,662,657.76","1,093,214,780.79","1,632,656,921.67","526,586,947.86","704,067,059.17","909,723,569.55","1,478,932,782.01","396,742,664.64","619,904,327.30","868,670,318.97","1,424,856,493.92","430,420,618.69","833,254,113.23","1,427,417,422.12","2,023,716,499.50","683,113,169.42","1,202,612,879.16"
吸收投资收到的现金,"45,687,698.83","32,000,000.00",,,"370,000,000.00",,,,,,,,"9,137,320.80","5,500,000.00",,"982,864.99","7,282,864.99","12,613,000.00","42,613,000.00","47,886,093.49","54,960,538.00","199,999,992.00","202,495,189.48","222,023,314.33","235,085,784.14","5,636,846.60","8,300,275.50","1,001,842,801.06","1,015,404,615.65","183,334.00","23,393,920.70","4,726,004.00","25,395,920.70",,"7,647,000.00","1,853,000.00","35,200,000.00",,
