科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"96,217,949.32","171,153,664.87","221,897,611.69","125,519,050.11","624,534,619.17","461,759,841.65","470,186,667.59","416,891,957.99","372,027,643.03","569,578,409.38","415,252,622.87"
短期借款,"88,789,235.74","161,329,478.65","292,443,375.33","304,697,461.37","300,000,000.00","220,000,000.00","371,831,677.11","416,222,908.30","415,000,000.00","403,645,900.76","459,267,778.03"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"6,000,000.00",,"7,460,000.00","2,200,000.00","300,000.00","1,984,400.00","7,067,576.74","10,779,292.54","45,866,235.45","41,842,622.50","35,752,101.25"
应付票据,,"24,752,964.00","51,866,110.00","62,789,335.00","58,446,630.00","69,116,882.00","73,543,247.00","76,730,339.00","58,883,315.00","36,483,781.00","10,366,057.00"
应收账款,"647,835,261.09","958,994,126.90","1,096,283,268.11","1,279,132,321.46","1,405,603,950.56","1,409,571,622.74","1,440,598,345.62","1,532,217,961.82","1,597,800,702.76","1,551,285,588.75","1,404,329,870.17"
应付账款,"301,230,123.17","418,745,066.25","544,410,525.04","585,500,441.91","640,083,787.72","573,301,997.84","535,558,913.03","583,716,991.44","620,839,946.68","634,292,398.01","502,560,396.17"
预付款项,"31,038,738.52","13,260,806.55","8,810,250.88","15,782,532.86","6,920,531.61","10,653,792.29","7,852,870.00","19,056,064.27","24,899,187.34","21,662,601.80","33,318,047.59"
预收款项,"29,266,572.11","89,721,891.55","6,602,510.83","12,690,565.24","10,379,965.23","2,134,048.34","13,462,313.10","4,816,549.50","71,151,657.48","32,702,020.68","85,394,155.21"
其他应收款,"21,859,787.04","24,571,087.09","25,501,988.65","23,617,446.49","29,231,295.63","27,961,560.29","29,967,777.20","39,859,513.78","41,556,999.06","36,157,425.89","44,754,739.12"
应付职工薪酬,"23,173,050.62","23,998,775.21","23,879,969.10","9,396,685.08","9,493,891.02","24,134,983.49","9,926,621.70","10,853,930.23","12,030,497.51","37,363,716.28","15,418,474.89"
应收关联公司款,,,,,,,,,,,
应交税费,"57,911,472.80","77,565,551.05","86,257,223.58","85,941,866.63","94,537,915.89","41,157,399.23","40,858,122.92","38,766,483.04","38,120,559.80","31,192,300.20","22,345,933.27"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,"36,000,000.00",,,
存货,"30,020,625.84","43,560,411.42","35,892,709.51","30,030,792.32","43,771,588.70","30,471,929.41","30,454,442.54","34,480,759.00","45,375,317.87","43,098,442.01","46,561,683.70"
其他应付款,"177,915.60","31,016.89","511,254.20","105,688.84","2,916.80","808,995.50","601,100.92","121,289.93","79,250.07","1,230,884.11","2,198,059.99"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,"7,078,928.17","10,937,152.46","11,698,358.34","11,259,450.02","10,569,084.09","9,939,384.72","8,772,004.99","11,310,544.39","8,327,625.06","8,150,229.81","6,157,475.70"
其他流动资产,"2,930,000.00","3,230,000.00","4,730,000.00","4,730,000.00",,"42,013,571.88","122,013,571.88","170,013,571.88","170,000,000.00","102,112,770.91","50,490,902.11"
其他流动负债,,,,,,"56,364,139.76","58,165,670.48","62,306,718.80","72,886,040.35","73,450,738.97","88,126,284.60"
流动资产合计,"835,902,361.81","1,214,770,096.83","1,400,575,828.84","1,481,012,143.24","2,110,361,985.67","1,984,416,718.26","2,108,141,251.57","2,223,299,121.28","2,297,526,085.51","2,365,737,861.24","2,030,459,966.81"
流动负债合计,"507,627,298.21","807,081,896.06","1,017,669,326.42","1,072,381,494.09","1,123,514,190.75","996,957,830.88","1,112,719,671.25","1,240,845,754.63","1,297,318,891.95","1,258,511,969.82","1,191,834,614.86"
可供出售金融资产,,,,,,,,,,,
长期借款,"20,910,783.87","18,903,523.34","25,591,156.67","20,438,938.31","18,439,962.30","17,126,872.54","15,005,992.88","26,614,813.92","26,054,870.03","22,953,189.11","21,065,041.27"
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,,,"19,607,758.84","19,142,439.41","18,909,835.79","18,677,232.17","18,444,628.55","18,212,024.93","17,979,421.31","104,516,256.52","103,218,991.90"
预计负债,,"1,163,704.74","4,630,270.46","4,630,270.46","4,630,270.46","7,210,588.59","6,504,066.59","5,678,598.18","4,607,461.27","4,056,694.20","4,032,472.52"
固定资产,"17,805,739.30","17,813,778.70","16,411,340.57","16,646,226.07","15,986,979.42","16,097,554.45","15,591,925.21","16,863,362.19","16,709,927.01","22,104,124.79","21,779,752.28"
递延所得税负债,,,,,,,,,,,
在建工程,,,,,,,,,"2,047,416.00","197,240.81","3,723,513.99"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"20,910,783.87","20,067,228.08","30,221,427.13","25,069,208.77","23,070,232.76","24,337,461.13","21,510,059.47","32,293,412.10","30,662,331.30","27,009,883.31","28,847,513.79"
固定资产清理,,,,,,,,,,,
负债合计,"528,538,082.08","827,149,124.14","1,047,890,753.55","1,097,450,702.86","1,146,584,423.51","1,021,295,292.01","1,134,229,730.72","1,273,139,166.73","1,327,981,223.25","1,285,521,853.13","1,220,682,128.65"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00"
油气资产,,,,,,,,,,,
资本公积,"100,098,386.01","100,098,386.01","100,098,386.01","100,098,386.01","617,104,386.01","617,104,386.01","617,104,386.01","617,104,386.01","617,104,386.01","617,104,386.01","617,104,386.01"
无形资产,"46,010,396.78","45,435,167.64","45,644,824.80","45,011,285.17","48,228,462.30","45,325,196.34","44,940,673.83","43,861,948.45","43,180,390.19","28,185,986.93","29,074,864.91"
盈余公积,"14,863,220.74","24,358,919.75","34,023,221.46","34,023,221.46","34,023,221.46","41,546,509.09","41,546,509.09","41,546,509.09","41,546,509.09","51,397,162.91","51,397,162.91"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,"3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08","3,544,204.08"
未分配利润,"153,397,721.45","236,034,498.26","315,946,733.72","359,010,356.85","378,426,805.33","389,349,622.31","406,004,685.22","391,020,414.10","413,774,113.28","451,256,780.10","466,060,019.29"
长期待摊费用,"4,719,050.85","3,102,921.46","1,625,383.76","1,269,752.45","1,266,749.46","439,089.18","784,619.40","2,645,166.77","2,440,874.07","2,128,350.52","1,944,836.86"
少数股东权益,,,,,,,,,,"-16,845.83","-21,982.12"
递延所得税资产,"27,573,539.08","41,957,144.81","57,388,189.46","69,807,882.94","71,340,025.86","80,012,325.69","85,761,878.72","93,782,233.65","98,537,381.73","56,350,764.22","58,834,792.17"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,"91,823,911.00","93,301,774.00","93,301,774.00","104,450,754.00","104,582,754.00","107,189,636.63","107,189,636.63","10,983,980.00","292,394,134.74"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"99,652,930.09","111,853,216.69","236,045,612.51","248,723,564.12","252,578,030.91","268,546,355.91","273,650,683.79","286,098,576.70","291,629,251.02","228,010,907.87","514,515,090.93"
所有者权益(或股东权益)合计,"407,017,209.82","499,474,189.38","588,730,687.80","632,285,004.50","1,216,355,593.07","1,231,667,782.16","1,247,562,204.64","1,236,258,531.25","1,261,174,113.28","1,308,226,915.98","1,324,292,929.09"
资产总计,"935,555,291.90","1,326,623,313.52","1,636,621,441.35","1,729,735,707.36","2,362,940,016.58","2,252,963,074.17","2,381,791,935.36","2,509,397,697.98","2,589,155,336.53","2,593,748,769.11","2,544,975,057.74"
负债和所有者(或股东权益)合计,"935,555,291.90","1,326,623,313.52","1,636,621,441.35","1,729,735,707.36","2,362,940,016.58","2,252,963,074.17","2,381,791,935.36","2,509,397,697.98","2,589,155,336.53","2,593,748,769.11","2,544,975,057.74"
