科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,284,227,381.00","1,902,818,067.97","2,358,589,683.42","1,074,320,078.75","1,886,432,456.68","351,889,369.18","984,727,266.34","1,312,780,649.47","1,993,072,093.45","131,121,722.61","1,034,243,873.41","1,403,017,445.62","2,081,880,094.29","82,170,433.06","502,066,859.81","1,076,955,951.81","2,127,915,244.96","848,084,660.70","1,653,035,707.87","2,477,907,764.99","3,530,330,948.65","1,081,557,987.51","1,948,406,822.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"636,835,512.90",,,,,,
收到的税费返还,,,,"4,519,083.00","4,519,083.00",,,,,,,"95,751.06","95,751.06",,,,,,"587,585.65","587,585.65",,,"431,761.86"
支付其他与投资活动有关的现金,,,,,,,,,"400,000,000.00","400,000,000.00","400,000,000.00","598,740,000.00","998,740,000.00",,"100,000,000.00","100,000,000.00","100,609,932.85",,,,"71,000,000.00",,
收到其他与经营活动有关的现金,"41,701,472.61","58,088,417.76","35,808,843.41","61,452,811.61","94,289,947.48","15,462,422.84","32,509,145.79","12,956,558.06","144,381,260.31","31,232,476.10","60,496,669.94","68,552,998.29","81,200,898.01","1,426,249.77","5,890,923.16","18,953,654.85","41,512,544.38","17,700,605.20","393,100,125.62","435,044,602.87","437,325,637.02","43,911,262.74","138,135,669.89"
投资活动现金流出小计,"344,093,086.68","315,044,425.10","55,207,988.74","38,506,332.69","54,541,644.69","131,942,929.60","120,808,379.70","139,666,346.98","961,731,511.86","527,283,978.90","785,889,625.10","1,153,253,855.41","1,795,165,626.04","192,745,422.67","689,357,994.26","1,632,086,733.41","2,036,246,139.92","415,974,631.34","1,155,003,978.78","1,182,219,641.23","2,127,601,113.61","102,844,530.08","177,862,204.09"
经营活动现金流入小计,"1,325,928,853.61","1,960,906,485.73","2,394,398,526.83","1,140,291,973.36","1,985,241,487.16","367,351,792.02","1,017,236,412.13","1,325,737,207.53","2,137,453,353.76","162,354,198.71","1,094,740,543.35","1,471,666,194.97","2,163,176,743.36","83,596,682.83","507,957,782.97","1,095,909,606.66","2,169,427,789.34","865,785,265.90","2,046,723,419.14","2,913,539,953.51","3,967,656,585.67","1,125,469,250.25","2,086,974,254.01"
投资活动产生的现金流量净额,"-327,793,662.68","-311,099,125.10","-55,206,088.74","-38,446,999.34","-54,231,644.69","-131,942,929.60","-120,808,379.70","-139,666,346.98","-961,636,511.86","-125,429,732.34","15,964,621.46","-351,399,608.85","-556,478,260.53","-192,745,422.67","-489,357,994.26","-1,183,344,633.41","-1,317,204,464.33","-111,258,193.24","-537,764,477.69","-564,867,345.64","-992,156,201.20","-102,837,339.22","-113,895,307.60"
购买商品、接受劳务支付的现金,"727,272,183.25","860,440,143.14","983,253,519.84","510,741,512.06","903,039,456.69","297,797,487.89","430,682,263.89","610,471,463.40","1,010,741,569.25","282,823,347.00","395,114,343.56","511,786,569.62","775,464,988.71","169,899,620.13","479,754,787.51","630,508,089.18","1,044,382,256.08","557,559,456.71","1,095,042,902.25","1,601,324,564.81","2,112,713,050.36","530,700,536.05","952,144,617.22"
吸收投资收到的现金,"169,401,519.13",,,,,"891,400,000.00","891,400,000.00","891,400,000.00","881,898,600.00",,,,,,"35,000,000.00","35,000,000.00","420,461,925.51",,,,,,
