科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"103,102,038.02","156,680,338.81","95,892,587.86","164,420,309.98","23,688,557.42","66,361,489.23","101,423,185.70","141,852,386.80","39,661,260.00","89,784,200.49","140,206,495.19","217,540,065.83","71,299,419.24","152,307,274.41","199,799,257.47","162,574,766.61","48,755,247.72","80,482,158.80","131,503,058.67","169,370,835.56","42,813,474.20","86,096,063.95","110,443,202.20","151,419,160.66","32,178,291.25","87,382,281.22","105,955,310.23","157,111,809.00","40,465,880.54","79,452,765.83","111,711,890.29","148,099,628.15","63,820,163.96","164,409,313.83","221,138,409.83","293,994,458.42","73,357,170.99","136,028,242.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157,493,750.00","206,712,500.00","206,712,500.00","153,262,902.54",,"68,305,074.73"
收到的税费返还,,,,,"220,000.00","220,000.00","220,000.00","2,112,506.65","303,565.00","220,000.00",,"858,718.39","2,738,651.81","2,738,651.81","2,858,651.81","2,738,651.81","3,888,301.30","3,888,301.30","4,536,011.29","3,888,301.30","3,836,059.26","3,927,296.64","3,927,296.64","8,334,376.18",,"2,301,971.12","2,316,971.12","4,147,083.21",,"2,124,488.05","2,124,488.05","5,487,319.11",,"2,441,903.57","2,917,025.48","3,445,621.01","1,337,075.52","2,229,131.65"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"67,000,000.00",,,,,,,,,,,,"14,820,000.00",,,,"14,980,000.00","8,000,000.00","8,430,000.00","8,430,000.00","34,807,169.81",,
收到其他与经营活动有关的现金,"1,671,170.97","4,367,239.90","3,705,097.68","3,985,683.60","1,910,000.00","3,010,000.00","3,012,000.00","13,824,221.04","9,650,284.49","13,997,451.69","19,055,283.98","40,948,610.15","11,696,266.77","9,193,079.92","19,188,144.58","29,813,700.61","11,410,837.59","12,034,792.44","20,564,219.23","21,317,562.73","9,511,656.82","9,877,450.87","14,210,770.83","15,101,192.01","6,136,626.66","9,411,325.74","16,932,928.11","14,992,397.17","5,866,117.61","8,397,497.50","2,651,871.64","12,967,503.40","365,880.59","6,806,530.12","8,840,363.59","5,080,620.01","27,055,290.65","5,879,419.32"
投资活动现金流出小计,"9,178,534.45","14,844,358.33","5,197,582.49","5,659,924.06","5,392,244.42","6,178,267.49","16,874,648.37","43,412,661.65","-933,805.03","11,144,001.82","48,890,256.06","78,088,385.42","23,931,127.26","40,698,584.11","67,610,526.02","141,878,540.12","7,783,509.08","37,475,188.58","60,959,211.37","60,196,577.91","9,330,933.04","16,577,395.04","27,621,240.91","10,693,081.26","311,136,978.51","333,794,316.57","314,663,741.38","771,619,619.13","651,853.66","64,949,053.19","66,599,432.96","81,107,009.58","167,206,637.02","220,285,468.02","224,132,308.37","246,245,160.40","110,602,137.21","97,754,352.52"
经营活动现金流入小计,"104,773,208.99","161,047,578.71","99,597,685.54","168,405,993.58","25,818,557.42","69,591,489.23","104,655,185.70","157,789,114.49","49,615,109.49","104,001,652.18","159,261,779.17","259,347,394.37","85,734,337.82","164,239,006.14","221,846,053.86","195,127,119.03","64,054,386.61","96,405,252.54","156,603,289.19","194,576,699.59","56,161,190.28","99,900,811.46","128,581,269.67","174,854,728.85","38,314,917.91","99,095,578.08","125,205,209.46","176,251,289.38","46,331,998.15","89,974,751.38","116,488,249.98","166,554,450.66","64,186,044.55","173,657,747.52","232,895,798.90","302,520,699.44","101,749,537.16","144,136,793.96"
投资活动产生的现金流量净额,"-9,178,534.45","-14,844,358.33","6,810,517.51","6,348,175.94","-5,392,244.42","-6,178,267.49","-16,874,648.37","-43,412,661.65","1,043,805.03","-11,034,001.82","-48,750,256.06","-77,978,725.42","-23,931,127.26","-40,698,584.11","-67,608,666.02","-141,876,680.12","25,946,490.92","13,935,811.42","-9,548,211.37","-6,211,577.91","-9,325,933.04","83,427,604.96","72,383,759.09","119,349,981.43","-293,136,978.51","-310,184,316.57","-283,482,249.58","-302,561,741.28","-641,853.66","-21,659,053.19","-22,688,322.39","79,306,028.36","-4,350,707.70","-109,842,586.14","-126,099,426.49","-109,481,061.37","-53,186,172.61","-46,728,322.52"
购买商品、接受劳务支付的现金,"61,971,948.13","103,898,111.62","65,161,943.86","104,367,735.89","36,605,990.97","68,150,407.49","99,844,296.57","137,819,223.76","39,862,929.72","76,143,256.28","117,173,144.84","166,373,944.10","52,885,115.97","90,869,896.59","148,963,856.30","75,100,892.71","38,904,772.59","45,871,308.84","70,800,497.00","72,469,275.63","24,341,837.93","34,843,134.56","48,349,024.09","67,617,464.59","16,939,623.53","31,169,689.00","44,695,242.74","68,363,392.60","9,148,358.10","17,064,432.31","29,846,505.06","33,111,828.06","21,790,413.49","62,045,170.66","115,664,392.86","165,879,284.76","88,931,347.65","128,138,569.51"
吸收投资收到的现金,"28,500,000.00","35,400,000.00",,"526,520,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,000,000.00",,"920,000.13"
