科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"197,826,590.04","166,124,740.41","156,892,430.10",,"65,505,304.71","107,524,285.53","157,525,458.83","53,796,223.82","130,090,877.65","214,049,537.00","241,300,106.99","18,808,645.51","72,191,967.57","164,366,679.90","255,825,248.60","70,709,870.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"15,155.62","1,769,162.77","1,370,542.97",,"395,845.77","1,223,663.69","3,586,118.27","1,944,935.15","3,317,739.37","3,317,739.37","3,843,670.88",,,"401,555.72","401,555.72",
支付其他与投资活动有关的现金,,,,,,,"1,000,000.00","268,000,000.00",,,,,,,,"30,544,099.09"
收到其他与经营活动有关的现金,"15,072,094.26","13,964,207.94","13,571,539.20",,"2,790,569.42","3,163,774.91","13,223,169.89","3,446,734.53","8,181,368.35","16,625,464.27","12,494,052.99","6,492,794.33","17,994,853.15","19,440,094.18","15,720,477.35","5,061,352.62"
投资活动现金流出小计,"13,775,777.10","121,873,451.56","312,655,482.54",,"389,654,404.24","440,738,674.17","265,332,195.40","268,305,000.00","866,305,000.00","1,099,305,000.00","1,185,085,107.70","172,695,385.90","401,405,701.85","687,217,201.85","910,007,928.70","47,459,462.26"
经营活动现金流入小计,"212,913,839.92","181,858,111.12","171,834,512.27",,"68,691,719.90","111,911,724.13","174,334,746.99","59,187,893.50","141,589,985.37","233,992,740.64","257,637,830.86","25,301,439.84","90,186,820.72","184,208,329.80","271,947,281.67","75,771,222.76"
投资活动产生的现金流量净额,"-7,375,777.10","-69,717,108.62","72,003,527.21","204,157.28","-192,129,912.46","-242,479,732.80","-10,895,604.20","-267,480,724.03","-237,415,490.62","-218,782,325.27","-40,111,492.01","-172,563,799.60","-165,377,685.42","-204,070,136.93","-9,857,280.60","-47,459,462.26"
购买商品、接受劳务支付的现金,"76,889,544.72","93,090,893.89","60,120,987.12",,"45,564,718.70","74,449,971.34","110,238,907.26","35,467,523.05","97,096,742.75","163,478,485.72","159,790,110.30","44,159,469.81","71,035,082.60","111,898,314.71","163,209,210.59","20,802,884.83"
吸收投资收到的现金,,,,,"229,208,050.00","229,208,050.00","229,208,050.00",,,"490,000.00","965,000.00",,,"1,525,000.00","1,525,000.00","30,000,000.00"
支付给职工以及为职工支付的现金,"26,786,198.70","30,442,662.15","38,096,362.77",,"22,704,311.85","33,280,888.59","44,115,439.17","13,271,336.01","23,827,742.47","34,788,404.11","51,605,542.37","14,492,545.95","28,590,870.47","41,691,820.05","56,913,102.10","17,656,447.37"
取得借款收到的现金,,,,,,,,,,,,,,,,
支付的各项税费,"25,390,046.95","21,353,145.80","19,825,543.43",,"15,331,140.55","18,928,160.43","25,531,401.67","4,373,153.70","12,942,394.57","13,965,847.60","14,086,630.80","416,894.17","14,778,295.55","16,851,702.64","17,463,339.48","17,450,614.90"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,
