科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"235,960,733.57","236,576,470.77","266,180,524.99","222,114,454.78","308,361,522.65","73,125,642.59","149,816,927.20","225,486,329.80","316,412,893.70","84,559,853.21","172,322,759.66","252,017,988.77"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"12,136.54","486,745.45","931,177.87","1,147,396.00","1,147,396.00","19,414.83","21,628.29","1,317,483.75","1,463,738.56","3,313.81","3,313.81","581,316.63"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"11,330,443.93","12,246,556.16","7,539,646.30","6,819,703.63","8,138,508.23","1,335,305.22","3,846,194.12","7,372,961.55","9,112,261.10","1,477,299.35","2,304,189.44","5,125,913.66"
投资活动现金流出小计,"21,317,839.90","10,196,760.81","15,538,752.80","19,853,569.60","31,063,453.87","5,048,800.70","230,519,773.22","338,237,499.09","437,587,822.43","84,314,897.07","278,757,503.88","494,221,441.78"
经营活动现金流入小计,"247,303,314.04","249,309,772.38","274,651,349.16","230,081,554.41","317,647,426.88","74,480,362.64","153,684,749.61","234,176,775.10","326,988,893.36","86,040,466.37","174,630,262.91","257,725,219.06"
投资活动产生的现金流量净额,"-19,440,664.33","-8,955,200.81","-15,345,752.80","-19,150,889.60","-30,344,105.87","-5,048,800.70","-170,348,485.54","-177,609,958.75","-186,173,904.01","-21,614,708.04","-50,156,388.21","-52,866,215.52"
购买商品、接受劳务支付的现金,"110,734,680.81","103,543,551.03","123,358,582.49","108,647,598.69","147,377,447.72","47,804,468.44","67,373,164.48","103,428,783.62","148,752,662.26","52,317,470.43","95,880,522.19","135,627,011.22"
吸收投资收到的现金,,,,,,,"242,600,000.00","242,600,000.00","242,600,000.00",,,"23,296,000.00"
支付给职工以及为职工支付的现金,"25,693,176.04","28,533,143.70","30,058,768.49","24,379,195.58","30,558,015.81","10,154,881.49","17,129,389.05","24,456,234.05","30,968,166.39","11,512,030.93","19,652,821.55","27,090,382.70"
取得借款收到的现金,"111,500,000.00","67,000,000.00","67,000,000.00","99,400,000.00","122,192,445.75","45,500,535.24","67,680,993.24","67,680,993.24","67,680,993.24",,,
支付的各项税费,"26,395,690.52","28,205,409.90","34,075,834.60","28,607,132.32","35,464,962.71","4,104,760.46","18,304,451.98","29,210,099.00","38,976,833.43","5,976,877.41","16,106,445.83","30,696,045.69"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"34,699,334.10","35,818,698.78","38,370,379.44","23,009,414.83","30,452,034.65","8,557,083.54","17,038,363.81","24,404,877.98","33,351,291.34","9,713,447.94","17,573,125.44","27,259,311.22"
筹资活动现金流入小计,"111,500,000.00","67,000,000.00","67,000,000.00","99,400,000.00","122,192,445.75","45,500,535.24","310,280,993.24","310,280,993.24","310,280,993.24",,,"23,296,000.00"
经营活动现金流出小计,"197,522,881.47","196,100,803.41","225,863,565.02","184,643,341.42","243,852,460.89","70,621,193.93","119,845,369.32","181,499,994.65","252,048,953.42","79,519,826.71","149,212,915.01","220,672,750.83"
偿还债务支付的现金,"111,509,091.00","85,000,000.00","83,500,000.00","94,200,000.00","140,192,445.75","42,980,993.24","82,680,993.24","82,680,993.24","82,680,993.24",,,
经营活动产生的现金流量净额,"49,780,432.57","53,208,968.97","48,787,784.14","45,438,212.99","73,794,965.99","3,859,168.71","33,839,380.29","52,676,780.45","74,939,939.94","6,520,639.66","25,417,347.90","37,052,468.23"
分配股利、利润或偿还利息支付的现金,"16,194,079.86","21,400,051.49","29,520,939.45","28,542,782.68","30,585,736.48","404,725.95","633,574.79","21,351,833.88","22,723,973.59","155,983.06","23,923,791.32","37,848,095.57"
收回投资收到的现金,,,,,,,"60,000,000.00","160,000,000.00","250,000,000.00","62,000,000.00","226,000,000.00","437,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"14,252,143.00","14,252,564.80","14,474,962.80",,,
取得投资收益收到的现金,,,,,,,"171,287.68","551,540.34","1,337,918.42","700,189.03","2,601,115.67","4,115,226.26"
筹资活动现金流出小计,"127,703,170.86","106,400,051.49","113,020,939.45","122,742,782.68","170,778,182.23","43,385,719.19","97,566,711.03","118,285,391.92","119,879,929.63","155,983.06","23,923,791.32","37,848,095.57"
处置固定资产、无形资产和其他长期资产收回的现金净额,"377,175.57","91,560.00","193,000.00","42,680.00","59,348.00",,,"76,000.00","76,000.00",,,"240,000.00"
筹资活动产生的现金流量净额,"-16,203,170.86","-39,400,051.49","-46,020,939.45","-23,342,782.68","-48,585,736.48","2,114,816.05","212,714,282.21","191,995,601.32","190,401,063.61","-155,983.06","-23,923,791.32","-14,552,095.57"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,50.07,"-19,867.68",-501.59,-186.53,"1,726.53",-714.88,"3,036.42","4,064.92","7,505.32",-357.69,"-1,659.74","-2,781.14"
收到其他与投资活动有关的现金,"1,500,000.00","1,150,000.00",,"660,000.00","660,000.00",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"1,877,175.57","1,241,560.00","193,000.00","702,680.00","719,348.00",,"60,171,287.68","160,627,540.34","251,413,918.42","62,700,189.03","228,601,115.67","441,355,226.26"
五、现金及现金等价物净增加额,"14,136,647.45","4,833,848.99","-12,579,409.70","2,944,354.18","-5,133,149.83","924,469.18","76,208,213.38","67,066,487.94","79,174,604.86","-15,250,409.13","-48,664,491.37","-30,368,624.00"
购建固定资产、无形资产和其他长期资产支付的现金,"21,317,839.90","10,196,760.81","15,538,752.80","19,853,569.60","31,063,453.87","5,048,800.70","40,519,773.22","48,237,499.09","57,587,822.43","22,314,897.07","26,757,503.88","34,221,441.78"
期初现金及现金等价物余额,"25,689,012.12","39,825,659.57","44,659,508.56","32,080,098.86","32,080,098.86","26,946,949.03","26,946,949.03","26,946,949.03","26,946,949.03","106,121,553.89","106,121,553.89","106,121,553.89"
投资支付的现金,,,,,,,"190,000,000.00","290,000,000.00","380,000,000.00","62,000,000.00","252,000,000.00","460,000,000.00"
期末现金及现金等价物余额,"39,825,659.57","44,659,508.56","32,080,098.86","35,024,453.04","26,946,949.03","27,871,418.21","103,155,162.41","94,013,436.97","106,121,553.89","90,871,144.76","57,457,062.52","75,752,929.89"
