科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"314,113,683.88","290,544,471.80","444,743,799.35","236,987,082.61","335,002,936.10","524,774,449.36","93,607,923.85","224,668,771.82","347,533,622.38","560,391,641.46","120,734,129.60","275,899,502.97","422,165,014.01","652,843,606.90","136,125,159.59","340,196,382.64","528,130,997.33","781,725,631.82","138,491,007.44","305,676,485.04","501,711,245.31","789,229,335.48","195,212,769.37","532,419,202.73","900,544,566.84","1,457,223,281.69","308,135,089.38","598,318,005.15","930,621,418.33","1,407,354,910.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"113,464,430.27",,,,
收到的税费返还,"1,142,153.43","1,697,569.69","5,276,398.68","5,237,503.29","10,216,132.01","9,179,976.62","1,010,462.32","2,432,034.21","4,258,460.48","4,432,857.42","156,797.19","982,604.74","2,531,344.24","5,268,138.07","2,308,492.16","6,559,469.57","13,310,417.51","16,745,542.24",,"317,825.11","1,614,090.43","3,131,309.09","2,183,564.78","12,763,226.41","29,158,937.42","31,695,263.68","4,317,546.62","9,445,447.91","11,270,645.60","13,904,208.56"
支付其他与投资活动有关的现金,"47,210.00","4,058,300.00","1,830,820.00",,,"2,485,000.00",,,,,"5,505,000.00","203,200.00","203,200.00","374,000.00","1,615,000.00","1,989,000.00","2,707,230.00","1,616,000.00",,,,"247,480.05",,"3,021.90",,,"48,300.00","150,435.00","150,435.00",
收到其他与经营活动有关的现金,"15,029,685.70","4,018,327.71","4,762,653.55","1,961,228.33","7,880,673.60","6,387,385.37","2,990,096.61","6,719,887.65","7,073,679.86","10,800,814.71","1,517,899.63","3,142,421.22","6,731,458.43","7,444,794.17","1,327,283.45","2,934,162.74","6,726,285.05","9,070,398.70","1,743,092.86","4,663,815.38","7,037,281.51","12,379,071.50","6,250,870.51","5,916,451.42","33,240,513.85","3,743,066.17","13,324,959.54","20,734,252.44","35,079,588.70","9,458,900.70"
投资活动现金流出小计,"19,910,309.34","31,119,378.01","17,245,144.09","21,269,681.09","30,820,245.87","31,914,996.12","2,524,615.17","18,380,401.01","30,223,529.47","98,514,728.92","16,934,699.90","24,813,088.00","40,282,397.95","74,278,846.68","36,297,132.54","54,155,482.31","105,582,444.12","116,430,552.90","19,095,902.43","52,273,140.71","129,208,851.20","200,597,622.01","144,704,964.39","171,320,388.01","272,696,058.48","346,267,605.91","66,098,699.98","90,182,571.38","135,761,488.32","139,468,783.13"
经营活动现金流入小计,"330,285,523.01","296,260,369.20","454,782,851.58","244,185,814.23","353,099,741.71","540,341,811.35","97,608,482.78","233,820,693.68","358,865,762.72","575,625,313.59","122,408,826.42","280,024,528.93","431,427,816.68","665,556,539.14","139,760,935.20","349,690,014.95","548,167,699.89","807,541,572.76","140,234,100.30","310,658,125.53","510,362,617.25","804,739,716.07","203,647,204.66","551,098,880.56","962,944,018.11","1,492,661,611.54","325,777,595.54","628,497,705.50","976,971,652.63","1,430,718,020.04"
投资活动产生的现金流量净额,"-13,132,906.85","-30,957,551.09","-15,819,369.29","-16,178,631.09","-28,843,095.87","-25,992,026.12","-2,471,005.17","-16,355,307.15","-27,246,485.61","-92,852,228.92","-16,874,095.44","-24,341,494.00","-39,731,093.45","-73,463,664.18","-36,268,132.54","-53,744,588.71","-104,055,241.07","-114,185,218.46","-13,548,778.20","-50,188,358.58","-126,861,252.01","-191,359,820.64","-144,690,576.89","-171,265,200.51","-272,640,870.98","-330,856,722.87","-65,822,849.98","-89,876,062.38","-135,400,279.32","-132,833,681.41"
购买商品、接受劳务支付的现金,"206,810,630.55","186,472,625.07","312,347,696.62","178,356,473.38","257,635,349.45","361,024,400.04","105,362,923.77","174,021,362.77","268,635,274.80","355,920,816.50","106,570,037.65","203,809,438.73","313,511,458.37","419,393,201.27","138,094,186.93","251,756,655.89","407,954,453.13","542,437,488.70","100,502,085.36","233,215,221.82","330,322,818.61","443,710,999.00","117,337,269.49","361,706,849.47","590,876,232.63","788,609,389.52","288,438,470.04","502,004,305.10","705,585,878.87","853,628,749.20"
吸收投资收到的现金,,,,,"364,128,800.00","374,620,000.00",,,,,,,,,,,,,,,,"4,000,000.00",,,,"7,250,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00"
支付给职工以及为职工支付的现金,"28,559,567.99","37,584,866.87","52,825,505.07","28,893,769.59","44,803,484.18","64,000,407.69","14,083,120.40","37,877,446.19","48,697,890.82","83,930,420.92","24,190,874.52","46,253,112.29","73,382,867.35","100,856,224.25","30,612,814.16","51,491,372.44","94,378,346.29","142,236,840.54","39,192,569.05","77,597,910.37","117,646,793.97","169,795,830.59","49,654,743.00","114,258,512.07","185,764,745.91","284,132,633.46","78,984,952.82","158,681,355.57","224,466,147.58","335,248,550.42"
取得借款收到的现金,"180,517,102.77","123,638,333.90","77,241,734.17","56,234,344.16","92,826,604.68","140,048,690.23",,,"47,000,000.00","59,977,502.12",,,,,,,,,,"24,890,297.44","89,890,297.44","137,218,377.68","130,501,760.00","196,788,524.00","249,831,509.83","240,685,129.27","59,351,127.29","182,944,038.04","267,885,503.89","198,547,353.36"
支付的各项税费,"26,021,644.70","12,176,784.73","9,238,273.49","6,787,894.31","14,716,346.43","14,505,262.22","3,034,172.06","12,189,958.91","19,056,389.95","21,595,601.51","2,294,033.82","6,108,717.01","11,674,555.54","11,717,894.59","6,451,849.38","10,063,748.83","14,952,972.15","19,030,125.92","10,058,078.49","19,944,378.26","26,496,095.60","28,296,413.43","11,510,827.31","19,712,070.45","27,750,176.96","30,865,929.75","22,941,603.03","47,461,955.86","58,493,247.17","45,338,292.32"
收到其他与筹资活动有关的现金,"1,108,850.88","658,149.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"17,022,953.02","23,097,486.44","32,252,647.25","15,196,928.20","29,799,705.69","39,269,259.90","15,796,705.03","22,046,909.79","40,386,102.76","48,591,105.05","14,057,807.25","23,118,230.68","46,196,306.09","49,818,151.31","13,221,133.32","33,400,530.70","49,255,096.92","66,985,215.41","20,473,644.79","37,583,419.50","58,137,932.90","79,605,471.47","32,154,229.58","48,394,321.61","110,863,711.39","125,458,529.65","50,939,858.92","75,941,940.42","119,924,943.86","158,505,801.66"
筹资活动现金流入小计,"181,625,953.65","124,296,483.02","77,241,734.17","56,234,344.16","456,955,404.68","514,668,690.23",,,"47,000,000.00","59,977,502.12",,,,,,,,,,"24,890,297.44","89,890,297.44","141,218,377.68","130,501,760.00","196,788,524.00","249,831,509.83","247,935,129.27","71,351,127.29","194,944,038.04","279,885,503.89","210,547,353.36"
经营活动现金流出小计,"278,414,796.26","259,331,763.11","406,664,122.43","229,235,065.48","346,954,885.75","478,799,329.85","138,276,921.26","246,135,677.66","376,775,658.33","510,037,943.98","147,112,753.24","279,289,498.71","444,765,187.35","581,785,471.42","188,379,983.79","346,712,307.86","566,540,868.49","770,689,670.57","170,226,377.69","368,340,929.95","532,603,641.08","721,408,714.49","210,657,069.38","544,071,753.60","915,254,866.89","1,229,066,482.38","441,304,884.81","784,089,556.95","1,108,470,217.48","1,392,721,393.60"
偿还债务支付的现金,"190,820,049.46","121,480,039.00","67,790,476.98","48,374,552.39","44,400,000.00","204,567,294.20","9,211,145.07","9,209,975.57","9,209,975.57","56,209,975.57",,"12,944,140.40","12,944,140.40","12,860,304.73",,,,,,,"15,890,297.44","69,218,377.68",,"6,000,000.00","21,000,000.00","27,000,000.00","32,176,509.64","91,586,147.68","106,586,147.68","42,000,000.00"
经营活动产生的现金流量净额,"51,870,726.75","36,928,606.09","48,118,729.15","14,950,748.75","6,144,855.96","61,542,481.50","-40,668,438.48","-12,314,983.98","-17,909,895.61","65,587,369.61","-24,703,926.82","735,030.22","-13,337,370.67","83,771,067.72","-48,619,048.59","2,977,707.09","-18,373,168.60","36,851,902.19","-29,992,277.39","-57,682,804.42","-22,241,023.83","83,331,001.58","-7,009,864.72","7,027,126.96","47,689,151.22","263,595,129.16","-115,527,289.27","-155,591,851.45","-131,498,564.85","37,996,626.44"
分配股利、利润或偿还利息支付的现金,"20,914,560.57","4,476,815.75","17,356,074.51","2,963,840.72","4,337,163.87","5,553,888.04","398,164.29","33,130,092.88","37,427,154.48","37,607,064.63",,"13,509,718.72","13,680,000.00","13,799,428.76",,"29,184,000.00","29,184,000.00","29,184,000.00",,"45,600,000.00","45,600,000.00","47,327,456.54",,"9,134,572.21","9,586,564.90","16,112,502.73","1,517,479.22","63,011,683.92","65,829,579.80","71,979,403.31"
收回投资收到的现金,,,,,,,,,,,,,,,,,,"1,000,000.00","4,500,000.00",,,"4,500,000.00",,,,"15,000,000.00",,,,
支付其他与筹资活动有关的现金,"300,000.00",,,"101,445.00",,"10,592,645.00",,,,"28,327.72",,,,"9,918.54",,,,,,,,,,,,"24,196,752.00",,"901,567.62","961,949.90","1,466,735.14"
取得投资收益收到的现金,,,,"1,456,050.00","1,977,150.00","2,922,970.00","53,610.00","211,030.00","122,980.00","1,112,180.00",,"18,300.00","67,110.50","314,688.50",,"264,483.60","464,333.60","75,624.44","806,124.23","1,453,782.13","1,637,118.13","517,750.09",,,,,,,"32,700.00","507,227.50"
筹资活动现金流出小计,"212,034,610.03","125,956,854.75","85,146,551.49","51,439,838.11","48,737,163.87","220,713,827.24","9,609,309.36","42,340,068.45","46,637,130.05","93,845,367.92",,"26,453,859.12","26,624,140.40","26,669,652.03",,"29,184,000.00","29,184,000.00","29,184,000.00",,"45,600,000.00","61,490,297.44","116,545,834.22",,"15,134,572.21","30,586,564.90","67,309,254.73","33,693,988.86","155,499,399.22","173,377,677.38","115,446,138.45"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"161,826.92","305,774.80",,,,,"319,063.86","319,063.86","325,320.00","60,604.46","453,294.00","484,194.00","500,494.00","29,000.00","146,410.00","1,062,869.45","1,169,710.00","241,000.00","631,000.00","644,800.00","658,951.28","14,387.50","55,187.50","55,187.50","163,402.99","275,850.00","306,509.00","328,509.00","1,222,874.22"
筹资活动产生的现金流量净额,"-30,408,656.38","-1,660,371.73","-7,904,817.32","4,794,506.05","408,218,240.81","293,954,862.99","-9,609,309.36","-42,340,068.45","362,869.95","-33,867,865.80",,"-26,453,859.12","-26,624,140.40","-26,669,652.03",,"-29,184,000.00","-29,184,000.00","-29,184,000.00",,"-20,709,702.56","28,400,000.00","24,672,543.46","130,501,760.00","181,653,951.79","219,244,944.93","180,625,874.54","37,657,138.43","39,444,638.82","106,507,826.51","95,101,214.91"
处置子公司及其他营业单位收到的现金净额,"6,777,402.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,148,881.97","-609,315.21","-920,002.86","-763,089.99","-1,190,063.90","-1,454,344.32","39,354.88","300,093.08","445,482.31","-558,782.00","-696,813.74","-748,062.15","-1,248,832.17","-3,223,421.60","60,303.41","-785,935.09","806,660.20","326,720.97","282,518.50","1,262,275.04","2,156,514.29","2,243,338.23","-866,356.66","-2,342,056.93","602,605.15","3,386,845.13","-689,250.68","788,516.91","-841,363.73","-2,317,990.35"
收到其他与投资活动有关的现金,,,"1,120,000.00","3,635,000.00",,"3,000,000.00",,"1,495,000.00","2,535,000.00","4,225,000.00",,,,,,,,,,,"65,681.06","3,561,100.00",,,,"247,480.05",,,,"4,905,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,777,402.49","161,826.92","1,425,774.80","5,091,050.00","1,977,150.00","5,922,970.00","53,610.00","2,025,093.86","2,977,043.86","5,662,500.00","60,604.46","471,594.00","551,304.50","815,182.50","29,000.00","410,893.60","1,527,203.05","2,245,334.44","5,547,124.23","2,084,782.13","2,347,599.19","9,237,801.37","14,387.50","55,187.50","55,187.50","15,410,883.04","275,850.00","306,509.00","361,209.00","6,635,101.72"
五、现金及现金等价物净增加额,"7,180,281.55","3,701,368.06","23,474,539.68","2,803,533.72","384,329,937.00","328,050,974.05","-52,709,398.13","-70,710,266.50","-44,348,028.96","-61,691,507.11","-42,274,836.00","-50,808,385.05","-80,941,436.69","-19,585,670.09","-84,826,877.72","-80,736,816.71","-150,805,749.47","-106,190,595.30","-43,258,537.09","-127,318,590.52","-118,545,761.55","-81,112,937.37","-22,065,038.27","15,073,821.31","-5,104,169.68","116,751,125.96","-144,382,251.50","-205,234,758.10","-161,232,381.39","-2,053,830.41"
购建固定资产、无形资产和其他长期资产支付的现金,"19,863,099.34","27,061,078.01","15,414,324.09","21,269,681.09","30,820,245.87","29,429,996.12","2,524,615.17","18,380,401.01","30,223,529.47","53,514,728.92","11,429,699.90","24,609,888.00","40,079,197.95","73,904,846.68","34,682,132.54","52,166,482.31","102,875,214.12","107,674,524.90","19,095,902.43","52,273,140.71","129,208,851.20","200,350,141.96","36,910,735.00","63,523,136.72","110,901,829.09","178,803,175.64","66,050,399.98","90,032,136.38","135,611,053.32","139,468,783.13"
期初现金及现金等价物余额,"28,656,710.35","35,836,991.90","39,538,359.96","63,012,899.64","63,012,899.64","63,012,899.64",,"391,063,873.69","391,063,873.69","391,063,873.69","329,372,366.58","329,372,366.58","329,372,366.58","329,372,366.58","310,160,696.49","310,160,696.49","310,160,696.49","309,786,696.49","203,596,101.20","205,586,101.19","205,586,101.19","203,596,101.19","122,730,643.87","122,730,643.87","122,730,643.87","122,483,163.82","261,934,289.78","239,234,289.78","239,234,289.78","239,234,289.78"
投资支付的现金,,,,,,,,,,"45,000,000.00",,,,,,,,"7,140,028.00",,,,,"107,794,229.39","107,794,229.39","161,794,229.39","54,000,000.00",,,,
期末现金及现金等价物余额,"35,836,991.90","39,538,359.96","63,012,899.64","65,816,433.36","447,342,836.64","391,063,873.69","-52,709,398.13","320,353,607.19","346,715,844.73","329,372,366.58","287,097,530.58","278,563,981.53","248,430,929.89","309,786,696.49","225,333,818.77","229,423,879.78","159,354,947.02","203,596,101.19","160,337,564.11","78,267,510.67","87,040,339.64","122,483,163.82","100,665,605.60","137,804,465.18","117,626,474.19","239,234,289.78","117,552,038.28","33,999,531.68","78,001,908.39","237,180,459.37"
