科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"113,437,668.29","151,585,104.20","244,267,659.24","142,558,149.86","232,903,189.14","318,921,412.99","66,415,483.34","153,692,672.91","235,509,964.28","333,309,871.90","63,351,651.23","145,006,767.78","222,045,118.36","332,641,748.77","60,574,361.36","148,760,948.28","237,593,018.28","351,663,571.77","64,488,448.94","144,530,864.67","222,037,511.44","319,174,183.32","64,181,060.88","140,724,108.62","225,552,188.84","338,896,181.93","80,970,408.96","176,502,715.81","299,710,695.03","394,684,268.99","129,790,244.51","262,781,468.18","453,226,110.29","813,272,727.83","217,796,505.27","421,138,036.59","682,456,841.71","973,102,763.31","233,252,029.71"
取得子公司及其他营业单位支付的现金净额,"9,234,102.85",,,,,,,,,,,,,,,,,"-98,852.09",,,,,,"60,750,000.00","107,000,000.00","42,946,185.58",,"6,750,000.00","6,750,000.00","78,268,071.24",,"177,877,900.00","170,142,995.95","270,385,334.79",,"116,274,139.54","118,854,139.54","116,265,647.54",
收到的税费返还,"1,122,336.12","6,901,634.89","13,765,486.93","7,743,995.48","13,971,627.17","17,762,675.85","1,450,237.59","8,604,482.03","10,072,897.91","17,399,910.13","4,419,421.73","9,222,248.59","13,897,467.96","17,031,428.16","5,664,496.26","8,959,282.19","15,495,340.88","16,342,933.81","2,517,467.32","6,351,584.91","10,936,474.36","14,329,596.00","3,482,960.12","6,505,302.64","10,729,553.36","13,882,875.63","4,249,479.85","8,171,404.21","13,560,500.11","15,720,538.66","4,158,039.20","10,492,085.77","17,161,662.28","19,483,133.36","6,980,511.96","13,437,341.77","19,717,720.39","24,377,246.92","5,904,941.42"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"614,000,000.00",,,,"687,000,000.00",,,"3,711,500.00","171,600,000.00","35,000,000.00","181,000,000.00",,"551,000,000.00","63,008,215.75"
收到其他与经营活动有关的现金,"5,714,716.70","23,799,389.74","12,739,786.97","629,499.71","2,034,183.93","7,354,880.98","7,590,968.67","11,366,857.72","25,408,476.70","13,687,685.31","2,097,539.50","4,913,270.17","5,546,980.21","6,459,992.33","2,672,454.08","3,879,039.67","6,087,146.64","7,066,358.90","2,249,178.00","3,581,277.57","3,967,544.93","9,910,856.31","751,824.19","4,016,183.75","5,299,924.08","19,231,103.99","8,270,054.41","3,884,490.61","21,571,417.67","14,102,160.47","2,457,123.37","17,252,341.79","27,427,362.64","38,770,054.43","22,927,186.24","43,113,528.09","44,049,368.26","27,448,932.89","9,956,093.96"
投资活动现金流出小计,"46,265,792.53","37,007,277.26","45,513,160.49","13,794,099.48","26,229,970.03","40,436,646.17","6,770,476.43","10,185,190.97","14,509,878.87","15,946,492.07","3,461,551.99","5,233,506.01","8,122,006.01","15,282,472.90","1,230,842.00","16,606,277.68","22,815,723.80","32,444,656.15","2,156,857.58","3,109,082.66","3,652,675.60","11,232,965.43","3,857,474.22","67,713,028.85","315,241,446.51","717,942,368.98","9,003,707.02","512,344,199.22","655,485,381.89","791,733,829.98","90,811,714.67","355,954,530.35","387,479,290.63","558,177,262.49","42,246,495.93","310,029,833.86","411,412,720.29","704,562,354.67","65,787,076.51"
经营活动现金流入小计,"120,274,721.11","182,286,128.83","270,772,933.14","150,931,645.05","248,909,000.24","344,038,969.82","75,456,689.60","173,664,012.66","270,991,338.89","364,397,467.34","69,868,612.46","159,142,286.54","241,489,566.53","356,133,169.26","68,911,311.70","161,599,270.14","259,175,505.80","375,072,864.48","69,255,094.26","154,463,727.15","236,941,530.73","343,414,635.63","68,415,845.19","151,245,595.01","241,581,666.28","372,010,161.55","93,489,943.22","188,558,610.63","334,842,612.81","424,506,968.12","136,405,407.08","290,525,895.74","497,815,135.21","871,525,915.62","247,704,203.47","477,688,906.45","746,223,930.36","1,024,928,943.12","249,113,065.09"
投资活动产生的现金流量净额,"-46,263,792.53","-36,323,350.17","-45,498,160.49","-13,794,099.48","-26,229,970.03","-40,436,646.17","-6,770,476.43","-10,185,190.97","-14,388,878.87","-15,823,192.07","-3,461,551.99","-5,233,506.01","-8,122,006.01","-15,282,472.90","-1,230,842.00","-16,606,277.68","-22,815,723.80","-32,201,704.21","-2,156,857.58","-3,109,082.66","-3,520,675.60","-11,044,827.74","-3,857,474.22","-67,665,165.60","-315,083,340.24","-300,365,753.30","-8,123,744.53","-38,970,126.07","-40,944,188.88","52,918,605.40","-88,701,137.67","-283,462,357.98","-279,386,118.32","-350,610,349.41","-1,347,514.64","-256,936,304.63","-272,479,127.98","-228,082,546.50","-65,062,076.51"
购买商品、接受劳务支付的现金,"32,889,985.71","71,081,022.20","109,787,580.96","68,018,467.35","106,551,610.41","134,801,424.52","30,649,450.97","61,557,372.55","87,590,016.12","140,314,771.75","26,198,368.95","56,571,594.69","93,271,483.28","125,003,532.60","34,108,618.01","80,807,341.67","120,261,480.85","169,638,423.30","27,518,722.24","56,499,811.61","88,293,126.60","101,056,304.06","30,950,868.17","63,829,767.88","109,447,651.09","164,258,308.75","60,934,674.64","123,488,593.42","193,136,410.98","223,724,127.95","73,471,855.28","143,104,856.06","260,166,486.15","420,747,058.01","144,480,185.25","310,778,450.97","451,011,327.00","611,206,031.32","149,054,083.58"
吸收投资收到的现金,,"20,000,000.00","72,660,000.00",,,,"1,115,250,000.00","1,115,250,000.00","1,115,250,000.00","1,115,250,000.00",,,,,,,,,,,,,,,,,,"735,000.00","735,000.00","735,000.00",,,,,,,,,
