科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"21,703,270.36","75,727,095.40","108,159,078.07","107,653,973.98","102,163,449.26","1,117,676,217.23","1,041,271,910.96","953,691,241.25","916,917,542.83","951,844,997.67","926,700,205.25","976,360,206.07","937,782,686.10","803,570,167.37","762,150,566.75","728,475,362.41","648,775,035.67","764,194,745.92","716,478,108.00","786,064,729.38","654,023,950.95","494,970,115.11","1,523,836,870.97","1,338,418,697.43","719,999,590.60","701,799,020.28","524,092,997.32","1,183,188,248.55","991,274,425.83","928,878,493.24","1,010,722,974.03","828,687,775.02","981,045,604.17"
短期借款,"98,282,174.80","116,500,000.00","109,900,000.00","110,100,000.00","146,000,545.86","2,739,168.59","52,845,705.91","68,350,000.00","132,850,000.00","269,150,000.00","327,500,000.00","372,478,967.39","514,800,696.94","474,560,224.74","512,619,137.26","579,209,830.45","592,416,644.98","724,956,911.00","831,677,139.86","1,264,874,688.00","1,241,988,188.20","1,152,506,740.00","1,300,887,611.91","1,203,947,816.64","900,091,383.56","902,438,800.00","835,481,880.00","660,535,040.00","801,412,440.00","1,085,316,300.00","1,305,125,503.48","1,422,608,906.26","1,391,909,678.23"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"389,195.00","560,000.00","450,400.00","6,459,259.00","2,418,680.00","390,000.00","3,568,340.00","2,223,940.47","9,825,725.00","8,921,850.00","13,315,500.00","15,000,566.00","17,996,942.40","8,585,680.00","24,536,119.76","15,905,112.26","21,930,685.52","5,751,985.74","40,143,900.00","34,005,229.48","36,842,105.23","29,581,838.76","22,705,058.53","44,042,829.51","15,607,220.28","48,417,174.70","41,702,463.05","65,735,003.73","67,443,214.46","145,955,605.11","337,641,322.56","261,181,807.68","219,706,269.23"
应付票据,"33,000,000.00","50,500,000.00","102,322,976.95","102,079,561.59","92,564,530.92","115,713,806.03","102,564,137.12","94,507,550.27","96,714,436.78","117,872,790.23","189,157,562.96","262,465,696.32","288,863,785.84","260,955,019.86","280,842,827.19","286,185,506.95","313,550,806.74","430,423,067.62","461,107,591.78","409,879,956.17","280,564,127.68","280,167,563.77","364,697,197.64","409,823,119.81","413,396,077.15","366,089,448.17","368,191,340.43","173,767,805.00","255,325,759.46","307,325,249.34","563,707,609.16","517,546,596.97","613,607,320.99"
应收账款,"49,520,714.30","57,501,309.80","34,124,630.38","86,816,305.22","101,141,042.35","95,661,508.83","111,442,670.73","162,965,448.02","164,420,656.12","223,168,971.52","230,415,034.91","242,140,043.55","281,637,066.46","324,775,894.27","327,948,200.40","320,157,007.93","355,981,902.27","394,102,023.19","354,381,407.46","417,450,236.31","419,109,945.72","463,576,982.86","422,233,126.39","399,307,867.51","462,739,998.67","584,581,488.02","547,277,830.52","629,102,044.25","689,888,750.37","735,814,926.90","901,561,970.37","873,183,471.17","788,588,675.97"
应付账款,"43,616,077.94","80,455,354.74","55,597,758.96","74,400,318.50","77,520,463.66","74,465,404.87","76,840,361.20","111,659,531.60","118,246,275.98","169,122,323.29","211,024,823.77","225,199,894.69","222,605,655.30","278,775,187.98","297,506,780.77","376,707,632.00","348,676,219.37","432,225,288.17","386,440,142.89","416,850,912.66","373,279,196.32","519,253,006.02","510,576,801.74","555,401,231.34","605,280,642.30","665,731,230.77","545,777,148.96","478,184,818.09","418,166,014.48","532,302,863.31","575,177,489.20","555,762,637.34","656,644,705.67"
预付款项,"8,919,711.04","14,158,682.01","15,416,942.74","10,760,454.98","26,715,603.98","29,104,974.68","36,413,185.01","49,496,714.18","48,102,874.24","70,418,749.55","75,381,665.58","181,872,225.32","152,673,953.36","82,108,995.62","153,810,534.47","104,307,603.75","114,713,402.16","48,356,315.55","93,208,668.65","106,596,373.63","85,970,761.40","74,143,062.17","105,490,635.01","91,980,386.60","98,962,372.22","67,176,955.01","129,064,170.22","130,690,458.03","423,754,056.21","948,894,710.13","916,709,510.82","950,675,586.78","1,149,082,226.46"
预收款项,"23,485,223.98","37,591,320.89","32,249,868.06","11,288,261.69","1,668,968.81","23,777,217.19","23,323,916.10","22,561,355.49","13,924,439.81","47,229,738.55","41,012,969.05","34,139,386.09","37,153,697.23","29,102,682.56","51,634,824.48","46,674,041.18","52,573,065.65","46,499,191.05","73,408,818.53","50,103,243.83","77,355,409.27","92,629,890.50","79,571,875.69","56,576,790.93","64,430,343.56","109,883,954.16","92,517,124.02","79,334,528.98","96,768,180.60","424,681,186.68","250,390,305.27","210,421,486.18","353,173,292.95"
