科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"489,095,641.24","1,204,151,899.02","1,990,616,533.08","3,287,112,400.46","610,779,254.19","1,603,130,927.23","2,700,516,712.93","4,095,911,967.91","1,196,970,168.70","2,826,549,999.34","4,579,072,557.59","6,600,419,394.82","1,352,157,827.06","3,440,011,252.65","5,387,536,889.30","7,969,446,775.03","1,728,071,580.27","4,722,105,417.60","12,008,555,062.14","2,721,222,861.38","6,422,987,153.40","10,016,020,038.58","14,534,871,337.00","2,205,978,292.91","5,411,625,274.66","8,191,645,975.95","12,674,149,646.19","2,127,783,852.65","4,987,748,675.10","7,607,075,767.12","16,578,632,362.39","2,313,446,109.53","5,970,193,066.75","8,756,361,859.06","14,347,273,535.29","1,812,975,769.86","4,581,221,295.66","6,998,067,225.57","12,936,846,376.17","2,029,008,554.53","5,516,288,794.85","8,976,529,771.55"
二、营业利润,"63,916,423.72","190,723,462.66","319,966,555.55","603,649,790.45","103,124,583.23","287,767,790.36","474,434,025.86","700,583,927.42","160,030,477.05","476,795,763.36","794,580,450.06","1,340,126,400.96","200,941,510.27","582,444,688.06","1,047,916,009.12","1,524,651,242.17","261,741,188.41","754,756,105.65","1,903,779,853.04","422,036,843.88","1,009,959,492.41","1,637,944,794.05","2,058,511,730.46","178,620,031.03","415,721,977.65","679,733,718.72","1,155,777,399.50","195,910,336.09","536,172,262.13","872,478,342.39","1,982,876,965.35","134,471,398.99","747,623,466.94","928,345,095.50","1,524,684,536.99","-26,876,328.61","232,332,027.21","366,656,281.62","1,086,459,895.64","777,567.49","537,975,298.83","782,405,127.15"
减:营业成本,"346,610,223.80","851,143,256.22","1,386,957,738.20","2,255,843,840.82","410,908,561.59","1,097,908,127.87","1,879,922,225.46","2,767,036,825.85","827,763,600.48","1,876,262,096.19","3,031,246,511.61","4,279,061,798.04","907,189,901.50","2,278,526,007.39","3,566,012,789.51","5,163,496,411.03","1,166,777,665.79","3,207,690,383.65","8,192,083,477.82","1,924,616,597.17","4,527,667,886.83","6,942,216,468.48","10,361,702,599.30","1,615,490,733.30","4,001,730,726.89","6,015,340,088.94","9,295,633,688.45","1,547,384,523.52","3,483,007,230.55","5,339,335,958.50","11,455,656,538.58","1,600,308,535.28","3,876,670,889.61","5,865,352,764.01","9,416,322,531.01","1,187,969,423.94","2,888,861,915.72","4,556,760,957.07","8,568,625,259.23","1,344,037,898.88","3,500,763,506.46","5,969,414,731.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,764,944.56","8,601,962.86","13,800,028.87","29,488,042.73","5,596,821.21","15,444,844.91","25,151,857.19","42,890,331.36","8,158,777.74","26,081,824.07","46,777,438.18","76,510,452.88","16,063,110.05","36,588,135.27","63,328,783.80","102,846,898.08","20,030,266.08","48,714,893.05","145,568,510.25","26,990,982.17","56,746,764.09","86,086,900.71","136,002,199.30","15,684,605.08","34,551,652.16","60,462,976.85","109,685,706.36","19,339,188.50","48,704,572.26","70,895,060.62","164,678,670.43","34,981,256.77","86,934,691.63","131,971,394.03","205,443,409.25","29,839,149.12","65,801,885.47","104,644,669.58","212,210,715.75","44,236,362.95","113,949,240.10","180,279,115.07"
营业外收入,"308,968.65","6,693,190.88","8,536,564.65","23,843,361.53","2,214,703.62","3,961,984.49","6,159,444.79","54,328,770.68","9,636,856.60","18,860,556.35","28,770,555.08","74,316,312.28","10,938,046.35","27,787,740.01","42,189,991.87","147,428,839.30","7,562,789.00","24,961,467.43","129,380,845.87","9,835,397.88","30,152,491.29","70,101,105.37","151,713,163.19","24,180,748.60","81,121,389.35","111,721,905.92","185,709,734.18","19,750,194.82","82,408,588.16","110,972,124.95","274,572,501.98","54,470,018.28","67,928,800.81","102,681,499.26","235,245,219.30","44,679,089.10","91,797,398.03","139,629,436.29","225,043,802.71","40,972,529.73","21,425,198.60","41,145,044.50"
销售费用,"26,579,978.12","54,681,418.62","90,258,864.31","144,508,451.17","38,400,457.27","81,291,302.99","127,224,238.13","231,363,310.31","59,960,781.36","113,843,080.68","180,837,766.92","293,622,204.45","68,705,282.05","150,025,576.75","232,151,170.49","375,556,665.08","77,888,898.48","184,004,988.14","532,439,547.18","99,425,968.00","216,445,629.79","372,555,086.61","558,852,684.06","108,165,757.91","226,585,406.76","367,921,277.46","546,574,743.51","101,828,572.54","214,898,554.09","326,441,615.55","745,086,816.18","142,533,282.82","305,566,680.32","464,340,586.62","675,817,209.93","154,599,262.33","321,300,260.59","455,144,937.14","608,940,332.05","150,819,965.19","314,122,890.52","473,770,513.01"
减:营业外支出,"1,603,799.90","4,621,166.85","7,533,682.33","10,818,784.84","457,773.21","2,474,939.38","2,862,393.18","5,745,885.67","611,371.70","2,398,147.96","4,112,042.32","7,954,703.73","1,857,280.85","4,326,070.25","6,492,844.21","10,946,498.60","2,516,255.49","3,918,159.08","12,801,780.42","2,320,670.38","5,179,907.53","7,853,532.71","14,063,248.15","4,344,479.03","6,668,233.78","8,692,051.13","25,943,232.69","2,129,717.39","4,891,575.79","6,986,038.56","16,848,636.39","2,942,101.93","4,956,918.22","7,645,444.69","27,583,738.02","2,181,225.08","15,163,033.52","20,742,422.21","40,590,089.76","3,809,090.26","11,396,214.85","18,213,894.25"
管理费用,"49,710,443.15","119,517,381.94","194,630,937.94","281,831,230.60","67,394,018.50","157,903,333.01","278,780,881.72","483,847,685.44","134,695,546.65","279,888,891.74","462,836,724.11","736,084,236.87","155,607,218.12","342,082,264.48","541,606,824.48","882,887,312.27","198,271,333.55","438,339,781.56","1,165,635,896.44","241,430,066.46","505,692,987.52","808,238,274.78","1,294,856,395.10","263,138,756.96","579,517,567.44","895,438,870.54","1,373,988,364.86","227,952,585.48","536,222,493.04","808,191,489.00","1,830,892,113.49","377,824,586.09","757,896,338.94","1,146,838,848.92","2,020,489,433.00","448,715,140.36","867,417,385.39","1,302,459,190.25","1,920,145,578.16","454,238,267.84","942,591,535.93","1,430,729,670.23"
其中:非流动资产处置净损失,"21,874.76","2,727,204.82","2,455,490.41","5,183,870.04","38,246.77","116,665.85","553,918.22","1,159,213.82","444,930.85","678,127.48","781,230.13","2,246,544.31","682,807.96","1,167,261.99","1,297,126.10","1,865,165.19","768,754.75","1,317,163.97","2,289,877.69","582,372.79","927,790.08","1,112,706.19","1,631,361.28","367,522.75","988,695.35","1,124,928.88","13,804,529.90","479,909.36","1,428,769.69","1,918,673.54","3,985,890.13","1,757,200.66","2,304,327.68","2,655,003.22","4,120,856.14","788,610.56","3,100,323.76","3,883,686.72","7,036,227.55","533,843.09","1,530,712.65","3,716,318.36"
