科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"360,926,491.99","542,114,658.63","684,772,438.37","377,769,192.97","638,805,742.87","850,080,602.81","223,460,022.61","508,606,779.07","706,252,244.24","1,102,927,300.72","289,399,416.25","625,533,442.19","1,105,556,410.76","1,281,941,032.87","345,152,813.70","925,292,545.38","1,499,481,392.25","2,023,667,404.29","496,835,556.93","943,056,885.14","1,273,079,979.45","1,874,349,394.19","421,252,973.44","773,349,631.91","982,912,673.82","1,232,810,249.34","338,288,325.30","583,371,174.85","924,167,548.37","1,283,889,091.76","232,778,020.03","655,072,351.41","1,054,837,157.65","1,651,884,332.25","432,432,491.97","959,682,573.28"
二、营业利润,"33,544,378.08","62,690,428.14","76,327,264.43","51,299,328.09","104,828,256.44","137,385,489.97","31,864,887.37","88,158,762.18","129,509,356.68","215,331,475.58","42,945,677.58","109,539,446.16","191,296,928.64","252,408,421.24","70,465,511.56","161,200,129.92","217,091,087.21","231,552,809.10","73,375,161.51","91,626,352.72","59,908,311.37","56,939,747.37","25,247,298.41","-49,018,584.86","-119,251,092.77","-455,282,326.20","3,261,736.94","13,553,899.71","14,623,141.18","1,706,927.34","56,079.25","18,533,463.15","28,168,149.25","2,436,725.76","28,756,005.97","83,071,578.09"
减:营业成本,"295,205,945.41","432,166,833.39","540,890,999.71","284,546,432.04","470,919,377.29","619,714,172.01","171,704,244.19","373,447,183.09","512,184,194.92","786,873,124.93","228,418,651.28","463,001,268.46","826,614,135.54","888,488,689.73","235,664,226.61","659,437,004.37","1,102,964,570.05","1,532,023,342.77","379,492,948.09","728,598,779.16","1,011,923,099.12","1,501,267,177.51","340,221,293.84","693,355,887.94","914,393,064.95","1,220,840,592.44","279,407,674.06","495,347,222.66","764,418,435.01","1,031,802,988.21","179,542,780.88","518,563,704.66","849,667,961.83","1,347,653,688.32","327,975,202.40","719,667,477.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"829,850.24","2,198,004.07","2,133,042.20","1,341,090.95","2,094,572.76","3,265,629.36","587,585.88","1,843,394.63","2,598,842.35","4,086,607.24","1,205,073.89","2,163,905.31","3,249,254.76","4,620,592.25","3,365,470.07","8,086,037.14","11,366,076.37","11,988,003.64","2,560,397.96","5,782,701.05","7,048,267.79","8,608,079.19","2,029,855.70","2,642,266.03","3,341,328.41","4,027,529.70","3,925,586.87","4,927,355.60","6,118,385.63","15,097,177.60","3,980,558.19","14,341,296.53","17,569,403.68","22,039,936.50","5,292,365.91","12,202,791.45"
营业外收入,"2,891,966.79","4,790,495.80","1,082,588.69","263,423.94","284,538.01","534,675.65","35,550.00","934,591.84","12,928,221.32","3,268,010.27","182,396.61","936,405.66","5,111,316.09","30,567,534.62","1,956,712.10","3,088,157.79","25,724,509.07","54,312,973.26","1,074,098.82","2,035,673.82","2,932,542.76","10,919,107.96","11,019,436.87","15,908,330.96","88,362,047.06","111,728,106.10","3,766,753.04","6,763,576.66","10,177,279.63","15,455,935.81","3,993,857.70","10,833,276.07","14,312,559.29","25,436,247.92","616,549.20","1,201,217.85"
销售费用,"10,377,768.37","16,627,483.81","23,896,772.89","13,151,617.27","17,113,066.47","25,574,438.99","4,206,587.99","11,866,321.94","16,300,288.70","27,436,941.56","2,039,190.19","11,918,393.73","19,998,825.71","28,974,741.30","6,255,375.26","19,007,822.68","41,161,698.38","62,352,775.69","8,588,148.41","23,692,402.84","41,073,330.57","60,222,489.39","13,896,472.07","30,218,036.80","40,259,092.86","57,403,329.33","5,334,948.13","21,043,736.57","31,399,808.29","52,528,226.73","3,082,952.91","13,743,095.55","23,337,359.69","43,772,642.43","8,662,072.84","21,041,641.57"
减:营业外支出,"180,710.20","395,549.33","251,241.74","103,835.55","107,499.49","125,499.49","4,634.54","204,834.54","213,075.49","1,382,910.11",100.00,100.00,"3,271,136.19","3,296,191.76","27,037.20","176,562.43","264,173.87","697,619.24","7,880.00","15,938.32","31,938.32","70,748.32","43,950.00","61,032.94","269,877.36","280,135.58","7,953.62","11,103.62","446,989.27","929,278.18","1,095,919.24","2,667,190.78","2,685,283.28","4,795,859.84","875,831.84","984,457.32"
管理费用,"12,684,876.49","19,045,087.84","22,204,116.42","15,115,336.68","25,320,041.67","36,495,534.27","10,833,336.56","26,343,058.05","36,840,720.78","52,610,585.21","9,274,281.44","24,583,940.10","42,626,155.05","69,650,579.17","16,944,542.64","41,752,695.68","72,386,256.58","101,589,865.48","23,970,736.49","52,533,015.31","85,787,029.82","134,063,540.52","23,178,581.75","54,845,849.03","86,227,174.96","128,428,087.01","24,402,594.66","54,420,918.38","79,238,542.31","107,393,739.27","20,142,529.40","42,129,775.02","67,964,766.28","121,834,839.76","27,976,716.20","68,457,749.12"
其中:非流动资产处置净损失,,,,,,,,,,"159,055.71",,,,"3,258,164.30",,,,"105,487.14",,,,,,,,,,,,"7,692.48",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
