科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"66,676,442.70","136,654,185.39","201,051,160.56","327,448,486.97","75,030,340.97","170,328,985.17","287,987,094.47","464,113,728.09","91,720,476.70","172,567,151.53","255,651,199.67","376,130,969.44","85,979,718.53","178,134,737.94","263,208,713.12","368,850,004.14","73,755,800.01","157,979,114.29","237,771,464.46","351,167,702.83","94,403,527.25","187,292,652.91","302,953,640.58","447,054,332.62","144,655,954.33","319,026,414.93","499,670,981.61","696,042,386.18","180,136,279.57","335,044,408.72","507,035,056.67","735,686,359.74","168,146,261.18","334,359,980.16","521,844,542.63","884,874,468.48","199,277,857.26"
二、营业利润,"21,821,798.13","38,789,263.09","74,206,202.67","107,588,397.36","35,281,915.31","75,643,715.79","125,003,067.81","188,656,162.11","35,177,184.85","56,213,472.47","75,100,153.23","90,463,059.34","3,252,769.96","6,420,144.35","15,103,418.07","1,016,215.63","-11,414,654.78","-29,381,327.14","-44,392,481.83","-81,870,106.78","2,919,361.22","10,761,891.82","16,665,982.96","31,011,633.23","14,146,350.52","35,730,637.84","66,191,330.86","107,005,568.40","22,708,645.94","46,614,941.04","76,880,754.26","102,949,332.12","25,898,035.27","58,782,763.58","86,998,384.78","124,919,750.44","17,505,382.54"
减:营业成本,"22,044,641.89","43,797,015.55","72,548,905.62","123,846,062.09","24,176,090.62","55,012,386.27","97,234,407.24","160,432,765.91","34,447,199.93","72,138,868.59","108,644,562.85","161,615,486.24","43,950,238.81","92,439,583.41","142,735,155.47","207,096,819.69","42,671,292.32","99,242,110.47","149,147,325.11","233,407,742.69","53,035,208.10","108,455,463.82","168,604,223.39","250,889,377.85","84,072,037.70","176,761,923.02","271,148,724.64","369,779,342.07","103,424,439.80","185,961,072.34","266,135,812.26","400,707,377.73","90,132,744.11","190,169,951.98","289,982,810.92","520,492,127.04","119,617,914.76"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,098,502.08","4,062,296.33","4,438,060.21","8,648,894.05","1,964,098.40","4,507,208.84","8,064,261.87","14,029,386.56","3,177,496.94","6,675,585.11","10,464,268.63","15,077,754.29","3,432,691.62","7,155,396.07","10,522,328.75","7,989,000.84","492,946.26","695,930.01","1,091,782.80","2,400,301.44","455,439.57","1,081,270.86","1,639,473.11","3,405,005.76","858,015.88","2,518,925.03","4,023,869.77","7,036,695.74","1,246,460.85","2,826,628.01","4,172,972.26","7,450,776.08","1,551,668.52","3,331,205.83","4,505,853.14","7,743,368.45","1,092,350.83"
营业外收入,"6,026,891.31","7,082,579.93","15,222,627.62","19,865,000.53","3,260,068.83","9,460,218.29","16,453,349.92","22,590,209.09","5,561,033.27","5,730,475.82","6,227,323.02","15,864,896.15","2,561,412.84","5,471,286.67","13,839,779.33","19,753,575.35","7,409,192.22","10,251,106.29","11,814,899.49","14,260,140.50","1,943,021.57","5,985,424.51","9,720,660.84","14,488,314.44","6,473,169.10","10,255,381.41","15,790,993.03","26,144,418.03","5,803,663.24","15,045,888.70","18,029,656.43","29,466,914.27","8,937,038.59","17,434,764.32","11,268,280.60","3,974,801.95","84,121.35"
销售费用,"6,249,554.72","12,041,895.68","17,298,761.96","25,480,029.07","6,030,836.61","15,406,415.39","23,311,256.12","37,001,399.32","7,240,179.89","15,981,647.49","27,638,207.80","49,317,079.99","10,496,457.16","26,516,035.15","44,383,192.07","82,557,006.68","20,683,385.44","42,871,773.56","61,767,958.88","91,140,354.56","19,001,590.60","32,936,566.03","52,353,848.04","77,737,271.60","17,113,315.85","36,248,748.08","51,146,215.80","60,838,932.64","16,849,589.37","29,055,204.32","43,527,319.14","56,391,703.60","10,749,879.71","27,868,255.52","49,878,575.24","74,411,604.06","14,709,304.36"
减:营业外支出,"85,126.12","212,721.60","403,321.57","894,012.04","67,800.06","19,459.09","122,759.28","469,745.55","100,853.75","149,613.22","179,217.20","397,747.75","8,909.32","24,036.52","473,638.26","830,691.82","108,565.81","375,238.58","376,643.07","9,722,872.04","81,098.32","264,595.17","309,259.75","693,230.94","158,711.00","216,312.37","322,023.69","635,993.94","15,924.27","49,161.34","45,807.04","49,792.88","14,638.75","75,549.86","724,092.73","3,617,697.24","330,137.86"
管理费用,"14,425,050.78","34,930,473.33","30,772,052.74","61,469,472.98","11,534,564.45","31,722,042.74","54,013,421.14","86,597,338.45","18,993,714.67","34,928,628.48","54,136,313.27","90,388,068.93","32,555,581.70","59,330,457.12","71,728,146.01","96,721,888.25","27,479,375.96","59,291,274.04","93,421,057.84","135,177,305.03","27,857,431.94","54,543,576.81","94,590,734.01","124,125,662.91","36,066,934.09","75,727,743.47","117,803,802.43","156,873,771.08","40,305,182.13","80,428,864.03","125,586,639.44","166,309,972.56","41,241,112.80","84,838,968.05","128,488,482.94","188,492,985.47","56,650,113.47"
其中:非流动资产处置净损失,"64,895.44","110,173.50","104,403.93","107,656.51",,,"79,237.50","20,950.70",,,"73,517.10","98,411.40","8,809.32","23,317.05","36,769.18","146,343.41","38,848.89","182,865.96","183,981.38","9,186,601.11","68,215.97","99,579.93","86,925.02","59,944.24","158,711.00","155,555.60","222,260.77","510,951.42","9,843.52","40,538.21","58,697.83","20,367.20","14,589.75","72,296.76","60,802.30",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
