科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"274,738,376.38","284,145,936.65","383,194,520.61","104,929,786.71","210,724,295.04","332,763,116.05","482,305,248.84","171,189,961.33","311,676,252.66","581,987,759.88","1,030,747,345.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"950,288.33","1,407,102.46","778,700.30","150,475.65","1,874,869.97","3,508,757.37","3,522,904.09","25,467.37","605,179.74","1,197,779.56","1,846,628.36"
支付其他与投资活动有关的现金,,,,,,,"6,000,000.00",,,,"74,000,000.00"
收到其他与经营活动有关的现金,"4,427,737.77","2,889,144.96","5,147,956.10","160,058.43","1,883,372.05","4,516,339.73","9,601,906.77","501,811.58","910,710.00","5,900,767.97","6,178,755.45"
投资活动现金流出小计,"52,882,658.62","39,600,229.88","34,177,041.50","9,074,168.04","30,432,663.00","46,788,260.06","111,510,244.78","37,274,743.66","47,443,001.50","53,351,897.81","171,953,830.40"
经营活动现金流入小计,"280,116,402.48","288,442,184.07","389,121,177.01","105,240,320.79","214,482,537.06","340,788,213.15","495,430,059.70","171,717,240.28","313,192,142.40","589,086,307.41","1,038,772,729.70"
投资活动产生的现金流量净额,"-49,392,358.62","-38,430,101.82","-30,410,041.50","-9,074,168.04","-30,432,663.00","-45,615,960.06","-110,310,244.78","-35,496,743.66","-38,131,201.50","-44,040,097.81","-167,275,833.72"
购买商品、接受劳务支付的现金,"147,924,333.20","170,910,673.07","207,311,884.33","90,072,011.25","169,248,307.42","259,099,764.90","364,857,642.48","144,701,911.64","300,686,802.29","537,837,082.49","878,238,488.86"
吸收投资收到的现金,"10,000,000.00","17,600,000.00",,,,"135,750,000.00","146,230,000.00",,,,"3,500,000.00"
支付给职工以及为职工支付的现金,"41,321,352.77","49,523,886.07","60,558,060.72","15,417,642.97","30,591,817.11","46,508,683.34","63,819,837.82","17,807,942.32","37,682,008.15","59,679,527.41","94,880,577.97"
取得借款收到的现金,"152,415,277.62","173,310,000.00","208,909,683.75","63,420,000.00","142,348,000.00","175,337,000.00","245,093,000.00","30,700,000.00","131,654,000.00","161,134,000.00","418,642,880.65"
支付的各项税费,"28,148,464.79","24,553,160.39","31,844,296.07","8,960,224.60","21,174,304.94","32,752,093.64","38,330,484.05","6,163,582.05","14,532,321.67","23,415,853.85","31,788,886.54"
收到其他与筹资活动有关的现金,"7,740,000.00",,,,"17,950,000.00","28,430,000.00","18,172,300.00",,,,"17,601,028.00"
支付其他与经营活动有关的现金,"27,362,008.17","27,799,482.44","34,146,934.05","9,224,845.56","15,452,580.51","25,611,309.02","36,315,969.35","15,125,682.90","26,930,065.86","42,844,344.92","96,849,071.35"
筹资活动现金流入小计,"170,155,277.62","190,910,000.00","208,909,683.75","63,420,000.00","160,298,000.00","339,517,000.00","409,495,300.00","30,700,000.00","131,654,000.00","161,134,000.00","439,743,908.65"
经营活动现金流出小计,"244,756,158.93","272,787,201.97","333,861,175.17","123,674,724.38","236,467,009.98","363,971,850.90","503,323,933.70","183,799,118.91","379,831,197.97","663,776,808.67","1,101,757,024.72"
偿还债务支付的现金,"111,319,971.23","129,420,506.39","201,719,683.75","35,950,000.00","92,550,000.00","197,960,000.00","213,760,000.00",,"31,000,000.00","31,000,000.00","123,372,090.60"
经营活动产生的现金流量净额,"35,360,243.55","15,654,982.10","55,260,001.84","-18,434,403.59","-21,984,472.92","-23,183,637.75","-7,893,874.00","-12,081,878.63","-66,639,055.57","-74,690,501.26","-62,984,295.02"
分配股利、利润或偿还利息支付的现金,"9,082,316.23","16,464,366.67","16,635,731.22","2,115,409.39","4,288,720.42","6,008,980.80","6,914,901.98","1,287,246.92","16,510,317.00","18,170,167.24","21,664,475.61"
收回投资收到的现金,,"272,700.06",,,,,,,,,
支付其他与筹资活动有关的现金,"17,840,482.43","18,714,395.34","17,863,757.05","6,061,122.56","12,055,423.82","23,466,074.23","32,919,260.10","4,711,871.34","7,634,601.40","18,061,209.62","12,897,571.40"
取得投资收益收到的现金,,,,,,,,,"1,522,800.00","1,522,800.00","2,322,800.00"
筹资活动现金流出小计,"138,242,769.89","164,599,268.40","236,219,172.02","44,126,531.95","108,894,144.24","227,435,055.03","253,594,162.08","5,999,118.26","55,144,918.40","67,231,376.86","157,934,137.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,725,900.00","528,828.00","3,516,000.00",,,"950,000.00","1,200,000.00","1,778,000.00","1,789,000.00","1,789,000.00","2,355,196.68"
筹资活动产生的现金流量净额,"31,912,507.73","26,310,731.60","-27,309,488.27","19,293,468.05","51,403,855.76","112,081,944.97","155,901,137.92","24,700,881.74","76,509,081.60","93,902,623.14","281,809,771.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,554.45,"1,107.08",-123.78,461.48,"-2,364.14","2,331.08","1,135.03","-17,348.27","-54,944.21","-362,044.54"
收到其他与投资活动有关的现金,"1,764,400.00","368,600.00","251,000.00",,,"222,300.00",,,"6,000,000.00","6,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"3,490,300.00","1,170,128.06","3,767,000.00",,,"1,172,300.00","1,200,000.00","1,778,000.00","9,311,800.00","9,311,800.00","4,677,996.68"
五、现金及现金等价物净增加额,"17,880,392.66","3,536,166.33","-2,458,420.85","-8,215,227.36","-1,012,818.68","43,279,983.02","37,699,350.22","-22,876,605.52","-28,278,523.74","-24,882,920.14","51,187,597.76"
购建固定资产、无形资产和其他长期资产支付的现金,"52,882,658.62","39,600,229.88","34,177,041.50","9,074,168.04","30,432,663.00","46,788,260.06","71,670,244.78","37,274,743.66","47,443,001.50","53,351,897.81","63,791,495.49"
期初现金及现金等价物余额,"12,776,290.02","30,656,682.68","34,192,849.01","31,734,428.16","31,734,428.16","31,734,428.16","31,734,428.16","69,433,778.38","69,433,778.38","69,433,778.38","69,433,778.38"
投资支付的现金,,,,,,,"33,840,000.00",,,,"34,162,334.91"
期末现金及现金等价物余额,"30,656,682.68","34,192,849.01","31,734,428.16","23,519,200.80","30,721,609.48","75,014,411.18","69,433,778.38","46,557,172.86","41,155,254.64","44,550,858.24","120,621,376.14"
