科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"54,168,487.32","48,302,337.53","46,468,013.29","50,734,135.26","31,019,419.13","37,577,259.72","52,483,101.94","61,184,707.17","36,515,836.82","31,657,047.22","24,206,873.21","50,212,212.19","55,746,799.82","19,527,143.14","29,580,095.53","64,727,736.72","76,351,539.53","93,585,819.36","105,712,867.47","128,764,852.40","142,544,780.98","156,896,208.77","115,844,926.97","209,974,623.01","92,526,480.82","91,385,710.88","109,356,724.07","127,901,465.22","91,077,975.74","100,545,840.16","70,553,848.80","94,197,339.90","74,332,173.26","75,944,091.06","92,554,089.28","240,683,616.65","114,671,784.50","68,104,651.28","91,549,689.23","106,357,742.99","713,448,909.58","2,038,657,190.80","1,151,653,146.56","1,393,043,822.46","994,025,416.61","998,164,975.55"
短期借款,"110,000,000.00","80,000,000.00","100,000,000.00","65,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"705,030.00","935,720.00","2,018,860.00","2,039,530.00","1,275,860.00","1,086,460.00","870,650.00","700,860.00","851,870.00","1,138,910.00","1,057,520.00","1,182,760.00","1,082,030.00","903,090.00","932,020.00","973,620.00","971,640.00","951,080.00","792,788.00","820,928.00","851,681.00","850,024.00","60,799,136.00","879,464.00","120,843,761.00","120,767,947.00","120,770,850.00","773,804.00","732,748.00","743,318.00","771,759.00","1,215,530.00","1,221,279.00","1,354,264.00","1,014,734.00","1,144,714.00","1,015,077.00","1,030,203.00","1,045,543.00","1,113,117.00","1,161,733.00","1,440,682.00","1,553,058.00","1,708,041.00","1,643,758.00","1,455,654.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,244,920.00","3,180,050.00","3,180,050.00",,,
应收账款,"10,418,336.75","10,200,265.98","11,663,650.77","7,972,515.54","13,292,807.23","9,775,351.07","10,831,722.51","19,864,833.38","17,801,532.52","20,298,913.53","22,684,360.86","12,212,655.46","15,017,020.99","16,667,763.87","15,830,537.90","14,416,514.33","13,908,320.54","8,666,701.62","9,936,013.56","6,696,931.89","9,434,437.53","10,741,719.32","12,862,162.09","6,886,320.40","9,270,593.63","9,266,784.80","10,403,492.30","6,799,105.79","9,405,170.97","8,902,795.31","14,869,478.22","14,280,920.73","15,387,392.93","21,077,218.28","18,772,348.54","14,804,652.97","15,071,408.47","19,711,034.39","19,714,593.12","19,194,821.70","126,608,240.37","164,676,868.72","129,073,332.31","123,799,419.61","134,163,425.29","135,333,046.22"
应付账款,"12,938,552.64","10,495,493.23","12,078,894.18","17,768,965.06","13,040,162.72","9,277,912.90","14,425,373.81","16,629,538.92","12,907,185.34","13,310,306.60","15,024,828.28","19,459,789.40","18,652,634.18","17,123,871.19","17,510,812.72","15,356,005.02","19,262,158.55","14,253,650.65","25,386,622.59","23,177,953.77","24,182,520.81","21,518,115.51","28,393,822.72","25,923,627.63","26,392,215.48","21,392,717.19","28,009,951.24","21,204,346.65","15,226,403.22","17,618,020.10","21,970,832.15","18,494,646.55","19,078,157.34","15,966,191.75","24,755,629.32","19,813,611.88","18,786,019.30","14,440,807.02","21,719,049.22","22,664,505.46","466,822,232.95","423,107,092.95","553,900,592.69","455,555,251.04","465,436,201.17","459,614,556.89"
预付款项,"1,534,318.16","1,516,490.00","1,962,930.00","236,893.20","1,567,175.99","1,466,187.50","701,824.05","187,290.00","760,733.40","237,352.50","213,020.00","125,632.81","319,597.19","26,867.21","318,049.65","59,233.77","530,720.00","561,681.60","1,019,581.80","593,606.68","75,194.00","3,478.60","2,561,034.77","481,162.50","3,812,893.60","523,058.60","724,002.65","269,834.04","330,373.45","1,341,831.17","309,567.68","534,000.25","1,075,614.57","517,619.03","4,015,952.09","238,542.26","1,372,528.89","1,952,825.80","1,304,298.39","1,655,459.00","236,678,293.65","218,828,713.90","259,948,267.76","160,568,167.92","181,574,610.14","240,461,838.07"
预收款项,"18,598,340.86","6,109,807.02","19,374,462.54","7,699,889.49","13,962,197.84","5,317,219.14","6,093,893.72","9,138,123.10","6,114,170.38","6,212,144.63","7,442,049.39","9,923,703.41","8,448,417.92","6,094,636.46","7,344,454.97","14,784,535.47","11,036,056.96","9,443,280.36","11,087,724.84","18,637,176.17","15,051,737.10","14,079,944.99","19,252,533.34","24,827,600.42","20,159,052.45","16,868,129.66","20,492,898.87","20,949,239.59","16,040,480.15","14,045,321.11","14,075,791.89","16,031,668.09","12,077,151.79","12,258,239.35","13,860,484.60","12,467,300.14","9,779,516.78","10,820,795.03","14,417,278.81","12,728,575.86","476,300,759.46","706,274,678.27","637,084,937.54","575,158,105.41","506,137,340.90","677,726,849.75"
