科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"66,247,141.91","116,128,593.33","171,994,618.15","233,437,151.04","92,421,534.29","177,828,899.48","255,600,939.08","364,786,541.98","97,748,170.25","195,569,026.78","290,599,078.25","429,536,045.57","141,216,107.83","246,262,901.62","357,917,893.56","568,815,414.20","136,500,153.41","290,222,031.29","442,170,480.63","707,379,820.46","196,395,633.76","394,621,442.11","604,811,504.06","862,409,413.18","260,708,251.97","512,345,731.43","762,749,401.99","1,039,483,587.89","343,422,640.69","617,093,043.37","904,015,588.20","1,257,978,798.28","397,357,188.36","725,226,416.86","1,041,021,979.15","1,423,916,649.47","513,680,009.61","903,319,493.87","1,327,255,744.10","1,755,130,420.33","598,352,123.78","1,078,843,675.39","1,541,926,673.25","2,090,654,012.60","678,493,286.84","1,265,703,377.00"
取得借款收到的现金,"101,005,000.00","197,167,250.00","386,506,450.00","521,399,550.00","99,596,400.00","117,282,334.07","274,909,594.07","257,223,660.00","221,557,251.32","359,163,251.32","564,118,451.32","611,119,679.03","68,263,000.00","204,822,000.00","204,822,000.00","287,085,200.00","3,000,000.00","390,391,000.00","733,876,800.00","911,971,843.00","150,240,341.03","391,074,673.59","984,716,837.46","1,727,131,437.46","250,756,000.00","629,548,200.00","806,977,200.00","1,429,791,680.00","242,107,301.19","239,153,296.70","251,153,296.70","265,272,296.70","279,557,600.00","530,218,800.00","1,047,713,152.20","1,405,377,118.44","426,789,816.00","1,993,179,111.09","2,298,612,190.81","3,754,576,118.62","1,646,640,650.46","2,661,774,007.27","3,530,958,271.08","4,332,391,896.54","2,247,075,132.46","5,124,238,049.96"
支付的各项税费,"48,420,023.05","83,344,084.53","123,656,470.19","158,926,572.77","80,203,488.26","117,727,008.02","165,488,817.30","204,613,197.50","64,509,983.34","116,514,911.03","190,615,931.54","248,261,009.50","123,990,567.06","212,807,240.39","262,918,765.72","323,861,076.62","54,391,796.36","149,680,927.67","233,607,997.34","298,709,178.79","111,456,481.10","198,976,164.08","266,743,550.72","359,328,443.04","94,666,093.10","227,667,857.16","337,490,861.99","432,263,054.11","92,566,656.00","215,151,194.36","292,929,390.86","463,934,175.26","88,631,901.99","267,570,648.02","444,306,989.86","603,796,315.99","137,972,463.56","311,101,556.10","509,820,327.95","533,977,322.14","301,055,349.97","378,769,466.02","683,484,711.51","739,716,472.47","193,673,643.29","416,869,972.69"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"210,730,064.36",,"8,000,000.00","8,000,000.00","8,000,000.00",,,,"6,119,000.00",,,,"269,195,455.86","66,000,000.00","66,000,000.00","666,000,000.00","666,000,000.00","550,000,000.00","550,000,000.00","550,000,000.00","550,000,000.00","74,485,073.79","74,485,073.79"
支付其他与经营活动有关的现金,"101,537,437.23","153,674,675.61","266,503,926.19","390,405,003.99","92,586,448.81","169,182,381.92","320,982,987.90","361,743,687.11","78,576,994.52","176,573,784.00","263,068,774.43","368,271,864.28","110,416,443.64","231,070,982.86","382,866,089.67","497,609,116.59","132,797,325.86","296,879,348.93","493,823,353.26","619,123,108.29","188,211,881.61","375,504,056.08","698,829,418.28","951,728,701.70","257,919,456.50","393,570,390.47","653,399,198.46","877,753,079.13","267,333,969.01","476,629,608.95","890,239,806.70","1,189,215,844.86","319,811,733.19","490,868,874.69","1,088,090,844.72","1,412,905,837.00","568,263,150.71","662,606,541.88","1,222,045,648.85","1,878,690,966.14","411,795,507.36","814,681,430.47","1,438,708,574.11","1,505,776,413.93","559,644,186.44","1,182,783,168.52"
筹资活动现金流入小计,"101,005,000.00","197,167,250.00","386,506,450.00","521,399,550.00","99,596,400.00","117,282,334.07","274,909,594.07","257,223,660.00","221,557,251.32","359,163,251.32","1,107,651,397.32","1,150,642,625.03","68,263,000.00","204,822,000.00","204,822,000.00","287,085,200.00","3,000,000.00","399,751,742.50","743,237,542.50","935,432,585.50","150,240,341.03","1,494,282,969.59","2,090,172,777.82","3,073,270,057.82","250,756,000.00","648,351,149.52","825,780,149.52","1,448,594,629.52","242,107,301.19","247,220,037.20","270,468,109.70","515,374,859.70","279,576,011.00","728,787,206.00","1,246,281,558.20","2,066,391,570.50","495,016,271.00","2,103,130,736.09","3,008,962,483.26","4,464,473,892.64","2,264,971,650.46","3,280,105,007.27","5,923,965,702.37","6,726,364,397.96","2,321,560,206.25","5,198,723,123.75"
经营活动现金流出小计,"727,156,492.92","1,316,214,282.79","2,045,834,435.06","3,022,710,673.78","834,168,282.53","1,648,064,508.34","2,659,232,999.77","3,586,812,039.23","1,179,173,109.64","2,559,034,810.10","4,048,064,405.99","5,077,956,736.11","1,556,312,210.27","3,054,098,454.49","4,541,690,952.37","6,100,379,806.38","1,770,773,806.37","3,420,189,030.50","5,535,185,164.82","7,462,914,996.68","2,551,892,479.28","4,855,534,008.74","7,012,780,534.06","8,234,647,164.60","2,638,937,469.48","5,074,754,945.09","7,146,088,950.63","9,453,945,258.12","2,952,130,410.50","5,767,215,765.22","8,977,549,318.89","10,590,024,408.43","3,757,667,624.89","7,054,451,078.00","11,371,927,195.24","14,464,006,360.27","4,988,232,850.09","9,913,177,307.87","14,964,344,795.99","21,273,349,410.77","6,160,008,901.93","11,770,668,505.70","18,860,631,509.26","25,140,387,593.40","6,893,580,985.51","12,962,326,721.47"
偿还债务支付的现金,"85,263,483.38","184,840,983.38","320,950,600.00","424,879,200.00","71,122,817.07","142,778,117.07","244,385,417.07","438,076,884.07","225,584,700.00","231,584,700.00","302,896,700.00","302,896,700.00","148,235,251.32","287,613,751.32","339,521,451.32","339,521,451.32","65,714,000.00","195,485,858.06","353,606,132.78","453,284,532.78","102,456,285.64","295,438,043.00","823,783,290.01","1,481,408,043.00","50,000,000.00","456,044,000.00","555,165,900.00","1,115,221,286.92","143,042,000.00","348,938,115.33","355,185,700.06","390,673,840.67","110,649,700.00","960,841,380.00","1,444,912,669.76","1,455,345,573.87","415,126,479.97","1,277,333,099.30","1,718,834,950.87","3,405,568,342.59","579,577,305.25","676,507,823.28","1,472,010,237.07","3,339,730,037.45","1,068,951,500.00","2,554,458,193.61"
经营活动产生的现金流量净额,"-230,559,340.05","-164,807,924.04","-254,968,503.39","248,267,835.87","-342,243,522.11","-289,836,847.99","-284,611,202.51","238,873,470.55","-401,869,257.57","-498,240,853.42","-520,833,566.83","268,658,780.13","-578,700,490.73","-781,047,450.52","-577,649,116.84","200,430,215.95","-863,505,228.18","-565,622,287.18","-1,058,179,009.12","288,233,141.65","-999,982,616.03","-1,284,803,411.69","-1,090,732,899.44","343,275,629.91","-1,165,921,538.23","-1,562,249,626.91","-1,046,126,882.53","554,484,734.95","-699,472,955.12","-775,804,249.03","-821,607,660.39","821,065,298.69","-851,267,204.64","-551,534,047.09","-530,302,021.19","815,040,990.32","-1,959,817,674.16","-1,793,842,550.76","-1,765,927,583.64","347,839,557.11","-2,151,551,952.36","-2,496,892,326.97","-2,326,539,385.40","335,999,788.84","-2,905,084,485.42","-3,476,992,440.85"
分配股利、利润或偿还利息支付的现金,"6,008,763.57","12,714,329.98","68,576,107.59","79,196,290.35","6,510,019.87","12,617,712.98","69,476,735.11","77,472,583.14","1,783,007.86","8,919,662.74","70,586,703.63","80,177,026.61","7,842,934.81","12,352,881.84","78,016,414.30","108,331,179.63","12,127,132.65","18,606,362.33","124,471,724.50","138,000,321.39","11,419,827.67","122,981,038.26","134,816,151.78","176,989,104.96","16,828,479.20","175,694,739.02","182,525,131.36","201,925,698.20","25,426,084.36","201,369,773.69","222,100,132.92","258,292,438.21","3,430,565.77","132,658,494.82","243,876,611.81","310,769,942.50","1,857,954.71","23,477,694.70","392,961,713.78","464,436,734.85","24,146,845.82","52,821,914.92","439,641,523.16","479,002,371.88","19,468,352.34","71,603,187.41"
