科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
货币资金,"119,833,902.63","155,880,332.54","170,746,793.20","201,559,974.01","201,286,534.17","169,813,801.46","230,419,955.80","162,475,608.03","155,858,885.85","205,383,401.58","237,299,706.02","325,447,019.67","375,291,667.87","440,270,285.00","323,460,842.04","340,854,381.39","221,433,012.61","254,333,048.78","277,821,043.76","268,133,198.76","291,082,148.73","421,937,011.61","490,238,214.11","395,733,911.73"
短期借款,"1,306,880,000.00","1,298,880,000.00","1,259,080,000.00","1,305,080,000.00","1,324,080,000.00","1,293,320,000.00","1,389,120,000.00","1,313,100,000.00","1,281,000,000.00","1,281,000,000.00","1,236,000,000.00","1,217,000,000.00","1,170,000,000.00","1,135,000,000.00","1,018,000,000.00","1,023,000,000.00","920,000,000.00","856,000,000.00","840,800,000.00","805,800,000.00","797,600,000.00","782,100,000.00","689,800,000.00","598,750,000.00"
交易性金融资产,"1,183,630.00",,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"141,022,741.39","127,287,038.58","107,162,481.00","229,369,841.82","362,924,293.56","288,290,293.44","183,452,755.51","222,837,899.40","282,702,425.15","340,682,712.23","329,487,482.68","398,719,568.73","405,215,828.42","358,739,946.53","356,283,373.94","199,373,776.89","425,468,613.73","346,106,403.66","285,204,538.10","323,063,531.79","648,348,740.36","531,301,630.90","424,511,178.53","367,384,321.14"
应付票据,"50,937,072.01","38,169,180.44","35,144,350.98","48,360,974.49","33,146,385.85","33,937,542.25","43,670,974.90","44,210,750.33","21,929,546.60","19,740,706.38","24,353,565.52","28,522,100.54","41,333,709.30","58,941,419.65","84,058,340.52","61,060,008.21","43,678,591.02","57,908,214.00","75,136,425.18","55,221,270.89","29,661,006.94","407,450.43","23,277,636.36","44,033,425.30"
应收账款,"321,003,574.73","313,156,750.92","282,071,922.05","244,094,522.53","329,765,670.92","384,832,868.94","334,151,871.26","274,726,790.78","295,306,945.89","258,522,551.95","250,690,705.10","201,422,611.23","266,097,754.01","241,953,571.43","283,791,500.28","206,308,460.49","219,341,740.10","235,334,520.04","265,787,514.25","237,609,895.43","221,510,868.98","257,373,028.09","226,460,901.34","207,757,501.36"
应付账款,"336,322,635.21","318,973,052.71","266,019,674.80","252,702,559.36","300,819,679.02","337,303,210.83","291,699,425.83","231,218,026.81","269,624,715.44","263,389,624.95","273,603,765.71","268,147,977.24","341,475,502.93","319,383,478.48","280,666,344.27","256,402,790.05","329,820,727.16","312,443,285.96","293,293,320.09","300,789,114.85","369,430,136.32","409,299,328.81","403,222,895.69","373,796,560.05"
预付款项,"27,227,888.75","40,083,728.13","30,877,524.05","23,215,763.22","18,866,132.01","17,919,972.13","15,919,630.29","13,010,135.65","21,016,408.34","10,217,855.69","23,646,104.74","14,618,639.65","11,486,959.79","14,146,501.07","15,570,714.59","18,958,549.72","30,238,653.46","17,744,821.81","14,597,262.11","39,358,195.35","45,545,828.92","51,780,583.85","89,106,487.56","67,560,274.22"
预收款项,"27,815,526.21","42,388,278.22","28,616,113.08","53,995,323.55","60,040,227.02","49,512,524.15","35,589,394.82","91,174,285.84","56,869,300.85","54,304,966.19","80,890,990.52","166,800,483.81","103,827,958.47","107,918,807.12","165,704,321.13","226,368,408.88","185,034,905.77","135,778,368.32","95,136,454.89","214,090,762.48","216,291,123.58","192,550,186.39","232,940,316.95","305,059,423.43"
其他应收款,"142,183,139.21","137,724,911.62","128,920,931.94","88,228,881.98","92,159,054.71","97,883,699.95","125,443,719.68","133,026,743.32","128,821,632.09","105,953,295.92","93,748,144.72","58,651,987.73","32,831,374.14","53,436,339.03","59,322,358.09","25,916,279.04","29,768,098.33","36,113,644.43","41,806,143.15","22,884,357.09","23,571,735.64","35,593,177.13","34,916,654.46","39,316,890.47"
应付职工薪酬,"25,067,133.13","27,311,474.90","25,224,133.10","26,978,139.73","21,092,824.92","22,264,089.72","15,176,733.90","10,079,550.39","12,950,681.65","18,752,952.76","30,804,259.85","31,315,111.31","24,260,483.84","50,179,917.65","51,049,359.38","44,974,049.15","45,333,485.28","62,912,711.49","62,757,640.59","44,572,060.35","50,124,109.21","69,268,976.55","77,903,082.40","60,726,642.70"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"23,143,758.11","21,150,610.57","45,866,621.39","40,687,219.95","42,257,695.67","24,266,185.33","17,352,551.32","13,660,582.43","31,707,258.22","19,455,028.09","16,451,156.58","30,251,447.56","38,316,526.87","34,949,398.24","36,012,872.36","15,841,393.49","48,245,889.24","46,123,048.07","39,600,014.54","31,729,379.83","67,057,255.65","82,819,678.46","44,852,881.58","44,672,300.05"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"1,474,050.56","3,436,141.10","1,325,874.95","1,438,218.56","1,893,884.42","3,004,107.51","4,252,192.52","1,756,073.55","1,313,837.78","1,338,935.51","1,663,959.28","1,224,132.22","2,181,135.61","1,127,783.67","1,156,137.26","1,080,724.55","999,750.79","1,477,592.67","1,593,360.88","1,452,413.14","1,624,687.33","1,306,448.14","1,319,865.00","1,069,051.16"
应收股利,,,,"105,082.50",,,,"5,215,059.00","215,059.00","219,953.00","4,894.00",,,,"5,628.10",,,,"20,000,000.00","20,000,000.00",,"20,000,000.00",,
应付股利,,,,"10,134,094.97",,,,"7,025,875.70","7,025,875.70","5,158,944.50","4,692,163.70","9,835,897.27","9,835,897.27","20,665,006.55","12,235,589.65","12,125,804.92","13,729,201.98","31,529,296.38","8,076,642.17","17,161,943.05","17,161,943.05","21,828,316.07","21,828,316.06","25,304,925.61"
存货,"421,849,895.11","416,986,628.53","427,223,565.17","530,266,583.61","478,975,047.29","553,748,608.77","457,973,258.97","476,103,738.21","408,762,879.75","395,662,238.61","416,032,657.06","462,912,872.73","491,559,689.17","583,881,725.92","578,374,768.36","736,957,094.38","666,479,082.54","673,064,003.52","660,470,330.60","701,066,661.92","593,924,717.80","643,802,033.09","711,007,692.25","793,971,980.67"
其他应付款,"85,489,191.19","83,555,808.49","89,136,687.55","105,207,465.35","132,532,074.46","129,936,513.28","65,823,900.72","68,464,504.38","56,983,750.15","63,958,021.48","53,522,449.45","61,710,794.64","59,667,372.07","109,175,156.19","125,477,501.55","77,578,969.37","95,237,651.90","95,949,781.05","99,727,917.64","83,988,856.04","85,666,597.28","80,634,850.73","103,245,812.23","92,712,637.06"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"23,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00",,,,,,,,,,,,,,,,,,,
其他流动资产,,"29,544,434.82","19,500,551.48","2,406,021.57","518,896.97","2,370,912.65","24,493,306.46","569,298.65","1,869,496.70","2,286,314.04","735,871.99","895,373.49","496,862.11","1,311,124.41","1,574,405.90","710,642.86","976,695.59","1,114,197.82","1,111,093.85","752,255.64","471,814.58","479,622.79","743,118.42","983,998.30"
其他流动负债,"7,931,957.00","33,395,908.79","25,071,219.60","12,641,713.00","44,771,164.47","46,939,197.69","21,842,226.13","7,933,559.87","26,780,235.36","29,494,836.27","34,653,937.16","19,795,854.56","64,907,843.08","100,317,023.46","64,694,535.95","19,973,981.08","30,430,339.62","42,885,894.10","36,821,249.40","16,802,811.23","41,105,165.62","92,066,704.41","61,466,917.79","22,807,807.91"
流动资产合计,"1,174,304,771.82","1,220,663,825.14","1,166,503,768.89","1,319,246,671.24","1,484,495,629.63","1,514,860,157.34","1,371,854,497.97","1,287,965,273.04","1,294,553,732.77","1,318,928,323.02","1,351,645,566.31","1,462,668,073.23","1,582,980,135.51","1,693,739,493.39","1,618,383,591.30","1,529,079,184.77","1,593,705,896.36","1,563,810,640.06","1,566,797,925.82","1,612,868,095.98","1,824,455,855.01","1,962,267,087.46","1,976,984,246.67","1,872,708,877.89"
流动负债合计,"1,865,061,323.42","1,890,260,455.22","1,798,484,675.45","1,880,225,708.96","1,983,633,935.83","1,940,483,370.76","1,884,527,400.14","1,788,623,209.30","1,766,185,201.75","1,756,594,016.13","1,756,636,247.77","1,834,603,799.15","1,855,806,429.44","1,937,657,991.01","1,839,055,002.07","1,738,406,129.70","1,712,510,542.76","1,643,008,192.04","1,552,943,025.38","1,571,608,611.86","1,675,722,024.98","1,732,281,939.99","1,659,857,724.06","1,568,932,773.27"
可供出售金融资产,,,,"764,442.80","764,442.80","366,071.80","366,071.80","231,975.60","231,975.60","440,949.40","440,949.40","457,589.00","405,223.20","338,248.81","326,429.80","308,419.88","320,238.89","311,796.74","277,352.32","277,988.54","291,591.39","281,066.86","263,732.34","305,830.46"
长期借款,"23,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,862,564.97","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,369,019.06","19,441,619.00","19,990,064.06"
长期股权投资,"198,830,624.13","178,357,285.61","262,352,517.10","63,284,885.11","63,207,349.76","20,001,842.03","184,525,512.27","198,614,913.51","208,808,298.45","213,483,233.63","219,185,279.37","222,911,194.62","230,947,244.71","244,474,090.29","254,384,731.10","256,072,915.69","271,263,368.98","284,974,847.98","253,031,327.09","269,930,056.63","285,388,633.87","285,005,960.93","295,346,091.13","306,389,015.16"
专项应付款,"16,284,801.26",,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"249,827,232.00","249,827,232.00","293,040,062.00","297,751,645.00","322,775,041.00","322,775,041.00","322,775,041.00","331,221,375.01","331,071,444.49","331,071,444.49","331,071,444.49","335,604,640.00","330,626,166.00","331,204,310.00","333,573,090.00","344,454,670.00","344,454,670.00","344,454,670.00","344,454,670.00","343,754,730.00","330,463,710.00","279,804,070.00","279,804,070.00","268,038,490.00"
预计负债,"23,099,885.26","16,786,234.71","16,786,234.71","80,812,457.32","40,853,374.38","40,171,582.91","30,834,867.24","22,555,695.87","17,286,054.41","22,133,131.19","29,853,131.19","34,593,617.21","39,593,617.21","43,099,889.15","43,099,889.15","37,061,886.03","47,540,324.74","49,104,073.07","46,673,723.07","43,985,577.30","57,447,171.17","72,086,418.21","71,849,003.06","67,300,129.08"
固定资产,"874,326,736.13","836,651,349.51","762,960,108.75","847,224,616.23","849,349,686.24","834,334,606.93","722,955,559.27","728,364,129.63","713,525,594.53","713,427,575.78","703,161,641.97","677,223,479.54","662,608,530.97","657,653,459.39","649,367,914.95","647,028,595.16","639,249,310.82","641,458,858.33","630,361,878.37","646,431,613.65","650,473,308.91","650,363,503.26","641,383,067.61","658,888,352.66"
递延所得税负债,"115,379,055.56","107,731,946.80","114,630,681.56","86,114,751.47","86,114,751.47","86,114,751.47","86,114,751.47","101,329,910.33","101,329,910.33","101,329,910.33","101,329,910.33","62,634,194.66","73,499,366.41","61,981,845.56","61,981,845.56","63,890,162.46","63,890,162.46","63,890,162.46","63,890,162.46","64,040,228.67","64,040,228.67","64,686,641.81","64,043,000.32","64,721,243.59"
在建工程,"34,226,769.16","41,389,630.09","46,354,358.78","77,633,030.13","49,528,554.95","50,677,554.56","41,547,283.98","21,851,776.38","27,654,641.94","18,459,271.20","15,664,879.84","11,342,624.21","15,055,956.48","17,042,360.86","32,958,817.04","44,909,342.04","52,742,867.37","56,388,374.25","60,459,714.25","40,952,272.66","45,772,726.17","62,187,510.03","76,284,646.17","112,180,376.63"
其他非流动负债,,"16,381,182.99","16,145,086.91","66,322,905.16","67,503,147.32","67,445,593.14","21,296,490.88","25,926,240.73","26,113,227.22","27,278,020.45","27,757,574.12","25,688,345.74","27,661,246.04","27,355,164.75","27,552,817.35","31,659,161.56","34,741,284.04","34,553,674.06","36,955,396.49","40,773,003.88","41,672,191.02","40,050,446.35","58,563,928.23","45,672,753.28"
工程物资,,,,,,,,,,,"15,449.56",,,,"78,926.63",,"97,136.64",,"18,243.96",,,,,
