科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"225,677,401.31","414,471,150.38","193,877,274.74","1,161,409,948.37","260,741,550.51","233,683,088.27","194,260,881.65","301,419,853.77"
短期借款,,,,,,,,
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,,,,,,,,
应付票据,,,,,,,,"25,697,456.66"
应收账款,"1,438,177.15","3,200,966.84","6,936,765.05","7,100,637.38","5,689,580.03","12,716,207.88","27,016,375.00","9,179,870.62"
应付账款,"19,383,054.12","32,411,097.48","42,073,953.78","70,890,676.95","140,552,498.36","39,827,834.99","161,505,078.79","36,262,236.10"
预付款项,"76,118,847.86","117,473,864.22","159,870,131.38","257,747,428.07","261,398,694.63","267,930,767.96","152,811,964.91","175,918,328.76"
预收款项,"222,788,012.66","232,056,209.50","330,160,612.64","274,208,383.47","234,763,516.04","337,125,736.87","376,432,965.09","125,887,967.52"
其他应收款,"69,759,860.85","29,588,798.59","36,547,947.18","69,760,001.00","51,225,472.01","38,116,192.78","16,148,586.16","28,772,724.52"
应付职工薪酬,"8,042,072.36","10,239,315.65","11,448,880.36","3,071,895.47","5,771,506.85","2,768,589.71","11,986,952.11","2,532,342.57"
应收关联公司款,,,,,,,,
应交税费,"44,674,301.41","47,097,272.15","11,665,808.64","-325,554.88","18,302,412.31","19,220,145.41","23,902,257.71","35,380,643.75"
应收利息,,,,,"3,404,931.51","6,448,958.90","4,264,536.98","3,382,457.52"
应付利息,,"257,112.85",,,,,,
应收股利,,,,,,,,
应付股利,,,,,,,,
存货,"137,824,514.00","105,271,086.93","234,061,363.84","223,864,455.29","521,151,677.63","421,982,669.41","589,526,274.23","401,053,418.59"
其他应付款,"31,249,318.77","37,563,903.32","49,022,411.28","48,209,830.25","28,470,091.04","28,867,196.51","60,856,671.04","77,101,291.55"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
一年内到期的非流动负债,"968,629.97","1,735,766.67","1,745,533.03","1,745,533.03","4,930,532.85","4,865,733.23","4,988,866.53","4,988,866.53"
其他流动资产,"6,607,824.19",,"19,785,228.26",,"584,250,289.09","755,992,383.52","933,675,724.98","726,220,932.89"
其他流动负债,"18,776,900.00","2,793,960.00","847,300.00","33,717,460.00","14,629,880.00",,"4,500.00","1,498,300.00"
流动资产合计,"517,426,625.36","671,454,266.96","651,078,710.45","1,726,568,970.11","1,688,709,305.41","1,746,629,808.72","1,917,756,593.91","1,645,947,586.67"
流动负债合计,"347,974,089.29","364,168,737.62","446,964,499.73","431,518,224.29","448,967,777.45","432,675,236.72","639,677,291.27","311,658,344.68"
可供出售金融资产,,,,,,,,
长期借款,,,,,,,,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,,,,,,,,
长期股权投资,,,,,,,,
专项应付款,,,,,,,,
投资性房地产,,,,,,,,
预计负债,,,,,,,,
固定资产,"118,089,366.90","117,026,186.81","115,160,594.88","301,617,912.15","560,547,066.65","568,764,097.32","611,034,606.55","602,919,659.34"
递延所得税负债,,"427,079.00","1,151,155.83","2,210,880.83","176,216.73","2,616,101.73","1,428,814.11","1,415,751.61"
在建工程,"624,819.66","12,518,205.67","326,120,534.20","170,749,804.96","29,769,181.42","26,777,192.00","4,320,775.09","9,822,157.87"
其他非流动负债,,,,,,,,
工程物资,,,,,,,,
非流动负债合计,"9,551,752.57","87,982,956.65","90,203,824.43","90,795,151.78","87,144,331.71","88,216,502.50","85,395,032.29","84,243,560.59"
固定资产清理,"5,982.51",,,,,,,
负债合计,"357,525,841.86","452,151,694.27","537,168,324.16","522,313,376.07","536,112,109.16","520,891,739.22","725,072,323.56","395,901,905.27"
生产性生物资产,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","170,000,000.00","170,000,000.00"
油气资产,,,,,,,,
资本公积,"121,044,539.91","121,044,539.91","121,044,539.91","1,213,350,973.84","1,216,280,785.16","1,216,280,785.16","1,146,280,785.16","1,146,280,785.16"
无形资产,"21,973,077.45","101,642,604.35","99,373,552.28","98,811,355.13","98,252,683.60","97,701,063.37","100,624,024.79","99,984,810.09"
盈余公积,"10,659,548.22","23,011,826.11","35,997,917.73","35,997,917.73","37,177,451.12","37,177,451.12","38,279,589.75","38,279,589.75"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"121,074,638.18","261,670,668.38","417,418,194.59","468,662,461.16","510,789,454.44","568,102,995.54","565,489,522.93","619,250,527.37"
长期待摊费用,,,,,,,,
少数股东权益,,,,,,,,
递延所得税资产,"8,407,796.29","7,405,452.96","9,066,036.98","8,859,226.45","5,198,774.54","1,429,100.93","10,882,921.06","9,540,293.58"
外币报表折算价差,,,,,,,,
其他非流动资产,,"20,038,051.92","526,267.60",,"3,252,908.26","1,151,708.70","498,800.00",
非正常经营项目收益调整,,,,,,,,
