科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"52,845,017.66","26,499,168.17","34,612,540.49","17,660,140.43","825,174,216.76","671,442,460.66","663,755,631.25","620,366,039.66","625,375,748.64","628,502,836.22","639,705,771.35","600,675,634.20","613,290,937.43","561,333,628.05","593,684,828.33","558,190,560.25","556,801,048.35","558,465,751.28","601,294,992.82","586,491,637.55","647,314,934.11","599,284,331.53","605,651,063.39","647,794,331.93","606,101,484.96","506,042,304.55","515,789,681.48","444,316,165.48","451,263,797.25","418,310,359.53","436,380,358.92","405,898,005.53","472,212,599.26","29,434,252.45","72,221,589.72","7,979,387.61","14,219,559.65","12,490,425.79","439,939,004.33","436,356,584.73"
短期借款,"32,311,507.00","26,480,000.00","32,500,000.00","40,500,000.00","44,500,000.00",,,,,,,,,"5,000,000.00",,,"5,000,000.00","7,000,000.00","25,000,000.00","15,000,000.00","80,900,000.00","67,000,000.00","47,000,000.00","95,000,000.00","67,000,000.00",,,,"8,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"449,480,000.00",,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,689,400.00",,"4,272,481.00","856,481.00","897,500.00","2,359,261.60","2,937,900.00","4,790,000.00","1,030,000.00",,"9,215,394.80","10,190,581.00","2,121,533.27","10,633,305.00","3,196,400.00","2,749,546.49","3,417,986.49","3,644,000.00","7,475,450.92","8,942,920.91","4,809,962.00","2,815,000.00","2,163,069.80","950,000.00","5,491,880.00","1,698,000.00","8,359,789.00","2,160,000.00","500,000.00","8,850,000.00","6,839,750.00","1,000,000.00","324,720.00","453,073.95","145,000.00","327,500.00","2,195,000.00","877,800.00","3,117,500.00","435,000.00"
应付票据,"3,374,775.00",,,,,,,,,,,,,,"7,238,700.00","2,335,660.00","10,375,000.00","11,987,000.00","9,445,000.00","8,450,000.00",,"1,354,200.00",,,,,,,,,,,,,,,,,,
应收账款,"68,948,592.19","66,183,106.04","88,495,139.69","104,302,476.75","133,592,836.35","134,938,829.36","143,685,115.61","133,387,963.68","152,896,550.47","148,580,913.66","140,328,226.94","139,972,833.47","175,328,918.77","167,384,863.16","154,081,077.89","163,749,352.46","183,402,941.46","165,636,357.54","149,080,400.12","159,019,286.89","170,920,788.17","145,140,945.71","140,363,906.31","134,876,034.95","145,895,481.38","143,673,819.61","145,809,669.17","153,522,887.02","174,272,964.43","166,958,528.82","133,974,098.10","125,014,002.82","128,323,062.96","127,569,842.34","111,869,337.87","116,904,842.35","114,273,109.61","103,329,923.44","94,810,743.42","94,661,219.70"
应付账款,"18,437,231.40","11,862,299.22","19,173,120.05","13,461,741.02","15,646,234.56","23,109,576.92","26,406,407.21","31,409,059.75","27,829,481.80","27,759,697.23","29,683,715.37","29,871,124.77","36,813,568.69","47,809,849.50","42,061,973.16","38,845,994.90","38,083,690.06","42,352,515.55","24,897,032.41","25,837,967.72","27,127,636.60","28,741,513.59","17,928,466.34","23,138,097.58","18,897,098.18","18,829,529.95","21,190,667.01","16,507,492.46","35,719,364.68","41,516,682.69","37,381,417.00","11,262,599.70","37,125,986.53","30,408,045.02","33,590,537.76","24,982,975.52","30,723,383.14",,"30,264,344.16",
预付款项,"12,253,409.04","9,061,018.44","11,701,308.24","15,624,952.03","11,816,252.08","63,600,455.91","61,383,640.37","73,809,478.79","73,224,486.06","76,812,347.12","17,048,800.61","27,470,016.46","27,085,246.22","29,494,310.54","27,340,888.79","26,376,129.67","24,601,059.47","29,948,165.15","23,237,852.44","13,762,296.59","24,318,407.45","15,080,012.03","7,099,988.87","15,451,813.63","8,094,075.72","33,207,111.57","13,409,182.28","5,740,960.20","14,074,941.18","10,800,335.57","3,726,053.60","369,317.92","11,190,087.14","10,505,488.08","8,125,279.76","1,594,494.23","8,316,241.02","499,976.89","4,182,639.94","1,347,639.36"
预收款项,"40,084,958.66","32,242,376.18","10,768,742.10","15,941,750.54","8,489,564.19","16,642,870.83","9,715,733.17","13,706,547.78","18,293,237.85","20,184,547.17","22,814,087.31","30,513,145.27","42,770,084.54","39,108,215.82","26,403,377.08","28,156,490.85","32,479,492.55","22,881,165.14","37,389,205.54","31,785,306.94","16,382,837.40","13,392,975.98","13,265,077.07","16,677,995.26","20,494,965.15","19,496,069.65","12,135,926.89","1,977,712.16","11,249,402.78","18,434,629.54","18,962,298.27","26,472,436.78","21,404,406.15","31,616,075.41","57,736,152.55","23,198,609.00","33,152,359.69","29,740,106.86","24,522,624.89","36,288,812.80"
