科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"8,368,766,200.36","8,884,560,407.39","12,767,014,099.35","8,422,266,167.24","23,134,132,619.51","5,237,208,551.04","13,077,653,592.12","19,093,953,934.68","28,744,793,854.20","5,354,029,823.34","14,745,959,135.81","23,920,251,517.05","34,054,096,003.32","7,725,190,849.08","20,386,622,839.47","30,005,917,900.50","44,789,759,261.89","9,305,745,953.20","20,637,809,082.36","28,797,093,443.09","41,241,473,853.97","7,760,976,662.72","18,056,290,640.79","25,902,684,559.82","40,925,340,861.40","7,431,071,782.70","23,446,783,708.59","32,675,183,699.27","47,738,772,726.96","11,338,722,980.02","29,465,846,282.85","46,126,341,988.14","63,678,330,931.54"
二、营业利润,"707,427,824.08","1,451,118,507.91","2,224,153,816.26","1,188,841,320.16","2,949,788,174.20","464,294,946.72","2,021,251,108.60","2,714,286,813.39","3,581,567,399.96","176,074,305.90","1,847,455,229.35","2,183,166,858.22","3,093,568,974.84","-41,732,434.33","1,426,991,576.24","1,877,320,554.71","3,264,697,602.49","415,164,718.87","1,790,280,026.79","2,156,139,170.45","2,951,045,347.28","263,519,174.96","1,311,156,603.33","1,360,181,753.52","2,501,993,038.05","291,718,501.47","2,179,419,420.84","2,761,977,678.78","3,179,504,637.18","139,235,702.87","2,329,453,038.64","3,768,189,906.45","3,973,506,636.50"
减:营业成本,"6,342,111,733.49","6,508,745,413.49","9,123,723,500.72","6,151,676,893.12","17,096,180,798.37","3,693,877,755.72","9,209,023,403.16","13,788,643,393.45","20,791,321,334.03","4,039,623,339.51","10,397,377,679.85","17,578,780,829.30","25,724,691,425.24","6,314,770,276.71","16,013,389,291.34","23,561,173,503.45","34,799,883,524.55","7,131,081,342.14","15,481,691,100.41","21,667,313,791.16","31,272,820,459.85","5,575,080,801.28","13,107,106,371.02","19,200,994,065.41","30,526,041,342.13","5,472,303,445.91","17,621,384,491.95","24,593,265,002.23","36,542,047,502.53","8,343,404,507.71","21,479,871,148.31","33,894,241,574.54","47,635,012,016.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"214,161,202.74","268,718,012.25","443,754,079.80","381,178,913.38","990,731,862.73","252,029,591.89","516,706,105.81","645,560,444.18","1,168,533,970.17","143,783,903.28","764,353,984.63","1,250,040,596.92","1,675,101,274.28","229,525,131.07","761,069,018.03","988,140,525.81","1,586,185,890.01","369,106,963.69","818,114,821.61","1,085,513,071.38","1,789,409,056.80","481,321,097.30","1,006,148,156.47","1,261,187,527.11","2,178,441,374.93","233,691,062.95","891,810,000.02","1,134,948,859.20","1,570,844,106.31","465,576,152.58","973,940,364.57","1,326,630,342.32","1,840,188,001.03"
营业外收入,"192,244,612.93","430,829,160.58","456,549,558.94","312,662,462.03","960,859,616.94","120,501,782.01","329,716,836.68","519,602,468.29","1,164,939,302.75","231,064,392.61","297,910,514.70","537,233,478.10","931,016,234.14","54,733,226.91","309,900,892.74","487,983,601.36","767,847,286.22","72,811,911.81","315,196,351.34","515,627,274.67","903,990,939.46","83,079,894.57","245,682,418.40","346,471,025.87","742,138,704.67","68,568,296.18","209,466,642.57","365,097,172.13","888,286,340.70","133,103,885.98","133,314,243.83","284,431,608.02","500,608,948.73"
销售费用,"326,348,550.77","370,478,836.96","476,425,471.35","327,305,470.98","857,793,270.30","206,177,302.41","471,471,783.48","726,953,221.79","1,173,885,729.63","233,712,033.59","581,866,026.29","935,195,008.81","1,350,600,351.81","275,281,265.69","680,885,123.98","1,082,128,896.35","1,566,232,335.03","313,056,583.70","687,298,907.54","1,046,565,716.44","1,521,568,509.32","322,916,619.65","703,873,139.55","1,091,938,904.09","1,546,158,440.90","336,687,403.43","724,144,708.76","1,139,034,110.33","1,854,235,365.55","504,513,428.01","1,162,126,683.93","1,837,279,947.26","2,607,289,133.93"
减:营业外支出,"22,569,896.63","97,866,412.02","37,990,650.44","25,167,537.43","54,113,153.89","10,793,392.05","23,346,798.86","34,577,467.61","76,497,809.89","16,241,026.06","31,689,833.14","40,195,757.02","70,607,884.18","7,480,530.11","14,087,901.77","36,073,637.87","38,821,166.08","10,945,258.81","18,814,359.90","25,712,417.10","51,691,143.61","10,323,638.81","32,141,893.22","44,379,833.11","61,477,248.64","11,988,510.10","27,464,754.78","29,688,712.41","391,259,504.36","11,043,022.83","35,081,639.54","77,808,438.31","416,971,876.24"
管理费用,"879,035,289.27","920,533,993.10","1,027,456,495.62","643,170,348.75","1,517,255,730.54","497,388,485.90","923,092,322.99","1,398,334,984.50","2,130,415,464.54","526,588,052.71","998,193,416.56","1,647,468,991.37","2,189,075,391.00","725,133,475.66","1,370,281,463.25","2,029,490,528.45","2,811,322,533.52","787,195,655.63","1,453,113,406.01","2,155,480,112.81","2,886,604,421.20","811,312,678.30","1,465,997,581.26","2,220,854,917.45","2,973,810,596.33","814,821,049.60","1,522,244,341.36","2,232,589,063.51","3,807,863,279.50","1,420,877,256.11","2,693,696,711.50","4,225,798,717.38","6,225,624,061.98"
其中:非流动资产处置净损失,"5,331,923.50","3,361,728.69","9,101,769.21","16,415,316.37","4,957,621.82","1,366,373.47","1,962,714.82","2,831,699.52","19,195,284.86","2,877,654.39","11,235,299.81","19,924,763.16","34,088,371.36","713,483.63","4,884,690.18","14,024,574.83","20,305,299.15","648,297.67","2,714,564.15","6,204,261.76","12,792,410.98","1,053,301.47","5,322,143.01","5,900,008.13","37,467,850.47","141,036.78","2,516,014.49","2,498,741.54","219,086,802.44","730,456.12","25,089,286.32","37,838,969.24",
