科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"6,351,023.57","7,358,422.28","6,325,758.42","14,255,885.72","5,978,749.14","5,047,495.98","4,031,649.88","2,850,804.85","2,264,613.75","4,961,511.74","4,874,315.69","8,048,544.69","4,829,332.19","4,553,873.04","6,599,080.32","5,016,627.61","3,870,624.51","11,769,724.85","3,314,746.73","59,782,420.14","39,224,261.77","32,823,162.56","29,717,684.92","19,453,991.85","28,348,394.83","48,222,067.84","61,364,827.58","57,694,359.27","42,761,313.49","46,109,627.80","39,797,559.30","24,563,054.94","6,786,594.86","15,036,709.85","5,383,414.30","5,374,784.95","9,201,661.05","9,153,866.37","6,588,436.80","5,610,109.87","6,898,508.14","4,651,365.57","5,065,056.16","64,283,288.79","36,623,050.07"
短期借款,"61,113,508.40","60,859,508.40","58,170,086.90","19,770,528.60","19,770,528.60","19,770,528.60","1,200,000.00","1,200,000.00","6,200,000.00","6,200,000.00","6,200,000.00","12,200,000.00","12,200,000.00","12,200,000.00","22,700,000.00","26,700,000.00","26,700,000.00","33,450,000.00","33,450,000.00","51,200,000.00","47,200,000.00","42,200,000.00","42,200,000.00","57,200,000.00","62,200,000.00","56,200,000.00","62,267,320.00","67,200,000.00","117,200,000.00","122,190,000.00","122,190,000.00","112,200,000.00","107,200,000.00","135,700,000.00","139,700,000.00","140,590,000.00","144,090,000.00","193,585,533.38","158,590,000.00","211,651,717.57","225,000,000.00","222,000,000.00","209,300,000.00","323,600,000.00","316,600,000.00"
交易性金融资产,"146,516.00","34,466.00","34,466.00","54,746.00","43,941.30","39,740.40","39,740.40","42,227.77","42,227.77","42,227.77","42,227.77","47,481.24","47,481.24","47,481.24","47,481.24","49,063.42","49,063.42","49,063.42","49,063.42","47,530.74","47,530.74","47,530.74","47,530.74","48,754.50","48,754.50","48,754.50","48,754.50","49,400.05","49,400.05","49,400.05","49,400.05","56,813.92","56,813.92","56,813.92","56,813.92","65,918.88","65,918.88","65,918.88","65,918.88","66,259.47","66,259.47","66,259.47","66,259.47","68,988.19","68,988.19"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,295,700.00","75,582,700.00"
应付票据,,,,,,,,,,,,,,,,,,,,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","15,000,000.00","30,000,000.00","15,000,000.00",,,,,,,,,"29,762,796.61","13,926,940.61","13,152,166.61","21,789,800.00","26,715,626.08"
应收账款,"5,037,637.11","5,319,079.02","4,962,292.04","30,040,756.12","29,166,777.14","29,452,619.30","29,695,219.29","1,614,204.64","1,674,384.05","3,689,708.35","3,548,296.32","1,135,541.45","1,314,162.22","1,712,503.99","4,659,303.23","638,592.90","1,683,985.39","4,211,648.78","6,745,544.27","6,809,840.50","7,557,098.19","5,400,627.07","6,225,908.58","6,792,821.96","7,687,548.95","6,369,218.03","4,234,363.01","2,480,684.64","5,896,934.74","5,074,422.58","4,604,159.34","2,298,535.01","3,002,785.63","3,983,580.82","11,217,371.46","5,337,817.21","6,592,009.32","2,155,938.94","5,233,945.90","2,241,826.38","2,239,886.77","476,202.12",19.70,"215,906,080.47","241,066,523.50"
应付账款,"9,287,661.07","8,767,987.66","8,401,906.93","3,351,483.64","1,238,865.45","1,251,260.05","1,608,029.16","1,237,410.79","1,678,351.60","4,082,031.66","2,254,837.77","2,991,531.74","1,979,805.03","1,841,315.00","2,324,689.29","10,393,896.09","12,061,545.37","13,091,625.82","16,622,093.23","10,249,745.16","10,584,310.01","3,415,117.97","8,552,272.31","6,289,509.90","7,551,190.66","10,736,595.13","8,446,632.04","115,115,737.21","101,880,061.49","78,166,467.72","66,092,542.99","63,329,906.33","61,104,505.60","60,572,796.25","65,857,643.97","75,441,940.81","75,117,282.98","73,522,576.17","74,637,418.79","101,274,342.47","82,396,773.23","89,442,973.72","88,081,479.13","202,785,013.24","191,554,732.36"
预付款项,"71,152,806.49","72,940,371.01","74,888,374.93","61,876,375.90","63,888,858.55","67,544,010.29","68,547,944.37","66,974,328.92","69,732,432.53","68,266,601.19","69,675,369.98","66,522,093.81","68,144,817.21","67,908,643.31","64,138,642.29","65,283,813.61","65,143,435.54","57,973,865.69","12,960,308.06","8,254,503.98","11,859,573.53","11,573,425.97","19,049,568.36","23,581,494.14","25,964,823.57","50,512,811.51","79,156,038.45","41,462,471.03","60,774,320.12","44,534,329.17","32,625,791.78","42,121,749.19","40,809,985.77","40,645,054.10","38,272,124.83","61,200,057.53","62,716,473.93","85,708,144.24","81,918,344.88","56,455,905.05","67,323,674.64","60,268,948.65","54,666,106.18","13,591,448.27","15,299,659.11"
预收款项,"11,096,288.97","29,317,049.17","21,941,673.63","23,205,628.05","14,141,561.13","16,206,041.28","32,227,321.30","36,247,286.97","32,524,682.82","38,764,761.46","48,588,044.26","29,379,961.10","25,957,403.27","19,245,247.21","19,492,371.46","3,536,788.43","5,958,769.89","5,910,709.82","6,417,960.07","5,063,819.82","4,154,211.55","7,606,957.55","16,391,006.24","5,070,159.37","63,474,333.14","69,746,051.12","97,723,194.61","48,357,233.78","52,096,376.88","41,879,617.90","41,867,559.09","23,436,780.35","22,097,222.24","17,474,697.65","13,791,636.08","15,579,546.27","16,079,877.64","15,242,817.32","14,654,143.11","13,893,409.67","12,693,908.06","11,840,652.72","12,154,239.98","19,625,442.34","14,535,920.40"
