科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"400,795,019.66","371,999,329.53","438,231,474.83","354,117,817.33","457,045,349.70","103,752,097.43","221,850,977.60","298,894,062.98","386,579,159.34","102,080,628.75","246,855,562.00","365,219,233.63","530,860,117.19","176,673,152.51","378,766,000.72","554,661,130.03"
二、营业利润,"95,307,593.92","74,855,472.01","100,822,665.01","80,794,783.84","98,956,863.27","21,114,029.51","48,423,120.50","60,466,338.06","63,982,199.01","15,159,450.19","29,497,959.18","31,248,830.00","40,463,116.96","19,527,785.43","47,800,209.31","60,439,896.08"
减:营业成本,"233,719,520.93","223,505,366.67","258,026,244.74","202,039,234.12","262,859,365.83","59,730,200.06","126,827,011.92","170,401,169.02","224,553,615.74","61,629,946.28","143,363,658.97","212,805,660.12","319,080,340.01","102,905,033.03","233,371,008.59","342,205,677.07"
加:补贴收入,,,,,,,,,,,,,,,,
营业税金及附加,"1,213,803.81","2,511,061.79","2,329,409.61","2,095,762.48","2,855,425.12","845,662.72","1,607,390.22","1,869,184.07","2,241,047.11","838,326.92","1,573,103.92","1,903,567.73","3,876,353.73","776,238.44","2,668,682.62","3,214,645.76"
营业外收入,"1,981,976.27","10,641,322.69","7,171,794.99","7,842,760.39","10,222,972.46","2,791,660.47","6,222,197.01","9,083,017.00","14,050,317.20","1,841,789.67","5,948,800.94","8,678,631.05","19,209,200.30","4,168,936.22","279,376.03","455,237.48"
销售费用,"9,468,214.90","13,314,196.78","16,299,716.72","13,144,242.94","18,623,234.82","4,253,133.66","9,090,780.96","13,901,110.61","19,970,093.86","5,051,966.42","12,336,013.29","20,223,479.24","30,803,339.86","7,272,177.15","15,990,430.65","25,315,428.19"
减:营业外支出,"639,172.98","439,051.14","395,384.69","376,463.55","5,017,907.62","120,498.93","229,064.91","339,124.04","666,602.84","130,628.99","475,973.88","843,417.40","1,212,041.69","204,504.65","6,004,618.88","6,276,798.90"
管理费用,"67,940,272.88","52,960,554.81","58,607,241.01","51,471,215.15","70,663,834.02","15,630,926.40","34,677,418.23","54,777,274.23","81,795,262.59","19,619,077.22","53,464,692.32","90,622,472.83","128,114,551.41","36,551,152.32","77,848,381.30","122,801,824.82"
其中:非流动资产处置净损失,"200,443.95","52,837.14","115,508.44","32,089.04","65,589.48",3.51,"7,537.82","16,102.70","19,901.91","17,333.20","17,398.73","28,232.82","30,043.14","18,795.22","19,043.08","19,043.08"
堪探费用,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,
财务费用,"-180,376.85","4,567,808.18","-860,814.03","1,010,771.18","-140,320.63","507,187.99","1,789,978.29","262,903.08","485,264.90","-2,572,140.99","2,122,603.03","4,528,782.31","4,750,330.58","7,739,618.45","7,676,227.95","9,811,969.47"
三、利润总额,"96,650,397.21","85,057,743.56","107,599,075.31","88,261,080.68","104,161,928.11","23,785,191.05","54,416,252.60","69,210,231.02","77,365,913.37","16,870,610.87","34,970,786.24","39,084,043.65","58,460,275.57","23,492,217.00","42,074,966.46","54,618,334.66"
资产减值损失,"-6,470,421.53","611,423.93","2,869,032.30","2,906,832.54","2,408,245.91","1,543,060.75","3,231,666.48","4,541,285.82","3,926,612.23","2,681,624.20","5,187,613.47","7,343,818.21","9,055,199.24","3,445,292.97","5,492,329.51","9,596,798.53"
减:所得税,"17,623,348.86","9,562,390.23","13,211,562.39","12,806,012.53","14,357,780.87","3,303,443.60","7,450,441.15","9,659,784.46","10,337,733.95","2,537,879.99","5,563,940.85","7,393,741.17","11,565,411.66","1,084,346.61","4,084,262.23","8,200,487.47"
加:公允价值变动净收益,"-365,904.00","248,544.89","107,263.70",,,,,,,,496.64,"4,628.36",,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,
投资收益,"569,492.40","78,009.75","-245,243.17","-654,975.08","-818,701.36","-127,896.34","3,796,389.00","7,325,201.91","10,374,936.10","327,621.49","689,585.54","3,452,748.45","5,283,114.60","1,544,145.28","3,171,642.09","4,538,076.61"
四、净利润,"79,027,048.35","75,495,353.33","94,387,512.92","75,455,068.15","89,804,147.24","20,481,747.45","46,965,811.45","59,550,446.56","67,028,179.42","14,332,730.88","29,406,845.39","31,690,302.48","46,894,863.91","22,407,870.39","37,990,704.23","46,417,847.19"
其中:对联营企业和合营企业的投资权益,,,"-251,563.74","-654,975.08","-818,701.36","-127,896.34","-143,911.00","-255,548.09","-379,272.23","-104,489.62","-390,025.57","-352,427.92","-367,084.48","95,534.17","147,166.20","251,611.72"
归属于母公司所有者的净利润,"70,808,062.79","75,495,353.33","94,387,512.92","75,455,068.15","89,804,147.24","20,481,747.45","46,965,811.45","59,616,539.03","67,066,501.67","14,467,787.87","30,418,416.25","36,534,048.71","53,175,938.38","21,962,273.21","42,408,661.37","53,761,950.80"
影响营业利润的其他科目,,,,,,,,,,,,,,,,
少数股东损益,"8,218,985.56",,,,,,,"-66,092.47","-38,322.25","-135,056.99","-1,011,570.86","-4,843,746.23","-6,281,074.47","445,597.18","-4,417,957.14","-7,344,103.61"
