科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"130,915,275.95","137,048,030.13","170,287,744.40",,"303,415,420.07","217,218,573.43","294,281,108.88","117,955,267.81","146,790,247.56","102,587,729.87","357,087,089.31","181,394,639.96","101,310,761.68","92,752,664.12"
短期借款,"44,726,843.80","38,589,031.89","21,055,400.00",,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,,"1,594,160.00","2,272,042.00",,"5,630,010.00","5,470,000.00","1,765,600.00","1,197,600.00","8,645,549.90","6,218,800.00","4,968,147.40","13,444,230.60","870,840.00","3,047,803.53"
应付票据,"29,412,029.40","13,289,996.60","32,574,784.52",,"28,157,053.95","21,943,665.35","40,511,816.10","27,141,621.60","11,478,149.00","7,134,003.00","9,199,127.00","5,345,954.00","6,757,874.50","22,777,350.60"
应收账款,"176,030,736.92","191,796,832.72","184,997,349.98",,"205,861,719.41","220,847,058.79","205,737,089.48","216,130,517.66","234,108,493.66","280,907,180.62","260,706,770.62","274,280,654.93","359,569,046.14","405,112,963.68"
应付账款,"73,680,218.45","101,547,030.05","80,458,792.94",,"101,907,177.53","151,515,679.33","151,947,720.40","120,256,990.73","123,489,360.84","153,592,793.58","177,280,955.93","141,680,022.80","199,315,781.61","159,902,481.26"
预付款项,"21,475,591.65","4,610,482.04","16,559,451.69",,"18,897,852.07","24,034,464.34","4,855,854.56","9,469,766.36","6,212,753.67","8,121,339.50","5,019,457.92","6,361,722.92","12,109,899.24","3,413,717.53"
预收款项,"200,548,158.64","225,989,760.54","300,749,708.11",,"248,799,962.43","233,729,749.68","257,704,527.71","225,349,566.99","160,717,720.80","142,125,571.65","166,169,719.89","113,311,593.85","88,342,541.95","80,935,143.45"
其他应收款,"13,053,171.83","11,253,759.89","20,723,071.10",,"20,443,111.84","23,692,519.82","28,300,527.13","30,092,593.04","29,722,081.76","31,869,868.73","19,966,270.97","23,528,293.61","22,595,937.39","18,528,531.64"
应付职工薪酬,"15,790,628.82","15,432,294.08","15,583,802.41",,"223,318.60","242,785.83","17,575,044.10","266,608.82","292,744.53","314,083.64","15,146,999.30","294,558.94","326,420.93","316,751.66"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"21,691,373.08","21,621,539.63","19,778,834.33",,"2,357,319.07","3,476,930.74","28,462,132.90","2,978,680.27","6,297,196.47","3,982,844.54","26,386,523.52","752,455.33","4,115,984.29","2,508,804.89"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"223,204,688.33","297,440,299.60","336,670,369.49",,"333,988,926.47","380,783,383.94","326,498,404.77","341,254,348.35","289,107,885.95","295,095,042.88","225,965,899.70","212,623,077.80","198,383,815.10","190,636,053.26"
其他应付款,"917,256.85","1,399,736.45","1,628,999.51",,"1,469,991.62","3,669,443.85","23,588,378.88","22,167,639.32","22,020,656.82","22,917,812.71","22,580,709.42","19,878,481.77","21,482,953.97","20,913,341.60"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,
其他流动资产,,,,,,"45,000,000.00","80,000,000.00","116,601,720.55","32,141,842.43","35,000,000.00",,"40,000,000.00","84,286,988.23","62,581,223.97"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"564,679,464.68","643,743,564.38","731,510,028.66","669,070,700.00","888,237,039.86","917,046,000.32","941,438,584.82","832,701,813.77","746,728,854.93","759,799,961.60","873,713,635.92","751,632,619.82","779,127,287.78","776,072,957.73"
流动负债合计,"386,766,509.04","417,869,389.24","471,830,321.82","406,496,700.00","383,914,823.20","415,578,254.78","520,789,620.09","399,161,107.73","325,295,828.46","331,067,109.12","417,764,035.06","282,263,066.69","321,341,557.25","288,353,873.46"
可供出售金融资产,,,,,,,,,,,,,"3,500,000.00","3,500,000.00"
长期借款,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,"3,681,543.81"
预计负债,,,,,,,,,,,,,,
固定资产,"5,732,820.99","4,424,570.83","4,581,351.88",,"4,021,215.04","11,353,652.01","11,812,677.80","10,995,097.36","12,800,422.63","121,912,231.77","121,972,752.11","121,818,535.59","118,993,444.80","116,168,727.10"
递延所得税负债,,,,,,,,,,,,,,
在建工程,,,,,,,,"99,750,000.00","106,493,814.11",,"153,938.03","8,711,408.71","11,995,283.16","8,386,554.88"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,"15,090,000.00"
固定资产清理,,,,,,,,,,,,,,
负债合计,"386,766,509.04","417,869,389.24","471,830,321.82","406,496,700.00","383,914,823.20","415,578,254.78","520,789,620.09","399,161,107.73","325,295,828.46","331,067,109.12","417,764,035.06","282,263,066.69","321,341,557.25","303,443,873.46"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00",,"80,000,000.00","80,000,000.00","80,646,500.00","80,646,500.00","80,646,500.00","80,646,500.00","80,646,500.00","80,800,500.00","161,600,200.00","161,600,200.00"
油气资产,,,,,,,,,,,,,,
资本公积,"49,257,543.76","49,257,543.76","49,257,543.76",,"252,550,798.51","247,547,024.95","272,890,993.10","273,574,389.61","274,257,786.12","274,941,182.63","274,857,333.90","276,284,715.85","198,511,986.03","199,534,750.68"
无形资产,"1,445,952.30","2,144,814.59","2,061,978.32",,"2,351,770.77","2,180,329.25","2,554,564.26","3,110,545.10","2,890,491.43","3,144,254.49","2,987,869.27","3,151,615.82","2,886,958.08","2,627,167.40"
盈余公积,"8,905,881.18","14,846,479.77","19,519,477.84",,"19,519,477.84","19,519,477.84","25,514,755.02","25,514,755.02","25,514,755.02","25,514,755.02","32,460,064.88","32,460,064.88","32,460,064.88","32,460,064.88"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,"20,933,670.00","20,933,670.00","20,933,670.00","20,933,670.00","20,933,670.00","17,982,184.00","17,982,184.00","17,982,184.00"
商誉,,,,,,,,,,,,,,
未分配利润,"69,352,930.60","110,801,187.49","140,848,433.37",,"161,864,406.77","171,489,035.67","185,292,990.50","197,381,039.86","193,310,860.50","203,477,522.91","223,189,554.75","236,091,892.60","228,613,250.87","240,177,443.37"
长期待摊费用,"501,795.22","159,258.27",,,,,,,,,,,"382,137.07","347,397.34"
少数股东权益,,,,,,,,,,,,,,
递延所得税资产,"1,922,831.39","2,302,392.19","3,302,417.93",,"3,239,480.65","3,553,811.66","8,645,361.83","8,786,665.99","9,178,477.00","9,856,951.82","9,155,623.26","4,603,876.08","7,659,764.14","8,449,800.13"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"99,750,000.00",,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"9,603,399.90","9,031,035.88","9,945,748.13","9,490,400.00","9,612,466.46","17,087,792.92","122,762,603.89","122,642,308.45","131,363,205.17","134,913,438.08","134,270,182.67","138,285,436.20","145,417,587.25","143,161,190.66"
所有者权益(或股东权益)合计,"187,516,355.54","234,905,211.02","269,625,454.97","272,064,300.00","513,934,683.12","518,555,538.46","543,411,568.62","556,183,014.49","552,796,231.64","563,646,290.56","590,219,783.53","607,654,989.33","603,203,317.78","615,790,274.93"
资产总计,"574,282,864.58","652,774,600.26","741,455,776.79","678,561,100.00","897,849,506.32","934,133,793.24","1,064,201,188.71","955,344,122.22","878,092,060.10","894,713,399.68","1,007,983,818.59","889,918,056.02","924,544,875.03","919,234,148.39"
负债和所有者(或股东权益)合计,"574,282,864.58","652,774,600.26","741,455,776.79","678,561,100.00","897,849,506.32","934,133,793.24","1,064,201,188.71","955,344,122.22","878,092,060.10","894,713,399.68","1,007,983,818.59","889,918,056.02","924,544,875.03","919,234,148.39"
