科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"782,511,981.16","806,296,657.20","140,389,015.83","920,253,990.66","286,179,655.80","631,709,429.90","951,382,041.82","1,301,437,473.69","358,441,886.76","767,003,263.39","1,147,598,535.70","1,536,130,922.19","312,804,894.60","697,882,968.36","1,095,314,262.62","1,514,524,537.55","340,685,822.19","816,282,722.64","1,295,367,422.20","1,968,161,412.72","518,711,129.48","1,254,989,982.88","1,820,276,883.17","2,527,246,231.88","596,108,724.10","1,314,351,384.34","1,927,503,941.20","3,000,977,247.20","713,657,522.40","1,503,937,746.77","2,193,449,509.83","3,235,477,212.84","988,771,680.81","1,763,719,869.91","2,669,874,343.41","4,172,462,187.77","925,000,165.95","1,845,261,189.11","2,715,248,559.16","3,687,813,118.04","899,814,315.65"
二、营业利润,"167,043,289.85","148,184,206.68","22,816,047.50","185,669,476.53","74,651,297.07","160,614,987.92","236,995,473.93","285,297,832.45","77,551,243.78","165,558,891.97","239,168,881.81","267,851,958.05","48,010,055.76","114,811,718.39","172,055,189.75","178,303,428.69","55,063,521.72","138,726,212.58","196,302,019.72","280,451,118.86","85,491,248.92","179,438,265.08","249,784,336.78","348,256,651.76","83,641,709.14","150,948,043.52","234,022,479.55","383,425,773.65","74,309,608.81","134,287,387.47","189,469,422.10","272,343,344.85","90,956,593.75","142,530,905.82","193,982,308.51","442,807,147.45","51,308,714.49","103,596,915.14","105,594,746.83","69,350,176.13","117,824,632.64"
减:营业成本,"515,205,963.66","512,006,570.49","90,977,896.40","587,099,436.97","187,273,974.70","406,142,861.89","607,252,319.83","835,468,348.28","244,831,213.56","518,198,016.43","780,086,816.62","1,026,244,603.54","221,050,552.24","505,232,801.12","747,652,711.56","1,034,364,115.46","228,900,165.51","556,610,241.64","892,615,427.61","1,348,397,034.47","350,504,137.40","851,124,929.90","1,249,722,113.12","1,741,278,662.67","428,104,838.19","939,409,392.92","1,355,236,286.68","2,116,278,501.58","537,017,553.95","1,124,280,353.10","1,630,521,906.14","2,424,540,605.44","723,914,508.86","1,315,527,500.19","1,977,795,000.08","2,993,738,727.60","681,621,598.53","1,402,022,011.08","2,065,501,942.41","2,768,933,082.34","629,130,166.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"345,271.55","483,018.33","77,955.57","422,227.68","55,760.84","206,694.08","304,781.87","676,602.26","1,607,643.19","2,897,660.94","4,787,880.71","8,343,978.23","1,594,628.51","3,745,884.66","4,746,822.75","8,010,465.08","1,016,847.58","3,067,358.57","5,175,308.84","9,549,840.80","2,228,963.05","5,275,055.79","7,772,059.12","12,006,914.19","1,946,159.62","6,273,970.45","8,267,401.72","12,838,454.26","2,455,592.13","5,989,356.90","8,250,139.22","17,892,739.33","7,225,307.48","13,355,901.28","17,067,393.05","29,690,185.26","7,778,969.92","16,698,823.46","19,958,817.18","27,343,473.62","8,467,317.33"
营业外收入,"5,303,162.80","2,720,293.85","966,107.28","6,742,756.46","544,101.21","1,074,235.89","6,140,992.02","10,406,045.95","467,335.99","1,637,548.47","7,104,705.91","28,559,334.91","8,755,231.91","11,590,917.97","13,736,298.51","16,424,819.53","8,793,666.16","9,654,586.53","11,194,430.11","14,641,903.71","5,257,584.08","9,507,827.82","11,112,699.61","12,407,146.17","11,641,878.71","28,714,267.24","29,674,391.82","23,766,723.24","5,521,465.21","19,089,145.05","16,950,002.82","29,882,946.22","539,763.70","618,634.95","783,635.38","3,928,702.96","108,150.21","682,400.64","909,086.56","169,849,014.54","463,632.28"
销售费用,"52,448,464.72","72,421,216.52","12,018,693.28","82,354,094.59","11,437,306.20","38,683,658.09","69,402,009.44","105,421,562.04","18,301,904.48","41,400,386.94","71,557,405.90","131,205,362.69","21,582,535.51","49,071,604.78","83,983,541.82","128,813,552.58","23,853,733.96","49,685,641.72","90,758,049.30","142,714,134.32","31,685,994.73","74,008,286.85","118,286,854.00","184,986,182.95","33,976,449.24","78,802,777.57","120,689,496.21","197,912,608.01","42,971,712.40","91,605,594.09","159,677,320.80","213,698,654.04","63,035,567.60","113,515,024.89","199,961,518.10","309,131,377.53","80,215,211.68","151,299,017.33","239,977,542.36","303,256,080.32","69,590,414.74"
减:营业外支出,"989,730.71","162,685.07",121.81,"83,957.57","13,601.30","21,552.98","26,552.98","1,104,921.86","10,586.11","243,893.86","254,579.86","865,652.01","36,049.41","149,858.85","265,181.35","2,109,900.23","41,022.53","199,439.87","369,072.32","581,111.56","143,309.61","239,488.53","455,107.54","2,573,987.34","58,946.28","530,618.29","741,933.38","2,020,638.85","297,860.02","891,920.56","1,404,259.24","3,750,747.51","391,684.07","1,232,158.07","2,081,038.58","2,753,723.40","193,294.39","281,549.72","544,173.62","1,642,658.35","163,603.91"
管理费用,"35,547,791.96","50,294,499.32","12,911,657.61","60,796,710.86","14,615,944.18","30,409,029.29","45,576,415.42","95,694,367.09","22,853,334.12","46,367,479.15","74,024,633.06","126,443,440.30","26,946,200.59","58,628,533.13","99,807,030.57","176,050,562.05","38,415,133.95","74,968,815.07","128,729,983.08","203,688,985.02","47,113,020.64","92,077,781.42","150,009,046.88","235,574,139.40","52,755,218.82","125,494,308.84","194,522,228.82","294,846,198.35","63,388,957.55","145,725,795.29","218,124,769.29","335,016,838.03","73,663,291.36","157,206,165.60","246,357,123.63","397,745,001.71","88,864,082.02","184,422,672.10","154,577,976.34","194,059,580.86","42,591,281.39"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"339,076.31","15,281.50",,,,"106,889.47",,"-316,515.55","1,857,773.87",,"450,428.56","552,082.12","1,496,772.50",,"657,120.16","1,134,744.24","3,231,609.96","183,012.25","535,502.28","1,257,763.99",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
