科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"117,854,456.52","214,583,541.54","294,502,139.51","502,512,033.73","94,716,180.30","157,113,148.28","224,019,707.94","298,528,991.22","44,207,130.94","77,842,090.34","110,615,462.93","133,782,728.98","39,023,190.52","63,482,145.55","103,409,413.07","150,134,614.04","62,484,511.89","120,285,146.66","164,745,913.70","229,894,613.47","28,619,928.29","103,938,990.12","191,240,376.35","259,568,396.12","260,941,285.36","520,869,359.64","773,759,368.53","1,144,191,629.42","233,388,308.94","594,211,741.35","763,545,428.89","1,376,931,111.18","273,876,071.94","586,400,699.63","787,428,499.32","1,074,681,886.90","189,195,957.03","523,594,709.66","986,086,686.27","1,758,274,615.74","593,885,153.10","1,095,291,565.33","2,136,245,680.49","2,556,207,867.78","941,071,039.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,339,941.71",,,,,,,,,,,,,
收到的税费返还,,,,"16,166,163.79",,,"3,447,333.09","3,855,688.46","1,643,519.09","1,643,519.09","1,679,233.75","1,661,536.12","104,310.48","117,960.48","424,248.74",,,"13,650.00","28,275.00",,,,,,,,,,,,,"915,118.64",,"157,888.81","330,472.81","835,600.00","439,000.00","455,372.61","455,372.61","688,000.00","30,352.93","30,352.93","37,115.97","18,893.38",
支付其他与投资活动有关的现金,"146,112.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,843,641.08",,,,,,
收到其他与经营活动有关的现金,,"2,298,635.91","6,960.00","16,607.64","17,314.67","17,314.67","3,923,045.71","3,409,021.54","30,796,037.15","31,763,751.75","63,282,679.86","7,746,984.71","1,874,663.83","3,432,956.52","4,648,864.85","3,221,144.40","418,797.94","823,122.21","1,845,799.25","3,759,979.15","3,128,079.32","1,350,865.80","12,122,943.89","134,877,170.35","38,836,547.35","75,662,963.68","96,296,925.55","32,795,274.37","20,930,491.74","118,855,977.14","144,757,054.74","25,878,855.05","14,819,779.49","15,139,754.47","27,303,158.02","125,785,739.29","11,511,472.15","13,807,148.11","56,197,107.90","101,179,643.70","9,900,415.15","15,804,706.70","19,094,543.46","161,574,408.72","3,374,104.47"
投资活动现金流出小计,"4,249,970.16","10,733,961.95","29,527,781.33","65,738,961.53","1,230,022.96","6,256,807.55","11,661,434.21","11,964,445.74","100,000.00","232,395.00","1,627,510.06","2,872,059.06","523,316.60","736,652.60","1,440,652.60","2,995,681.86","987,271.00","3,877,589.00","6,400,630.00","9,716,964.26","1,693,260.05","3,122,568.14","8,432,448.77","11,420,315.44","21,210,662.12","31,737,819.17","49,494,752.14","115,778,770.05","48,194,411.00","67,469,495.01","82,991,610.72","252,750,405.17","56,169,184.72","157,180,947.34","225,971,612.14","542,750,486.17","33,371,696.01","74,693,776.89","147,308,729.94","452,745,281.45","122,192,043.41","289,745,917.34","385,668,226.40","638,860,931.63","226,459,798.90"
经营活动现金流入小计,"117,854,456.52","216,882,177.45","294,509,099.51","518,694,805.16","94,733,494.97","157,130,462.95","231,390,086.74","305,793,701.22","76,646,687.18","111,249,361.18","175,577,376.54","143,191,249.81","41,002,164.83","67,033,062.55","108,482,526.66","153,355,758.44","62,903,309.83","121,121,918.87","166,619,987.95","233,654,592.62","31,748,007.61","105,289,855.92","203,363,320.24","394,445,566.47","299,777,832.71","596,532,323.32","870,056,294.08","1,176,986,903.79","254,318,800.68","713,067,718.49","908,302,483.63","1,403,725,084.87","288,695,851.43","601,698,342.91","815,062,130.15","1,201,303,226.19","201,146,429.18","537,857,230.38","1,042,739,166.78","1,860,142,259.44","603,815,921.18","1,111,126,624.96","2,155,377,339.92","2,717,801,169.88","944,445,144.42"
投资活动产生的现金流量净额,"-4,249,970.16","-10,733,961.95","-29,527,781.33","-65,738,961.53","-1,230,022.96","-6,256,807.55","-11,600,434.21","-11,903,445.74","-100,000.00","-232,395.00","-1,627,510.06","-2,864,059.06","-523,316.60","-736,652.60","-1,440,652.60","-2,995,681.86","-987,271.00","-3,877,589.00","-6,400,630.00","-9,716,964.26","-1,693,260.05","37,431.86","-8,430,448.77","9,367,755.31","-17,680,884.12","-25,704,065.01","-42,303,290.20","-93,636,016.33","-44,729,411.00","-63,934,495.01","-72,260,558.32","-228,888,497.40","-55,377,275.49","-152,954,918.11","-217,910,348.11","-532,721,250.64","-32,914,487.16","-74,056,568.04","-146,257,949.09","-395,364,531.69","78,120,383.98","-29,214,409.73","-61,199,033.29","-108,699,718.54","-125,782,780.96"
购买商品、接受劳务支付的现金,"109,201,988.80","193,074,925.62","268,718,829.69","377,071,506.80","104,665,279.96","127,816,385.38","186,085,772.28","241,084,379.06","10,212,771.41","51,085,481.46","69,469,828.31","88,444,760.29","10,408,425.92","23,304,050.43","39,088,322.52","66,151,815.52","32,250,468.77","56,212,565.38","72,546,062.82","107,654,934.38","6,378,935.63","48,876,102.71","172,354,801.72","226,276,277.59","302,534,979.46","489,588,095.27","736,348,646.43","998,574,218.76","131,949,757.26","534,546,926.98","775,745,700.73","1,010,915,714.65","284,220,853.21","532,934,367.88","732,000,523.90","1,207,796,579.01","146,001,092.78","333,535,272.33","516,014,458.68","739,547,979.82","480,551,093.50","697,415,634.69","1,439,919,541.96","1,601,944,353.98","611,662,473.21"
吸收投资收到的现金,,,"321,856,000.00","321,856,000.00",,,,,,,,,,,,,,,,,,,,,"194,423,596.40","194,423,596.40","194,423,596.40","194,466,198.90",,,,"386,909,993.61",,"97,860,400.00","854,310,400.00","854,310,400.00",,"-41,130,492.86",,,,,,,
