科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"252,367,556.78","300,173,750.66","327,809,968.51","53,745,155.78","140,490,733.48","233,249,921.59","378,522,108.04","65,740,555.28","192,941,444.80","340,139,508.48","588,997,388.21","95,921,248.51","277,506,690.01","496,865,114.76","741,430,341.96","157,712,847.42","362,718,982.05","639,520,800.61","1,002,354,744.32","134,315,303.76","344,372,264.65","583,751,104.52","998,118,989.39","155,823,170.83","386,622,592.62","659,043,816.83","1,084,248,535.55","183,281,702.43"
二、营业利润,"67,588,561.58","44,805,971.93","90,960,578.40","10,547,928.25","33,518,550.20","63,704,473.96","112,909,147.60","12,176,754.14","39,490,386.73","80,828,667.07","153,269,376.86","24,027,755.88","69,507,660.65","138,198,702.95","222,721,008.92","31,237,730.81","101,409,836.60","191,347,142.03","290,118,952.79","11,968,723.96","50,136,245.08","98,878,661.07","213,434,899.68","10,224,541.79","59,227,906.40","134,001,217.02","255,019,760.63","8,922,719.69"
减:营业成本,"138,326,928.50","156,156,756.42","167,447,224.21","24,994,878.14","71,661,102.38","113,274,847.55","187,609,169.73","32,842,691.76","110,074,490.16","188,045,943.57","320,091,761.38","52,616,163.29","161,343,339.98","273,934,479.81","381,857,782.62","83,847,204.37","195,034,400.81","328,278,177.99","500,211,462.99","76,030,013.66","185,692,073.74","312,860,261.06","517,897,953.85","78,796,312.77","199,531,577.02","336,958,279.70","560,067,250.76","98,010,569.61"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,769,823.36","2,558,242.05","2,923,890.65","508,426.58","1,200,436.22","1,855,892.71","2,899,926.21","320,198.57","739,804.19","1,313,457.80","3,438,586.03","439,295.28","1,993,499.58","3,518,937.43","5,366,329.04","1,286,113.73","2,348,174.24","3,805,404.00","6,371,572.12","176,815.10","1,357,996.63","2,317,251.07","7,268,954.64","681,518.55","4,079,943.23","5,498,913.56","8,909,513.81","1,141,236.49"
营业外收入,"1,149,719.27","2,088,041.09","4,125,136.04","110,300.00","423,381.36","835,515.08","4,448,592.41","2,232,500.00","2,249,661.12","2,249,661.14","4,622,197.38","1,485.81","2,870,101.44","6,302,037.99","10,573,465.38","3,247,734.86","4,043,957.88","11,399,685.40","16,148,614.39","1,505,023.96","3,905,739.97","4,371,511.29","12,994,737.64","4,376,178.06","104,517.55","120,663.08","161,060.66",
销售费用,"20,941,903.37","25,995,637.39","28,801,324.86","9,247,755.47","17,549,621.48","29,864,290.94","38,591,773.70","14,025,823.66","24,989,704.30","40,669,599.85","60,497,337.35","16,866,312.98","32,415,832.93","53,285,560.77","89,403,618.14","22,063,291.96","42,988,408.66","69,062,230.82","110,098,782.47","27,277,478.22","52,370,220.56","83,907,779.80","128,413,219.23","31,339,799.85","57,296,917.94","91,945,563.53","134,799,042.58","37,792,030.83"
减:营业外支出,"245,233.20","75,301.50","321,522.38",530.00,"1,030.00","3,667.18","11,122.05","370,957.74","443,029.94","495,727.33","579,688.21","40,784.62","620,168.55","584,847.53","631,596.16",368.93,"1,295.11","31,293.16","176,724.01","7,217.63","9,306.77","16,921.42","77,481.21","64,145.21","193,027.78","195,758.48","676,278.15","35,340.72"
管理费用,"19,059,915.99","67,880,805.10","37,340,046.48","8,579,156.70","18,196,933.84","28,734,358.31","43,073,649.97","10,652,688.75","22,219,731.55","34,434,636.48","53,348,149.46","14,563,492.75","26,371,052.40","42,788,620.52","70,840,081.94","21,083,832.61","40,875,027.43","68,135,706.54","110,161,485.29","25,321,092.38","58,773,957.16","91,218,935.42","138,452,779.23","34,839,689.84","75,459,433.93","111,086,224.54","167,128,826.09","43,960,961.70"
其中:非流动资产处置净损失,"-224,447.20",,,,,,,,,"44,251.91","67,279.00",384.62,"1,132.27",,"4,419.36",368.93,"1,295.11","1,295.11","9,092.02","7,217.63","9,306.77","12,513.42","36,181.56","10,885.55","16,461.42","17,352.33",,
