科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,790,480,489.00","3,142,320,897.00","1,077,636,952.00","2,276,459,575.00","1,384,267,754.00","2,074,395,016.00","3,046,449,625.00","773,006,333.00","1,497,841,775.00","2,437,905,523.00","3,341,526,246.00","701,511,719.00","1,402,669,413.00","2,230,740,235.00","3,224,964,012.00","680,712,340.00","1,398,041,452.00","2,296,285,507.00","3,295,775,935.00","732,053,874.00","1,555,831,504.00","2,405,126,678.00","3,424,905,063.00","728,620,948.00","1,519,904,697.00","2,275,677,753.00","3,506,281,802.00","819,227,972.00","1,888,495,343.00","2,910,137,255.00","4,074,758,428.00","868,098,989.00","1,965,609,287.00","3,186,462,540.00","4,489,048,984.00"
取得子公司及其他营业单位支付的现金净额,,,,"51,242,250.00","6,312,500.00","6,312,500.00","6,312,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"87,243,336.00","65,579,712.00","12,749,799.00","49,752,931.00","38,776,231.00","55,845,486.00","84,174,958.00","16,788,288.00","49,094,637.00","67,405,432.00","92,418,634.00","9,925,740.00","19,382,318.00","43,027,293.00","61,365,977.00","10,610,727.00","53,838,786.00","92,772,794.00","95,778,452.00","49,701,891.00","88,196,709.00","162,278,858.00","167,903,070.00","23,929,649.00","49,228,235.00","55,739,320.00","74,001,029.00","14,030,804.00","25,001,885.00","41,975,313.00","33,108,749.00","16,213,285.00","48,475,618.00","84,473,624.00","103,644,771.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"1,699,366,011.00",,,,"2,234,010,850.00",,"1,454,109,240.00","1,506,109,640.00","1,772,100,000.00","50,192,574.00","50,000,000.00","190,220,777.00","555,000,000.00","90,001,701.00","350,500,000.00","594,525,724.00","1,414,700,000.00"
收到其他与经营活动有关的现金,"3,535,060.00","3,515,929.00","13,504,861.00","14,165,557.00","3,596,983.00","8,846,053.00","16,490,440.00","33,020,363.00","4,671,656.00","15,255,316.00","41,642,410.00","37,646,894.00","4,355,886.00","18,670,121.00","43,041,171.00","44,050,630.00","6,298,033.00","20,189,885.00","34,231,251.00","89,447,455.00","65,305,892.00","113,764,816.00","10,056,054.00","18,547,563.00","27,717,032.00","52,140,678.00","22,447,799.00","18,937,775.00","18,114,065.00","29,487,748.00","17,112,841.00","53,649,807.00","45,488,348.00","52,641,468.00","40,974,458.00"
投资活动现金流出小计,"141,484,328.00","124,711,420.00","29,864,581.00","127,166,608.00","90,757,574.00","172,705,540.00","307,536,079.00","58,211,849.00","101,844,739.00","149,823,096.00","278,670,289.00","33,877,297.00","70,497,063.00","111,335,070.00","302,018,058.00","100,677,488.00","1,223,615,102.00","1,719,991,327.00","2,600,682,135.00","767,429,525.00","1,439,188,246.00","1,959,219,461.00","3,107,593,682.00","892,590,700.00","1,748,725,160.00","1,908,089,512.00","2,253,677,448.00","137,723,800.00","203,685,043.00","406,946,381.00","758,739,574.00","125,781,485.00","556,982,829.00","856,710,363.00","1,705,378,448.00"
经营活动现金流入小计,"2,881,258,885.00","3,211,416,538.00","1,103,891,612.00","2,340,378,063.00","1,426,640,968.00","2,139,086,555.00","3,147,115,023.00","822,814,984.00","1,551,608,068.00","2,520,566,271.00","3,475,587,290.00","749,084,353.00","1,426,407,617.00","2,292,437,649.00","3,329,371,160.00","735,373,697.00","1,458,178,271.00","2,409,248,186.00","3,425,785,638.00","871,203,220.00","1,709,334,105.00","2,681,170,352.00","3,602,864,187.00","771,098,160.00","1,596,849,964.00","2,383,557,751.00","3,602,730,630.00","852,196,551.00","1,931,611,293.00","2,981,600,316.00","4,124,980,018.00","937,962,081.00","2,059,573,253.00","3,323,577,632.00","4,633,668,213.00"
投资活动产生的现金流量净额,"-139,861,301.00","-124,372,623.00","-28,362,266.00","-126,331,415.00","-90,333,775.00","-172,281,741.00","-307,083,283.00","23,188,151.00","-19,128,813.00","-64,569,511.00","-193,099,017.00","-33,877,297.00","-65,579,474.00","-104,195,015.00","-285,033,830.00","-72,782,745.00","-794,916,387.00","-707,551,404.00","-1,057,083,393.00","-227,019,978.00","-338,264,880.00","-594,032,054.00","-811,442,729.00","-11,092,644.00","-155,121,850.00","271,153,491.00","134,826,140.00","-25,292,207.00","-86,761,761.00","-107,816,757.00","-103,826,298.00","130,261,530.00","9,619,016.00","-201,289,781.00","-407,093,322.00"
购买商品、接受劳务支付的现金,"2,373,923,093.00","2,265,873,898.00","704,278,275.00","1,497,667,478.00","984,351,844.00","1,488,838,761.00","2,093,095,108.00","526,950,175.00","1,047,189,208.00","1,757,776,756.00","2,388,596,838.00","477,157,160.00","966,991,405.00","1,600,527,059.00","2,030,154,105.00","456,006,236.00","1,022,413,113.00","1,577,466,808.00","2,384,757,949.00","614,264,529.00","1,233,950,292.00","1,824,506,141.00","2,734,242,967.00","512,125,997.00","1,001,772,950.00","1,458,170,410.00","2,561,160,402.00","586,517,908.00","1,248,522,948.00","1,911,782,943.00","2,794,538,794.00","744,121,980.00","1,557,422,770.00","2,368,656,984.00","3,211,994,069.00"
吸收投资收到的现金,,,,,,"1,228,035,277.00","1,228,035,277.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"208,751,433.00","258,380,931.00","121,204,174.00","262,901,873.00","168,505,122.00","255,520,533.00","372,097,178.00","106,538,878.00","190,810,545.00","279,363,555.00","363,309,882.00","107,391,939.00","204,316,088.00","298,225,660.00","401,379,427.00","115,260,518.00","219,446,900.00","316,719,708.00","439,851,475.00","136,149,367.00","280,656,363.00","418,724,145.00","537,689,256.00","198,235,370.00","370,693,270.00","522,861,898.00","616,564,412.00","141,634,599.00","344,113,120.00","504,054,641.00","656,887,137.00","225,855,746.00","435,306,360.00","631,103,560.00","852,922,847.00"
取得借款收到的现金,"1,180,396,882.00","1,312,703,432.00","464,030,595.00","864,510,664.00","177,702,049.00","318,427,120.00","322,480,878.00","182,300,233.00","598,038,895.00","1,010,996,532.00","1,261,360,553.00","294,841,729.00","556,918,017.00","952,826,571.00","1,350,375,703.00","304,529,024.00","614,203,695.00","643,819,125.00","701,930,580.00","123,451,403.00","383,659,590.00","869,345,761.00","1,388,985,273.00","499,156,312.00","922,539,472.00","1,284,282,663.00","1,841,077,011.00","331,719,100.00","737,201,223.00","943,100,294.00","1,091,413,223.00","158,193,279.00","839,942,849.00","1,242,720,801.00","1,583,825,728.00"
支付的各项税费,"9,721,880.00","77,910,832.00","28,555,001.00","55,094,566.00","58,577,780.00","64,344,122.00","96,031,236.00","26,000,585.00","63,878,408.00","78,981,011.00","104,493,757.00","31,482,732.00","65,976,699.00","106,601,946.00","252,662,742.00","46,241,651.00","63,609,831.00","148,993,350.00","87,896,991.00","40,342,335.00","41,593,638.00","35,850,307.00","42,936,265.00","25,588,693.00","51,159,179.00","76,698,604.00","92,770,678.00","43,150,622.00","78,950,745.00","111,728,347.00","144,303,541.00","27,092,756.00","74,397,274.00","108,636,082.00","171,825,246.00"
收到其他与筹资活动有关的现金,,"73,488,252.00",,,"20,549,500.00","20,549,500.00","20,549,500.00",,,,"39,751,800.00",,,,,,"192,030,546.00","262,030,546.00","170,807,005.00",,"2,164,912.00","3,259,192.00","21,223,541.00",,,"152,614.00",,"625,802.00","7,658.00",,"3,891,937.00","29,730,800.00",,,
支付其他与经营活动有关的现金,"124,159,604.00","129,824,277.00","56,933,844.00","119,770,839.00","58,363,135.00","98,717,223.00","157,898,688.00","80,648,950.00","83,264,578.00","104,768,299.00","192,692,720.00","78,357,922.00","80,047,867.00","105,150,942.00","173,576,978.00","536,688,338.00","72,766,314.00","108,727,373.00","169,815,384.00","93,312,440.00","104,676,861.00","248,984,444.00","230,020,545.00","106,947,898.00","191,397,555.00","289,962,788.00","199,811,482.00","144,971,027.00","216,398,120.00","258,471,274.00","219,163,214.00","21,976,618.00","53,184,445.00","113,371,026.00","242,444,486.00"
筹资活动现金流入小计,"1,180,396,882.00","1,386,191,684.00","464,030,595.00","864,510,664.00","198,251,549.00","1,567,011,897.00","1,571,065,655.00","182,300,233.00","598,038,895.00","1,010,996,532.00","1,301,112,353.00","294,841,729.00","556,918,017.00","952,826,571.00","1,350,375,703.00","304,529,024.00","806,234,241.00","905,849,671.00","872,737,585.00","123,451,403.00","385,824,502.00","872,604,953.00","1,410,208,814.00","499,156,312.00","922,539,472.00","1,284,435,277.00","1,841,077,011.00","332,344,902.00","737,208,881.00","943,100,294.00","1,095,305,160.00","187,924,079.00","839,942,849.00","1,242,720,801.00","1,583,825,728.00"
经营活动现金流出小计,"2,716,556,010.00","2,731,989,938.00","910,971,294.00","1,935,434,756.00","1,269,797,881.00","1,907,420,639.00","2,719,122,210.00","740,138,588.00","1,385,142,739.00","2,220,889,621.00","3,049,093,197.00","694,389,753.00","1,317,332,059.00","2,110,505,607.00","2,857,773,252.00","1,154,196,743.00","1,378,236,158.00","2,151,907,239.00","3,082,321,799.00","884,068,671.00","1,660,877,154.00","2,528,065,037.00","3,544,889,033.00","842,897,958.00","1,615,022,954.00","2,347,693,700.00","3,470,306,974.00","916,274,156.00","1,887,984,933.00","2,786,037,205.00","3,814,892,686.00","1,019,047,100.00","2,120,310,849.00","3,221,767,652.00","4,479,186,648.00"
偿还债务支付的现金,"979,303,002.00","1,395,712,021.00","582,576,963.00","1,119,773,666.00","164,487,757.00","362,313,195.00","404,612,385.00","207,320,607.00","513,555,351.00","847,033,034.00","1,287,500,996.00","197,130,865.00","499,376,074.00","877,195,845.00","1,348,151,487.00","313,533,104.00","616,166,472.00","922,785,993.00","955,910,165.00","59,740,971.00","184,042,508.00","444,315,029.00","886,448,356.00","407,350,755.00","734,202,146.00","1,525,261,861.00","2,039,495,079.00","217,004,199.00","516,924,319.00","929,741,013.00","1,243,303,991.00","206,197,827.00","460,499,863.00","799,841,420.00","1,128,413,782.00"
经营活动产生的现金流量净额,"164,702,875.00","479,426,600.00","192,920,318.00","404,943,307.00","156,843,087.00","231,665,916.00","427,992,813.00","82,676,396.00","166,465,329.00","299,676,650.00","426,494,093.00","54,694,600.00","109,075,558.00","181,932,042.00","471,597,908.00","-418,823,046.00","79,942,113.00","257,340,947.00","343,463,839.00","-12,865,451.00","48,456,951.00","153,105,315.00","57,975,154.00","-71,799,798.00","-18,172,990.00","35,864,051.00","132,423,656.00","-64,077,605.00","43,626,360.00","195,563,111.00","310,087,332.00","-81,085,019.00","-60,737,596.00","101,809,980.00","154,481,565.00"
分配股利、利润或偿还利息支付的现金,"98,978,428.00","98,615,506.00","75,442,829.00","81,409,257.00","5,236,491.00","7,167,424.00","9,455,865.00","1,540,940.00","139,864,084.00","141,931,426.00","148,463,932.00","1,661,592.00","87,157,207.00","90,265,089.00","91,471,849.00","663,296.00","233,959,763.00","234,758,746.00","234,889,342.00","224,068.00","140,540,925.00","142,213,896.00","145,838,834.00","1,343,133.00","4,630,934.00","11,576,726.00","14,235,303.00","2,940,759.00","8,334,872.00","11,230,271.00","13,924,463.00","699,709.00","85,617,654.00","88,138,633.00","93,635,324.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,"400,000,000.00","979,062,870.00",,"522,900,000.00","1,098,900,000.00","1,234,500,000.00",,"878,700,000.00",,,,,,,,,,,
支付其他与筹资活动有关的现金,"73,488,252.00",,"20,549,500.00","20,549,500.00",,"643,903.00","39,751,800.00",,"191,206.00","191,206.00",,,"87,289.00","87,289.00","192,030,546.00",,"88,756,688.00","90,739,388.00",,,,,,,,,,"8,566.00",,,,"11,066.00","206,176.00","2,148,203.00",
取得投资收益收到的现金,"1,496,497.00",,,,,,,,"1,315,926.00","3,853,585.00",,,"4,917,589.00","7,140,055.00","10,053,270.00","695,043.00","1,499,015.00","6,177,353.00","15,942,126.00","509,547.00","2,023,366.00","2,087,407.00","4,767,226.00","2,798,056.00","4,655,210.00","5,346,431.00","6,079,045.00","29,833.00","50,593.00","910,935.00","831,649.00","1,030,863.00","1,095,069.00","4,913,806.00","4,470,590.00"
筹资活动现金流出小计,"1,151,769,682.00","1,494,327,527.00","678,569,292.00","1,221,732,423.00","169,724,248.00","370,124,522.00","453,820,050.00","208,861,547.00","653,610,641.00","989,155,666.00","1,435,964,928.00","198,792,457.00","586,620,570.00","967,548,223.00","1,631,653,882.00","314,196,400.00","938,882,923.00","1,248,284,127.00","1,190,799,507.00","59,965,039.00","324,583,433.00","586,528,925.00","1,032,287,190.00","408,693,888.00","738,833,080.00","1,536,838,587.00","2,053,730,382.00","219,953,524.00","525,259,191.00","940,971,284.00","1,257,228,454.00","206,908,602.00","546,323,693.00","890,128,256.00","1,222,049,106.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"126,530.00","338,797.00","1,184,538.00","517,416.00","423,799.00","423,799.00","452,796.00","81,400,000.00","81,400,000.00","81,400,000.00","3,083,654.00",,,,"88,422.00",,,,"1,724,116.00",,,,"4,558,727.00",,"28,100.00","28,100.00","2,513,693.00","2,304,550.00","6,872,689.00","8,218,689.00","38,210,427.00","6,776.00","6,776.00","6,776.00","47,054.00"
筹资活动产生的现金流量净额,"28,627,200.00","-108,135,843.00","-214,538,697.00","-357,221,759.00","28,527,301.00","1,196,887,375.00","1,117,245,605.00","-26,561,314.00","-55,571,746.00","21,840,866.00","-134,852,575.00","96,049,272.00","-29,702,553.00","-14,721,652.00","-281,278,179.00","-9,667,376.00","-132,648,682.00","-342,434,456.00","-318,061,922.00","63,486,364.00","61,241,069.00","286,076,028.00","377,921,624.00","90,462,424.00","183,706,392.00","-252,403,310.00","-212,653,371.00","112,391,378.00","211,949,690.00","2,129,010.00","-161,923,294.00","-18,984,523.00","293,619,156.00","352,592,545.00","361,776,622.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,"-242,778.00",,,,-448.00,"-4,757.00",,,490.00,"10,871.00","-3,088.00","326,746.00","19,140.00","817,442.00","1,311,299.00","-264,904.00","33,575.00","-295,020.00","-7,302,032.00","-19,075,753.00","-8,616,361.00"
收到其他与投资活动有关的现金,,,"317,777.00","317,777.00",,,,,,,"82,487,618.00",,,,"6,842,536.00","27,199,700.00","27,199,700.00","27,199,700.00","1,525,932,500.00","17,000,000.00",,"128,600,000.00","2,286,825,000.00",,"1,588,920,000.00","2,173,868,472.00","2,379,910,850.00","110,097,210.00","110,000,000.00","290,000,000.00","615,871,200.00","255,005,376.00","565,500,000.00","650,500,000.00","1,293,767,482.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,623,027.00","338,797.00","1,502,315.00","835,193.00","423,799.00","423,799.00","452,796.00","81,400,000.00","82,715,926.00","85,253,585.00","85,571,272.00",,"4,917,589.00","7,140,055.00","16,984,228.00","27,894,743.00","428,698,715.00","1,012,439,923.00","1,543,598,742.00","540,409,547.00","1,100,923,366.00","1,365,187,407.00","2,296,150,953.00","881,498,056.00","1,593,603,310.00","2,179,243,003.00","2,388,503,588.00","112,431,593.00","116,923,282.00","299,129,624.00","654,913,276.00","256,043,015.00","566,601,845.00","655,420,582.00","1,298,285,126.00"
五、现金及现金等价物净增加额,"53,468,774.00","246,918,134.00","-49,980,645.00","-78,609,867.00","95,036,613.00","1,256,271,550.00","1,238,155,135.00","79,303,233.00","91,764,770.00","256,948,005.00","98,542,501.00","116,866,575.00","13,793,531.00","63,015,375.00","-94,956,879.00","-501,273,167.00","-847,622,956.00","-792,644,913.00","-1,031,681,924.00","-176,403,822.00","-228,566,860.00","-154,850,711.00","-375,545,461.00","7,580,853.00","10,408,464.00","54,940,978.00","54,615,565.00","23,839,008.00","170,125,588.00","89,610,460.00","44,371,315.00","29,896,968.00","235,198,544.00","234,036,991.00","100,548,504.00"
购建固定资产、无形资产和其他长期资产支付的现金,"141,484,328.00","118,029,091.00","29,864,581.00","75,924,358.00","84,445,074.00","166,393,040.00","301,223,579.00","58,211,849.00","101,844,739.00","149,823,096.00","243,945,859.00","33,877,297.00","70,497,063.00","111,335,070.00","302,018,058.00","100,677,488.00","284,625,102.00","582,001,327.00","901,316,124.00","273,529,525.00","482,483,646.00","725,408,531.00","873,582,832.00","167,585,470.00","294,615,920.00","401,979,872.00","481,577,448.00","87,531,226.00","153,685,043.00","216,725,604.00","203,739,574.00","35,779,784.00","106,743,235.00","150,009,870.00","178,489,688.00"
期初现金及现金等价物余额,"160,601,832.00","214,070,606.00","460,988,740.00","460,988,740.00","382,378,873.00","382,378,873.00","382,378,873.00","1,620,534,008.00","1,660,285,808.00","1,660,285,808.00","1,620,534,008.00","1,719,076,509.00","1,719,076,509.00","1,719,076,509.00","1,719,076,509.00","1,816,150,176.00","1,624,119,630.00","1,624,119,630.00","1,624,119,630.00","591,945,435.00","592,437,706.00","592,437,706.00","592,437,706.00","241,761,421.00","216,892,245.00","216,892,245.00","216,892,245.00","271,507,810.00","271,507,810.00","271,507,810.00","271,507,810.00","315,879,125.00","315,879,125.00","315,879,125.00","315,879,125.00"
投资支付的现金,,"6,682,329.00",,,,,,,,,"34,724,430.00",,,,,,"938,990,000.00","1,137,990,000.00",,"493,900,000.00","956,704,600.00","1,233,810,930.00",,"725,005,230.00",,,,,,,,,"99,739,594.00","112,174,769.00","112,188,760.00"
期末现金及现金等价物余额,"214,070,606.00","460,988,740.00","411,008,095.00","382,378,873.00","477,415,486.00","1,638,650,423.00","1,620,534,008.00","1,699,837,241.00","1,752,050,578.00","1,917,233,813.00","1,719,076,509.00","1,835,943,084.00","1,732,870,040.00","1,782,091,884.00","1,624,119,630.00","1,314,877,009.00","776,496,674.00","831,474,717.00","592,437,706.00","415,541,613.00","363,870,846.00","437,586,995.00","216,892,245.00","249,342,274.00","227,300,709.00","271,833,223.00","271,507,810.00","295,346,818.00","441,633,398.00","361,118,270.00","315,879,125.00","345,776,093.00","551,077,669.00","549,916,116.00","416,427,629.00"
