科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"27,664,750.78","68,526,556.32","92,230,989.49","149,026,716.40","45,197,446.75","92,433,078.59","121,146,499.54","174,518,786.31","46,119,493.37","78,158,740.82","148,669,713.42","217,235,203.23","56,145,485.28","126,330,734.03","193,134,965.70","271,806,565.42","66,214,948.37","171,947,126.17","252,295,769.72","399,726,985.23","68,766,735.04","139,824,265.27","277,195,545.23","449,442,187.07","93,966,194.51","195,419,471.40","339,554,167.68","540,535,427.65","133,964,681.25","264,444,851.73","433,317,509.25","628,684,558.79","130,064,076.85","298,422,572.83","426,804,682.30","621,943,324.58","121,035,872.33","319,276,790.20","498,854,640.94","692,789,481.17","142,846,724.09","316,654,487.09","481,048,529.86","736,909,963.58","146,039,212.63","293,433,331.68","482,355,474.69","783,024,023.74","160,418,318.68"
取得借款收到的现金,"300,130,000.00","531,830,000.00","746,830,000.00","975,530,000.00","447,700,000.00","904,700,000.00","1,130,000,000.00","1,258,950,000.00","561,000,000.00","855,000,000.00","1,164,000,000.00","1,462,000,000.00","1,060,000,000.00","1,642,000,000.00","2,120,000,000.00","2,365,000,000.00","1,157,000,000.00","1,681,000,000.00","2,330,000,000.00","2,856,000,000.00","956,000,000.00","1,655,000,000.00","2,631,000,000.00","3,182,000,000.00","1,622,000,000.00","2,406,000,000.00","3,804,000,000.00","4,796,000,000.00","2,304,000,000.00","2,818,000,000.00","4,338,388,706.43","5,025,308,321.31","1,878,627,494.94","2,237,825,761.80","3,094,407,181.54","4,523,796,196.47","1,725,298,427.78","1,844,674,240.00","4,068,902,580.00","6,436,165,793.85","1,092,000,000.00","2,094,002,733.74","3,571,627,251.68","5,071,490,276.09","1,715,156,690.00","3,279,294,976.00","5,047,065,428.37","6,589,974,895.00","3,452,000,000.00"
支付的各项税费,"47,386,288.94","91,303,720.32","140,852,787.65","166,905,559.81","107,475,099.80","176,034,736.75","230,363,987.82","281,297,747.68","100,478,445.16","179,782,578.81","227,989,230.61","296,801,470.40","101,739,675.21","195,505,015.53","287,862,407.75","362,876,939.59","143,730,994.59","395,013,977.21","473,405,336.66","541,531,793.61","209,724,165.12","408,489,788.49","556,715,002.47","694,807,177.83","184,507,761.52","507,368,204.07","658,009,371.65","854,920,322.04","297,611,036.25","566,554,293.36","806,710,434.88","960,594,527.25","210,878,761.48","722,863,610.68","962,057,132.95","1,033,090,367.72","439,406,413.36","814,887,553.57","967,367,409.67","1,041,806,792.05","457,811,530.95","972,241,009.00","1,166,212,669.62","1,350,994,750.28","345,853,175.02","665,203,872.82","955,575,312.32","1,053,584,201.75","542,881,546.08"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"46,353,087.90","124,274,795.15","115,846,844.46","155,940,553.99","79,688,258.83","126,203,037.92","205,739,468.01","201,743,668.06","66,026,847.24","95,615,016.25","107,314,690.48","205,658,918.71","99,145,947.87","132,886,648.87","276,586,670.99","369,302,777.10","183,210,803.08","158,153,078.77","413,620,472.20","345,830,620.25","184,457,647.80","285,391,466.50","385,532,420.78","386,121,207.57","221,586,947.84","289,260,408.38","624,103,477.20","662,748,989.21","278,639,534.51","340,508,788.25","459,378,407.58","462,730,285.79","140,370,260.60","248,348,014.97","299,614,847.86","467,165,086.76","138,952,608.07","278,133,120.07","393,686,091.24","510,974,231.89","171,777,862.91","240,870,894.89","360,604,178.20","501,453,419.62","309,704,743.88","384,048,551.77","562,159,008.81","650,151,177.64","138,153,851.73"
筹资活动现金流入小计,"300,130,000.00","531,830,000.00","746,830,000.00","976,030,000.00","447,700,000.00","904,700,000.00","1,133,250,000.00","1,262,200,000.00","561,000,000.00","855,000,000.00","1,164,000,000.00","1,473,325,000.00","1,060,000,000.00","1,649,350,000.00","2,127,350,000.00","2,372,595,000.00","1,157,000,000.00","1,681,000,000.00","2,337,350,000.00","2,864,100,000.00","956,000,000.00","1,655,000,000.00","2,634,240,000.00","3,185,240,000.00","1,622,000,000.00","2,419,200,000.00","3,817,200,000.00","4,809,200,000.00","2,304,000,000.00","2,820,382,120.00","4,356,370,826.43","5,040,908,321.31","1,878,627,494.94","2,237,825,761.80","3,171,401,581.54","4,597,318,181.93","1,725,298,427.78","1,853,674,240.00","4,077,902,580.00","6,448,415,793.85","1,127,604,000.00","2,129,606,733.74","3,643,111,251.68","5,142,974,276.09","1,715,156,690.00","3,279,294,976.00","5,047,065,428.37","6,589,974,895.00","3,452,000,000.00"
经营活动现金流出小计,"1,832,878,422.88","3,304,386,093.37","5,276,440,975.97","7,252,917,126.44","3,928,255,666.91","5,918,171,213.25","8,150,858,801.97","10,479,783,647.05","3,311,839,642.77","6,542,609,801.16","9,270,741,304.71","12,848,688,884.21","5,450,184,180.07","8,637,111,449.24","11,770,034,406.27","17,531,709,749.95","7,343,791,212.70","13,055,234,967.50","18,896,555,400.44","24,790,977,465.90","8,536,134,235.26","14,435,979,752.80","23,342,682,981.17","30,232,038,206.74","10,924,003,637.23","19,914,300,166.12","30,138,901,531.46","40,463,586,570.66","11,467,109,725.23","19,926,718,927.67","29,154,233,871.85","40,804,710,216.21","12,954,400,836.06","22,495,617,770.46","30,747,212,010.25","43,929,931,941.46","14,411,342,166.40","23,516,218,438.99","32,336,789,075.55","45,721,311,306.81","13,938,059,764.71","24,834,057,731.72","34,984,862,710.95","49,573,037,186.15","16,856,110,541.74","27,698,453,792.18","39,225,599,247.75","56,546,753,479.25","17,849,692,510.41"
偿还债务支付的现金,"237,000,000.00","396,700,000.00","624,700,000.00","862,320,000.00","347,700,000.00","634,700,000.00","849,700,000.00","1,134,400,000.00","344,000,000.00","639,950,000.00","879,950,000.00","1,320,950,000.00","439,000,000.00","970,000,000.00","1,348,200,000.00","1,785,000,000.00","546,000,000.00","1,088,000,000.00","1,626,000,000.00","2,270,000,000.00","675,000,000.00","1,288,000,000.00","2,133,000,000.00","2,799,577,952.27","1,080,000,000.00","2,075,000,000.00","3,210,000,000.00","4,716,000,000.00","1,735,000,000.00","2,875,000,000.00","3,813,000,000.00","4,885,000,000.00","1,156,000,000.00","2,182,000,000.00","3,243,305,006.19","4,629,799,388.02","842,158,760.00","1,470,452,625.46","2,148,274,022.55","4,458,583,195.29","1,190,922,759.66","2,369,000,000.00","3,812,000,000.00","5,948,514,694.41","1,054,000,000.00","2,175,982,610.73","3,384,170,688.37","4,793,643,205.00","1,273,011,344.39"
经营活动产生的现金流量净额,"10,672,076.93","171,451,728.03","113,636,698.35","200,403,901.44","-60,273,982.50","84,572,986.05","140,117,859.64","315,620,833.25","25,841,543.92","-84,326,814.80","-43,837,874.48","-103,806,456.96","33,671,902.33","-79,153,767.56","-52,805,417.37","-206,791,066.00","-353,035,160.68","328,313,597.11","325,933,960.52","-88,256,439.43","12,745,655.24","1,322,495,846.56","883,746,947.36","750,528,303.92","-98,669,022.05","1,919,986,983.57","544,941,524.78","1,522,213,496.66","195,279,902.35","1,524,704,279.35","562,685,649.86","2,579,291,609.85","-332,893,227.39","767,657,943.97","-485,320,073.17","956,729,899.41","-2,243,844,677.42","-873,844,283.95","-1,996,436,518.45","-978,589,266.91","234,575,275.80","937,712,052.74","134,323,013.94","1,248,249,647.60","-612,930,434.65","1,164,378,069.59","179,581,777.45","-370,631,144.10","-1,260,685,767.61"
分配股利、利润或偿还利息支付的现金,"27,211,707.05","53,045,451.89","92,431,517.11","109,411,247.07","30,730,603.91","105,585,406.34","142,960,587.10","174,253,875.24","30,375,328.69","68,690,669.57","105,162,447.51","128,528,114.34","35,485,032.11","57,206,748.64","147,396,324.06","175,989,808.92","62,885,469.69","111,762,188.30","153,711,846.90","195,036,584.30","101,937,938.06","165,305,965.23","253,901,818.38","318,954,766.26","44,320,752.71","180,391,080.32","546,675,052.94","615,273,454.42","55,737,354.53","213,961,226.88","719,316,193.02","785,876,691.06","148,637,151.44","217,209,081.01","736,772,132.51","811,369,179.05","47,597,736.38","255,856,133.71","804,148,363.57","900,633,375.42","51,799,330.60","282,914,574.52","862,904,170.25","963,340,413.96","51,284,619.50","311,162,400.76","935,590,851.57","1,028,125,682.64","76,721,328.77"
