科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"163,102,905.16","353,604,410.15","534,281,495.39","959,706,510.21","406,840,162.04","640,931,886.42","724,606,343.26","785,038,007.63","96,009,196.47","295,662,805.12","594,965,223.98","1,241,241,286.78","446,914,558.01","750,009,167.88","929,976,206.24","3,623,767,402.82","673,392,145.02","1,696,478,308.74","3,120,325,512.43","7,150,826,288.92","2,278,262,789.99","5,209,274,489.52","9,453,564,046.82","11,761,639,563.69","1,779,404,294.53","3,971,708,083.20","7,139,701,455.25","12,512,971,049.73","2,246,403,130.76","5,109,268,768.44","7,494,637,025.03","10,873,513,844.91","1,771,748,643.10","4,900,579,176.43","7,781,148,950.45","11,189,176,756.08","2,129,997,694.33","5,626,428,591.14","8,598,374,584.96","12,883,339,161.12","1,977,265,852.08","5,056,523,387.17","7,973,878,100.57","13,004,004,458.64"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"288,313.66",,,,,,,,"46,492,505.97",,,,"14,299,178.90",,,,"747,698,785.14",,,,,,,,"1,238,752.65"
收到的税费返还,,,,,,,,,,,,,,,,"59,830,940.43","2,808,987.51","28,771,535.44","28,771,535.44","31,886,700.93","21,611,747.39","24,856,650.37","66,167,562.29","36,043,095.99","33,636,495.24","38,822,115.87","40,600,840.33","49,204,605.05","34,882,435.84","72,295,640.70","95,802,609.99","76,877,190.31","29,583,038.81","53,619,750.65","80,233,845.36","95,161,735.78","48,910,338.32","56,295,103.66","70,544,901.90","112,476,476.39","8,390,952.79","35,088,268.31","43,090,434.68","105,589,869.04"
支付其他与投资活动有关的现金,,,"1,334,000.00",,,,,,,,,,,,,"688,590,000.00",,,,,,,,"12,427,700.26","63,000,000.00","63,000,000.00","63,000,000.00",,"20,000,000.00",,"3,500,000.00","2,022,798.00","8,084,679.58","8,151,175.08","8,151,175.08","828,041,589.45","398,270,000.00","486,167,883.66","486,167,883.66","491,992,081.05",,"190,500,520.00","190,500,520.00","190,500,520.00"
收到其他与经营活动有关的现金,"15,386,216.09","27,398,046.74","28,939,272.44","10,153,555.51","2,940,379.90","24,705,945.75","34,487,682.79","34,165,372.99","16,625,040.51","6,854,375.90","52,214,743.85","50,640,826.62","38,609,616.04","136,609,137.14","386,772,752.90","643,562,630.99","142,908,792.12","232,716,242.17","503,557,854.45","350,389,020.50","347,682,570.05","433,916,764.18","910,550,718.13","678,698,456.82","54,641,408.66","266,652,284.50","306,652,284.50","2,009,559,313.22","148,462,773.07","526,506,993.54","503,745,568.13","877,290,757.73","224,066,154.42","488,824,495.82","671,747,309.35","2,762,953,622.69","241,208,876.10","518,170,609.02","1,061,584,889.66","2,201,876,657.14","446,185,233.51","506,635,387.66","1,182,175,115.98","2,412,249,462.13"
投资活动现金流出小计,"13,586,966.92","79,587,172.80","165,520,705.04","147,387,247.27","5,625,402.69","12,251,799.55","20,787,868.40","22,744,621.42","5,427,667.00","12,306,225.15","18,474,554.05","28,528,426.30","3,926,277.60","7,861,856.95","18,158,174.80","2,288,390,083.79","228,062,768.23","225,824,629.80","488,081,546.08","1,107,447,553.83","80,993,873.25","120,650,565.47","372,026,343.02","295,316,866.20","124,687,737.20","322,055,541.28","286,967,646.26","1,199,973,754.03","349,164,783.75","426,197,603.07","1,470,251,812.46","1,373,737,215.68","2,062,454,481.27","2,809,426,081.78","2,924,611,574.53","3,724,845,894.07","1,687,184,185.17","3,119,028,619.65","4,281,624,121.41","3,640,226,376.18","1,181,146,295.40","3,140,794,221.67","4,395,094,082.57","4,440,943,300.78"
经营活动现金流入小计,"178,489,121.25","381,002,456.89","563,220,767.83","969,860,065.72","409,780,541.94","665,637,832.17","759,094,026.05","819,203,380.62","112,634,236.98","302,517,181.02","647,179,967.83","1,291,882,113.40","485,524,174.05","886,618,305.02","1,316,748,959.14","4,327,160,974.24","819,109,924.65","1,957,966,086.35","3,652,654,902.32","7,533,102,010.35","2,647,557,107.43","5,668,047,904.07","10,430,282,327.24","12,476,381,116.50","1,867,682,198.43","4,277,182,483.57","7,486,954,580.08","14,571,734,968.00","2,429,748,339.67","5,708,071,402.68","8,094,185,203.15","11,827,681,792.95","2,025,397,836.33","5,443,023,422.90","8,533,130,105.16","14,047,292,114.55","2,420,116,908.75","6,200,894,303.82","9,730,504,376.52","15,197,692,294.65","2,431,842,038.38","5,598,247,043.14","9,199,143,651.23","15,521,843,789.81"
投资活动产生的现金流量净额,"-13,586,966.92","-75,210,334.80","-123,813,754.48","-78,995,493.23","-5,625,402.69","-12,249,501.70","-20,779,868.40","-22,734,323.57","-5,427,667.00","-12,305,535.15","-18,473,864.05","-20,947,317.37","-3,926,277.60","-5,181,694.85","-15,478,012.70","-1,327,178,797.98","-228,012,048.71","-221,232,263.34","77,860,663.12","311,107,794.32","-66,650,255.59","138,186,327.31","-112,108,528.75","-82,128,758.69","-121,314,351.96","-318,114,463.28","-283,026,568.26","-648,041,617.55","-290,266,891.83","-357,771,639.04","-1,101,113,165.14","-472,008,758.32","-1,354,147,716.03","-1,645,478,135.23","-1,340,032,745.03","-922,976,903.57","-852,842,370.83","-1,916,079,866.00","-2,111,226,528.97","-1,120,635,674.40","-918,094,246.44","-2,014,878,781.99","-3,026,134,353.70","-2,519,375,005.80"
购买商品、接受劳务支付的现金,"144,961,033.12","340,970,388.08","481,542,316.21","930,905,898.24","359,614,567.74","586,889,474.15","622,863,968.83","687,875,548.11","49,075,909.60","204,757,636.98","564,999,340.32","1,194,788,967.86","392,412,597.24","772,050,349.88","1,040,218,509.17","2,267,365,340.06","531,010,125.91","1,300,825,466.73","2,833,818,845.01","6,650,908,242.92","2,217,292,908.07","4,481,165,158.22","8,528,608,250.83","10,151,711,689.03","1,728,676,561.11","3,688,256,456.50","6,553,895,722.66","10,403,740,040.51","2,228,094,452.51","4,587,223,071.31","6,753,564,181.49","8,985,150,058.75","1,703,235,076.14","4,346,465,767.18","6,589,114,697.42","8,485,898,557.86","1,713,937,470.74","4,274,908,245.15","6,532,826,910.83","8,590,536,487.65","1,717,731,591.48","3,900,209,426.10","6,481,052,788.07","9,236,518,097.19"
吸收投资收到的现金,,,,,,,,,,,,,,,,"24,088,667.22",,"-10,000,000.00","-10,000,000.00","4,900,000.00",,,,"14,666,667.00","1,266,182,474.65","1,261,515,807.65","1,261,515,807.65","1,262,215,807.65",,"6,200,000.00","42,345,041.24","6,000,000.00","872,766,686.08","880,380,086.08","880,870,086.08","877,986,686.08",,"250,000.00","1,730,435.04","2,810,435.04","2,610,000.00","11,430,000.00","11,430,000.00","3,810,000.00"
