科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"124,867,542.45","190,698,119.32","217,471,406.94","68,962,606.97","186,604,993.61","205,049,310.68","15,899,765.10","75,506,766.74","198,233,158.94","231,134,162.86","50,682,058.62","164,984,279.99","352,610,017.18","455,996,687.08","52,471,674.30","145,544,508.90","317,972,297.24","408,101,150.30","88,814,535.66","191,902,768.00","441,803,427.10","633,157,304.38","92,929,790.13","350,971,113.48","684,304,124.80","912,207,963.04","148,239,002.91","355,126,963.65","620,760,648.88","777,805,656.58","128,618,342.79"
二、营业利润,"36,533,441.55","62,500,698.42","62,114,117.77","12,827,106.31","53,008,762.02","49,722,598.10","2,886,609.28","14,462,124.02","53,008,410.60","50,042,124.62","6,751,903.50","24,243,730.63","84,698,468.95","114,680,742.42","9,161,369.62","26,653,367.52","101,216,805.16","136,339,324.32","18,360,087.30","47,847,405.80","177,272,043.30","231,034,298.52","36,197,155.77","110,337,604.84","341,705,966.42","223,361,572.66","57,070,782.17","128,519,605.87","132,440,469.61","-220,855,777.28","12,670,495.39"
减:营业成本,"68,138,841.45","98,186,157.98","120,692,099.71","41,074,112.74","110,825,195.47","124,479,317.96","10,277,231.91","48,713,300.26","125,843,639.14","149,216,275.76","30,225,477.56","104,392,328.72","217,272,605.45","289,596,998.44","33,402,507.08","92,243,593.38","198,061,377.70","254,198,835.68","42,644,507.91","98,041,453.59","248,058,240.71","369,389,705.14","58,277,450.89","212,639,549.09","387,574,071.00","535,429,557.25","86,010,697.70","212,309,069.46","397,328,211.45","524,496,931.84","91,231,812.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,065,834.69","1,593,456.08","2,365,400.40","622,366.08","623,353.46","2,024,812.75","119,944.86","150,732.06","389,053.66","2,047,533.53","166,754.48","301,658.47","1,001,301.40","2,522,710.54","1,076,264.18","1,326,633.89","1,493,293.42","2,804,792.40","1,374,282.48","1,875,705.71","2,526,275.29","4,831,269.64","1,062,398.99","3,512,999.42","4,584,242.81","6,999,051.33","2,288,577.37","3,803,770.24","4,157,571.18","7,035,797.08","759,032.78"
营业外收入,"217,800.80","105,644.04","5,024,048.93","428,536.99","17,287,760.34","17,322,021.47","2,127,666.67","3,145,333.34","3,525,000.02","7,478,655.82","135,634.25","520,266.98","1,317,950.09","20,661,896.01","1,590,122.42","8,481,627.99","16,853,227.02","27,967,009.23","1,967,578.12","2,725,809.34","7,972,952.18","10,944,502.95","2,153,726.09","3,199,361.87","6,698,139.80","867,790.33","60,150.91","3,858.33","1,071,095.65",,"287,003.87"
销售费用,"4,687,452.09","6,949,517.87","6,085,027.42","2,757,503.04","4,933,804.89","6,918,087.33","862,874.01","2,702,630.69","5,303,284.29","8,188,733.09","3,313,939.82","6,481,140.46","10,423,014.85","13,569,135.35","2,772,818.72","6,073,071.24","11,327,586.89","15,857,948.52","6,311,992.07","19,639,609.01","31,445,182.02","46,714,141.04","8,096,775.69","18,889,141.29","28,827,078.96","40,515,198.13","6,304,315.38","12,228,035.93","16,761,721.02","24,339,483.55","3,619,033.88"
减:营业外支出,"202,527.23","192,453.97","335,897.53","101,108.50","253,181.28","540,206.36","47,693.08","147,693.08","291,499.95","353,079.87","279,016.27","488,647.25","672,377.81","1,133,168.59","42,497.08","670,830.01","849,429.15","967,250.44","74,146.19","406,656.36","822,529.52","2,298,774.29","18,626.52","70,540.48","103,730.86","247,361.62","26,508.73","5,054.58","46,709.80","85,562.65","331,770.30"
管理费用,"12,372,295.99","15,505,851.72","23,966,394.43","10,253,013.15","15,909,626.85","22,894,546.48","6,240,183.19","12,877,948.06","20,130,876.92","32,363,567.93","10,109,429.33","24,948,371.25","38,970,301.83","50,501,352.72","13,115,612.93","26,547,657.63","41,100,880.42","60,657,610.38","19,906,066.50","39,511,016.41","69,700,742.16","106,451,678.18","22,772,030.24","51,839,668.99","85,291,154.19","118,304,854.10","26,883,682.31","51,073,797.68","55,421,503.24","88,011,575.63","16,658,454.28"
其中:非流动资产处置净损失,"38,532.24",,"118,859.08",,,"36,597.81",,"2,109.49","2,109.49","2,109.49",,,,"11,285.47",,"13,304.23","13,304.23","13,543.55",,"148,244.32","148,244.32","1,873,973.81",,"31,023.90","31,023.90",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,956,126.99","4,540,510.33","4,427,604.71","224,606.64","-537,241.08","-2,058,529.55","-2,311,185.81","-3,262,268.72","-4,531,518.29","-2,360,729.21","439,933.73","1,314,418.55","1,435,001.33","1,154,076.25","-1,397,549.83","-205,169.97","-6,687,218.49","-7,423,654.18","27,405.64","-45,949.66","8,099.24","-13,140,833.45","-308,633.13","3,344,922.62","13,196,428.19","19,186,007.14","8,350,415.87","14,021,989.92","14,547,362.33","19,091,653.60","5,894,090.06"
三、利润总额,"36,548,715.12","62,413,888.49","66,802,269.17","13,154,534.80","70,043,341.08","66,504,413.21","4,966,582.87","17,459,764.28","56,241,910.67","57,167,700.57","6,608,521.48","24,275,350.36","85,344,041.23","134,209,469.84","10,708,994.96","34,464,165.50","117,220,603.03","163,339,083.11","20,253,519.23","50,166,558.78","184,422,465.96","239,680,027.18","38,332,255.34","113,466,426.23","348,300,375.36","223,982,001.37","57,104,424.35","128,518,409.62","133,464,855.46","-220,941,339.93","12,625,728.96"
资产减值损失,"113,549.69","1,282,411.96","283,464.05","1,058,971.97","2,089,692.45","-140,770.99","-448,423.11","1,752,568.86","2,068,390.82","-423,805.40","54,328.54","4,194,296.99","2,469,211.43","8,656,035.46","-2,101,810.19","35,716.16","972,827.09","6,857,420.84","258,808.91","2,367,584.51","11,690,659.77","19,979,855.45","-238,116.00","2,788,344.23","15,699,533.43","45,541,204.23","3,171,840.22","-1,308,478.86","10,626,698.24","309,881,440.11","-2,342,043.77"
减:所得税,"14,224,860.41","15,626,633.30","18,505,834.27","3,917,022.85","17,983,121.38","17,488,573.72","2,027,236.28","4,673,237.76","14,801,716.55","15,770,235.34","2,324,066.92","6,469,122.77","22,640,018.32","36,098,816.38","2,148,780.58","7,331,367.55","26,007,805.83","36,185,901.55","5,009,106.35","5,010,523.33","35,598,264.62","51,831,437.76","8,321,680.22","22,068,706.81","51,577,926.15","42,437,812.20","10,837,548.62","16,515,909.37","24,465,881.89","17,201,306.71","2,508,692.04"
