科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"295,533,541.03","285,797,633.00","387,571,966.07","105,906,721.23","145,685,256.30","171,334,237.85","233,784,801.92","65,198,808.73","121,349,525.04","192,746,864.65","293,074,722.37","60,136,929.60","174,596,354.07","258,814,803.76","393,102,402.25","225,720,970.41","608,053,972.55","1,040,503,992.10","1,451,870,520.97","522,350,859.18","1,166,433,168.51","1,835,715,076.60","2,819,791,601.17","876,738,113.50","1,881,865,936.52","3,237,947,935.14","4,807,636,226.28","1,464,689,058.23","3,535,492,091.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00","487,164,195.65","273,519,480.14","273,519,480.14"
收到的税费返还,,,"13,809,322.40","2,688,764.29","6,313,049.61","6,313,049.61","7,724,807.63",,,,,"5,681,995.02","5,681,995.02","5,681,995.02","5,681,995.02","7,374,600.00","12,198,498.04","13,838,402.33","13,838,402.33","3,253.78","14,602,063.57","20,059,288.28","23,052,553.63","16,341.79","16,341.79","177,882.99","7,871,103.76","5,214,515.24","9,742,747.21"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"133,562.00","133,562.00",,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"14,928,089.09","36,634,542.07","14,112,737.76","1,318,421.55","2,433,239.74","3,728,711.27","9,715,794.85","9,994,529.59","14,808,121.70","19,307,796.63","15,981,445.04","1,477,221.48","16,794,084.38","21,537,928.70","11,178,852.63","5,096,224.00","7,098,004.81","11,673,689.98","6,687,440.71","103,239,814.49","8,928,967.57","15,240,281.87","8,578,301.47","4,785,007.42","8,700,053.45","55,447,725.42","23,789,795.40","24,276,950.53","32,249,593.57"
投资活动现金流出小计,"5,848,155.22","54,756,827.42","72,824,153.33","6,918,631.64","20,912,679.64","36,704,691.07","71,004,084.94","7,618,329.11","12,040,219.83","14,175,053.83","433,947,318.33","45,383,572.51","298,568,080.51","622,022,945.25","736,636,080.41","102,919,472.42","104,286,062.42","121,526,192.42","105,261,886.69","113,891,538.00","835,091,384.92","1,595,791,860.27","2,575,037,183.47","239,712,340.46","571,835,929.46","1,064,430,693.67","1,806,271,084.86","463,080,961.52","815,763,836.30"
经营活动现金流入小计,"310,461,630.12","322,432,175.07","415,494,026.23","109,913,907.07","154,431,545.65","181,375,998.73","251,225,404.40","75,193,338.32","136,157,646.74","212,054,661.28","309,056,167.41","67,296,146.10","197,072,433.47","286,034,727.48","409,963,249.90","238,191,794.41","627,350,475.40","1,066,016,084.41","1,472,396,364.01","625,593,927.45","1,189,964,199.65","1,871,014,646.75","2,851,422,456.27","881,539,462.71","1,890,582,331.76","3,293,573,543.55","4,839,297,125.44","1,494,180,524.00","3,577,484,432.60"
投资活动产生的现金流量净额,"-5,848,155.22","-36,754,177.42","-70,717,141.45","-6,918,631.64","-20,912,679.64","-36,704,691.07","-70,914,732.54","-7,618,329.11","-12,040,219.83","-14,175,053.83","-105,961,521.26","40,415,482.28","-102,104,116.13","-68,922,079.54","55,422,574.42","-2,090,431.33","-3,457,021.33","-20,697,151.33","-4,148,145.60","-113,844,061.29","-84,279,971.11","-260,223,742.03","-220,795,469.28","141,038,352.78","218,258,824.66","-30,341,947.36","-448,472,729.77","-94,295,016.98","-230,779,857.29"
购买商品、接受劳务支付的现金,"216,409,162.45","182,480,037.79","284,695,181.92","83,650,810.07","174,145,380.62","232,369,152.79","294,727,293.77","49,542,161.72","102,074,673.99","152,581,737.64","217,208,670.19","65,815,650.34","114,842,797.46","191,417,860.54","332,365,228.21","292,911,989.60","760,741,121.30","1,147,781,373.54","1,511,552,847.87","456,684,463.25","938,710,872.38","1,663,166,674.14","2,580,397,815.78","936,509,352.88","1,881,534,519.75","3,239,066,099.66","4,870,057,834.23","1,320,802,919.90","3,441,432,028.02"
吸收投资收到的现金,,,,,"456,190,000.00","456,190,000.00","456,190,000.00",,,,,,,,,,,,"12,000,000.00","479,508,119.47","480,558,119.47","480,558,119.47","479,628,676.61",,,,"794,999,973.95",,
